aggLatitude,aggLongitude,aggName,bigCityID,repCode,rptMStateKey,aggDateArt3,aggDateArt4,aggC1,aggC2,aggGenerated,aggPercPrimTreatment,aggPercSecTreatment,aggPercStringentTreatment,aggPercWithoutTreatment,aggCode,
-21.380430,55.612601,SAINT-JOSEPH-REUNION,,FR2016,FR,20051231,20051231,100,0,8240,,,,0,FR100000197412,
-21.327200,55.437300,SAINT-PIERRE-REUNION,,FR2016,FR,20001231,20001231,100,0,221052,,,,0,FR100000197416,
-21.282100,55.361100,ETANG-SALE,,FR2016,FR,20001231,20001231,100,0,20158,,,,0,FR100000197404,
-21.281600,55.382200,SAINT-LOUIS-Réunion,FR100000197414,FR2016,FR,20001231,20001231,100,0,62795,,,,0,FR100000197414,
-21.254200,55.471900,ENTRE-DEUX,,FR2016,FR,20051231,20051231,100,0,4500,,,,0,FR100000197403,
-21.191100,55.286700,SAINT-LEU,,FR2016,FR,20051231,20051231,100,0,9268,,,,0,FR100000197413,
-21.136830,55.471902,CILAOS-CILAOS,,FR2016,FR,20051231,20051231,100,0,2154,,,,0,FR100000197424,
-21.131230,55.790815,SAINTE-ROSE- REUNION,,FR2016,FR,20051231,20051231,100,0,419,,,,0,FR100000197419,
-21.044610,55.715987,SAINT-BENOIT- REUNION,,FR2016,FR,20001231,20001231,100,0,32292,,,,0,FR100000197410,
-21.015800,55.261300,SAINT-PAUL-ERMITAGE,,FR2016,FR,20001231,20001231,100,0,21205,,,,0,FR100000297415,
-21.015800,55.261300,SAINT-PAUL-VILLE,,FR2016,FR,20001231,20001231,100,0,23499,,,,0,FR100000197415,
-20.996200,55.698900,BRAS-PANON,,FR2016,FR,20001231,20001231,100,0,15728,,,,0,FR100000197402,
-20.925600,55.287200,PORT-LE PORT,,FR2016,FR,20001231,20001231,100,0,114030,,,,0,FR100000197407,
-20.924100,55.660600,SAINT-ANDRE-2012,,FR2016,FR,20001231,20001231,100,0,24217,,,,0,FR100000197409,
-20.910600,55.618500,SAINTE-SUZANNE- REUNION,,FR2016,FR,20001231,20001231,100,0,23267,,,,0,FR100000197420,
-20.885400,55.494900,SAINT-DENIS-Grand Prado,,FR2016,FR,20001231,20001231,100,0,134640,,,,0,FR100000197411,
3.741896,-52.131195,SAINT-GEORGES-DE-L'OYAPOCK,,FR2016,FR,20051231,20051231,100,0,2783,,,,0,FR090000197308,
4.829698,-54.269068,APATOU-099731700001,,FR2016,FR,20051231,20051231,100,0,5000,,,,0,FR090000197360,
4.830234,-52.343775,MATOURY-GIBELIN,,FR2016,FR,20051231,20051231,100,0,4631,,,,0,FR090000197307,
4.830234,-52.343775,MATOURY-CONCORDE,,FR2016,FR,20051231,20051231,100,0,2086,,,,0,FR090000397307,
4.830234,-52.343775,MATOURY- LAMIRANDE,,FR2016,FR,20051231,20051231,100,0,3118,,,,0,FR090000797307,
4.924325,-52.316003,CAYENNE,,FR2016,FR,20001231,20001231,100,0,72166,,,,0,FR090000597302,
4.940845,-52.765057,KOUROU,,FR2016,FR,20001231,20001231,100,0,35678,,,,0,FR090000197304,
4.978154,-52.505101,MACOURIA-Zac Soula,,FR2016,FR,20051231,20051231,100,0,2368,,,,0,FR090000397305,
4.978154,-52.505101,MACOURIA-Bourg,,FR2016,FR,20051231,20051231,100,0,2342,,,,0,FR090000297305,
5.238262,-53.012612,SINNAMARY,,FR2016,FR,20051231,20051231,100,0,2050,,,,0,FR090000197312,
5.493393,-54.032441,SAINT-LAURENT-DU-MARONI-FATIMA,,FR2016,FR,20051231,20051231,100,0,12000,,,,0,FR090000197311,
14.435088,-60.858409,SAINTE-ANNE,,FR2016,FR,20051231,20051231,100,0,4234,,,,0,FR080000197226,
14.482453,-60.861252,MARIN,,FR2016,FR,20051231,20051231,100,0,10328,,,,0,FR080000197217,
14.483846,-60.948319,SAINTE-LUCE,,FR2016,FR,20051231,20051231,100,0,12650,,,,0,FR080000197227,
14.487187,-61.024161,DIAMANT,,FR2016,FR,20051231,20051231,100,0,2660,,,,0,FR080000197206,
14.497515,-61.075747,ANSES-D'ARLET,,FR2016,FR,20051231,20051231,100,0,3540,,,,0,FR080000197202,
14.524363,-60.968446,RIVIERE-SALEE,,FR2016,FR,20051231,20051231,100,0,8078,,,,0,FR080000197221,
14.525911,-61.040515,TROIS-ILETS,,FR2016,FR,20001231,20001231,100,0,18800,,,,0,FR080000197231,
14.541958,-60.860120,VAUCLIN-Bourg,,FR2016,FR,20051231,20051231,100,0,7137,,,,0,FR080000197232,
14.557742,-60.925012,SAINT-ESPRIT,,FR2016,FR,20051231,20051231,100,0,4444,,,,0,FR080000197223,
14.576552,-60.971186,DUCOS,,FR2016,FR,20051231,20051231,100,0,14483,,,,0,FR080000197207,
14.604983,-60.908615,FRANCOIS,,FR2016,FR,20051231,20051231,100,0,7043,,,,0,FR080000197210,
14.623132,-60.997194,LAMENTIN-PELLETIER DESIRADE,,FR2016,FR,20051231,20051231,100,0,1730,,,,0,FR080000397213,
14.623132,-60.997194,LAMENTIN-GAIGNERON,,FR2016,FR,20001231,20001231,100,0,15626,,,,0,FR080000197213,
14.639102,-61.072604,FORT-DE-FRANCE,,FR2016,FR,20001231,20001231,100,0,118040,,,,0,FR080000197209,
14.644572,-61.103749,SCHOELCHER-FOND LAYAHE,,FR2016,FR,20051231,20051231,100,0,1605,,,,0,FR080000297229,
14.656935,-61.128824,CASE-PILOTE,,FR2016,FR,20051231,20051231,100,0,8370,,,,0,FR080000197205,
14.673837,-60.945198,ROBERT,,FR2016,FR,20001231,20001231,100,0,15316,,,,0,FR080000197222,
14.673837,-60.945198,ROBERT-VERT-PRE,,FR2016,FR,20051231,20051231,100,0,988,,,,0,FR080000297222,
14.674291,-61.150413,BELLEFONTAINE- MARTINIQUE,,FR2016,FR,20051231,20051231,100,0,1645,,,,0,FR080000197234,
14.674918,-61.047561,SAINT-JOSEPH-MARTINIQUE,,FR2016,FR,20051231,20051231,100,0,2772,,,,0,FR080000197224,
14.709323,-61.168251,CARBET-Bourg,,FR2016,FR,20051231,20051231,100,0,2515,,,,0,FR080000197204,
14.710595,-61.029643,GROS-MORNE-Bourg,,FR2016,FR,20051231,20051231,100,0,733,,,,0,FR080000197212,
14.736939,-60.953851,TRINITE-TARTANE,,FR2016,FR,20051231,20051231,100,0,1787,,,,0,FR080000297230,
14.736939,-60.953851,TRINITE-DESMARINIERES,,FR2016,FR,20051231,20051231,100,0,4450,,,,0,FR080000197230,
14.767533,-61.124076,MORNE-ROUGE-CHAZEAU,,FR2016,FR,20051231,20051231,100,0,525,,,,0,FR080000197218,
14.767721,-61.021130,SAINTE-MARIE,,FR2016,FR,20051231,20051231,100,0,4481,,,,0,FR080000197228,
14.773835,-61.176026,SAINT-PIERRE-MARTINIQUE,,FR2016,FR,20051231,20051231,100,0,2887,,,,0,FR080000197225,
14.779126,-61.054812,MARIGOT,,FR2016,FR,20051231,20051231,100,0,2398,,,,0,FR080000197216,
14.799869,-61.080164,LORRAIN,,FR2016,FR,20051231,20051231,100,0,3117,,,,0,FR080000197214,
14.839796,-61.127176,BASSE-POINTE,,FR2016,FR,20051231,20051231,100,0,1552,,,,0,FR080000197203,
15.908795,-61.290098,GRAND-BOURG--de-Marie-Galante,,FR2016,FR,20051231,20051231,100,0,2090,,,,0,FR070000197112,
15.993238,-61.643851,TROIS-RIVIERES-1,,FR2016,FR,20051231,20051231,100,0,1552,,,,0,FR070000197132,
15.996729,-61.682436,GOURBEYRE,,FR2016,FR,20051231,20051231,100,0,1350,,,,0,FR070000197109,
16.002952,-61.724638,BASSE-TERRE-1,,FR2016,FR,20051231,20051231,100,0,13230,,,,0,FR070000197105,
16.057899,-61.607795,CAPESTERRE-BELLE-EAU,,FR2016,FR,20051231,20051231,100,0,8260,,,,0,FR070000197107,
16.124372,-61.609932,GOYAVE,,FR2016,FR,20051231,20051231,100,0,5320,,,,0,FR070000197114,
16.146614,-61.750168,BOUILLANTE,,FR2016,FR,20051231,20051231,100,0,1660,,,,0,FR070000197106,
16.174389,-61.653429,PETIT-BOURG,,FR2016,FR,20051231,20051231,100,0,3600,,,,0,FR070000197118,
16.227862,-61.465707,GOSIER-bourg,,FR2016,FR,20051231,20051231,100,0,5425,,,,0,FR070000197113,
16.243986,-61.664644,LAMENTIN-1 bourg,,FR2016,FR,20051231,20051231,100,0,2424,,,,0,FR070000197115,
16.254616,-61.588242,BAIE-MAHAULT,,FR2016,FR,20051231,20051231,100,0,13720,,,,0,FR070000197103,
16.260061,-61.383417,SAINTE-ANNE-(971),,FR2016,FR,20051231,20051231,100,0,7800,,,,0,FR070000197128,
16.275495,-61.497858,ABYMES,,FR2016,FR,20001231,20001231,100,0,56820,,,,0,FR070000197101,
16.275684,-61.277007,SAINT-FRANCOIS,,FR2016,FR,20051231,20051231,100,0,6828,,,,0,FR070000197125,
16.296969,-61.705510,SAINTE-ROSE-GUADELOUPE,,FR2016,FR,20051231,20051231,100,0,2590,,,,0,FR070000197129,
16.323061,-61.367256,MOULE,,FR2016,FR,20051231,20051231,100,0,8128,,,,0,FR070000197117,
16.326830,-61.466070,MORNE-A-L'EAU,,FR2016,FR,20051231,20051231,100,0,6000,,,,0,FR070000197116,
16.428915,-61.492181,PORT-LOUIS,,FR2016,FR,20051231,20051231,100,0,2814,,,,0,FR070000197122,
18.085486,-63.058147,SAINT-MARTIN-Pointe des Canonniers,,FR2016,FR,20051231,20051231,100,0,12335,,,,0,FR070000197127,
18.085486,-63.058147,SAINT-MARTIN-Quartier d'Orléans,,FR2016,FR,20051231,20051231,100,0,9300,,,,0,FR070000297127,
27.758350,-15.680910,ARGUINEGUIN,,1,ES,20001231,20001231,100,0,15338,0,0,0,0,ES5350120003010,
27.764520,-15.583380,TABLERO (EL),,1,ES,20001231,20001231,100,0,57993,0,0,0,0,ES5350190033040,
27.766710,-15.554880,PLAYA DEL INGLES,,1,ES,20001231,20001231,100,0,90312,0,0,0,0,ES5350190027010,
27.778090,-15.699090,ANFIDELMAR,,1,ES,20051231,20051231,100,0,5532,0,0,0,0,ES5350120041010,
27.783080,-15.516940,BAHIA FELIZ,,1,ES,20051231,20051231,100,0,3061,0,0,0,0,ES5350190039010,
27.787530,-15.715230,PUERTO RICO,,1,ES,20051231,20051231,100,0,14687,0,0,0,0,ES5350120036010,
27.800030,-15.731650,PLAYA DEL CURA (LA),,1,ES,20051231,20051231,100,0,2600,0,0,0,0,ES5350120034010,
