Muni_ID,ID,Muni,barley,maize,oat,rice,rye,triticale,wheat,lemon,orange,other_citrus,tangerine,almonds,chestnut,locust,nuuts,other_dried_nuts,forage_maize,forage_mixture,forage_oat,forage_roots,forage_sorghum,apple,cherry,other_fresh_fruits,peach,pear,horticulture_extensive,horticulture_intensive,other_industry,sunflower,olive grove,perma_grassland,tempo_grassland,potato,bean,chickpea,other_pulses,vineyard,SUM
1601,1111601,Arcos de Valdevez,0,4123000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224000,14000,0,7000,0,0,0,0,0,0,0,14000,0,0,0,0,0,420000,308000,0,0,0,5110000
1602,1111602,Caminha,0,917000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000,21000,0,0,0,1008000
1603,1111603,Melgaço,0,826000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,3500,0,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,84000,42000,0,0,0,971250
1604,1111604,Monção,0,3696000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224000,189000,0,0,0,4375000
1605,1111605,Paredes de Coura,0,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308000,63000,0,0,0,3311000
1606,1111606,Ponte da Barca,0,1953000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000,0,0,0,0,0,0,0,0,0,0,63000,0,0,0,0,0,287000,196000,0,0,0,2541000
1607,1111607,Ponte de Lima,0,8708000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2478000,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,133000,294000,0,0,0,11634000
1608,1111608,Valença,0,2121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315000,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,91000,35000,0,0,0,2576000
1609,1111609,Viana do Castelo,0,2842000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141000,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,35000,21000,0,0,0,4060000
1610,1111610,Vila Nova de Cerveira,0,812000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,28000,0,0,0,1043000
301,1120301,Amares,0,2359000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574000,0,0,0,0,0,0,0,0,0,126000,35000,0,0,0,0,0,21000,28000,0,0,0,3143000
302,1120302,Barcelos,0,2765000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5929000,7000,0,3500,0,0,0,0,0,0,49000,56000,0,0,0,0,0,203000,49000,0,0,0,9061500
303,1120303,Braga,0,4914000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2926000,0,0,0,0,0,0,0,0,0,168000,105000,0,0,0,0,0,301000,28000,0,0,0,8442000
306,1120306,Esposende,0,364000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189000,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,14000,0,0,0,0,588000
310,1120310,Terras de Bouro,0,1596000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63000,24500,0,12250,0,0,0,0,0,0,0,14000,0,0,0,0,0,35000,105000,0,0,0,1849750
313,1120313,Vila Verde,0,6720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988000,14000,0,7000,0,0,0,0,0,0,14000,84000,0,0,0,0,0,399000,280000,0,0,0,9506000
307,1130307,Fafe,0,5068000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190000,0,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,420000,336000,0,0,0,7042000
308,1130308,Guimarães,0,6111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2541000,24500,0,12250,0,0,0,0,0,0,70000,476000,0,0,0,0,0,252000,84000,0,0,0,9570750
309,1130309,Póvoa de Lanhoso,0,3024000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197000,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,84000,84000,0,0,0,4396000
1314,1131314,Santo Tirso,0,1876000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155000,3500,0,1750,0,0,0,0,0,0,7000,70000,0,0,0,0,0,392000,42000,0,0,0,3547250
1318,1131318,Trofa,0,126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119000,0,0,0,0,0,0,0,0,0,14000,56000,0,0,0,0,0,49000,0,0,0,0,364000
311,1130311,Vieira do Minho,0,1743000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525000,3500,0,1750,0,0,0,0,0,0,0,7000,0,0,0,0,0,168000,154000,0,0,0,2602250
312,1130312,Vila Nova de Famalicão,0,1337000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239000,0,0,0,0,0,0,0,0,0,14000,21000,0,0,0,0,0,126000,7000,0,0,0,2744000
314,1130314,Vizela,0,938000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287000,0,0,0,0,0,0,0,0,0,0,42000,0,0,0,0,0,7000,0,0,0,0,1274000
107,1140107,Espinho,0,112000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,14000,7000,0,0,0,147000
1304,1141304,Gondomar,0,1757000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294000,0,0,0,0,0,0,0,0,0,35000,455000,0,0,0,0,0,714000,49000,0,0,0,3304000
1306,1141306,Maia,0,238000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203000,0,0,0,0,0,0,0,0,0,7000,77000,0,0,0,0,0,420000,0,0,0,0,945000
1308,1141308,Matosinhos,0,126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77000,0,0,0,0,0,0,0,0,0,7000,56000,0,0,0,0,0,126000,0,0,0,0,392000
1312,1141312,Porto,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,42000
1313,1141313,Póvoa de Varzim,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91000,0,0,0,0,133000
1315,1141315,Valongo,0,1197000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,84000,0,0,0,0,0,350000,7000,0,0,0,1666000
1316,1141316,Vila do Conde,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,21000,7000,0,0,0,0,0,7000,0,0,0,0,63000
