Muni_ID,ID,Muni,runoff_nha
1601,1111601,Arcos de Valdevez,4.62871658460118
1602,1111602,Caminha,2.62786661977014
1603,1111603,Melgaço,3.29208160054505
1604,1111604,Monção,4.29010521062509
1605,1111605,Paredes de Coura,6.72932781641523
1606,1111606,Ponte da Barca,2.57244250173613
1607,1111607,Ponte de Lima,5.875378634982
1608,1111608,Valença,5.37388548606676
1609,1111609,Viana do Castelo,1.90230040835422
1610,1111610,Vila Nova de Cerveira,7.65428680060731
301,1120301,Amares,8.70788522452491
302,1120302,Barcelos,4.88591533642149
303,1120303,Braga,6.93770291373297
306,1120306,Esposende,3.42732766087032
310,1120310,Terras de Bouro,3.26718776524986
313,1120313,Vila Verde,9.07614626192455
307,1130307,Fafe,13.7445239244601
308,1130308,Guimarães,8.62508606113277
309,1130309,Póvoa de Lanhoso,11.4375638762458
1314,1131314,Santo Tirso,5.9312445295047
1318,1131318,Trofa,4.92061366264992
311,1130311,Vieira do Minho,7.97673606318713
312,1130312,Vila Nova de Famalicão,4.13118921358942
314,1130314,Vizela,11.1447493029012
107,1140107,Espinho,1.08941631128373
1304,1141304,Gondomar,8.57621292601192
1306,1141306,Maia,1.76422594579997
1308,1141308,Matosinhos,2.67327248951421
1312,1141312,Porto,
1313,1141313,Póvoa de Varzim,3.48461724420892
1315,1141315,Valongo,4.01058261101271
1316,1141316,Vila do Conde,3.03165429416826
1317,1141317,Vila Nova de Gaia,6.02333918162749
1301,1151301,Amarante,13.4920552259178
1302,1151302,Baião,12.6821739976943
304,1150304,Cabeceiras de Basto,8.9006288491895
106,1150106,Castelo de Paiva,17.0604006267979
305,1150305,Celorico de Basto,16.5503306172454
1804,1151804,Cinfães,13.3356705260951
1303,1151303,Felgueiras,9.67227363234076
1305,1151305,Lousada,6.72736256601705
1307,1151307,Marco de Canaveses,12.3412080558864
1705,1151705,Mondim de Basto,6.75808146845004
1309,1151309,Paços de Ferreira,4.60993287664988
1310,1151310,Paredes,7.46893547924155
1311,1151311,Penafiel,8.60809549225346
1813,1151813,Resende,5.36980230458119
1709,1151709,Ribeira de Pena,14.7134505510898
104,1160104,Arouca,12.3301087552267
113,1160113,Oliveira de Azeméis,13.6640997269989
109,1160109,Santa Maria da Feira,5.95269158237261
116,1160116,São João da Madeira,
119,1160119,Vale de Cambra,15.1503847524928
1701,1171701,Alijó,2.14490940582682
1801,1171801,Armamar,2.52026441117549
403,1170403,Carrazeda de Ansiães,2.69195977378014
404,1170404,Freixo de Espada à Cinta,2.42407755385338
1805,1171805,Lamego,2.70497330476912
1704,1171704,Mesão Frio,0.394355087652456
1807,1171807,Moimenta da Beira,1.87335895764484
1812,1171812,Penedono,3.20766814351531
1708,1171708,Peso da Régua,2.49916054219507
1710,1171710,Sabrosa,2.64537662426439
1711,1171711,Santa Marta de Penaguião,2.84766410516142
1815,1171815,São João da Pesqueira,3.1678798161137
1818,1171818,Sernancelhe,1.6272554705793
1819,1171819,Tabuaço,3.51536788379043
1820,1171820,Tarouca,4.54805161335429
409,1170409,Torre de Moncorvo,2.49767744391993
410,1170410,Vila Flor,2.79285867588411
914,1170914,Vila Nova de Foz Côa,1.81700928431479
1714,1171714,Vila Real,3.50825851794977
401,1180401,Alfândega da Fé,3.32521532066094
1702,1181702,Boticas,2.51984405558874
402,1180402,Bragança,3.12856677196259
1703,1181703,Chaves,2.23440856672205
405,1180405,Macedo de Cavaleiros,3.02209702016053
406,1180406,Miranda do Douro,1.05774908482507
407,1180407,Mirandela,2.45911720590639
408,1180408,Mogadouro,3.00061593530832
1706,1181706,Montalegre,1.97090581453247
1707,1181707,Murça,2.13653090841586
1712,1181712,Valpaços,3.02282848416371
1713,1181713,Vila Pouca de Aguiar,2.48159377221138
411,1180411,Vimioso,2.33364169809747
412,1180412,Vinhais,5.0710623769046
101,1610101,Águeda,4.08942659700588
102,1610102,Albergaria-a-Velha,2.09558268973085
103,1610103,Anadia,0.798675848788067
105,1610105,Aveiro,0.392061426075702
108,1610108,Estarreja,1.23180022260474
110,1610110,Ílhavo,0
111,1610111,Mealhada,1.83660238669714
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,0.995501573942189
115,1610115,Ovar,0.568599943121067
117,1610117,Sever do Vouga,22.6149852148513
118,1610118,Vagos,0
602,1620602,Cantanhede,0.858649100951272
603,1620603,Coimbra,4.5600372775412
604,1620604,Condeixa-a-Nova,2.80375903096087
605,1620605,Figueira da Foz,1.30446282395069
608,1620608,Mira,0.0211318758977031
610,1620610,Montemor-o-Velho,1.93401970549975
613,1620613,Penacova,9.34085536984159
615,1620615,Soure,3.267970594763
1004,1631004,Batalha,6.94358343043238
1009,1631009,Leiria,7.63722955041967
1010,1631010,Marinha Grande,0.271685427046767
1015,1631015,Pombal,4.5583456622981
1016,1631016,Porto de Mós,2.85312738711706
1002,1641002,Alvaiázere,3.27201241466072
1003,1641003,Ansião,3.06221625480364
601,1640601,Arganil,7.7761044177792
1007,1641007,Castanheira de Pêra,5.66706700916389
1008,1641008,Figueiró dos Vinhos,5.70908386977377
606,1640606,Góis,5.28618807388229
607,1640607,Lousã,3.37436208940342
609,1640609,Miranda do Corvo,4.67896608657784
611,1640611,Oliveira do Hospital,5.01609697498423
612,1640612,Pampilhosa da Serra,10.109986264254
1013,1641013,Pedrógão Grande,5.48940721979741
614,1640614,Penela,3.66777491762192
616,1640616,Tábua,4.71952397072554
617,1640617,Vila Nova de Poiares,3.96577128873668
901,1650901,Aguiar da Beira,2.47498301638489
1802,1651802,Carregal do Sal,2.34223029959137
1803,1651803,Castro Daire,7.14591020669843
1806,1651806,Mangualde,3.02938693654053
1808,1651808,Mortágua,12.7323660483243
1809,1651809,Nelas,1.55140874779435
1810,1651810,Oliveira de Frades,21.5902793145086
1811,1651811,Penalva do Castelo,4.57677730424923
1814,1651814,Santa Comba Dão,7.20181281397319
1816,1651816,São Pedro do Sul,9.66163374316154
1817,1651817,Sátão,2.79153257440406
1821,1651821,Tondela,4.87885718845082
1822,1651822,Vila Nova de Paiva,2.67128139573754
1823,1651823,Viseu,3.18966808745562
1824,1651824,Vouzela,10.0868359930474
1413,1661413,Mação,3.62751069370264
506,1660506,Oleiros,4.22977466472578
508,1660508,Proença-a-Nova,4.71368875951078
509,1660509,Sertã,4.38930684786241
510,1660510,Vila de Rei,2.62445877341333
905,1670905,Fornos de Algodres,3.36399675005904
906,1670906,Gouveia,1.34446683043766
912,1670912,Seia,2.61888838449879
902,1680902,Almeida,0.30186520419758
903,1680903,Celorico da Beira,1.72264289445198
904,1680904,Figueira de Castelo Rodrigo,0.927871627372843
907,1680907,Guarda,1.26771449894666
908,1680908,Manteigas,2.236138622406
909,1680909,Mêda,1.83894182438803
