Muni_ID,ID,Muni,furrow,other_grav,aspersion,cannon,pivot,drip
1601,1111601,Arcos de Valdevez,32,4,5,0,0,0
1602,1111602,Caminha,4,1,1,0,0,0
1603,1111603,Melgaço,2,1,0,0,0,0
1604,1111604,Monção,38,1,0,0,0,0
1605,1111605,Paredes de Coura,200,4,1,0,0,0
1606,1111606,Ponte da Barca,6,0,14,0,0,0
1607,1111607,Ponte de Lima,354,8,238,39,0,0
1608,1111608,Valença,45,2,0,14,0,0
1609,1111609,Viana do Castelo,163,2,99,33,0,0
1610,1111610,Vila Nova de Cerveira,25,1,79,0,0,0
301,1120301,Amares,82,1,111,5,0,0
302,1120302,Barcelos,847,6,3978,1563,0,158
303,1120303,Braga,418,1,676,74,0,0
306,1120306,Esposende,27,0,486,80,0,4
310,1120310,Terras de Bouro,9,6,0,0,0,0
313,1120313,Vila Verde,284,13,348,20,0,0
307,1130307,Fafe,170,41,10,0,0,0
308,1130308,Guimarães,363,1,694,12,0,0
309,1130309,Póvoa de Lanhoso,171,4,113,0,0,0
1314,1131314,Santo Tirso,165,0,180,117,0,0
1318,1131318,Trofa,17,0,598,352,0,3
311,1130311,Vieira do Minho,75,2,29,0,0,0
312,1130312,Vila Nova de Famalicão,177,2,1562,927,0,4
314,1130314,Vizela,41,0,28,0,0,0
107,1140107,Espinho,1,0,0,0,0,0
1304,1141304,Gondomar,42,0,71,13,0,0
1306,1141306,Maia,29,0,834,198,0,0
1308,1141308,Matosinhos,11,0,737,56,0,0
1312,1141312,Porto,3,0,10,0,0,0
1313,1141313,Póvoa de Varzim,5,0,805,1163,0,66
1315,1141315,Valongo,4,1,112,0,0,0
1316,1141316,Vila do Conde,2,0,2058,2635,30,130
1317,1141317,Vila Nova de Gaia,54,1,40,0,0,0
1301,1151301,Amarante,175,2,29,1,0,26
1302,1151302,Baião,37,13,10,0,0,0
304,1150304,Cabeceiras de Basto,136,2,30,0,0,0
106,1150106,Castelo de Paiva,76,0,51,0,0,0
305,1150305,Celorico de Basto,204,19,41,9,0,0
1804,1151804,Cinfães,165,0,4,0,0,0
1303,1151303,Felgueiras,312,2,17,65,0,4
1305,1151305,Lousada,327,1,261,0,0,0
1307,1151307,Marco de Canaveses,58,2,9,9,0,0
1705,1151705,Mondim de Basto,76,0,3,12,0,0
1309,1151309,Paços de Ferreira,120,5,144,34,0,0
1310,1151310,Paredes,145,2,110,0,0,2
1311,1151311,Penafiel,57,0,133,27,0,0
1813,1151813,Resende,9,0,19,0,0,0
1709,1151709,Ribeira de Pena,228,0,42,0,0,0
104,1160104,Arouca,259,3,351,1,0,0
113,1160113,Oliveira de Azeméis,110,0,778,18,0,21
109,1160109,Santa Maria da Feira,83,0,155,9,0,0
116,1160116,São João da Madeira,0,0,0,0,0,0
119,1160119,Vale de Cambra,46,1,14,0,0,0
1701,1171701,Alijó,0,0,0,0,0,0
1801,1171801,Armamar,5,0,5,0,0,0
403,1170403,Carrazeda de Ansiães,0,0,1,0,0,0
404,1170404,Freixo de Espada à Cinta,0,0,0,0,0,0
1805,1171805,Lamego,16,0,2,0,0,0
1704,1171704,Mesão Frio,0,0,0,0,0,0
1807,1171807,Moimenta da Beira,65,1,137,2,0,24
1812,1171812,Penedono,5,0,26,2,0,0
1708,1171708,Peso da Régua,0,0,2,0,0,0
1710,1171710,Sabrosa,6,0,0,0,0,0
1711,1171711,Santa Marta de Penaguião,0,0,0,0,0,0
1815,1171815,São João da Pesqueira,1,0,4,0,0,0
1818,1171818,Sernancelhe,14,0,76,1,0,0
1819,1171819,Tabuaço,2,0,1,0,0,0
1820,1171820,Tarouca,16,0,42,0,0,0
409,1170409,Torre de Moncorvo,0,0,6,0,0,0
410,1170410,Vila Flor,1,0,1,0,0,0
914,1170914,Vila Nova de Foz Côa,10,0,0,0,0,0
1714,1171714,Vila Real,317,0,12,0,0,0
401,1180401,Alfândega da Fé,0,0,14,0,0,0
1702,1181702,Boticas,27,0,1,0,0,0
402,1180402,Bragança,24,0,134,0,1,0
1703,1181703,Chaves,442,0,125,42,0,0
405,1180405,Macedo de Cavaleiros,3,0,20,2,0,0
406,1180406,Miranda do Douro,2,0,24,0,0,0
407,1180407,Mirandela,14,0,4,8,0,0
408,1180408,Mogadouro,13,0,25,6,0,0
1706,1181706,Montalegre,131,0,72,10,0,0
1707,1181707,Murça,1,0,0,0,0,0
1712,1181712,Valpaços,51,0,18,0,6,0
