"Muni_ID","ID","Muni","potato","total"
1601,"1111601","Arcos de Valdevez",2044.95,2044.95
1602,"1111602","Caminha",451.79,451.79
1603,"1111603","Melgaço",665.8,665.8
1604,"1111604","Monção",1379.15,1379.15
1605,"1111605","Paredes de Coura",1616.94,1616.94
1606,"1111606","Ponte da Barca",1260.26,1260.26
1607,"1111607","Ponte de Lima",3733.22,3733.22
1608,"1111608","Valença",594.46,594.46
1609,"1111609","Viana do Castelo",3471.66,3471.66
1610,"1111610","Vila Nova de Cerveira",285.34,285.34
301,"1120301","Amares",118.89,118.89
302,"1120302","Barcelos",2449.19,2449.19
303,"1120303","Braga",1521.82,1521.82
306,"1120306","Esposende",1260.26,1260.26
310,"1120310","Terras de Bouro",190.23,190.23
313,"1120313","Vila Verde",2401.63,2401.63
307,"1130307","Fafe",2044.95,2044.95
308,"1130308","Guimarães",1521.82,1521.82
309,"1130309","Póvoa de Lanhoso",451.79,451.79
1314,"1131314","Santo Tirso",2187.62,2187.62
1318,"1131318","Trofa",951.14,951.14
311,"1130311","Vieira do Minho",784.69,784.69
312,"1130312","Vila Nova de Famalicão",951.14,951.14
314,"1130314","Vizela",23.78,23.78
107,"1140107","Espinho",71.34,71.34
1304,"1141304","Gondomar",3138.76,3138.76
1306,"1141306","Maia",3186.32,3186.32
1308,"1141308","Matosinhos",1141.37,1141.37
1312,"1141312","Porto",23.78,23.78
1313,"1141313","Póvoa de Varzim",808.47,808.47
1315,"1141315","Valongo",1545.6,1545.6
1316,"1141316","Vila do Conde",1783.39,1783.39
1317,"1141317","Vila Nova de Gaia",737.13,737.13
1301,"1151301","Amarante",927.36,927.36
1302,"1151302","Baião",332.9,332.9
304,"1150304","Cabeceiras de Basto",856.03,856.03
106,"1150106","Castelo de Paiva",190.23,190.23
305,"1150305","Celorico de Basto",475.57,475.57
1804,"1151804","Cinfães",1117.59,1117.59
1303,"1151303","Felgueiras",1260.26,1260.26
1305,"1151305","Lousada",737.13,737.13
1307,"1151307","Marco de Canaveses",404.23,404.23
1705,"1151705","Mondim de Basto",23.78,23.78
1309,"1151309","Paços de Ferreira",737.13,737.13
1310,"1151310","Paredes",2782.08,2782.08
1311,"1151311","Penafiel",1260.26,1260.26
1813,"1151813","Resende",1712.05,1712.05
1709,"1151709","Ribeira de Pena",142.67,142.67
104,"1160104","Arouca",546.91,546.91
113,"1160113","Oliveira de Azeméis",118.89,118.89
109,"1160109","Santa Maria da Feira",1117.59,1117.59
116,"1160116","São João da Madeira",0,0
119,"1160119","Vale de Cambra",0,0
1701,"1171701","Alijó",594.63,594.63
1801,"1171801","Armamar",1235,1235
403,"1170403","Carrazeda de Ansiães",3636.38,3636.38
404,"1170404","Freixo de Espada à Cinta",343.05,343.05
1805,"1171805","Lamego",1303.61,1303.61
1704,"1171704","Mesão Frio",0,0
1807,"1171807","Moimenta da Beira",3156.1,3156.1
1812,"1171812","Penedono",1509.44,1509.44
1708,"1171708","Peso da Régua",68.61,68.61
1710,"1171710","Sabrosa",640.37,640.37
1711,"1171711","Santa Marta de Penaguião",0,0
1815,"1171815","São João da Pesqueira",891.94,891.94
1818,"1171818","Sernancelhe",4642.67,4642.67
1819,"1171819","Tabuaço",3087.49,3087.49
1820,"1171820","Tarouca",891.94,891.94
409,"1170409","Torre de Moncorvo",1120.64,1120.64
410,"1170410","Vila Flor",365.92,365.92
914,"1170914","Vila Nova de Foz Côa",68.61,68.61
1714,"1171714","Vila Real",4939.98,4939.98
401,"1180401","Alfândega da Fé",68.61,68.61
1702,"1181702","Boticas",7592.94,7592.94
402,"1180402","Bragança",8553.49,8553.49
1703,"1181703","Chaves",35311.74,35311.74
405,"1180405","Macedo de Cavaleiros",1692.4,1692.4
406,"1180406","Miranda do Douro",3361.93,3361.93
407,"1180407","Mirandela",1852.49,1852.49
408,"1180408","Mogadouro",1875.36,1875.36
1706,"1181706","Montalegre",17312.82,17312.82
1707,"1181707","Murça",1463.7,1463.7
1712,"1181712","Valpaços",13745.05,13745.05
1713,"1181713","Vila Pouca de Aguiar",8164.7,8164.7
411,"1180411","Vimioso",2950.27,2950.27
412,"1180412","Vinhais",6083.5,6083.5
101,"1610101","Águeda",2061.96,2061.96
102,"1610102","Albergaria-a-Velha",1522.68,1522.68
103,"1610103","Anadia",7549.93,7549.93
105,"1610105","Aveiro",2728.13,2728.13
108,"1610108","Estarreja",126.89,126.89
110,"1610110","Ílhavo",2474.35,2474.35
111,"1610111","Mealhada",1776.45,1776.45
112,"1610112","Murtosa",31.72,31.72
114,"1610114","Oliveira do Bairro",4377.69,4377.69
115,"1610115","Ovar",63.44,63.44
117,"1610117","Sever do Vouga",380.67,380.67
118,"1610118","Vagos",9040.88,9040.88
602,"1620602","Cantanhede",7169.26,7169.26
603,"1620603","Coimbra",3362.57,3362.57
604,"1620604","Condeixa-a-Nova",888.23,888.23
605,"1620605","Figueira da Foz",824.78,824.78
608,"1620608","Mira",4345.97,4345.97
610,"1620610","Montemor-o-Velho",3552.91,3552.91
613,"1620613","Penacova",1681.29,1681.29
615,"1620615","Soure",697.89,697.89
1004,"1631004","Batalha",634.45,634.45
1009,"1631009","Leiria",1522.68,1522.68
1010,"1631010","Marinha Grande",63.44,63.44
1015,"1631015","Pombal",1776.45,1776.45
1016,"1631016","Porto de Mós",951.67,951.67
1002,"1641002","Alvaiázere",63.44,63.44
1003,"1641003","Ansião",0,0
601,"1640601","Arganil",317.22,317.22
1007,"1641007","Castanheira de Pêra",95.17,95.17
1008,"1641008","Figueiró dos Vinhos",634.45,634.45
606,"1640606","Góis",158.61,158.61
607,"1640607","Lousã",380.67,380.67
609,"1640609","Miranda do Corvo",348.95,348.95
611,"1640611","Oliveira do Hospital",3077.07,3077.07
612,"1640612","Pampilhosa da Serra",0,0
1013,"1641013","Pedrógão Grande",31.72,31.72
614,"1640614","Penela",380.67,380.67
616,"1640616","Tábua",1522.68,1522.68
617,"1640617","Vila Nova de Poiares",475.84,475.84
901,"1650901","Aguiar da Beira",6947.21,6947.21
1802,"1651802","Carregal do Sal",380.67,380.67
1803,"1651803","Castro Daire",1110.28,1110.28
1806,"1651806","Mangualde",3997.02,3997.02
1808,"1651808","Mortágua",1776.45,1776.45
1809,"1651809","Nelas",888.23,888.23
1810,"1651810","Oliveira de Frades",571,571
1811,"1651811","Penalva do Castelo",888.23,888.23
1814,"1651814","Santa Comba Dão",1427.51,1427.51
1816,"1651816","São Pedro do Sul",1776.45,1776.45
1817,"1651817","Sátão",1395.79,1395.79
1821,"1651821","Tondela",2220.57,2220.57
1822,"1651822","Vila Nova de Paiva",697.89,697.89
1823,"1651823","Viseu",4219.08,4219.08
1824,"1651824","Vouzela",317.22,317.22
1413,"1661413","Mação",0,0
506,"1660506","Oleiros",0,0
508,"1660508","Proença-a-Nova",0,0
509,"1660509","Sertã",329.81,329.81
510,"1660510","Vila de Rei",0,0
905,"1670905","Fornos de Algodres",1319.24,1319.24
906,"1670906","Gouveia",1710.89,1710.89
912,"1670912","Seia",1422.3,1422.3
902,"1680902","Almeida",803.91,803.91
903,"1680903","Celorico da Beira",2638.48,2638.48
904,"1680904","Figueira de Castelo Rodrigo",906.98,906.98
907,"1680907","Guarda",5854.12,5854.12
908,"1680908","Manteigas",20.61,20.61
909,"1680909","Mêda",556.55,556.55
910,"1680910","Pinhel",5421.25,5421.25
911,"1680911","Sabugal",3772.2,3772.2
913,"1680913","Trancoso",7008.45,7008.45
502,"1690502","Castelo Branco",329.81,329.81
505,"1690505","Idanha-a-Nova",803.91,803.91
507,"1690507","Penamacor",247.36,247.36
511,"1690511","Vila Velha de Ródão",0,0
501,"16A0501","Belmonte",412.26,412.26
503,"16A0503","Covilhã",1710.89,1710.89
504,"16A0504","Fundão",865.75,865.75
1001,"16B1001","Alcobaça",8735.06,8735.06
1101,"16B1101","Alenquer",2832.99,2832.99
1102,"16B1102","Arruda dos Vinhos",314.78,314.78
1005,"16B1005","Bombarral",2085.4,2085.4
1104,"16B1104","Cadaval",472.17,472.17
1006,"16B1006","Caldas da Rainha",2439.52,2439.52
1108,"16B1108","Lourinhã",35727.17,35727.17
1011,"16B1011","Nazaré",2242.78,2242.78
1012,"16B1012","Óbidos",3462.54,3462.54
1014,"16B1014","Peniche",3698.63,3698.63
1112,"16B1112","Sobral de Monte Agraço",865.64,865.64
1113,"16B1113","Torres Vedras",13417.36,13417.36
1401,"16C1401","Abrantes",786.94,786.94
1402,"16C1402","Alcanena",39.35,39.35
1408,"16C1408","Constância",0,0
1410,"16C1410","Entroncamento",0,0
1411,"16C1411","Ferreira do Zêzere",0,0
1421,"16C1421","Ourém",118.04,118.04
1417,"16C1417","Sardoal",39.35,39.35
1418,"16C1418","Tomar",196.74,196.74
1419,"16C1419","Torres Novas",786.94,786.94
1420,"16C1420","Vila Nova da Barquinha",0,0
1115,"1711115","Amadora",0,0
1105,"1711105","Cascais",0,0
1106,"1711106","Lisboa",0,0
1107,"1711107","Loures",118.04,118.04
1109,"1711109","Mafra",5902.07,5902.07
1116,"1711116","Odivelas",0,0
1110,"1711110","Oeiras",0,0
1111,"1711111","Sintra",2557.56,2557.56
1114,"1711114","Vila Franca de Xira",786.94,786.94
1502,"1721502","Alcochete",3187.12,3187.12
1503,"1721503","Almada",157.39,157.39
1504,"1721504","Barreiro",196.74,196.74
1506,"1721506","Moita",1298.45,1298.45
1507,"1721507","Montijo",20145.72,20145.72
1508,"1721508","Palmela",14676.47,14676.47
1510,"1721510","Seixal",0,0
1511,"1721511","Sesimbra",39.35,39.35
1512,"1721512","Setúbal",354.12,354.12
1501,"1811501","Alcácer do Sal",3568.33,3568.33
1505,"1811505","Grândola",672.72,672.72
211,"1810211","Odemira",3363.59,3363.59
1509,"1811509","Santiago do Cacém",146.24,146.24
1513,"1811513","Sines",292.49,292.49
1201,"1821201","Alter do Chão",29.25,29.25
1202,"1821202","Arronches",87.75,87.75
1203,"1821203","Avis",87.75,87.75
1204,"1821204","Campo Maior",0,0
1205,"1821205","Castelo de Vide",0,0
1206,"1821206","Crato",0,0
1207,"1821207","Elvas",614.22,614.22
1208,"1821208","Fronteira",0,0
1209,"1821209","Gavião",87.75,87.75
1210,"1821210","Marvão",380.23,380.23
1211,"1821211","Monforte",0,0
707,"1820707","Mora",29.25,29.25
1212,"1821212","Nisa",0,0
1213,"1821213","Ponte de Sor",58.5,58.5
1214,"1821214","Portalegre",233.99,233.99
701,"1830701","Alandroal",0,0
702,"1830702","Arraiolos",0,0
703,"1830703","Borba",29.25,29.25
704,"1830704","Estremoz",526.47,526.47
705,"1830705","Évora",233.99,233.99
706,"1830706","Montemor-o-Novo",29.25,29.25
708,"1830708","Mourão",0,0
709,"1830709","Portel",0,0
710,"1830710","Redondo",0,0
711,"1830711","Reguengos de Monsaraz",29.25,29.25
1215,"1831215","Sousel",0,0
712,"1830712","Vendas Novas",175.49,175.49
713,"1830713","Viana do Alentejo",29.25,29.25
714,"1830714","Vila Viçosa",29.25,29.25
201,"1840201","Aljustrel",0,0
202,"1840202","Almodôvar",0,0
203,"1840203","Alvito",29.25,29.25
204,"1840204","Barrancos",0,0
205,"1840205","Beja",29.25,29.25
206,"1840206","Castro Verde",0,0
207,"1840207","Cuba",0,0
208,"1840208","Ferreira do Alentejo",0,0
209,"1840209","Mértola",0,0
210,"1840210","Moura",29.25,29.25
212,"1840212","Ourique",0,0
213,"1840213","Serpa",29.25,29.25
214,"1840214","Vidigueira",0,0
1403,"1851403","Almeirim",16171.66,16171.66
1404,"1851404","Alpiarça",5154.47,5154.47
1103,"1851103","Azambuja",629.55,629.55
1405,"1851405","Benavente",10348.29,10348.29
1406,"1851406","Cartaxo",1337.8,1337.8
1407,"1851407","Chamusca",4446.22,4446.22
1409,"1851409","Coruche",8813.75,8813.75
1412,"1851412","Golegã",9561.35,9561.35
1414,"1851414","Rio Maior",196.74,196.74
1415,"1851415","Salvaterra de Magos",8577.67,8577.67
1416,"1851416","Santarém",5941.41,5941.41
801,"1500801","Albufeira",0,0
802,"1500802","Alcoutim",0,0
803,"1500803","Aljezur",1290.29,1290.29
804,"1500804","Castro Marim",61.44,61.44
805,"1500805","Faro",399.37,399.37
806,"1500806","Lagoa",61.44,61.44
807,"1500807","Lagos",307.21,307.21
808,"1500808","Loulé",30.72,30.72
809,"1500809","Monchique",1566.78,1566.78
810,"1500810","Olhão",153.61,153.61
811,"1500811","Portimão",215.05,215.05
812,"1500812","São Brás de Alportel",153.61,153.61
813,"1500813","Silves",491.54,491.54
814,"1500814","Tavira",307.21,307.21
815,"1500815","Vila do Bispo",30.72,30.72
816,"1500816","Vila Real de Santo António",184.33,184.33
