"Muni_ID","ID","Muni","bean","chickpea","other_pulses","total"
1601,"1111601","Arcos de Valdevez",6584.93,0,0,6584.93
1602,"1111602","Caminha",789.15,0,15.4,804.55
1603,"1111603","Melgaço",923.16,0,0,923.16
1604,"1111604","Monção",3949.47,0,23.1,3972.57
1605,"1111605","Paredes de Coura",1448.01,0,0,1448.01
1606,"1111606","Ponte da Barca",3688.9,0,15.4,3704.3
1607,"1111607","Ponte de Lima",9086.38,0,246.36,9332.74
1608,"1111608","Valença",658.86,0,15.4,674.26
1609,"1111609","Viana do Castelo",2765.74,0,65.44,2831.18
1610,"1111610","Vila Nova de Cerveira",1053.44,0,0,1053.44
301,"1120301","Amares",789.15,0,76.99,866.14
302,"1120302","Barcelos",1976.59,0,92.38,2068.97
303,"1120303","Braga",528.58,0,23.1,551.68
306,"1120306","Esposende",923.16,0,0,923.16
310,"1120310","Terras de Bouro",2240.88,0,15.4,2256.28
313,"1120313","Vila Verde",6190.35,0,130.88,6321.23
307,"1130307","Fafe",7374.07,0,0,7374.07
308,"1130308","Guimarães",2106.88,0,23.1,2129.98
309,"1130309","Póvoa de Lanhoso",2240.88,0,15.4,2256.28
1314,"1131314","Santo Tirso",1053.44,0,0,1053.44
1318,"1131318","Trofa",134.01,0,0,134.01
311,"1130311","Vieira do Minho",3949.47,0,0,3949.47
312,"1130312","Vila Nova de Famalicão",394.57,0,142.42,536.99
314,"1130314","Vizela",0,0,15.4,15.4
107,"1140107","Espinho",260.57,0,0,260.57
1304,"1141304","Gondomar",923.16,0,15.4,938.56
1306,"1141306","Maia",134.01,0,0,134.01
1308,"1141308","Matosinhos",0,0,0,0
1312,"1141312","Porto",0,0,0,0
1313,"1141313","Póvoa de Varzim",528.58,0,0,528.58
1315,"1141315","Valongo",134.01,0,0,134.01
1316,"1141316","Vila do Conde",134.01,0,0,134.01
1317,"1141317","Vila Nova de Gaia",1317.73,0,53.89,1371.62
1301,"1151301","Amarante",15410.74,0,23.1,15433.84
1302,"1151302","Baião",13430.42,0,0,13430.42
304,"1150304","Cabeceiras de Basto",2240.88,0,15.4,2256.28
106,"1150106","Castelo de Paiva",5006.63,0,23.1,5029.73
305,"1150305","Celorico de Basto",10139.82,0,15.4,10155.22
1804,"1151804","Cinfães",3294.32,0,0,3294.32
1303,"1151303","Felgueiras",2635.46,0,15.4,2650.86
1305,"1151305","Lousada",1448.01,0,15.4,1463.41
1307,"1151307","Marco de Canaveses",12775.28,0,15.4,12790.68
1705,"1151705","Mondim de Basto",5401.2,0,0,5401.2
1309,"1151309","Paços de Ferreira",1448.01,0,0,1448.01
1310,"1151310","Paredes",1578.3,0,23.1,1601.4
1311,"1151311","Penafiel",923.16,0,15.4,938.56
1813,"1151813","Resende",1183.72,0,0,1183.72
1709,"1151709","Ribeira de Pena",1712.3,0,0,1712.3
104,"1160104","Arouca",1053.44,0,0,1053.44
113,"1160113","Oliveira de Azeméis",260.57,0,15.4,275.97
109,"1160109","Santa Maria da Feira",2635.46,0,23.1,2658.56
116,"1160116","São João da Madeira",0,0,0,0
119,"1160119","Vale de Cambra",2765.74,0,0,2765.74
1701,"1171701","Alijó",465.34,0,0,465.34
1801,"1171801","Armamar",157.05,0,0,157.05
403,"1170403","Carrazeda de Ansiães",616.58,0,18.24,634.82
404,"1170404","Freixo de Espada à Cinta",157.05,0,0,157.05
1805,"1171805","Lamego",773.63,0,0,773.63
1704,"1171704","Mesão Frio",0,0,0,0
1807,"1171807","Moimenta da Beira",616.58,19.19,18.24,654.01
1812,"1171812","Penedono",157.05,0,0,157.05
1708,"1171708","Peso da Régua",308.29,0,0,308.29
1710,"1171710","Sabrosa",157.05,0,18.24,175.29
1711,"1171711","Santa Marta de Penaguião",0,0,0,0
1815,"1171815","São João da Pesqueira",0,0,0,0
1818,"1171818","Sernancelhe",2472.14,63.97,0,2536.11
1819,"1171819","Tabuaço",1698.51,19.19,0,1717.7
1820,"1171820","Tarouca",465.34,0,0,465.34
409,"1170409","Torre de Moncorvo",924.87,0,18.24,943.11
410,"1170410","Vila Flor",157.05,0,0,157.05
914,"1170914","Vila Nova de Foz Côa",0,0,30.39,30.39
1714,"1171714","Vila Real",4938.46,0,48.63,4987.09
401,"1180401","Alfândega da Fé",0,0,30.39,30.39
1702,"1181702","Boticas",0,0,0,0
402,"1180402","Bragança",616.58,51.18,91.18,758.94
1703,"1181703","Chaves",3088.72,31.99,60.79,3181.5
405,"1180405","Macedo de Cavaleiros",1233.16,83.16,109.42,1425.74
406,"1180406","Miranda do Douro",0,63.97,656.51,720.48
407,"1180407","Mirandela",1233.16,63.97,230.99,1528.12
408,"1180408","Mogadouro",1233.16,307.07,1276.55,2816.78
1706,"1181706","Montalegre",616.58,0,0,616.58
1707,"1181707","Murça",2006.8,0,0,2006.8
1712,"1181712","Valpaços",2623.38,19.19,48.63,2691.2
1713,"1181713","Vila Pouca de Aguiar",2006.8,0,0,2006.8
411,"1180411","Vimioso",1233.16,115.15,291.78,1640.09
412,"1180412","Vinhais",308.29,0,30.39,338.68
101,"1610101","Águeda",1331.39,0,49.22,1380.61
102,"1610102","Albergaria-a-Velha",1189.3,0,27.35,1216.65
103,"1610103","Anadia",589.39,0,180.48,769.87
105,"1610105","Aveiro",4741.42,0,60.16,4801.58
108,"1610108","Estarreja",447.3,0,60.16,507.46
110,"1610110","Ílhavo",447.3,0,0,447.3
111,"1610111","Mealhada",589.39,0,16.41,605.8
112,"1610112","Murtosa",152.61,0,0,152.61
114,"1610114","Oliveira do Bairro",889.35,0,27.35,916.7
115,"1610115","Ovar",294.69,0,0,294.69
117,"1610117","Sever do Vouga",1189.3,0,0,1189.3
118,"1610118","Vagos",2962.73,0,87.51,3050.24
602,"1620602","Cantanhede",5778.12,17.58,295.33,6091.03
603,"1620603","Coimbra",742,17.58,371.9,1131.48
604,"1620604","Condeixa-a-Nova",2373.34,17.58,224.23,2615.15
605,"1620605","Figueira da Foz",2962.73,0,224.23,3186.96
608,"1620608","Mira",1331.39,0,16.41,1347.8
610,"1620610","Montemor-o-Velho",3704.73,0,207.83,3912.56
613,"1620613","Penacova",2373.34,17.58,114.85,2505.77
615,"1620615","Soure",2226,17.58,284.39,2527.97
1004,"1631004","Batalha",889.35,17.58,103.91,1010.84
1009,"1631009","Leiria",6672.72,17.58,404.71,7095.01
1010,"1631010","Marinha Grande",152.61,0,16.41,169.02
1015,"1631015","Pombal",8151.46,152.37,1061.01,9364.84
1016,"1631016","Porto de Mós",1331.39,17.58,136.73,1485.7
1002,"1641002","Alvaiázere",589.39,17.58,164.07,771.04
1003,"1641003","Ansião",1036.69,46.88,596.13,1679.7
601,"1640601","Arganil",2073.39,0,0,2073.39
1007,"1641007","Castanheira de Pêra",152.61,0,0,152.61
1008,"1641008","Figueiró dos Vinhos",447.3,0,0,447.3
606,"1640606","Góis",294.69,0,27.35,322.04
607,"1640607","Lousã",742,0,76.57,818.57
609,"1640609","Miranda do Corvo",589.39,0,87.51,676.9
611,"1640611","Oliveira do Hospital",2962.73,29.3,27.35,3019.38
612,"1640612","Pampilhosa da Serra",0,0,0,0
1013,"1641013","Pedrógão Grande",0,0,0,0
614,"1640614","Penela",1036.69,0,103.91,1140.6
616,"1640616","Tábua",3410.04,46.88,224.23,3681.15
617,"1640617","Vila Nova de Poiares",589.39,0,27.35,616.74
901,"1650901","Aguiar da Beira",6820.07,29.3,207.83,7057.2
1802,"1651802","Carregal do Sal",1778.69,17.58,27.35,1823.62
1803,"1651803","Castro Daire",9188.15,0,16.41,9204.56
1806,"1651806","Mangualde",5636.03,152.37,60.16,5848.56
1808,"1651808","Mortágua",1926.04,0,27.35,1953.39
1809,"1651809","Nelas",2815.38,46.88,60.16,2922.42
1810,"1651810","Oliveira de Frades",6672.72,0,0,6672.72
1811,"1651811","Penalva do Castelo",4599.34,87.91,60.16,4747.41
1814,"1651814","Santa Comba Dão",2520.69,17.58,114.85,2653.12
1816,"1651816","São Pedro do Sul",11856.19,17.58,153.13,12026.9
1817,"1651817","Sátão",6672.72,87.91,180.48,6941.11
1821,"1651821","Tondela",11856.19,29.3,191.42,12076.91
1822,"1651822","Vila Nova de Paiva",1036.69,0,0,1036.69
1823,"1651823","Viseu",21344.29,169.95,295.33,21809.57
1824,"1651824","Vouzela",9046.07,17.58,27.35,9091
1413,"1661413","Mação",127.33,0,0,127.33
506,"1660506","Oleiros",127.33,0,0,127.33
