Muni_ID,ID,Muni,atmn,sludge,fertiliser,gross_manure,bnf,irrigation
1601,1111601,Arcos de Valdevez,2.4,0,24.6,46.4,3.9,0
1602,1111602,Caminha,1.1,0.93364,0.1,113.7,3.6,0
1603,1111603,Melga�o,1.6,0.07895,8.2,38.6,4.1,0
1604,1111604,Mon��o,2.3,0.14793,35.3,65.7,3.5,0
1605,1111605,Paredes de Coura,2.3,0.12649,62.5,70.1,2.7,0
1606,1111606,Ponte da Barca,3.8,0.06138,11.3,30,4.3,0
1607,1111607,Ponte de Lima,2.3,0.09438,63.5,91.7,2.2,0
1608,1111608,Valen�a,1.4,0.45803,72.8,99.9,2.2,0
1609,1111609,Viana do Castelo,1.5,0.72503,39.4,118.2,2.2,0
1610,1111610,Vila Nova de Cerveira,0.6,1.84651,74.4,137.9,3.3,0
301,1120301,Amares,1.9,0,25.8,227.2,0.8,0
302,1120302,Barcelos,2.2,0.73771,2.5,362.5,0.2,0
303,1120303,Braga,2,1.0899,87.3,156.7,0.4,0
306,1120306,Esposende,1.8,1.07743,38,281.4,0.2,0
310,1120310,Terras de Bouro,1.9,0.02123,17.5,24.1,4.4,0
313,1120313,Vila Verde,1.8,0.02291,102.5,116.8,2.3,0
307,1130307,Fafe,1.4,0.23247,126.2,118.6,1.9,0
308,1130308,Guimar�es,1.7,1.78351,77.8,188.6,0.5,0
309,1130309,P�voa de Lanhoso,1.6,0.02919,119.5,114.8,0.9,0
1314,1131314,Santo Tirso,1.5,7.57744,47.2,159.7,0.4,0
1318,1131318,Trofa,1.7,0,4.4,403,0.5,0
311,1130311,Vieira do Minho,1.4,0.00316,44.6,68.4,3,0
312,1130312,Vila Nova de Famalic�o,2.3,3.96137,1.9,248.6,0.1,0
314,1130314,Vizela,1.5,0,131.6,101.5,0.9,0
107,1140107,Espinho,0.2,46.60243,67.7,133.7,1.1,0
1304,1141304,Gondomar,1,2.46195,91.3,98.3,0.2,0
1306,1141306,Maia,1.7,4.57762,16.4,279,0.3,0
1308,1141308,Matosinhos,1.5,3.35177,14.1,371.7,0,0
1312,1141312,Porto,0,0,0,0,0,0
1313,1141313,P�voa de Varzim,2.6,0,49.9,475.1,0.1,0
1315,1141315,Valongo,0.9,17.42523,13.5,285,0.3,0
1316,1141316,Vila do Conde,2.7,0.0091,2,487,0,0
1317,1141317,Vila Nova de Gaia,0.6,19.60887,89,119.6,4.4,0
1301,1151301,Amarante,1.1,0.21967,117.3,75.5,1.9,0
1302,1151302,Bai�o,1.3,0,100.2,48,1.7,0
304,1150304,Cabeceiras de Basto,1.4,0,64,59.7,3,0
106,1150106,Castelo de Paiva,0.7,0,123.4,95.4,2.3,0
305,1150305,Celorico de Basto,1.2,0.08848,129.8,116.5,1.4,0
1804,1151804,Cinf�es,1.2,0,73.9,69.1,3.7,0
1303,1151303,Felgueiras,2.1,0.18584,93.8,109.9,0,0
1305,1151305,Lousada,2,0.11027,77.3,132.2,0.8,0
1307,1151307,Marco de Canaveses,1.3,0.55806,109.7,59.1,2.2,0
1705,1151705,Mondim de Basto,1.7,0,55.3,30.8,3.8,0
1309,1151309,Pa�os de Ferreira,1.4,1.64559,91,160.8,1,0
1310,1151310,Paredes,1.3,0,91.4,132.6,0.8,0
1311,1151311,Penafiel,1.3,0.80604,96.9,95.1,0.9,0
1813,1151813,Resende,2,0.05349,21,38.8,2,0
1709,1151709,Ribeira de Pena,0.8,0.00178,105.8,82,2.2,0
104,1160104,Arouca,0.8,0,47,168.6,1.8,0
113,1160113,Oliveira de Azem�is,0.7,0.30828,3.3,554.7,0.5,0
109,1160109,Santa Maria da Feira,0.5,0.00265,27,243.4,1,0
116,1160116,S�o Jo�o da Madeira,0,0,0,0,0,0
119,1160119,Vale de Cambra,0.7,0,69.5,200.9,3.6,0
1701,1171701,Alij�,1.5,0.01941,18.1,18.1,0.5,0
1801,1171801,Armamar,1.9,0.04037,28,6.7,0.1,0
403,1170403,Carrazeda de Ansi�es,1.2,0.00195,28.1,14.4,0.5,0
404,1170404,Freixo de Espada � Cinta,1.6,0,27.1,8.4,0.6,0
1805,1171805,Lamego,2,0.1002,18.3,15.1,1,0
1704,1171704,Mes�o Frio,2.5,0,2,6.1,0.6,0
1807,1171807,Moimenta da Beira,1.2,0.11693,4.2,89.6,1.2,0
1812,1171812,Penedono,1.3,0,57.2,22,1.1,0
1708,1171708,Peso da R�gua,2.3,0.34904,21.2,8,0.1,0
1710,1171710,Sabrosa,1.5,0.01886,16.1,23.9,0.7,0
1711,1171711,Santa Marta de Penagui�o,2.8,0,22.5,7.9,0.4,0
1815,1171815,S�o Jo�o da Pesqueira,2.2,0.02532,28.9,6,0.4,0
1818,1171818,Sernancelhe,1,0,32.3,30.4,1.4,0
1819,1171819,Tabua�o,1.6,0.02966,32.7,9.4,0.3,0
1820,1171820,Tarouca,1.1,0.19398,2.3,111.1,0.5,0
409,1170409,Torre de Moncorvo,1.5,0.07372,25.6,11.7,0.7,0
410,1170410,Vila Flor,1.8,0,39.8,10.2,0.3,0
914,1170914,Vila Nova de Foz C�a,1.9,0,21,5.6,1.1,0
1714,1171714,Vila Real,1.5,0.27404,16.2,46,2.9,0
401,1180401,Alf�ndega da F�,1.8,0,32,13.5,0.6,0.289362690152122
1702,1181702,Boticas,1.7,0,18.2,41.2,3.2,0.632772187471671
402,1180402,Bragan�a,1.9,0.02659,41.1,22.7,0.9,0.403727394128698
1703,1181703,Chaves,2.1,0.05796,28.1,39.8,1.2,0
405,1180405,Macedo de Cavaleiros,1.7,0.03211,45.7,19.5,0.8,0
406,1180406,Miranda do Douro,2.2,0,29.5,31.8,1.5,0
407,1180407,Mirandela,2,0.07094,36.9,17,0.4,0
408,1180408,Mogadouro,2.4,0,37.3,30.8,1,0
1706,1181706,Montalegre,2.3,0.0019,10,37.7,3.6,0
1707,1181707,Mur�a,1.2,0.03087,10.7,23.1,0.5,0
1712,1181712,Valpa�os,2.3,0.0091,46.5,20.9,0.7,0
1713,1181713,Vila Pouca de Aguiar,1.3,0,19.7,62.9,2.5,0
411,1180411,Vimioso,1.5,0.00031,35.9,23.4,1,0
412,1180412,Vinhais,1.6,0.00023,48.2,25.1,1.9,0
101,1610101,�gueda,0.5,0,25.8,231.8,1.1,0
102,1610102,Albergaria-a-Velha,0.9,0,1.1,281.1,1.6,0
103,1610103,Anadia,1.2,0.00011,26.5,81.9,1,0
105,1610105,Aveiro,0.8,2.21948,66,119.6,1.6,0.175820124052378
108,1610108,Estarreja,1.6,0,0.8,305,0.9,0
110,1610110,�lhavo,0.6,5.21448,30.6,297.9,3.7,2.60086909871245
111,1610111,Mealhada,1.1,0,4.5,225.5,0.7,2.53680587780356
112,1610112,Murtosa,1.1,0,12.1,262.8,0.4,0
114,1610114,Oliveira do Bairro,1.5,0.03181,45.4,92.6,0.7,0
115,1610115,Ovar,0.7,0.04566,3.3,466.4,0.5,2.10486315789474
117,1610117,Sever do Vouga,0.5,0,0.9,478.7,3.4,2.38834429824561
118,1610118,Vagos,1,0,23.9,268.2,0.9,0
602,1620602,Cantanhede,1,0,16,159.4,0.7,0.453558601134216
603,1620603,Coimbra,0.9,1.29671,118.7,48.1,1.2,1.33370609981516
604,1620604,Condeixa-a-Nova,1,0.19571,76.2,50.8,2.6,0
605,1620605,Figueira da Foz,0.7,0.49351,72,143.2,0.7,0.173544583640383
608,1620608,Mira,0.6,0,29.5,262.5,0.9,0
610,1620610,Montemor-o-Velho,1.7,0.00142,92,140.5,0.4,0
613,1620613,Penacova,0.3,0.14898,93.3,90.3,0.5,0
615,1620615,Soure,1.1,0.02833,104.1,42.8,2.3,0
1004,1631004,Batalha,0.9,0,3.6,286,1.1,0
1009,1631009,Leiria,0.6,0.93604,10,428.7,1.2,0
1010,1631010,Marinha Grande,0.1,0,5.2,439.5,1.7,0
1015,1631015,Pombal,0.6,0.26361,3.6,207,0.2,0
1016,1631016,Porto de M�s,1,0,0.5,148.5,3.8,0
1002,1641002,Alvai�zere,0.5,0,33.9,90.5,6.5,0
1003,1641003,Ansi�o,0.8,0.04549,33.7,119.3,5.3,0
601,1640601,Arganil,0.2,0,69.9,69.2,1.9,0
1007,1641007,Castanheira de P�ra,0,0,46.9,64.4,2.4,0
1008,1641008,Figueir� dos Vinhos,0.1,0,33.3,99.5,1.5,1.95864306784661
606,1640606,G�is,0.1,0,19.2,109.5,3.1,0
607,1640607,Lous�,0.2,0.06487,49.4,90.2,4.4,0
609,1640609,Miranda do Corvo,0.3,0,56.9,65.4,4,0
611,1640611,Oliveira do Hospital,0.9,0.07532,57.6,68.1,2.3,1.95730897803247
612,1640612,Pampilhosa da Serra,0,0,67.2,52.8,2.4,0
1013,1641013,Pedr�g�o Grande,0.2,0,98.4,56.8,1.7,1.57013029315961
614,1640614,Penela,0.6,0,64.4,43.5,7.1,0
616,1640616,T�bua,0.5,0,75.3,75.2,1.9,11.5286402139991
617,1640617,Vila Nova de Poiares,0.3,0,80,54,11.5,0
901,1650901,Aguiar da Beira,0.9,0,44.8,90.7,2.3,0
1802,1651802,Carregal do Sal,0.8,0,21.4,137.7,2.6,0
1803,1651803,Castro Daire,0.7,0,17.8,131.9,4,0
1806,1651806,Mangualde,1.2,0,56.2,67.3,2.1,0
1808,1651808,Mort�gua,0.3,0,0.9,457.1,3.3,0
1809,1651809,Nelas,1.2,0,39.4,52.9,1.2,0
1810,1651810,Oliveira de Frades,0.9,0,0.4,752.6,4.8,0
1811,1651811,Penalva do Castelo,1.3,0,69.4,40,2.2,0
1814,1651814,Santa Comba D�o,0.7,0.00902,2,429.9,4.1,0
1816,1651816,S�o Pedro do Sul,0.6,0.23622,19.2,223.4,4.2,0
1817,1651817,S�t�o,0.8,0,0.8,161.4,2.3,0
1821,1651821,Tondela,1,0.02056,1.3,269.2,3.3,0
1822,1651822,Vila Nova de Paiva,0.7,0,0.2,161.9,3,0
1823,1651823,Viseu,0.9,0.00449,21.7,116.8,3.1,0
1824,1651824,Vouzela,0.9,0,1.1,360.9,4.1,0
1413,1661413,Ma��o,0.3,0,32.3,54.1,0.4,0
506,1660506,Oleiros,0.2,0,27.4,37.5,0.1,0
508,1660508,Proen�a-a-Nova,0.4,0,47,40,0.1,0
509,1660509,Sert�,0.3,0,28.6,88.5,0.5,0
510,1660510,Vila de Rei,0.1,0,14.6,88.8,1.2,0
905,1670905,Fornos de Algodres,1.4,0,50.6,33.6,1.5,0
