"Muni_ID","ID","Muni","olive_grove"
1601,"1111601","Arcos de Valdevez",0
1602,"1111602","Caminha",22.48
1603,"1111603","Melgaço",0
1604,"1111604","Monção",0.78
1605,"1111605","Paredes de Coura",6.27
1606,"1111606","Ponte da Barca",14.76
1607,"1111607","Ponte de Lima",36.71
1608,"1111608","Valença",0
1609,"1111609","Viana do Castelo",116.73
1610,"1111610","Vila Nova de Cerveira",6.43
301,"1120301","Amares",0
302,"1120302","Barcelos",17.44
303,"1120303","Braga",21.18
306,"1120306","Esposende",2.29
310,"1120310","Terras de Bouro",1.12
313,"1120313","Vila Verde",0.87
307,"1130307","Fafe",0
308,"1130308","Guimarães",15.74
309,"1130309","Póvoa de Lanhoso",0.44
1314,"1131314","Santo Tirso",1.25
1318,"1131318","Trofa",0
311,"1130311","Vieira do Minho",0.44
312,"1130312","Vila Nova de Famalicão",7.09
314,"1130314","Vizela",0
107,"1140107","Espinho",3.62
1304,"1141304","Gondomar",13.14
1306,"1141306","Maia",0
1308,"1141308","Matosinhos",1.04
1312,"1141312","Porto",3.23
1313,"1141313","Póvoa de Varzim",0
1315,"1141315","Valongo",2.79
1316,"1141316","Vila do Conde",0
1317,"1141317","Vila Nova de Gaia",24.06
1301,"1151301","Amarante",56.35
1302,"1151302","Baião",0
304,"1150304","Cabeceiras de Basto",0
106,"1150106","Castelo de Paiva",0
305,"1150305","Celorico de Basto",13.25
1804,"1151804","Cinfães",0
1303,"1151303","Felgueiras",0.48
1305,"1151305","Lousada",0.25
1307,"1151307","Marco de Canaveses",37.07
1705,"1151705","Mondim de Basto",0
1309,"1151309","Paços de Ferreira",0
1310,"1151310","Paredes",1.35
1311,"1151311","Penafiel",0
1813,"1151813","Resende",9.25
1709,"1151709","Ribeira de Pena",0.21
104,"1160104","Arouca",136.33
113,"1160113","Oliveira de Azeméis",0
109,"1160109","Santa Maria da Feira",0
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",0
1701,"1171701","Alijó",59.43
1801,"1171801","Armamar",66.13
403,"1170403","Carrazeda de Ansiães",10.02
404,"1170404","Freixo de Espada à Cinta",0
1805,"1171805","Lamego",91.31
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",138.25
1812,"1171812","Penedono",0
1708,"1171708","Peso da Régua",215.3
1710,"1171710","Sabrosa",29.88
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",165.1
1818,"1171818","Sernancelhe",0
1819,"1171819","Tabuaço",93.05
1820,"1171820","Tarouca",195.96
409,"1170409","Torre de Moncorvo",1366.96
410,"1170410","Vila Flor",3.21
914,"1170914","Vila Nova de Foz Côa",665.14
1714,"1171714","Vila Real",791.42
401,"1180401","Alfândega da Fé",0
1702,"1181702","Boticas",0
402,"1180402","Bragança",469.14
1703,"1181703","Chaves",119.58
