Muni_ID,ID,Muni,tot_olive
1601,1111601,Arcos de Valdevez,11
1602,1111602,Caminha,5
1603,1111603,Melgaço,0
1604,1111604,Monção,1
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,10
1607,1111607,Ponte de Lima,50
1608,1111608,Valença,0
1609,1111609,Viana do Castelo,42
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,22
302,1120302,Barcelos,18
303,1120303,Braga,9
306,1120306,Esposende,2
310,1120310,Terras de Bouro,6
313,1120313,Vila Verde,11
307,1130307,Fafe,7
308,1130308,Guimarães,5
309,1130309,Póvoa de Lanhoso,36
1314,1131314,Santo Tirso,0
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,29
312,1130312,Vila Nova de Famalicão,0
314,1130314,Vizela,0
107,1140107,Espinho,0
1304,1141304,Gondomar,1
1306,1141306,Maia,0
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,0
1301,1151301,Amarante,140
1302,1151302,Baião,100
304,1150304,Cabeceiras de Basto,133
106,1150106,Castelo de Paiva,46
305,1150305,Celorico de Basto,99
1804,1151804,Cinfães,36
1303,1151303,Felgueiras,0
1305,1151305,Lousada,0
1307,1151307,Marco de Canaveses,63
1705,1151705,Mondim de Basto,31
1309,1151309,Paços de Ferreira,0
1310,1151310,Paredes,2
1311,1151311,Penafiel,10
1813,1151813,Resende,18
1709,1151709,Ribeira de Pena,95
104,1160104,Arouca,83
113,1160113,Oliveira de Azeméis,0
109,1160109,Santa Maria da Feira,0
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,2
1701,1171701,Alijó,1301
1801,1171801,Armamar,598
403,1170403,Carrazeda de Ansiães,1892
404,1170404,Freixo de Espada à Cinta,2815
1805,1171805,Lamego,201
1704,1171704,Mesão Frio,49
1807,1171807,Moimenta da Beira,159
1812,1171812,Penedono,281
1708,1171708,Peso da Régua,190
1710,1171710,Sabrosa,648
1711,1171711,Santa Marta de Penaguião,236
1815,1171815,São João da Pesqueira,2971
1818,1171818,Sernancelhe,221
1819,1171819,Tabuaço,1291
1820,1171820,Tarouca,193
409,1170409,Torre de Moncorvo,5720
410,1170410,Vila Flor,4866
914,1170914,Vila Nova de Foz Côa,4190
1714,1171714,Vila Real,449
401,1180401,Alfândega da Fé,5021
1702,1181702,Boticas,24
402,1180402,Bragança,2984
1703,1181703,Chaves,448
405,1180405,Macedo de Cavaleiros,8311
406,1180406,Miranda do Douro,601
407,1180407,Mirandela,12417
408,1180408,Mogadouro,5500
1706,1181706,Montalegre,6
1707,1181707,Murça,1106
1712,1181712,Valpaços,4993
1713,1181713,Vila Pouca de Aguiar,100
411,1180411,Vimioso,1732
412,1180412,Vinhais,774
101,1610101,Águeda,4
102,1610102,Albergaria-a-Velha,0
103,1610103,Anadia,83
105,1610105,Aveiro,0
108,1610108,Estarreja,0
110,1610110,Ílhavo,0
111,1610111,Mealhada,236
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,1
115,1610115,Ovar,0
117,1610117,Sever do Vouga,0
118,1610118,Vagos,0
602,1620602,Cantanhede,246
603,1620603,Coimbra,523
604,1620604,Condeixa-a-Nova,788
605,1620605,Figueira da Foz,14
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,110
613,1620613,Penacova,116
615,1620615,Soure,1381
1004,1631004,Batalha,331
1009,1631009,Leiria,722
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,1498
1016,1631016,Porto de Mós,2030
1002,1641002,Alvaiázere,1237
1003,1641003,Ansião,1837
601,1640601,Arganil,495
1007,1641007,Castanheira de Pêra,40
1008,1641008,Figueiró dos Vinhos,259
606,1640606,Góis,89
607,1640607,Lousã,66
609,1640609,Miranda do Corvo,252
611,1640611,Oliveira do Hospital,786
612,1640612,Pampilhosa da Serra,184
1013,1641013,Pedrógão Grande,500
614,1640614,Penela,795
616,1640616,Tábua,541
617,1640617,Vila Nova de Poiares,60
901,1650901,Aguiar da Beira,47
1802,1651802,Carregal do Sal,452
1803,1651803,Castro Daire,40
1806,1651806,Mangualde,195
1808,1651808,Mortágua,24
1809,1651809,Nelas,311
1810,1651810,Oliveira de Frades,11
1811,1651811,Penalva do Castelo,296
1814,1651814,Santa Comba Dão,67
1816,1651816,São Pedro do Sul,68
1817,1651817,Sátão,86
1821,1651821,Tondela,128
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,614
1824,1651824,Vouzela,24
1413,1661413,Mação,1962
506,1660506,Oleiros,1928
508,1660508,Proença-a-Nova,2973
509,1660509,Sertã,2568
510,1660510,Vila de Rei,366
905,1670905,Fornos de Algodres,450
906,1670906,Gouveia,1063
912,1670912,Seia,1801
902,1680902,Almeida,251
903,1680903,Celorico da Beira,1063
904,1680904,Figueira de Castelo Rodrigo,4554
907,1680907,Guarda,799
908,1680908,Manteigas,23
909,1680909,Mêda,1818
910,1680910,Pinhel,2119
911,1680911,Sabugal,413
913,1680913,Trancoso,1088
502,1690502,Castelo Branco,12022
505,1690505,Idanha-a-Nova,8065
507,1690507,Penamacor,3455
511,1690511,Vila Velha de Ródão,4021
501,16A0501,Belmonte,412
503,16A0503,Covilhã,1550
504,16A0504,Fundão,5560
1001,16B1001,Alcobaça,495
1101,16B1101,Alenquer,82
1102,16B1102,Arruda dos Vinhos,12
1005,16B1005,Bombarral,3
1104,16B1104,Cadaval,37
1006,16B1006,Caldas da Rainha,56
1108,16B1108,Lourinhã,2
1011,16B1011,Nazaré,0
1012,16B1012,Óbidos,5
1014,16B1014,Peniche,0
1112,16B1112,Sobral de Monte Agraço,21
1113,16B1113,Torres Vedras,6
1401,16C1401,Abrantes,7008
1402,16C1402,Alcanena,2719
1408,16C1408,Constância,716
1410,16C1410,Entroncamento,28
1411,16C1411,Ferreira do Zêzere,1719
1421,16C1421,Ourém,3012
1417,16C1417,Sardoal,1046
1418,16C1418,Tomar,2961
1419,16C1419,Torres Novas,4142
1420,16C1420,Vila Nova da Barquinha,189
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,130
1109,1711109,Mafra,7
1116,1711116,Odivelas,8
1110,1711110,Oeiras,2
1111,1711111,Sintra,32
1114,1711114,Vila Franca de Xira,69
1502,1721502,Alcochete,1
1503,1721503,Almada,9
1504,1721504,Barreiro,0
1506,1721506,Moita,8
1507,1721507,Montijo,84
1508,1721508,Palmela,131
1510,1721510,Seixal,1
1511,1721511,Sesimbra,8
1512,1721512,Setúbal,132
1501,1811501,Alcácer do Sal,2484
1505,1811505,Grândola,758
211,1810211,Odemira,1013
1509,1811509,Santiago do Cacém,991
1513,1811513,Sines,7
1201,1821201,Alter do Chão,3170
1202,1821202,Arronches,1947
1203,1821203,Avis,5101
1204,1821204,Campo Maior,4591
1205,1821205,Castelo de Vide,1817
1206,1821206,Crato,2660
1207,1821207,Elvas,4650
1208,1821208,Fronteira,3271
1209,1821209,Gavião,2516
1210,1821210,Marvão,1749
1211,1821211,Monforte,1686
707,1820707,Mora,1338
1212,1821212,Nisa,5320
1213,1821213,Ponte de Sor,2945
1214,1821214,Portalegre,4657
701,1830701,Alandroal,2742
702,1830702,Arraiolos,1391
703,1830703,Borba,1278
704,1830704,Estremoz,5121
705,1830705,Évora,3248
706,1830706,Montemor-o-Novo,2627
708,1830708,Mourão,1770
709,1830709,Portel,4097
710,1830710,Redondo,2613
711,1830711,Reguengos de Monsaraz,2667
1215,1831215,Sousel,4999
712,1830712,Vendas Novas,157
713,1830713,Viana do Alentejo,1092
714,1830714,Vila Viçosa,1217
201,1840201,Aljustrel,750
202,1840202,Almodôvar,593
203,1840203,Alvito,1486
204,1840204,Barrancos,912
