Muni_ID,Muni,Full_ID,springs_NO3
801,ALBUFEIRA,1500801,ND
802,ALCOUTIM,1500802,ND
803,ALJEZUR,1500803,ND
804,CASTRO MARIM,1500804,ND
805,FARO,1500805,ND
806,LAGOA,1500806,ND
807,LAGOS,1500807,ND
808,LOULÉ,1500808,ND
809,MONCHIQUE,1500809,ND
810,OLHÃO,1500810,ND
811,PORTIMÃO,1500811,ND
812,SÃO BRÁS DE ALPORTEL,1500812,ND
813,SILVES,1500813,ND
814,TAVIRA,1500814,ND
815,VILA DO BISPO,1500815,ND
816,VILA REAL DE SANTO ANTÓNIO,1500816,ND
101,ÁGUEDA,1610101,ND
102,ALBERGARIA-A-VELHA,1610102,ND
103,ANADIA,1610103,ND
105,AVEIRO,1610105,ND
108,ESTARREJA,1610108,ND
110,ÍLHAVO,1610110,ND
111,MEALHADA,1610111,ND
112,MURTOSA,1610112,ND
114,OLIVEIRA DO BAIRRO,1610114,ND
115,OVAR,1610115,ND
117,SEVER DO VOUGA,1610117,ND
118,VAGOS,1610118,ND
602,CANTANHEDE,1620602,ND
603,COIMBRA,1620603,ND
604,CONDEIXA-A-NOVA,1620604,ND
605,FIGUEIRA DA FOZ,1620605,ND
608,MIRA,1620608,ND
610,MONTEMOR-O-VELHO,1620610,ND
613,PENACOVA,1620613,ND
615,SOURE,1620615,ND
1004,BATALHA,1631004,ND
1009,LEIRIA,1631009,ND
1010,MARINHA GRANDE,1631010,ND
1015,POMBAL,1631015,ND
1016,PORTO DE MÓS,1631016,ND
601,ARGANIL,1640601,ND
606,GÓIS,1640606,ND
607,LOUSÃ,1640607,ND
609,MIRANDA DO CORVO,1640609,ND
611,OLIVEIRA DO HOSPITAL,1640611,ND
612,PAMPILHOSA DA SERRA,1640612,ND
614,PENELA,1640614,ND
616,TÁBUA,1640616,ND
617,VILA NOVA DE POIARES,1640617,ND
1002,ALVAIÁZERE,1641002,ND
1003,ANSIÃO,1641003,ND
1007,CASTANHEIRA DE PÊRA,1641007,ND
1008,FIGUEIRÓ DOS VINHOS,1641008,ND
1013,PEDRÓGÃO GRANDE,1641013,ND
901,AGUIAR DA BEIRA,1650901,ND
1802,CARREGAL DO SAL,1651802,ND
1803,CASTRO DAIRE,1651803,ND
1806,MANGUALDE,1651806,ND
1808,MORTÁGUA,1651808,ND
1809,NELAS,1651809,ND
1810,OLIVEIRA DE FRADES,1651810,ND
1811,PENALVA DO CASTELO,1651811,ND
1814,SANTA COMBA DÃO,1651814,ND
1816,SÃO PEDRO DO SUL,1651816,ND
1817,SÁTÃO,1651817,ND
1821,TONDELA,1651821,ND
1822,VILA NOVA DE PAIVA,1651822,ND
1823,VISEU,1651823,ND
1824,VOUZELA,1651824,ND
506,OLEIROS,1660506,ND
508,PROENÇA-A-NOVA,1660508,ND
509,SERTÃ,1660509,ND
510,VILA DE REI,1660510,ND
1413,MAÇÃO,1661413,ND
905,FORNOS DE ALGODRES,1670905,ND
906,GOUVEIA,1670906,ND
912,SEIA,1670912,ND
902,ALMEIDA,1680902,ND
903,CELORICO DA BEIRA,1680903,ND
904,FIGUEIRA DE CASTELO RODRIGO,1680904,ND
907,GUARDA,1680907,ND
908,MANTEIGAS,1680908,ND
909,Mêda,1680909,ND
910,PINHEL,1680910,ND
911,SABUGAL,1680911,ND
913,TRANCOSO,1680913,ND
502,CASTELO BRANCO,1690502,ND
505,IDANHA-A-NOVA,1690505,ND
507,PENAMACOR,1690507,ND
511,VILA VELHA DE RÓDÃO,1690511,ND
1105,CASCAIS,1711105,ND
1106,LISBOA,1711106,ND
1107,LOURES,1711107,ND
1109,MAFRA,1711109,ND
1110,OEIRAS,1711110,ND
1111,SINTRA,1711111,ND
1114,VILA FRANCA DE XIRA,1711114,ND
1115,AMADORA,1711115,ND
1116,ODIVELAS,1711116,ND
1502,ALCOCHETE,1721502,ND
1503,ALMADA,1721503,ND
1504,BARREIRO,1721504,ND
1506,MOITA,1721506,ND
1507,MONTIJO,1721507,ND
1508,PALMELA,1721508,ND
1510,SEIXAL,1721510,ND
1511,SESIMBRA,1721511,ND
1512,SETÚBAL,1721512,ND
211,ODEMIRA,1810211,ND
1501,ALCÁCER DO SAL,1811501,ND
1505,GRÂNDOLA,1811505,ND
1509,SANTIAGO DO CACÉM,1811509,ND
1513,SINES,1811513,ND
707,MORA,1820707,ND
1201,ALTER DO CHÃO,1821201,ND
1202,ARRONCHES,1821202,ND
1203,AVIS,1821203,ND
1204,CAMPO MAIOR,1821204,ND
1205,CASTELO DE VIDE,1821205,ND
1206,CRATO,1821206,ND
1207,ELVAS,1821207,ND
1208,FRONTEIRA,1821208,ND
1209,GAVIÃO,1821209,ND
1210,MARVÃO,1821210,ND
1211,MONFORTE,1821211,ND
1212,NISA,1821212,7.5
1213,PONTE DE SOR,1821213,ND
1214,PORTALEGRE,1821214,ND
701,ALANDROAL,1830701,ND
702,ARRAIOLOS,1830702,ND
703,BORBA,1830703,ND
704,ESTREMOZ,1830704,ND
705,ÉVORA,1830705,ND
706,MONTEMOR-O-NOVO,1830706,ND
708,MOURÃO,1830708,ND
709,PORTEL,1830709,ND
710,REDONDO,1830710,ND
711,REGUENGOS DE MONSARAZ,1830711,ND
712,VENDAS NOVAS,1830712,ND
713,VIANA DO ALENTEJO,1830713,ND
714,VILA VIÇOSA,1830714,ND
1215,SOUSEL,1831215,ND
201,ALJUSTREL,1840201,ND
202,ALMODÔVAR,1840202,ND
203,ALVITO,1840203,ND
204,BARRANCOS,1840204,ND
205,BEJA,1840205,ND
206,CASTRO VERDE,1840206,ND
207,CUBA,1840207,ND
208,FERREIRA DO ALENTEJO,1840208,ND
209,MÉRTOLA,1840209,ND
210,MOURA,1840210,ND
212,OURIQUE,1840212,ND
213,SERPA,1840213,ND
214,VIDIGUEIRA,1840214,ND
1103,AZAMBUJA,1851103,ND
1403,ALMEIRIM,1851403,ND
1404,ALPIARÇA,1851404,ND
1405,BENAVENTE,1851405,ND
1406,CARTAXO,1851406,ND
1407,CHAMUSCA,1851407,ND
1409,CORUCHE,1851409,ND
1412,GOLEGÃ,1851412,ND
1414,RIO MAIOR,1851414,ND
1415,SALVATERRA DE MAGOS,1851415,ND
1416,SANTARÉM,1851416,ND
501,BELMONTE,16A0501,ND
503,COVILHÃ,16A0503,ND
504,FUNDÃO,16A0504,ND
1001,ALCOBAÇA,16B1001,ND
1005,BOMBARRAL,16B1005,ND
1006,CALDAS DA RAINHA,16B1006,ND
1011,NAZARÉ,16B1011,ND
1012,ÓBIDOS,16B1012,ND
1014,PENICHE,16B1014,ND
1101,ALENQUER,16B1101,ND
1102,ARRUDA DOS VINHOS,16B1102,ND
1104,CADAVAL,16B1104,ND
1108,LOURINHÃ,16B1108,ND
1112,SOBRAL DE MONTE AGRAÇO,16B1112,ND
1113,TORRES VEDRAS,16B1113,ND
1401,ABRANTES,16C1401,ND
1402,ALCANENA,16C1402,ND
1408,CONSTÂNCIA,16C1408,ND
1410,ENTRONCAMENTO,16C1410,ND
1411,FERREIRA DO ZÊZERE,16C1411,ND
1417,SARDOAL,16C1417,0.97
1418,TOMAR,16C1418,ND
1419,TORRES NOVAS,16C1419,ND
1420,VILA NOVA DA BARQUINHA,16C1420,ND
1421,OURÉM,16C1421,ND
