Muni_ID,ID,Muni,tot_otherpulses
1601,1111601,Arcos de Valdevez,0
1602,1111602,Caminha,1
1603,1111603,Melgaço,0
1604,1111604,Monção,2
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,1
1607,1111607,Ponte de Lima,19
1608,1111608,Valença,1
1609,1111609,Viana do Castelo,5
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,6
302,1120302,Barcelos,7
303,1120303,Braga,2
306,1120306,Esposende,0
310,1120310,Terras de Bouro,1
313,1120313,Vila Verde,10
307,1130307,Fafe,0
308,1130308,Guimarães,2
309,1130309,Póvoa de Lanhoso,1
1314,1131314,Santo Tirso,0
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,0
312,1130312,Vila Nova de Famalicão,11
314,1130314,Vizela,1
107,1140107,Espinho,0
1304,1141304,Gondomar,1
1306,1141306,Maia,0
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,4
1301,1151301,Amarante,2
1302,1151302,Baião,0
304,1150304,Cabeceiras de Basto,1
106,1150106,Castelo de Paiva,2
305,1150305,Celorico de Basto,1
1804,1151804,Cinfães,0
1303,1151303,Felgueiras,1
1305,1151305,Lousada,1
1307,1151307,Marco de Canaveses,1
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,0
1310,1151310,Paredes,2
1311,1151311,Penafiel,1
1813,1151813,Resende,0
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,0
113,1160113,Oliveira de Azeméis,1
109,1160109,Santa Maria da Feira,2
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,0
1801,1171801,Armamar,0
403,1170403,Carrazeda de Ansiães,1
404,1170404,Freixo de Espada à Cinta,0
1805,1171805,Lamego,0
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,1
1812,1171812,Penedono,0
1708,1171708,Peso da Régua,0
1710,1171710,Sabrosa,1
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,0
1818,1171818,Sernancelhe,0
1819,1171819,Tabuaço,0
1820,1171820,Tarouca,0
409,1170409,Torre de Moncorvo,1
410,1170410,Vila Flor,0
914,1170914,Vila Nova de Foz Côa,2
1714,1171714,Vila Real,3
401,1180401,Alfândega da Fé,2
1702,1181702,Boticas,0
402,1180402,Bragança,6
1703,1181703,Chaves,4
405,1180405,Macedo de Cavaleiros,7
406,1180406,Miranda do Douro,42
407,1180407,Mirandela,15
408,1180408,Mogadouro,82
1706,1181706,Montalegre,0
1707,1181707,Murça,0
1712,1181712,Valpaços,3
1713,1181713,Vila Pouca de Aguiar,0
411,1180411,Vimioso,19
412,1180412,Vinhais,2
101,1610101,Águeda,3
102,1610102,Albergaria-a-Velha,2
103,1610103,Anadia,12
105,1610105,Aveiro,4
108,1610108,Estarreja,4
110,1610110,Ílhavo,0
111,1610111,Mealhada,1
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,2
115,1610115,Ovar,0
117,1610117,Sever do Vouga,0
118,1610118,Vagos,6
602,1620602,Cantanhede,20
603,1620603,Coimbra,25
604,1620604,Condeixa-a-Nova,15
605,1620605,Figueira da Foz,15
608,1620608,Mira,1
610,1620610,Montemor-o-Velho,14
613,1620613,Penacova,8
615,1620615,Soure,19
1004,1631004,Batalha,7
1009,1631009,Leiria,27
1010,1631010,Marinha Grande,1
1015,1631015,Pombal,71
1016,1631016,Porto de Mós,9
1002,1641002,Alvaiázere,11
1003,1641003,Ansião,40
601,1640601,Arganil,0
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,0
606,1640606,Góis,2
607,1640607,Lousã,5
609,1640609,Miranda do Corvo,6
611,1640611,Oliveira do Hospital,2
612,1640612,Pampilhosa da Serra,0
1013,1641013,Pedrógão Grande,0
614,1640614,Penela,7
616,1640616,Tábua,15
617,1640617,Vila Nova de Poiares,2
901,1650901,Aguiar da Beira,14
1802,1651802,Carregal do Sal,2
1803,1651803,Castro Daire,1
1806,1651806,Mangualde,4
1808,1651808,Mortágua,2
1809,1651809,Nelas,4
1810,1651810,Oliveira de Frades,0
1811,1651811,Penalva do Castelo,4
1814,1651814,Santa Comba Dão,8
1816,1651816,São Pedro do Sul,10
1817,1651817,Sátão,12
1821,1651821,Tondela,13
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,20
1824,1651824,Vouzela,2
1413,1661413,Mação,0
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,1
509,1660509,Sertã,1
