Muni_ID,ID,Muni,sludge
1601,1111601,Arcos de Valdevez,0
1602,1111602,Caminha,2096.0218
1603,1111603,Melgaço,497.0692
1604,1111604,Monção,1036.9893
1605,1111605,Paredes de Coura,552.88779
1606,1111606,Ponte da Barca,661.92192
1607,1111607,Ponte de Lima,1012.88616
1608,1111608,Valença,956.36664
1609,1111609,Viana do Castelo,5154.9633
1610,1111610,Vila Nova de Cerveira,1778.18913
301,1120301,Amares,0
302,1120302,Barcelos,9025.88185
303,1120303,Braga,5503.995
306,1120306,Esposende,2825.02146
310,1120310,Terras de Bouro,179.69072
313,1120313,Vila Verde,134.4817
307,1130307,Fafe,1087.26219
308,1130308,Guimarães,9784.33586
309,1130309,Póvoa de Lanhoso,81.4401
1314,1131314,Santo Tirso,20155.9904
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,15.50928
312,1130312,Vila Nova de Famalicão,25273.5406
314,1130314,Vizela,0
107,1140107,Espinho,2469.92879
1304,1141304,Gondomar,3848.02785
1306,1141306,Maia,8129.85312
1308,1141308,Matosinhos,4109.27002
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,13539.40371
1316,1141316,Vila do Conde,54.9549
1317,1141317,Vila Nova de Gaia,26138.62371
1301,1151301,Amarante,1271.23029
1302,1151302,Baião,0
304,1150304,Cabeceiras de Basto,0
106,1150106,Castelo de Paiva,0
305,1150305,Celorico de Basto,323.21744
1804,1151804,Cinfães,0
1303,1151303,Felgueiras,685.19208
1305,1151305,Lousada,314.15923
1307,1151307,Marco de Canaveses,2327.1102
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,2249.52153
1310,1151310,Paredes,0
1311,1151311,Penafiel,3159.6768
1813,1151813,Resende,228.61626
1709,1151709,Ribeira de Pena,5.7227
104,1160104,Arouca,0
113,1160113,Oliveira de Azeméis,602.6874
109,1160109,Santa Maria da Feira,4.52885
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,178.97961
1801,1171801,Armamar,180.97871
403,1170403,Carrazeda de Ansiães,15.49665
404,1170404,Freixo de Espada à Cinta,0
1805,1171805,Lamego,617.3322
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,654.45721
1812,1171812,Penedono,0
1708,1171708,Peso da Régua,1450.2612
1710,1171710,Sabrosa,89.26438
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,319.9182
1818,1171818,Sernancelhe,0
1819,1171819,Tabuaço,133.85558
1820,1171820,Tarouca,424.04028
409,1170409,Torre de Moncorvo,1265.62496
410,1170410,Vila Flor,0
914,1170914,Vila Nova de Foz Côa,0
1714,1171714,Vila Real,3039.92572
401,1180401,Alfândega da Fé,0
1702,1181702,Boticas,0
402,1180402,Bragança,1174.77279
1703,1181703,Chaves,1521.79776
405,1180405,Macedo de Cavaleiros,773.14458
406,1180406,Miranda do Douro,0
407,1180407,Mirandela,1983.34052
408,1180408,Mogadouro,0
1706,1181706,Montalegre,65.3923
1707,1181707,Murça,150.92343
1712,1181712,Valpaços,238.4291
1713,1181713,Vila Pouca de Aguiar,0
411,1180411,Vimioso,4.56661
412,1180412,Vinhais,5.25251
101,1610101,Águeda,0
102,1610102,Albergaria-a-Velha,0
103,1610103,Anadia,0.56738
105,1610105,Aveiro,6440.93096
108,1610108,Estarreja,0
110,1610110,Ílhavo,4859.89536
111,1610111,Mealhada,0
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,78.85699
115,1610115,Ovar,86.754
117,1610117,Sever do Vouga,0
118,1610118,Vagos,0
602,1620602,Cantanhede,0
603,1620603,Coimbra,8418.24132
604,1620604,Condeixa-a-Nova,574.01743
605,1620605,Figueira da Foz,3348.46535
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,12.93336
613,1620613,Penacova,196.50462
615,1620615,Soure,184.08834
1004,1631004,Batalha,0
1009,1631009,Leiria,7809.38172
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,2008.18098
1016,1631016,Porto de Mós,0
1002,1641002,Alvaiázere,0
1003,1641003,Ansião,147.3876
601,1640601,Arganil,0
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,0
606,1640606,Góis,0
607,1640607,Lousã,37.49486
609,1640609,Miranda do Corvo,0
611,1640611,Oliveira do Hospital,315.44016
612,1640612,Pampilhosa da Serra,0
1013,1641013,Pedrógão Grande,0
614,1640614,Penela,0
616,1640616,Tábua,0
617,1640617,Vila Nova de Poiares,0
901,1650901,Aguiar da Beira,0
1802,1651802,Carregal do Sal,0
1803,1651803,Castro Daire,0
1806,1651806,Mangualde,0
1808,1651808,Mortágua,0
1809,1651809,Nelas,0
1810,1651810,Oliveira de Frades,0
1811,1651811,Penalva do Castelo,0
1814,1651814,Santa Comba Dão,14.03512
1816,1651816,São Pedro do Sul,792.5181
1817,1651817,Sátão,0
1821,1651821,Tondela,120.25544
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,36.56207
1824,1651824,Vouzela,0
1413,1661413,Mação,0
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,0
509,1660509,Sertã,0
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,0
906,1670906,Gouveia,0
912,1670912,Seia,0
902,1680902,Almeida,32.24628
903,1680903,Celorico da Beira,0
904,1680904,Figueira de Castelo Rodrigo,1.17356
907,1680907,Guarda,1879.1871
908,1680908,Manteigas,0
909,1680909,Mêda,0
910,1680910,Pinhel,50.6016
911,1680911,Sabugal,33.68542
913,1680913,Trancoso,0
502,1690502,Castelo Branco,0
505,1690505,Idanha-a-Nova,0
507,1690507,Penamacor,0
511,1690511,Vila Velha de Ródão,0
501,16A0501,Belmonte,4.0164
503,16A0503,Covilhã,1.96322
504,16A0504,Fundão,608.81808
1001,16B1001,Alcobaça,1016.24061
1101,16B1101,Alenquer,2361.40894
1102,16B1102,Arruda dos Vinhos,376.56927
1005,16B1005,Bombarral,570.88185
1104,16B1104,Cadaval,658.71762
1006,16B1006,Caldas da Rainha,5437.15666
1108,16B1108,Lourinhã,1365.27795
1011,16B1011,Nazaré,550.43415
1012,16B1012,Óbidos,16204.45266
1014,16B1014,Peniche,317.40423
1112,16B1112,Sobral de Monte Agraço,342.83304
1113,16B1113,Torres Vedras,3191.08119
1401,16C1401,Abrantes,2653.13088
1402,16C1402,Alcanena,392.67756
1408,16C1408,Constância,106.3755
1410,16C1410,Entroncamento,17.83056
1411,16C1411,Ferreira do Zêzere,395.81817
1421,16C1421,Ourém,5817.51339
1417,16C1417,Sardoal,137.07243
1418,16C1418,Tomar,4315.42592
1419,16C1419,Torres Novas,1044.10086
