Muni_ID,ID,Muni,tot_nuts
1601,1111601,Arcos de Valdevez,1
1602,1111602,Caminha,3
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,5
1607,1111607,Ponte de Lima,5
1608,1111608,Valença,1
1609,1111609,Viana do Castelo,3
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,5
302,1120302,Barcelos,4
303,1120303,Braga,17
306,1120306,Esposende,0
310,1120310,Terras de Bouro,0
313,1120313,Vila Verde,6
307,1130307,Fafe,2
308,1130308,Guimarães,21
309,1130309,Póvoa de Lanhoso,8
1314,1131314,Santo Tirso,8
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,3
312,1130312,Vila Nova de Famalicão,4
314,1130314,Vizela,1
107,1140107,Espinho,0
1304,1141304,Gondomar,6
1306,1141306,Maia,1
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,1
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,2
1301,1151301,Amarante,13
1302,1151302,Baião,18
304,1150304,Cabeceiras de Basto,3
106,1150106,Castelo de Paiva,2
305,1150305,Celorico de Basto,10
1804,1151804,Cinfães,3
1303,1151303,Felgueiras,6
1305,1151305,Lousada,2
1307,1151307,Marco de Canaveses,3
1705,1151705,Mondim de Basto,4
1309,1151309,Paços de Ferreira,0
1310,1151310,Paredes,1
1311,1151311,Penafiel,1
1813,1151813,Resende,27
1709,1151709,Ribeira de Pena,4
104,1160104,Arouca,2
113,1160113,Oliveira de Azeméis,0
109,1160109,Santa Maria da Feira,1
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,13
1801,1171801,Armamar,6
403,1170403,Carrazeda de Ansiães,18
404,1170404,Freixo de Espada à Cinta,3
1805,1171805,Lamego,7
1704,1171704,Mesão Frio,1
1807,1171807,Moimenta da Beira,12
1812,1171812,Penedono,12
1708,1171708,Peso da Régua,1
1710,1171710,Sabrosa,5
1711,1171711,Santa Marta de Penaguião,4
1815,1171815,São João da Pesqueira,28
1818,1171818,Sernancelhe,20
1819,1171819,Tabuaço,4
1820,1171820,Tarouca,3
409,1170409,Torre de Moncorvo,12
410,1170410,Vila Flor,35
914,1170914,Vila Nova de Foz Côa,1
1714,1171714,Vila Real,12
401,1180401,Alfândega da Fé,77
1702,1181702,Boticas,8
402,1180402,Bragança,138
1703,1181703,Chaves,49
405,1180405,Macedo de Cavaleiros,98
406,1180406,Miranda do Douro,19
407,1180407,Mirandela,42
408,1180408,Mogadouro,42
1706,1181706,Montalegre,1
1707,1181707,Murça,20
1712,1181712,Valpaços,112
1713,1181713,Vila Pouca de Aguiar,4
411,1180411,Vimioso,44
412,1180412,Vinhais,156
101,1610101,Águeda,2
102,1610102,Albergaria-a-Velha,0
103,1610103,Anadia,6
105,1610105,Aveiro,1
108,1610108,Estarreja,0
110,1610110,Ílhavo,0
111,1610111,Mealhada,4
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,5
115,1610115,Ovar,0
117,1610117,Sever do Vouga,0
118,1610118,Vagos,0
602,1620602,Cantanhede,19
603,1620603,Coimbra,15
604,1620604,Condeixa-a-Nova,9
605,1620605,Figueira da Foz,1
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,1
613,1620613,Penacova,0
615,1620615,Soure,6
1004,1631004,Batalha,1
1009,1631009,Leiria,3
