Muni_ID,ID,Muni,tot_chestnut
1601,1111601,Arcos de Valdevez,19
1602,1111602,Caminha,0
1603,1111603,Melgaço,0
1604,1111604,Monção,2
1605,1111605,Paredes de Coura,3
1606,1111606,Ponte da Barca,10
1607,1111607,Ponte de Lima,120
1608,1111608,Valença,1
1609,1111609,Viana do Castelo,12
1610,1111610,Vila Nova de Cerveira,1
301,1120301,Amares,8
302,1120302,Barcelos,14
303,1120303,Braga,8
306,1120306,Esposende,1
310,1120310,Terras de Bouro,1
313,1120313,Vila Verde,24
307,1130307,Fafe,1
308,1130308,Guimarães,6
309,1130309,Póvoa de Lanhoso,3
1314,1131314,Santo Tirso,12
1318,1131318,Trofa,1
311,1130311,Vieira do Minho,4
312,1130312,Vila Nova de Famalicão,3
314,1130314,Vizela,3
107,1140107,Espinho,0
1304,1141304,Gondomar,12
1306,1141306,Maia,1
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,1
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,6
1301,1151301,Amarante,42
1302,1151302,Baião,48
304,1150304,Cabeceiras de Basto,4
106,1150106,Castelo de Paiva,9
305,1150305,Celorico de Basto,13
1804,1151804,Cinfães,40
1303,1151303,Felgueiras,3
1305,1151305,Lousada,5
1307,1151307,Marco de Canaveses,13
1705,1151705,Mondim de Basto,4
1309,1151309,Paços de Ferreira,0
1310,1151310,Paredes,3
1311,1151311,Penafiel,15
1813,1151813,Resende,211
1709,1151709,Ribeira de Pena,21
104,1160104,Arouca,19
113,1160113,Oliveira de Azeméis,1
109,1160109,Santa Maria da Feira,2
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,2
1701,1171701,Alijó,111
1801,1171801,Armamar,149
403,1170403,Carrazeda de Ansiães,122
404,1170404,Freixo de Espada à Cinta,50
1805,1171805,Lamego,91
1704,1171704,Mesão Frio,2
1807,1171807,Moimenta da Beira,259
1812,1171812,Penedono,1449
1708,1171708,Peso da Régua,45
1710,1171710,Sabrosa,45
1711,1171711,Santa Marta de Penaguião,57
1815,1171815,São João da Pesqueira,361
1818,1171818,Sernancelhe,926
1819,1171819,Tabuaço,200
1820,1171820,Tarouca,177
409,1170409,Torre de Moncorvo,180
410,1170410,Vila Flor,120
914,1170914,Vila Nova de Foz Côa,11
1714,1171714,Vila Real,183
401,1180401,Alfândega da Fé,540
1702,1181702,Boticas,155
402,1180402,Bragança,7002
1703,1181703,Chaves,1631
405,1180405,Macedo de Cavaleiros,1817
406,1180406,Miranda do Douro,314
407,1180407,Mirandela,168
408,1180408,Mogadouro,415
1706,1181706,Montalegre,262
1707,1181707,Murça,400
1712,1181712,Valpaços,4965
1713,1181713,Vila Pouca de Aguiar,538
411,1180411,Vimioso,975
412,1180412,Vinhais,5325
101,1610101,Águeda,2
102,1610102,Albergaria-a-Velha,1
103,1610103,Anadia,2
105,1610105,Aveiro,0
108,1610108,Estarreja,0
110,1610110,Ílhavo,0
111,1610111,Mealhada,1
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,0
115,1610115,Ovar,1
117,1610117,Sever do Vouga,6
118,1610118,Vagos,0
602,1620602,Cantanhede,2
603,1620603,Coimbra,0
604,1620604,Condeixa-a-Nova,0
605,1620605,Figueira da Foz,0
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,0
613,1620613,Penacova,1
615,1620615,Soure,0
1004,1631004,Batalha,0
1009,1631009,Leiria,3
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,0
1016,1631016,Porto de Mós,0
1002,1641002,Alvaiázere,0
1003,1641003,Ansião,0
601,1640601,Arganil,7
1007,1641007,Castanheira de Pêra,4
1008,1641008,Figueiró dos Vinhos,5
606,1640606,Góis,2
607,1640607,Lousã,3
609,1640609,Miranda do Corvo,1
611,1640611,Oliveira do Hospital,10
612,1640612,Pampilhosa da Serra,6
1013,1641013,Pedrógão Grande,5
614,1640614,Penela,0
616,1640616,Tábua,1
617,1640617,Vila Nova de Poiares,1
901,1650901,Aguiar da Beira,127
1802,1651802,Carregal do Sal,3
1803,1651803,Castro Daire,24
