Muni_ID,ID,Muni,tot_orange
1601,1111601,Arcos de Valdevez,4
1602,1111602,Caminha,2
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,1
1607,1111607,Ponte de Lima,14
1608,1111608,Valença,0
1609,1111609,Viana do Castelo,12
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,119
302,1120302,Barcelos,32
303,1120303,Braga,23
306,1120306,Esposende,7
310,1120310,Terras de Bouro,5
313,1120313,Vila Verde,30
307,1130307,Fafe,3
308,1130308,Guimarães,16
309,1130309,Póvoa de Lanhoso,11
1314,1131314,Santo Tirso,16
1318,1131318,Trofa,2
311,1130311,Vieira do Minho,6
312,1130312,Vila Nova de Famalicão,17
314,1130314,Vizela,1
107,1140107,Espinho,1
1304,1141304,Gondomar,8
1306,1141306,Maia,2
1308,1141308,Matosinhos,1
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,1
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,3
1317,1141317,Vila Nova de Gaia,5
1301,1151301,Amarante,4
1302,1151302,Baião,53
304,1150304,Cabeceiras de Basto,5
106,1150106,Castelo de Paiva,2
305,1150305,Celorico de Basto,8
1804,1151804,Cinfães,5
1303,1151303,Felgueiras,1
1305,1151305,Lousada,3
1307,1151307,Marco de Canaveses,25
1705,1151705,Mondim de Basto,1
1309,1151309,Paços de Ferreira,0
1310,1151310,Paredes,5
1311,1151311,Penafiel,6
1813,1151813,Resende,12
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,2
113,1160113,Oliveira de Azeméis,4
109,1160109,Santa Maria da Feira,20
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,1
1701,1171701,Alijó,52
1801,1171801,Armamar,10
403,1170403,Carrazeda de Ansiães,54
404,1170404,Freixo de Espada à Cinta,131
1805,1171805,Lamego,7
1704,1171704,Mesão Frio,9
1807,1171807,Moimenta da Beira,0
1812,1171812,Penedono,0
1708,1171708,Peso da Régua,11
1710,1171710,Sabrosa,10
1711,1171711,Santa Marta de Penaguião,4
1815,1171815,São João da Pesqueira,24
1818,1171818,Sernancelhe,0
1819,1171819,Tabuaço,6
1820,1171820,Tarouca,0
409,1170409,Torre de Moncorvo,78
410,1170410,Vila Flor,55
914,1170914,Vila Nova de Foz Côa,51
1714,1171714,Vila Real,7
401,1180401,Alfândega da Fé,16
1702,1181702,Boticas,0
402,1180402,Bragança,0
1703,1181703,Chaves,0
405,1180405,Macedo de Cavaleiros,0
406,1180406,Miranda do Douro,0
407,1180407,Mirandela,5
408,1180408,Mogadouro,4
1706,1181706,Montalegre,0
1707,1181707,Murça,1
1712,1181712,Valpaços,1
1713,1181713,Vila Pouca de Aguiar,0
411,1180411,Vimioso,0
412,1180412,Vinhais,0
101,1610101,Águeda,11
102,1610102,Albergaria-a-Velha,2
103,1610103,Anadia,18
105,1610105,Aveiro,3
108,1610108,Estarreja,2
110,1610110,Ílhavo,1
111,1610111,Mealhada,21
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,7
115,1610115,Ovar,3
117,1610117,Sever do Vouga,5
118,1610118,Vagos,14
602,1620602,Cantanhede,86
603,1620603,Coimbra,78
604,1620604,Condeixa-a-Nova,9
605,1620605,Figueira da Foz,25
608,1620608,Mira,52
610,1620610,Montemor-o-Velho,14
613,1620613,Penacova,1
615,1620615,Soure,24
1004,1631004,Batalha,5
1009,1631009,Leiria,31
1010,1631010,Marinha Grande,3
1015,1631015,Pombal,46
1016,1631016,Porto de Mós,6
1002,1641002,Alvaiázere,2
1003,1641003,Ansião,2
601,1640601,Arganil,0
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,4
606,1640606,Góis,0
607,1640607,Lousã,1
609,1640609,Miranda do Corvo,6
611,1640611,Oliveira do Hospital,3
612,1640612,Pampilhosa da Serra,1
1013,1641013,Pedrógão Grande,1
614,1640614,Penela,3
616,1640616,Tábua,1
617,1640617,Vila Nova de Poiares,2
901,1650901,Aguiar da Beira,0
1802,1651802,Carregal do Sal,1
1803,1651803,Castro Daire,0
1806,1651806,Mangualde,2
1808,1651808,Mortágua,2
1809,1651809,Nelas,1
1810,1651810,Oliveira de Frades,3
1811,1651811,Penalva do Castelo,0
1814,1651814,Santa Comba Dão,1
1816,1651816,São Pedro do Sul,8
1817,1651817,Sátão,0
1821,1651821,Tondela,54
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,5
1824,1651824,Vouzela,0
1413,1661413,Mação,21
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,8
509,1660509,Sertã,4
510,1660510,Vila de Rei,1
905,1670905,Fornos de Algodres,1
906,1670906,Gouveia,1
912,1670912,Seia,0
902,1680902,Almeida,0
903,1680903,Celorico da Beira,0
904,1680904,Figueira de Castelo Rodrigo,7
907,1680907,Guarda,0
908,1680908,Manteigas,0
909,1680909,Mêda,1
910,1680910,Pinhel,0
911,1680911,Sabugal,0
913,1680913,Trancoso,0
502,1690502,Castelo Branco,105
505,1690505,Idanha-a-Nova,83
507,1690507,Penamacor,12
511,1690511,Vila Velha de Ródão,38
501,16A0501,Belmonte,0
503,16A0503,Covilhã,1
504,16A0504,Fundão,65
1001,16B1001,Alcobaça,25
1101,16B1101,Alenquer,11
1102,16B1102,Arruda dos Vinhos,1
1005,16B1005,Bombarral,4
1104,16B1104,Cadaval,3
1006,16B1006,Caldas da Rainha,36
1108,16B1108,Lourinhã,4
1011,16B1011,Nazaré,1
1012,16B1012,Óbidos,13
1014,16B1014,Peniche,2
1112,16B1112,Sobral de Monte Agraço,2
1113,16B1113,Torres Vedras,15
1401,16C1401,Abrantes,125
1402,16C1402,Alcanena,6
1408,16C1408,Constância,11
1410,16C1410,Entroncamento,8
1411,16C1411,Ferreira do Zêzere,17
1421,16C1421,Ourém,25
1417,16C1417,Sardoal,18
1418,16C1418,Tomar,36
1419,16C1419,Torres Novas,151
1420,16C1420,Vila Nova da Barquinha,8
1115,1711115,Amadora,0
1105,1711105,Cascais,7
1106,1711106,Lisboa,0
1107,1711107,Loures,11
1109,1711109,Mafra,9
1116,1711116,Odivelas,2
1110,1711110,Oeiras,2
1111,1711111,Sintra,8
1114,1711114,Vila Franca de Xira,19
1502,1721502,Alcochete,12
1503,1721503,Almada,5
1504,1721504,Barreiro,12
1506,1721506,Moita,32
1507,1721507,Montijo,141
1508,1721508,Palmela,215
1510,1721510,Seixal,11
1511,1721511,Sesimbra,15
1512,1721512,Setúbal,164
1501,1811501,Alcácer do Sal,123
1505,1811505,Grândola,72
211,1810211,Odemira,67
