Muni_ID,ID,Muni,tot_potato
1601,1111601,Arcos de Valdevez,120
1602,1111602,Caminha,33
1603,1111603,Melgaço,84
1604,1111604,Monção,103
1605,1111605,Paredes de Coura,92
1606,1111606,Ponte da Barca,73
1607,1111607,Ponte de Lima,168
1608,1111608,Valença,54
1609,1111609,Viana do Castelo,196
1610,1111610,Vila Nova de Cerveira,32
301,1120301,Amares,58
302,1120302,Barcelos,327
303,1120303,Braga,162
306,1120306,Esposende,208
310,1120310,Terras de Bouro,44
313,1120313,Vila Verde,141
307,1130307,Fafe,270
308,1130308,Guimarães,271
309,1130309,Póvoa de Lanhoso,68
1314,1131314,Santo Tirso,134
1318,1131318,Trofa,126
311,1130311,Vieira do Minho,106
312,1130312,Vila Nova de Famalicão,172
314,1130314,Vizela,40
107,1140107,Espinho,3
1304,1141304,Gondomar,152
1306,1141306,Maia,181
1308,1141308,Matosinhos,98
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,83
1315,1141315,Valongo,66
1316,1141316,Vila do Conde,261
1317,1141317,Vila Nova de Gaia,87
1301,1151301,Amarante,235
1302,1151302,Baião,259
304,1150304,Cabeceiras de Basto,172
106,1150106,Castelo de Paiva,87
305,1150305,Celorico de Basto,223
1804,1151804,Cinfães,201
1303,1151303,Felgueiras,180
1305,1151305,Lousada,140
1307,1151307,Marco de Canaveses,189
1705,1151705,Mondim de Basto,51
1309,1151309,Paços de Ferreira,54
1310,1151310,Paredes,224
1311,1151311,Penafiel,308
1813,1151813,Resende,207
1709,1151709,Ribeira de Pena,117
104,1160104,Arouca,138
113,1160113,Oliveira de Azeméis,86
109,1160109,Santa Maria da Feira,116
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,99
1701,1171701,Alijó,146
1801,1171801,Armamar,127
403,1170403,Carrazeda de Ansiães,181
404,1170404,Freixo de Espada à Cinta,8
1805,1171805,Lamego,96
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,402
1812,1171812,Penedono,215
1708,1171708,Peso da Régua,6
1710,1171710,Sabrosa,64
1711,1171711,Santa Marta de Penaguião,11
1815,1171815,São João da Pesqueira,83
1818,1171818,Sernancelhe,521
1819,1171819,Tabuaço,209
1820,1171820,Tarouca,90
409,1170409,Torre de Moncorvo,42
410,1170410,Vila Flor,147
914,1170914,Vila Nova de Foz Côa,2
1714,1171714,Vila Real,383
401,1180401,Alfândega da Fé,34
1702,1181702,Boticas,551
402,1180402,Bragança,1053
1703,1181703,Chaves,2948
405,1180405,Macedo de Cavaleiros,398
406,1180406,Miranda do Douro,191
407,1180407,Mirandela,216
408,1180408,Mogadouro,399
1706,1181706,Montalegre,1207
1707,1181707,Murça,153
1712,1181712,Valpaços,1511
1713,1181713,Vila Pouca de Aguiar,680
411,1180411,Vimioso,201
412,1180412,Vinhais,817
101,1610101,Águeda,261
102,1610102,Albergaria-a-Velha,120
103,1610103,Anadia,571
105,1610105,Aveiro,171
108,1610108,Estarreja,64
110,1610110,Ílhavo,76
111,1610111,Mealhada,162
112,1610112,Murtosa,16
114,1610114,Oliveira do Bairro,345
115,1610115,Ovar,44
117,1610117,Sever do Vouga,47
118,1610118,Vagos,733
602,1620602,Cantanhede,1055
603,1620603,Coimbra,157
604,1620604,Condeixa-a-Nova,93
605,1620605,Figueira da Foz,178
608,1620608,Mira,458
610,1620610,Montemor-o-Velho,116
613,1620613,Penacova,164
615,1620615,Soure,150
1004,1631004,Batalha,70
1009,1631009,Leiria,164
1010,1631010,Marinha Grande,10
1015,1631015,Pombal,130
1016,1631016,Porto de Mós,35
1002,1641002,Alvaiázere,31
1003,1641003,Ansião,77
601,1640601,Arganil,163
1007,1641007,Castanheira de Pêra,9
1008,1641008,Figueiró dos Vinhos,89
606,1640606,Góis,31
607,1640607,Lousã,49
609,1640609,Miranda do Corvo,58
611,1640611,Oliveira do Hospital,663
612,1640612,Pampilhosa da Serra,46
1013,1641013,Pedrógão Grande,48
614,1640614,Penela,46
616,1640616,Tábua,251
617,1640617,Vila Nova de Poiares,59
901,1650901,Aguiar da Beira,622
1802,1651802,Carregal do Sal,232
1803,1651803,Castro Daire,396
1806,1651806,Mangualde,498
1808,1651808,Mortágua,182
1809,1651809,Nelas,234
1810,1651810,Oliveira de Frades,47
1811,1651811,Penalva do Castelo,453
1814,1651814,Santa Comba Dão,126
1816,1651816,São Pedro do Sul,71
1817,1651817,Sátão,252
1821,1651821,Tondela,397
1822,1651822,Vila Nova de Paiva,140
1823,1651823,Viseu,703
1824,1651824,Vouzela,127
1413,1661413,Mação,10
506,1660506,Oleiros,48
508,1660508,Proença-a-Nova,13
509,1660509,Sertã,90
510,1660510,Vila de Rei,3
905,1670905,Fornos de Algodres,264
906,1670906,Gouveia,128
912,1670912,Seia,382
902,1680902,Almeida,191
903,1680903,Celorico da Beira,319
904,1680904,Figueira de Castelo Rodrigo,112
907,1680907,Guarda,809
908,1680908,Manteigas,24
909,1680909,Mêda,285
910,1680910,Pinhel,615
911,1680911,Sabugal,389
913,1680913,Trancoso,603
502,1690502,Castelo Branco,36
505,1690505,Idanha-a-Nova,13
507,1690507,Penamacor,41
511,1690511,Vila Velha de Ródão,3
501,16A0501,Belmonte,109
503,16A0503,Covilhã,154
504,16A0504,Fundão,94
1001,16B1001,Alcobaça,648
1101,16B1101,Alenquer,313
1102,16B1102,Arruda dos Vinhos,24
1005,16B1005,Bombarral,235
1104,16B1104,Cadaval,145
1006,16B1006,Caldas da Rainha,311
1108,16B1108,Lourinhã,2247
1011,16B1011,Nazaré,95
1012,16B1012,Óbidos,336
1014,16B1014,Peniche,262
1112,16B1112,Sobral de Monte Agraço,89
1113,16B1113,Torres Vedras,1197
1401,16C1401,Abrantes,134
1402,16C1402,Alcanena,4
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,15
1421,16C1421,Ourém,23
1417,16C1417,Sardoal,23
1418,16C1418,Tomar,16
1419,16C1419,Torres Novas,4
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,40
1109,1711109,Mafra,350
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,100
1114,1711114,Vila Franca de Xira,47
1502,1721502,Alcochete,229
1503,1721503,Almada,8
1504,1721504,Barreiro,1
1506,1721506,Moita,63
1507,1721507,Montijo,645
1508,1721508,Palmela,383
1510,1721510,Seixal,1
1511,1721511,Sesimbra,5
1512,1721512,Setúbal,30
1501,1811501,Alcácer do Sal,121
1505,1811505,Grândola,110
211,1810211,Odemira,349
1509,1811509,Santiago do Cacém,50
1513,1811513,Sines,1
1201,1821201,Alter do Chão,0
1202,1821202,Arronches,0
1203,1821203,Avis,3
1204,1821204,Campo Maior,0
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,2
1207,1821207,Elvas,0
1208,1821208,Fronteira,0
1209,1821209,Gavião,9
1210,1821210,Marvão,56
1211,1821211,Monforte,0
707,1820707,Mora,0
1212,1821212,Nisa,7
1213,1821213,Ponte de Sor,28
1214,1821214,Portalegre,70
701,1830701,Alandroal,0
702,1830702,Arraiolos,1
703,1830703,Borba,0
704,1830704,Estremoz,3
705,1830705,Évora,6
706,1830706,Montemor-o-Novo,3
708,1830708,Mourão,0
709,1830709,Portel,0
710,1830710,Redondo,2
711,1830711,Reguengos de Monsaraz,1
1215,1831215,Sousel,0
712,1830712,Vendas Novas,7
713,1830713,Viana do Alentejo,0
714,1830714,Vila Viçosa,0
201,1840201,Aljustrel,0
202,1840202,Almodôvar,1
203,1840203,Alvito,0
204,1840204,Barrancos,0
205,1840205,Beja,4
206,1840206,Castro Verde,0
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,0
209,1840209,Mértola,0
210,1840210,Moura,0
212,1840212,Ourique,1
213,1840213,Serpa,2
214,1840214,Vidigueira,0
1403,1851403,Almeirim,16
1404,1851404,Alpiarça,8
1103,1851103,Azambuja,12
1405,1851405,Benavente,393
1406,1851406,Cartaxo,7
1407,1851407,Chamusca,55
1409,1851409,Coruche,65
1412,1851412,Golegã,172
1414,1851414,Rio Maior,82
1415,1851415,Salvaterra de Magos,520
1416,1851416,Santarém,13
801,1500801,Albufeira,3
802,1500802,Alcoutim,24
803,1500803,Aljezur,141
804,1500804,Castro Marim,25
805,1500805,Faro,25
806,1500806,Lagoa,3
807,1500807,Lagos,13
808,1500808,Loulé,42
809,1500809,Monchique,183
810,1500810,Olhão,25
811,1500811,Portimão,14
812,1500812,São Brás de Alportel,13
813,1500813,Silves,19
814,1500814,Tavira,108
815,1500815,Vila do Bispo,5
816,1500816,Vila Real de Santo António,16
