"Muni_ID","ID","Muni","lemon","orange","other_citrus","tangerine","total"
1601,"1111601","Arcos de Valdevez",3.56,7.11,0,3.78,14.45
1602,"1111602","Caminha",0,3.56,0,0,3.56
1603,"1111603","Melgaço",0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0
1606,"1111606","Ponte da Barca",0,39.13,0,0,39.13
1607,"1111607","Ponte de Lima",10.67,78.26,0,22.67,111.6
1608,"1111608","Valença",7.11,0,0,0,7.11
1609,"1111609","Viana do Castelo",3.56,32.02,0,7.56,43.14
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0
301,"1120301","Amares",32.02,270.36,7.26,37.79,347.43
302,"1120302","Barcelos",10.67,53.36,0,15.12,79.15
303,"1120303","Braga",7.11,42.69,0,7.56,57.36
306,"1120306","Esposende",0,0,0,0,0
310,"1120310","Terras de Bouro",3.56,7.11,0,7.56,18.23
313,"1120313","Vila Verde",14.23,53.36,0,7.56,75.15
307,"1130307","Fafe",3.56,3.56,0,0,7.12
308,"1130308","Guimarães",10.67,28.46,0,3.78,42.91
309,"1130309","Póvoa de Lanhoso",3.56,21.34,0,3.78,28.68
1314,"1131314","Santo Tirso",3.56,49.8,0,11.34,64.7
1318,"1131318","Trofa",3.56,7.11,0,0,10.67
311,"1130311","Vieira do Minho",14.23,14.23,3.63,3.78,35.87
312,"1130312","Vila Nova de Famalicão",3.56,24.9,0,3.78,32.24
314,"1130314","Vizela",3.56,7.11,0,3.78,14.45
107,"1140107","Espinho",0,0,0,0,0
1304,"1141304","Gondomar",7.11,7.11,0,3.78,18
1306,"1141306","Maia",0,7.11,0,0,7.11
1308,"1141308","Matosinhos",3.56,3.56,0,3.78,10.9
1312,"1141312","Porto",0,0,0,0,0
1313,"1141313","Póvoa de Varzim",3.56,0,0,0,3.56
1315,"1141315","Valongo",0,3.56,0,0,3.56
1316,"1141316","Vila do Conde",49.8,7.11,3.63,0,60.54
1317,"1141317","Vila Nova de Gaia",3.56,10.67,0,3.78,18.01
1301,"1151301","Amarante",0,24.9,0,7.56,32.46
1302,"1151302","Baião",14.23,85.38,3.63,11.34,114.58
304,"1150304","Cabeceiras de Basto",0,3.56,0,0,3.56
106,"1150106","Castelo de Paiva",0,7.11,0,3.78,10.89
305,"1150305","Celorico de Basto",10.67,7.11,0,0,17.78
1804,"1151804","Cinfães",7.11,53.36,0,15.12,75.59
1303,"1151303","Felgueiras",0,10.67,0,0,10.67
1305,"1151305","Lousada",0,7.11,0,3.78,10.89
1307,"1151307","Marco de Canaveses",7.11,67.59,0,3.78,78.48
1705,"1151705","Mondim de Basto",0,0,0,0,0
1309,"1151309","Paços de Ferreira",0,3.56,0,0,3.56
1310,"1151310","Paredes",0,7.11,0,3.78,10.89
1311,"1151311","Penafiel",7.11,24.9,0,7.56,39.57
1813,"1151813","Resende",0,10.67,0,7.56,18.23
1709,"1151709","Ribeira de Pena",0,0,0,0,0
104,"1160104","Arouca",0,3.56,0,0,3.56
113,"1160113","Oliveira de Azeméis",3.56,3.56,0,3.78,10.9
109,"1160109","Santa Maria da Feira",7.11,0,0,0,7.11
116,"1160116","São João da Madeira",0,0,0,0,0
119,"1160119","Vale de Cambra",0,0,0,0,0
1701,"1171701","Alijó",0,110.28,0,0,110.28
1801,"1171801","Armamar",0,64.03,0,0,64.03
403,"1170403","Carrazeda de Ansiães",3.56,170.76,0,7.56,181.88
404,"1170404","Freixo de Espada à Cinta",0,409.1,0,0,409.1
1805,"1171805","Lamego",0,32.02,0,0,32.02
1704,"1171704","Mesão Frio",3.56,7.11,0,0,10.67
1807,"1171807","Moimenta da Beira",0,0,0,0,0
1812,"1171812","Penedono",0,0,0,0,0
1708,"1171708","Peso da Régua",0,21.34,0,0,21.34
1710,"1171710","Sabrosa",0,24.9,0,0,24.9
1711,"1171711","Santa Marta de Penaguião",0,7.11,0,0,7.11
1815,"1171815","São João da Pesqueira",0,71.15,0,0,71.15
1818,"1171818","Sernancelhe",3.56,0,0,0,3.56
1819,"1171819","Tabuaço",0,39.13,0,0,39.13
1820,"1171820","Tarouca",0,0,0,0,0
409,"1170409","Torre de Moncorvo",0,259.69,3.63,7.56,270.88
410,"1170410","Vila Flor",3.56,206.33,0,30.23,240.12
914,"1170914","Vila Nova de Foz Côa",0,74.71,0,7.56,82.27
1714,"1171714","Vila Real",0,10.67,0,0,10.67
401,"1180401","Alfândega da Fé",0,24.9,0,0,24.9
1702,"1181702","Boticas",0,0,0,0,0
402,"1180402","Bragança",7.11,0,0,0,7.11
1703,"1181703","Chaves",0,0,0,0,0
405,"1180405","Macedo de Cavaleiros",3.56,0,0,0,3.56
406,"1180406","Miranda do Douro",0,0,0,0,0
407,"1180407","Mirandela",21.34,28.46,0,0,49.8
408,"1180408","Mogadouro",0,0,0,0,0
1706,"1181706","Montalegre",0,0,0,0,0
1707,"1181707","Murça",0,0,0,0,0
1712,"1181712","Valpaços",0,3.56,0,0,3.56
1713,"1181713","Vila Pouca de Aguiar",0,0,0,0,0
411,"1180411","Vimioso",0,0,0,0,0
412,"1180412","Vinhais",3.56,0,0,0,3.56
101,"1610101","Águeda",0,36.01,0,3.77,39.78
102,"1610102","Albergaria-a-Velha",0,8,0,0,8
103,"1610103","Anadia",4,36.01,0,0,40.01
105,"1610105","Aveiro",12,12,0,0,24
108,"1610108","Estarreja",0,0,0,0,0
110,"1610110","Ílhavo",0,4,0,0,4
111,"1610111","Mealhada",4,40.01,0,3.77,47.78
112,"1610112","Murtosa",0,0,0,0,0
114,"1610114","Oliveira do Bairro",16,16,0,0,32
115,"1610115","Ovar",0,0,0,0,0
117,"1610117","Sever do Vouga",4,28.01,0,0,32.01
118,"1610118","Vagos",4,8,0,0,12
602,"1620602","Cantanhede",4,84.02,0,3.77,91.79
603,"1620603","Coimbra",16,156.04,7.85,33.93,213.82
604,"1620604","Condeixa-a-Nova",4,24.01,0,3.77,31.78
605,"1620605","Figueira da Foz",0,36.01,0,0,36.01
608,"1620608","Mira",4,76.02,0,0,80.02
610,"1620610","Montemor-o-Velho",0,40.01,0,3.77,43.78
613,"1620613","Penacova",0,20,0,0,20
615,"1620615","Soure",0,32.01,0,0,32.01
1004,"1631004","Batalha",0,4,0,0,4
1009,"1631009","Leiria",0,40.01,0,0,40.01
1010,"1631010","Marinha Grande",0,12,0,0,12
1015,"1631015","Pombal",0,36.01,0,0,36.01
1016,"1631016","Porto de Mós",4,8,0,0,12
1002,"1641002","Alvaiázere",0,12,0,0,12
1003,"1641003","Ansião",0,8,0,0,8
601,"1640601","Arganil",0,0,0,0,0
1007,"1641007","Castanheira de Pêra",0,0,0,0,0
1008,"1641008","Figueiró dos Vinhos",0,8,0,0,8
606,"1640606","Góis",0,0,0,0,0
607,"1640607","Lousã",0,4,0,0,4
609,"1640609","Miranda do Corvo",0,12,0,0,12
611,"1640611","Oliveira do Hospital",0,8,0,0,8
612,"1640612","Pampilhosa da Serra",0,4,0,0,4
1013,"1641013","Pedrógão Grande",0,4,0,0,4
614,"1640614","Penela",0,0,0,0,0
616,"1640616","Tábua",0,4,0,0,4
617,"1640617","Vila Nova de Poiares",0,4,0,0,4
901,"1650901","Aguiar da Beira",0,0,0,0,0
1802,"1651802","Carregal do Sal",0,0,0,0,0
1803,"1651803","Castro Daire",0,8,0,0,8
1806,"1651806","Mangualde",4,12,0,0,16
1808,"1651808","Mortágua",0,4,0,0,4
1809,"1651809","Nelas",0,4,0,0,4
