"Muni_ID","ID","Muni","almonds","chestnut","locust","nuuts","other_dried_nuts","total"
1601,"1111601","Arcos de Valdevez",0,66.81,0,3.52,0,70.33
1602,"1111602","Caminha",0,0,0,10.55,0,10.55
1603,"1111603","Melgaço",0,0,0,0,0,0
1604,"1111604","Monção",0,7.03,0,0,0,7.03
1605,"1111605","Paredes de Coura",0,10.55,0,0,0,10.55
1606,"1111606","Ponte da Barca",0,35.16,0,17.58,0,52.74
1607,"1111607","Ponte de Lima",0,421.98,0,17.58,0,439.56
1608,"1111608","Valença",0,3.52,0,3.52,0,7.04
1609,"1111609","Viana do Castelo",0,42.2,0,10.55,0,52.75
1610,"1111610","Vila Nova de Cerveira",0,3.52,0,0,0,3.52
301,"1120301","Amares",0,28.13,0,17.58,0,45.71
302,"1120302","Barcelos",0,49.23,0,14.07,0,63.3
303,"1120303","Braga",0,28.13,0,59.78,0,87.91
306,"1120306","Esposende",0,3.52,0,0,0,3.52
310,"1120310","Terras de Bouro",0,3.52,0,0,0,3.52
313,"1120313","Vila Verde",0,84.4,0,21.1,0,105.5
307,"1130307","Fafe",0,3.52,0,7.03,0,10.55
308,"1130308","Guimarães",0,21.1,0,73.85,0,94.95
309,"1130309","Póvoa de Lanhoso",0,10.55,0,28.13,0,38.68
1314,"1131314","Santo Tirso",0,42.2,0,28.13,10.55,80.88
1318,"1131318","Trofa",0,3.52,0,0,0,3.52
311,"1130311","Vieira do Minho",0,14.07,0,10.55,0,24.62
312,"1130312","Vila Nova de Famalicão",0,10.55,0,14.07,0,24.62
314,"1130314","Vizela",0,10.55,0,3.52,3.52,17.59
107,"1140107","Espinho",0,0,0,0,0,0
1304,"1141304","Gondomar",0,42.2,0,21.1,0,63.3
1306,"1141306","Maia",0,3.52,0,3.52,0,7.04
1308,"1141308","Matosinhos",0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0
1315,"1141315","Valongo",0,3.52,0,3.52,0,7.04
1316,"1141316","Vila do Conde",0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",4.56,21.1,0,7.03,0,32.69
1301,"1151301","Amarante",0,147.69,0,45.71,3.52,196.92
1302,"1151302","Baião",0,168.79,0,63.3,14.07,246.16
304,"1150304","Cabeceiras de Basto",0,14.07,0,10.55,0,24.62
106,"1150106","Castelo de Paiva",0,31.65,0,7.03,7.03,45.71
305,"1150305","Celorico de Basto",0,45.71,0,35.16,7.03,87.9
1804,"1151804","Cinfães",0,140.66,0,10.55,0,151.21
1303,"1151303","Felgueiras",0,10.55,0,21.1,0,31.65
1305,"1151305","Lousada",0,17.58,0,7.03,0,24.61
1307,"1151307","Marco de Canaveses",4.56,45.71,0,10.55,45.71,106.53
1705,"1151705","Mondim de Basto",0,14.07,0,14.07,0,28.14
1309,"1151309","Paços de Ferreira",0,0,0,0,0,0
1310,"1151310","Paredes",0,10.55,0,3.52,0,14.07
1311,"1151311","Penafiel",0,52.75,0,3.52,14.07,70.34
1813,"1151813","Resende",4.56,741.98,0,94.94,3.52,845
1709,"1151709","Ribeira de Pena",0,73.85,0,14.07,7.03,94.95
104,"1160104","Arouca",0,66.81,0,7.03,0,73.84
113,"1160113","Oliveira de Azeméis",0,3.52,0,0,0,3.52
109,"1160109","Santa Maria da Feira",0,7.03,0,3.52,0,10.55
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",0,7.03,0,0,0,7.03
1701,"1171701","Alijó",707.1,390.33,0,45.71,0,1143.14
1801,"1171801","Armamar",18.25,523.96,0,21.1,3.52,566.83
403,"1170403","Carrazeda de Ansiães",1309.27,429.01,0,63.3,3.52,1805.1
404,"1170404","Freixo de Espada à Cinta",5465.18,175.82,0,10.55,0,5651.55
1805,"1171805","Lamego",0,320,0,24.62,3.52,348.14
1704,"1171704","Mesão Frio",4.56,7.03,0,3.52,10.55,25.66
1807,"1171807","Moimenta da Beira",0,910.77,0,42.2,49.23,1002.2
1812,"1171812","Penedono",328.46,5095.38,0,42.2,24.62,5490.66
1708,"1171708","Peso da Régua",0,158.24,0,3.52,3.52,165.28
1710,"1171710","Sabrosa",4.56,158.24,0,17.58,3.52,183.9
1711,"1171711","Santa Marta de Penaguião",13.69,200.44,0,14.07,0,228.2
1815,"1171815","São João da Pesqueira",3398.63,1269.45,0,98.46,10.55,4777.09
1818,"1171818","Sernancelhe",13.69,3256.26,0,70.33,56.26,3396.54
