Muni_ID,ID,Muni,tot_orange
1601,1111601,Arcos de Valdevez,2
1602,1111602,Caminha,1
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,11
1607,1111607,Ponte de Lima,22
1608,1111608,Valença,0
1609,1111609,Viana do Castelo,9
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,76
302,1120302,Barcelos,15
303,1120303,Braga,12
306,1120306,Esposende,0
310,1120310,Terras de Bouro,2
313,1120313,Vila Verde,15
307,1130307,Fafe,1
308,1130308,Guimarães,8
309,1130309,Póvoa de Lanhoso,6
1314,1131314,Santo Tirso,14
1318,1131318,Trofa,2
311,1130311,Vieira do Minho,4
312,1130312,Vila Nova de Famalicão,7
314,1130314,Vizela,2
107,1140107,Espinho,0
1304,1141304,Gondomar,2
1306,1141306,Maia,2
1308,1141308,Matosinhos,1
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,1
1316,1141316,Vila do Conde,2
1317,1141317,Vila Nova de Gaia,3
1301,1151301,Amarante,7
1302,1151302,Baião,24
304,1150304,Cabeceiras de Basto,1
106,1150106,Castelo de Paiva,2
305,1150305,Celorico de Basto,2
1804,1151804,Cinfães,15
1303,1151303,Felgueiras,3
1305,1151305,Lousada,2
1307,1151307,Marco de Canaveses,19
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,1
1310,1151310,Paredes,2
1311,1151311,Penafiel,7
1813,1151813,Resende,3
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,1
113,1160113,Oliveira de Azeméis,1
109,1160109,Santa Maria da Feira,0
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,31
1801,1171801,Armamar,18
403,1170403,Carrazeda de Ansiães,48
404,1170404,Freixo de Espada à Cinta,115
1805,1171805,Lamego,9
1704,1171704,Mesão Frio,2
1807,1171807,Moimenta da Beira,0
1812,1171812,Penedono,0
1708,1171708,Peso da Régua,6
1710,1171710,Sabrosa,7
1711,1171711,Santa Marta de Penaguião,2
1815,1171815,São João da Pesqueira,20
1818,1171818,Sernancelhe,0
1819,1171819,Tabuaço,11
1820,1171820,Tarouca,0
409,1170409,Torre de Moncorvo,73
410,1170410,Vila Flor,58
914,1170914,Vila Nova de Foz Côa,21
1714,1171714,Vila Real,3
401,1180401,Alfândega da Fé,7
1702,1181702,Boticas,0
402,1180402,Bragança,0
1703,1181703,Chaves,0
405,1180405,Macedo de Cavaleiros,0
406,1180406,Miranda do Douro,0
407,1180407,Mirandela,8
408,1180408,Mogadouro,0
1706,1181706,Montalegre,0
1707,1181707,Murça,0
1712,1181712,Valpaços,1
1713,1181713,Vila Pouca de Aguiar,0
411,1180411,Vimioso,0
412,1180412,Vinhais,0
101,1610101,Águeda,9
102,1610102,Albergaria-a-Velha,2
103,1610103,Anadia,9
105,1610105,Aveiro,3
108,1610108,Estarreja,0
110,1610110,Ílhavo,1
111,1610111,Mealhada,10
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,4
115,1610115,Ovar,0
117,1610117,Sever do Vouga,7
118,1610118,Vagos,2
602,1620602,Cantanhede,21
603,1620603,Coimbra,39
604,1620604,Condeixa-a-Nova,6
605,1620605,Figueira da Foz,9
608,1620608,Mira,19
610,1620610,Montemor-o-Velho,10
613,1620613,Penacova,5
615,1620615,Soure,8
1004,1631004,Batalha,1
1009,1631009,Leiria,10
1010,1631010,Marinha Grande,3
1015,1631015,Pombal,9
1016,1631016,Porto de Mós,2
1002,1641002,Alvaiázere,3
1003,1641003,Ansião,2
601,1640601,Arganil,0
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,2
606,1640606,Góis,0
607,1640607,Lousã,1
609,1640609,Miranda do Corvo,3
611,1640611,Oliveira do Hospital,2
612,1640612,Pampilhosa da Serra,1
1013,1641013,Pedrógão Grande,1
614,1640614,Penela,0
616,1640616,Tábua,1
617,1640617,Vila Nova de Poiares,1
901,1650901,Aguiar da Beira,0
1802,1651802,Carregal do Sal,0
1803,1651803,Castro Daire,2
1806,1651806,Mangualde,3
1808,1651808,Mortágua,1
1809,1651809,Nelas,1
1810,1651810,Oliveira de Frades,2
1811,1651811,Penalva do Castelo,0
1814,1651814,Santa Comba Dão,3
1816,1651816,São Pedro do Sul,4
1817,1651817,Sátão,0
1821,1651821,Tondela,32
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,6
1824,1651824,Vouzela,0
1413,1661413,Mação,10
506,1660506,Oleiros,3
508,1660508,Proença-a-Nova,14
509,1660509,Sertã,3
510,1660510,Vila de Rei,1
905,1670905,Fornos de Algodres,2
906,1670906,Gouveia,1
912,1670912,Seia,1
902,1680902,Almeida,0
903,1680903,Celorico da Beira,0
904,1680904,Figueira de Castelo Rodrigo,1
907,1680907,Guarda,1
908,1680908,Manteigas,0
909,1680909,Meda,1
910,1680910,Pinhel,0
911,1680911,Sabugal,1
913,1680913,Trancoso,1
502,1690502,Castelo Branco,67
