Muni_ID,ID,Muni,tot_for_maize
110,1610110,Ílhavo,167.6
111,1610111,Mealhada,70.6
112,1610112,Murtosa,1035.2
114,1610114,Oliveira do Bairro,192
115,1610115,Ovar,1346.2
117,1610117,Sever do Vouga,105.2
118,1610118,Vagos,738
602,1620602,Cantanhede,862.6
603,1620603,Coimbra,156.6
604,1620604,Condeixa-a-Nova,64.6
605,1620605,Figueira da Foz,571.8
608,1620608,Mira,374.2
610,1620610,Montemor-o-Velho,1269.6
613,1620613,Penacova,89.4
615,1620615,Soure,111.4
1004,1631004,Batalha,12.4
1009,1631009,Leiria,692.6
1010,1631010,Marinha Grande,7.4
1015,1631015,Pombal,288.6
1016,1631016,Porto de Mós,35.4
1002,1641002,Alvaiázere,35
1003,1641003,Ansião,64.2
601,1640601,Arganil,87
1007,1641007,Castanheira de Pêra,3.2
1008,1641008,Figueiró dos Vinhos,8.6
606,1640606,Góis,16.2
607,1640607,Lousã,11.4
609,1640609,Miranda do Corvo,27.6
611,1640611,Oliveira do Hospital,421.2
612,1640612,Pampilhosa da Serra,16.4
1013,1641013,Pedrógão Grande,9
614,1640614,Penela,46.8
616,1640616,Tábua,178
617,1640617,Vila Nova de Poiares,4.8
901,1650901,Aguiar da Beira,555.4
1802,1651802,Carregal do Sal,79.2
1803,1651803,Castro Daire,248
1806,1651806,Mangualde,436.2
1808,1651808,Mortágua,99.6
1809,1651809,Nelas,109.2
1810,1651810,Oliveira de Frades,276.2
1811,1651811,Penalva do Castelo,99.4
1814,1651814,Santa Comba Dão,77.6
1816,1651816,São Pedro do Sul,435.4
1817,1651817,Sátão,199.2
1821,1651821,Tondela,406
1822,1651822,Vila Nova de Paiva,180.4
1823,1651823,Viseu,285.2
1824,1651824,Vouzela,289.2
1413,1661413,Mação,79.6
506,1660506,Oleiros,95
508,1660508,Proença-a-Nova,471
509,1660509,Sertã,126.2
510,1660510,Vila de Rei,13.4
905,1670905,Fornos de Algodres,613.4
906,1670906,Gouveia,634.2
912,1670912,Seia,904.2
902,1680902,Almeida,374
903,1680903,Celorico da Beira,1031.8
904,1680904,Figueira de Castelo Rodrigo,408.8
907,1680907,Guarda,738.2
908,1680908,Manteigas,97.2
909,1680909,Mêda,202.4
910,1680910,Pinhel,524.2
911,1680911,Sabugal,633.6
913,1680913,Trancoso,604.2
502,1690502,Castelo Branco,3306.4
505,1690505,Idanha-a-Nova,2456.2
507,1690507,Penamacor,936.2
511,1690511,Vila Velha de Ródão,401.8
501,16A0501,Belmonte,515.2
503,16A0503,Covilhã,788.4
504,16A0504,Fundão,3152.2
1001,16B1001,Alcobaça,191.4
1101,16B1101,Alenquer,51
1102,16B1102,Arruda dos Vinhos,28.6
1005,16B1005,Bombarral,7.4
1104,16B1104,Cadaval,9
1006,16B1006,Caldas da Rainha,35.2
1108,16B1108,Lourinhã,0
1011,16B1011,Nazaré,90.8
1012,16B1012,Óbidos,7
1014,16B1014,Peniche,33.8
1112,16B1112,Sobral de Monte Agraço,50.6
1113,16B1113,Torres Vedras,388.2
1401,16C1401,Abrantes,130.2
1402,16C1402,Alcanena,40.4
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,16.8
1421,16C1421,Ourém,153.2
1417,16C1417,Sardoal,5.2
1418,16C1418,Tomar,84.2
1419,16C1419,Torres Novas,22.8
1420,16C1420,Vila Nova da Barquinha,8.2
1115,1711115,Amadora,0
1105,1711105,Cascais,1.2
1106,1711106,Lisboa,0
1107,1711107,Loures,196.8
1109,1711109,Mafra,126
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,114.6
1114,1711114,Vila Franca de Xira,811.8
1502,1721502,Alcochete,16
1503,1721503,Almada,4
1504,1721504,Barreiro,1.2
1506,1721506,Moita,152.2
1507,1721507,Montijo,213.6
1508,1721508,Palmela,595.4
1510,1721510,Seixal,2
1511,1721511,Sesimbra,47.8
1512,1721512,Setúbal,22.6
1501,1811501,Alcácer do Sal,334.6
1505,1811505,Grândola,327.8
211,1810211,Odemira,1296.8
1509,1811509,Santiago do Cacém,249.2
1513,1811513,Sines,237.8
1201,1821201,Alter do Chão,173.8
1202,1821202,Arronches,304.8
1203,1821203,Avis,479.8
1204,1821204,Campo Maior,0
1205,1821205,Castelo de Vide,144.6
1206,1821206,Crato,116.4
1207,1821207,Elvas,490.6
1208,1821208,Fronteira,148.4
1209,1821209,Gavião,48.6
1210,1821210,Marvão,14.4
1211,1821211,Monforte,83
707,1820707,Mora,115.2
1212,1821212,Nisa,218
1213,1821213,Ponte de Sor,246.6
1214,1821214,Portalegre,117.6
701,1830701,Alandroal,111.6
702,1830702,Arraiolos,310.8
703,1830703,Borba,0
704,1830704,Estremoz,203.2
705,1830705,Évora,600.6
706,1830706,Montemor-o-Novo,1865.8
708,1830708,Mourão,0
709,1830709,Portel,202.8
710,1830710,Redondo,174
711,1830711,Reguengos de Monsaraz,0
1215,1831215,Sousel,229.6
712,1830712,Vendas Novas,113.8
713,1830713,Viana do Alentejo,301.6
714,1830714,Vila Viçosa,0
201,1840201,Aljustrel,171.6
202,1840202,Almodôvar,32.6
203,1840203,Alvito,0
204,1840204,Barrancos,0
205,1840205,Beja,0
206,1840206,Castro Verde,166.8
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,608.2
209,1840209,Mértola,0
210,1840210,Moura,0
212,1840212,Ourique,128
213,1840213,Serpa,195.6
214,1840214,Vidigueira,182.2
1403,1851403,Almeirim,30.2
1404,1851404,Alpiarça,0
1103,1851103,Azambuja,41.2
1405,1851405,Benavente,1041.4
1406,1851406,Cartaxo,60
1407,1851407,Chamusca,466
1409,1851409,Coruche,705.6
1412,1851412,Golegã,6
1414,1851414,Rio Maior,107.8
1415,1851415,Salvaterra de Magos,97.8
1416,1851416,Santarém,232.8
801,1500801,Albufeira,0
802,1500802,Alcoutim,53.6
803,1500803,Aljezur,56.4
804,1500804,Castro Marim,13.2
805,1500805,Faro,6.6
806,1500806,Lagoa,2.8
807,1500807,Lagos,66.2
808,1500808,Loulé,16.4
809,1500809,Monchique,24
810,1500810,Olhão,1.2
811,1500811,Portimão,14.6
812,1500812,São Brás de Alportel,0
813,1500813,Silves,29.4
814,1500814,Tavira,19.4
815,1500815,Vila do Bispo,39.6
816,1500816,Vila Real de Santo António,0
