"Muni_ID","ID","Muni","Does","Other_caprine"
1601,"1111601","Arcos de Valdevez",2.25,7.5
1602,"1111602","Caminha",0,0.75
1603,"1111603","Melgaço",0,3.375
1604,"1111604","Monção",0,1.5
1605,"1111605","Paredes de Coura",0,1.5
1606,"1111606","Ponte da Barca",0,3.375
1607,"1111607","Ponte de Lima",0,7.875
1608,"1111608","Valença",0,1.125
1609,"1111609","Viana do Castelo",0,2.25
1610,"1111610","Vila Nova de Cerveira",0,1.5
301,"1120301","Amares",0,1.125
302,"1120302","Barcelos",0,2.625
303,"1120303","Braga",0,0.75
306,"1120306","Esposende",0,0.375
310,"1120310","Terras de Bouro",1.875,1.875
313,"1120313","Vila Verde",7.5,2.625
307,"1130307","Fafe",0,1.125
308,"1130308","Guimarães",0,0.375
309,"1130309","Póvoa de Lanhoso",0,1.125
1314,"1131314","Santo Tirso",0,0.75
1318,"1131318","Trofa",0,0.375
311,"1130311","Vieira do Minho",0,1.125
312,"1130312","Vila Nova de Famalicão",1.125,0.75
314,"1130314","Vizela",0,0
107,"1140107","Espinho",0,0
1304,"1141304","Gondomar",0,0.375
1306,"1141306","Maia",0,0.375
1308,"1141308","Matosinhos",0,0
1312,"1141312","Porto",0,0
1313,"1141313","Póvoa de Varzim",4.125,0.375
1315,"1141315","Valongo",0,0
1316,"1141316","Vila do Conde",0,0.375
1317,"1141317","Vila Nova de Gaia",0,0.375
1301,"1151301","Amarante",0,4.5
1302,"1151302","Baião",0,3.75
304,"1150304","Cabeceiras de Basto",0,2.25
106,"1150106","Castelo de Paiva",0,1.5
305,"1150305","Celorico de Basto",0,2.25
1804,"1151804","Cinfães",0,6
1303,"1151303","Felgueiras",0,0.375
1305,"1151305","Lousada",0,0.375
1307,"1151307","Marco de Canaveses",0.375,1.125
1705,"1151705","Mondim de Basto",0,10.875
1309,"1151309","Paços de Ferreira",0,0.75
1310,"1151310","Paredes",0,0.75
1311,"1151311","Penafiel",0,0.75
1813,"1151813","Resende",0,0.375
1709,"1151709","Ribeira de Pena",0,9.75
104,"1160104","Arouca",0,5.25
113,"1160113","Oliveira de Azeméis",3,2.25
109,"1160109","Santa Maria da Feira",0,0.375
116,"1160116","São João da Madeira",0,0
119,"1160119","Vale de Cambra",0,4.875
1701,"1171701","Alijó",6.75,0.375
1801,"1171801","Armamar",1.125,0
403,"1170403","Carrazeda de Ansiães",3.75,0.375
404,"1170404","Freixo de Espada à Cinta",3.75,0
1805,"1171805","Lamego",0.75,0.75
1704,"1171704","Mesão Frio",0,0
1807,"1171807","Moimenta da Beira",2.625,1.5
1812,"1171812","Penedono",2.625,0.375
1708,"1171708","Peso da Régua",0.75,0
1710,"1171710","Sabrosa",0.375,0.375
1711,"1171711","Santa Marta de Penaguião",0,0
1815,"1171815","São João da Pesqueira",5.625,0.75
1818,"1171818","Sernancelhe",7.875,0.75
1819,"1171819","Tabuaço",0,0
1820,"1171820","Tarouca",3,0.375
409,"1170409","Torre de Moncorvo",8.625,0.375
410,"1170410","Vila Flor",7.125,0.75
914,"1170914","Vila Nova de Foz Côa",3.75,0.375
1714,"1171714","Vila Real",3,3.375
401,"1180401","Alfândega da Fé",8.25,1.125
1702,"1181702","Boticas",1.125,2.625
402,"1180402","Bragança",5.25,7.875
1703,"1181703","Chaves",1.125,3
405,"1180405","Macedo de Cavaleiros",13.875,6.375
406,"1180406","Miranda do Douro",0.375,1.5
407,"1180407","Mirandela",13.875,4.5
408,"1180408","Mogadouro",9.375,11.625
1706,"1181706","Montalegre",4.875,7.875
1707,"1181707","Murça",8.25,2.25
1712,"1181712","Valpaços",7.5,4.5
1713,"1181713","Vila Pouca de Aguiar",2.25,7.5
411,"1180411","Vimioso",8.625,3
412,"1180412","Vinhais",0,1.875
101,"1610101","Águeda",0.375,2.25
102,"1610102","Albergaria-a-Velha",1.125,0.375
103,"1610103","Anadia",0.375,1.875
105,"1610105","Aveiro",0.375,1.5
108,"1610108","Estarreja",1.125,1.5
110,"1610110","Ílhavo",0,0.375
111,"1610111","Mealhada",0.75,1.875
112,"1610112","Murtosa",0,0.375
114,"1610114","Oliveira do Bairro",0,0.375
115,"1610115","Ovar",0,0.375
117,"1610117","Sever do Vouga",0,3
118,"1610118","Vagos",0.75,0.75
602,"1620602","Cantanhede",2.25,3.375
603,"1620603","Coimbra",2.25,6.375
604,"1620604","Condeixa-a-Nova",9.375,4.875
605,"1620605","Figueira da Foz",1.125,0.75
608,"1620608","Mira",0.375,0.375
610,"1620610","Montemor-o-Velho",1.875,2.625
613,"1620613","Penacova",1.875,4.875
615,"1620615","Soure",10.125,3
1004,"1631004","Batalha",1.5,0.75
1009,"1631009","Leiria",5.25,2.25
1010,"1631010","Marinha Grande",0,0
1015,"1631015","Pombal",6.375,4.125
1016,"1631016","Porto de Mós",13.5,4.125
1002,"1641002","Alvaiázere",9,1.875
1003,"1641003","Ansião",10.5,2.25
601,"1640601","Arganil",4.875,6
1007,"1641007","Castanheira de Pêra",0.75,0.75
1008,"1641008","Figueiró dos Vinhos",0,1.125
606,"1640606","Góis",3,2.625
607,"1640607","Lousã",1.875,1.875
609,"1640609","Miranda do Corvo",2.625,1.5
611,"1640611","Oliveira do Hospital",6.375,2.625
612,"1640612","Pampilhosa da Serra",2.25,1.875
1013,"1641013","Pedrógão Grande",1.875,0.375
