"Muni_ID","ID","Muni","forage_maize","forage_mixture","forage_oat","forage_roots","forage_sorghum","total"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0
1602,"1111602","Caminha",0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0
1607,"1111607","Ponte de Lima",2888.73,0,0,0,0,2888.73
1608,"1111608","Valença",622.02,0,0,0,0,622.02
1609,"1111609","Viana do Castelo",1831.5,0,0,0,0,1831.5
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0
301,"1120301","Amares",549.95,0,0,0,0,549.95
302,"1120302","Barcelos",349736.88,0,0,0,0,349736.88
303,"1120303","Braga",9902.68,0,2003.7,0,0,11906.38
306,"1120306","Esposende",14819.2,0,0,0,0,14819.2
310,"1120310","Terras de Bouro",0,0,0,0,0,0
313,"1120313","Vila Verde",1895.4,0,0,0,0,1895.4
307,"1130307","Fafe",0,0,0,0,0,0
308,"1130308","Guimarães",1249.56,0,0,0,0,1249.56
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0
1314,"1131314","Santo Tirso",14589.9,0,0,0,0,14589.9
1318,"1131318","Trofa",70829.44,0,0,0,0,70829.44
311,"1130311","Vieira do Minho",0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",177882.03,0,0,0,0,177882.03
314,"1130314","Vizela",0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0
1304,"1141304","Gondomar",1407.77,0,0,0,0,1407.77
1306,"1141306","Maia",36598.32,0,0,0,0,36598.32
1308,"1141308","Matosinhos",10920,0,0,0,0,10920
1312,"1141312","Porto",0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",352342.48,0,0,0,0,352342.48
1315,"1141315","Valongo",0,0,0,0,0,0
1316,"1141316","Vila do Conde",710738.55,810.03,0,0,0,711548.58
1317,"1141317","Vila Nova de Gaia",0,0,0,0,0,0
1301,"1151301","Amarante",20.44,0,20.49,0,0,40.93
1302,"1151302","Baião",0,0,0,0,0,0
304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0
106,"1150106","Castelo de Paiva",0,0,0,0,0,0
305,"1150305","Celorico de Basto",705.69,0,0,0,0,705.69
1804,"1151804","Cinfães",0,0,0,0,0,0
1303,"1151303","Felgueiras",7764.9,0,0,0,0,7764.9
1305,"1151305","Lousada",0,0,0,0,0,0
1307,"1151307","Marco de Canaveses",504.63,0,0,0,0,504.63
1705,"1151705","Mondim de Basto",235.56,0,0,0,0,235.56
1309,"1151309","Paços de Ferreira",3738.98,0,0,0,0,3738.98
1310,"1151310","Paredes",0,0,0,0,0,0
1311,"1151311","Penafiel",3379.59,0,0,0,0,3379.59
1813,"1151813","Resende",0,0,0,0,0,0
1709,"1151709","Ribeira de Pena",0,0,0,0,0,0
104,"1160104","Arouca",91.77,0,182.42,0,0,274.19
113,"1160113","Oliveira de Azeméis",4025.7,0,0,0,0,4025.7
109,"1160109","Santa Maria da Feira",1183.41,0,0,0,0,1183.41
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",0,0,0,0,0,0
1701,"1171701","Alijó",0,0,0,0,0,0
1801,"1171801","Armamar",0,0,0,0,0,0
403,"1170403","Carrazeda de Ansiães",0,0,0,0,0,0
404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0
1805,"1171805","Lamego",0,0,0,0,0,0
1704,"1171704","Mesão Frio",0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",186.68,0,0,0,0,186.68
1812,"1171812","Penedono",106.7,0,0,53.73,0,160.43
1708,"1171708","Peso da Régua",0,0,0,0,0,0
1710,"1171710","Sabrosa",0,0,0,0,0,0
1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",0,0,0,0,0,0
1818,"1171818","Sernancelhe",32.25,0,0,0,0,32.25
1819,"1171819","Tabuaço",0,0,90.59,0,0,90.59
1820,"1171820","Tarouca",0,0,1221.84,0,0,1221.84
409,"1170409","Torre de Moncorvo",0,0,0,0,0,0
410,"1170410","Vila Flor",0,0,0,0,0,0
914,"1170914","Vila Nova de Foz Côa",0,0,0,0,0,0
1714,"1171714","Vila Real",0,0,0,0,0,0
401,"1180401","Alfândega da Fé",0,0,0,0,0,0
1702,"1181702","Boticas",0,0,0,0,0,0
402,"1180402","Bragança",0,0,0,0,0,0
1703,"1181703","Chaves",3282.4,0,1724.31,0,0,5006.71
405,"1180405","Macedo de Cavaleiros",127.66,0,0,0,0,127.66
406,"1180406","Miranda do Douro",0,0,0,0,0,0
407,"1180407","Mirandela",579.84,0,0,0,142.82,722.66
408,"1180408","Mogadouro",428.1,0,0,0,0,428.1
1706,"1181706","Montalegre",166.2,0,0,0,0,166.2
1707,"1181707","Murça",0,0,0,0,0,0
1712,"1181712","Valpaços",0,0,0,0,0,0
1713,"1181713","Vila Pouca de Aguiar",0,0,0,0,0,0
411,"1180411","Vimioso",0,0,0,0,0,0
412,"1180412","Vinhais",0,0,0,0,0,0
101,"1610101","Águeda",13844.25,0,0,0,0,13844.25
102,"1610102","Albergaria-a-Velha",10957.1,0,0,0,0,10957.1
103,"1610103","Anadia",8081.76,4566.78,0,0,0,12648.54
105,"1610105","Aveiro",15130.55,0,0,0,0,15130.55
108,"1610108","Estarreja",48210.72,0,0,0,0,48210.72
110,"1610110","Ílhavo",1351.46,0,0,0,0,1351.46
111,"1610111","Mealhada",12282.8,0,4921.44,0,1531.95,18736.19
112,"1610112","Murtosa",67992.08,0,0,0,0,67992.08
114,"1610114","Oliveira do Bairro",0,0,0,0,0,0
115,"1610115","Ovar",9522.04,0,0,0,644.52,10166.56
117,"1610117","Sever do Vouga",0,0,0,0,0,0
118,"1610118","Vagos",19937.28,0,0,0,0,19937.28
602,"1620602","Cantanhede",9393.12,0,0,0,0,9393.12
603,"1620603","Coimbra",0,0,0,0,0,0
604,"1620604","Condeixa-a-Nova",0,0,0,0,0,0
605,"1620605","Figueira da Foz",6718.14,0,0,0,0,6718.14
608,"1620608","Mira",11084.31,1997.38,0,0,0,13081.69
610,"1620610","Montemor-o-Velho",18232.59,2935.24,0,0,0,21167.83
613,"1620613","Penacova",0,0,0,0,0,0
615,"1620615","Soure",2804.34,0,0,0,0,2804.34
1004,"1631004","Batalha",0,0,131.85,0,0,131.85
1009,"1631009","Leiria",5427.51,0,0,0,0,5427.51
1010,"1631010","Marinha Grande",0,0,0,0,0,0
1015,"1631015","Pombal",2877.55,0,0,0,0,2877.55
1016,"1631016","Porto de Mós",0,0,0,0,0,0
1002,"1641002","Alvaiázere",0,0,0,0,0,0
1003,"1641003","Ansião",0,0,0,0,0,0
601,"1640601","Arganil",0,0,0,0,0,0
1007,"1641007","Castanheira de Pêra",0,0,0,0,0,0
1008,"1641008","Figueiró dos Vinhos",0,0,0,0,0,0
606,"1640606","Góis",0,0,0,0,0,0
607,"1640607","Lousã",0,0,0,0,0,0
609,"1640609","Miranda do Corvo",0,0,0,0,0,0
611,"1640611","Oliveira do Hospital",0,0,0,0,0,0
612,"1640612","Pampilhosa da Serra",0,0,0,0,0,0
1013,"1641013","Pedrógão Grande",0,0,0,0,0,0
614,"1640614","Penela",637.52,0,0,0,0,637.52
616,"1640616","Tábua",0,0,0,0,0,0
617,"1640617","Vila Nova de Poiares",0,0,0,0,0,0
901,"1650901","Aguiar da Beira",0,0,0,0,0,0
1802,"1651802","Carregal do Sal",0,0,0,0,0,0
1803,"1651803","Castro Daire",0,0,0,0,0,0
1806,"1651806","Mangualde",50.27,0,0,0,0,50.27
