"Muni_ID","ID","Muni","forage_maize"
1710,"1171710","Sabrosa",1.09
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",16.96
1818,"1171818","Sernancelhe",0
1819,"1171819","Tabuaço",1.5
1820,"1171820","Tarouca",58.79
409,"1170409","Torre de Moncorvo",15.34
410,"1170410","Vila Flor",0.04
914,"1170914","Vila Nova de Foz Côa",4.8
1714,"1171714","Vila Real",627.53
401,"1180401","Alfândega da Fé",0
1702,"1181702","Boticas",0
402,"1180402","Bragança",120.74
1703,"1181703","Chaves",292.1
405,"1180405","Macedo de Cavaleiros",27.47
406,"1180406","Miranda do Douro",0
407,"1180407","Mirandela",31.84
408,"1180408","Mogadouro",0
1706,"1181706","Montalegre",23.61
1707,"1181707","Murça",3.48
1712,"1181712","Valpaços",7.91
1713,"1181713","Vila Pouca de Aguiar",0
411,"1180411","Vimioso",0.2
412,"1180412","Vinhais",0.23
101,"1610101","Águeda",47.18
102,"1610102","Albergaria-a-Velha",0
103,"1610103","Anadia",0
105,"1610105","Aveiro",3040.46
108,"1610108","Estarreja",0
110,"1610110","Ílhavo",2164.74
111,"1610111","Mealhada",53.91
112,"1610112","Murtosa",0
114,"1610114","Oliveira do Bairro",25.44
115,"1610115","Ovar",127.56
117,"1610117","Sever do Vouga",0
118,"1610118","Vagos",0
602,"1620602","Cantanhede",25.22
603,"1620603","Coimbra",693.7
604,"1620604","Condeixa-a-Nova",54.89
605,"1620605","Figueira da Foz",1292.2
608,"1620608","Mira",0
610,"1620610","Montemor-o-Velho",4.27
613,"1620613","Penacova",50.18
615,"1620615","Soure",104.17
1004,"1631004","Batalha",1.02
1009,"1631009","Leiria",2978.77
1010,"1631010","Marinha Grande",0
1015,"1631015","Pombal",965.38
1016,"1631016","Porto de Mós",0
1002,"1641002","Alvaiázere",0
1003,"1641003","Ansião",9.84
601,"1640601","Arganil",0
1007,"1641007","Castanheira de Pêra",0
1008,"1641008","Figueiró dos Vinhos",0
606,"1640606","Góis",0
607,"1640607","Lousã",3.4
609,"1640609","Miranda do Corvo",0
611,"1640611","Oliveira do Hospital",121.59
612,"1640612","Pampilhosa da Serra",0
1013,"1641013","Pedrógão Grande",0
614,"1640614","Penela",0
616,"1640616","Tábua",0
617,"1640617","Vila Nova de Poiares",0
901,"1650901","Aguiar da Beira",0
1802,"1651802","Carregal do Sal",0
1803,"1651803","Castro Daire",0
1806,"1651806","Mangualde",0
1808,"1651808","Mortágua",0
1809,"1651809","Nelas",0
1810,"1651810","Oliveira de Frades",126.45
1811,"1651811","Penalva do Castelo",0
1814,"1651814","Santa Comba Dão",3.34
1816,"1651816","São Pedro do Sul",518.18
1817,"1651817","Sátão",0
1821,"1651821","Tondela",543.77
1822,"1651822","Vila Nova de Paiva",0
1823,"1651823","Viseu",119.6
1824,"1651824","Vouzela",248.35
1413,"1661413","Mação",0
506,"1660506","Oleiros",0
508,"1660508","Proença-a-Nova",0
509,"1660509","Sertã",0
510,"1660510","Vila de Rei",0
905,"1670905","Fornos de Algodres",0
906,"1670906","Gouveia",0
912,"1670912","Seia",685.81
902,"1680902","Almeida",5.84
903,"1680903","Celorico da Beira",0
904,"1680904","Figueira de Castelo Rodrigo",0.21
907,"1680907","Guarda",501.96
908,"1680908","Manteigas",6.77
909,"1680909","Mêda",0
910,"1680910","Pinhel",6.42
911,"1680911","Sabugal",11.65
913,"1680913","Trancoso",0
502,"1690502","Castelo Branco",0
505,"1690505","Idanha-a-Nova",0
507,"1690507","Penamacor",0
511,"1690511","Vila Velha de Ródão",0
501,"16A0501","Belmonte",1.52
503,"16A0503","Covilhã",0.59
504,"16A0504","Fundão",244.15
1001,"16B1001","Alcobaça",0.91
1101,"16B1101","Alenquer",11.96
1102,"16B1102","Arruda dos Vinhos",0
1005,"16B1005","Bombarral",0
1104,"16B1104","Cadaval",0
1006,"16B1006","Caldas da Rainha",105.93
1108,"16B1108","Lourinhã",0
1011,"16B1011","Nazaré",195.73
1012,"16B1012","Óbidos",127.42
1014,"16B1014","Peniche",395.49
1112,"16B1112","Sobral de Monte Agraço",0
1113,"16B1113","Torres Vedras",121.24
1401,"16C1401","Abrantes",50.79
1402,"16C1402","Alcanena",0
1408,"16C1408","Constância",0
1410,"16C1410","Entroncamento",0
1411,"16C1411","Ferreira do Zêzere",0
1421,"16C1421","Ourém",588.74
1417,"16C1417","Sardoal",0.37
1418,"16C1418","Tomar",397.21
1419,"16C1419","Torres Novas",0
1420,"16C1420","Vila Nova da Barquinha",0
1115,"1711115","Amadora",0
1105,"1711105","Cascais",2.19
1106,"1711106","Lisboa",0
1107,"1711107","Loures",577.08
1109,"1711109","Mafra",219.64
1116,"1711116","Odivelas",0
1110,"1711110","Oeiras",0
1111,"1711111","Sintra",264.08
1114,"1711114","Vila Franca de Xira",1657
1502,"1721502","Alcochete",82.44
1503,"1721503","Almada",15.35
1504,"1721504","Barreiro",3.05
1506,"1721506","Moita",344
1507,"1721507","Montijo",924.83
1508,"1721508","Palmela",1643.15
1510,"1721510","Seixal",17.08
1511,"1721511","Sesimbra",147.43
1512,"1721512","Setúbal",60.99
1501,"1811501","Alcácer do Sal",0
1505,"1811505","Grândola",10.06
211,"1810211","Odemira",1.36
1509,"1811509","Santiago do Cacém",0
1513,"1811513","Sines",362.56
1201,"1821201","Alter do Chão",0
1202,"1821202","Arronches",5.55
1203,"1821203","Avis",0
1204,"1821204","Campo Maior",0
1205,"1821205","Castelo de Vide",17.58
1206,"1821206","Crato",4.37
1207,"1821207","Elvas",74.88
1208,"1821208","Fronteira",0
1209,"1821209","Gavião",0.46
1210,"1821210","Marvão",1.17
1211,"1821211","Monforte",0
707,"1820707","Mora",0
1212,"1821212","Nisa",37.4
1213,"1821213","Ponte de Sor",5.02
1214,"1821214","Portalegre",179.38
701,"1830701","Alandroal",0
702,"1830702","Arraiolos",0
703,"1830703","Borba",0
704,"1830704","Estremoz",0
705,"1830705","Évora",0
706,"1830706","Montemor-o-Novo",11.18
708,"1830708","Mourão",0
709,"1830709","Portel",1038.91
710,"1830710","Redondo",0
711,"1830711","Reguengos de Monsaraz",0
1215,"1831215","Sousel",6.26
712,"1830712","Vendas Novas",0
713,"1830713","Viana do Alentejo",0
714,"1830714","Vila Viçosa",0
201,"1840201","Aljustrel",0
202,"1840202","Almodôvar",0
203,"1840203","Alvito",0
204,"1840204","Barrancos",0
205,"1840205","Beja",0
206,"1840206","Castro Verde",79.75
207,"1840207","Cuba",0
208,"1840208","Ferreira do Alentejo",0
209,"1840209","Mértola",0
210,"1840210","Moura",0
212,"1840212","Ourique",0
213,"1840213","Serpa",0
214,"1840214","Vidigueira",0.69
1403,"1851403","Almeirim",0.58
1404,"1851404","Alpiarça",0
1103,"1851103","Azambuja",4.42
1405,"1851405","Benavente",214.11
1406,"1851406","Cartaxo",0
1407,"1851407","Chamusca",29.98
1409,"1851409","Coruche",33.78
1412,"1851412","Golegã",0.21
1414,"1851414","Rio Maior",0
1415,"1851415","Salvaterra de Magos",0.18
1416,"1851416","Santarém",85.83
801,"1500801","Albufeira",0
802,"1500802","Alcoutim",0
803,"1500803","Aljezur",37.07
804,"1500804","Castro Marim",0
805,"1500805","Faro",0
806,"1500806","Lagoa",4.77
807,"1500807","Lagos",288.85
808,"1500808","Loulé",43.06
809,"1500809","Monchique",0
810,"1500810","Olhão",1.23
811,"1500811","Portimão",0
812,"1500812","São Brás de Alportel",0
813,"1500813","Silves",11.33
814,"1500814","Tavira",18.54
815,"1500815","Vila do Bispo",7.95
816,"1500816","Vila Real de Santo António",0
