Muni_ID,ID,Muni,tot_chestnut
1601,1111601,Arcos de Valdevez,15
1602,1111602,Caminha,1
1603,1111603,Melgaço,1
1604,1111604,Monção,1
1605,1111605,Paredes de Coura,5
1606,1111606,Ponte da Barca,8
1607,1111607,Ponte de Lima,29
1608,1111608,Valença,1
1609,1111609,Viana do Castelo,7
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,9
302,1120302,Barcelos,15
303,1120303,Braga,12
306,1120306,Esposende,1
310,1120310,Terras de Bouro,5
313,1120313,Vila Verde,18
307,1130307,Fafe,1
308,1130308,Guimarães,15
309,1130309,Póvoa de Lanhoso,4
1314,1131314,Santo Tirso,14
1318,1131318,Trofa,1
311,1130311,Vieira do Minho,3
312,1130312,Vila Nova de Famalicão,17
314,1130314,Vizela,8
107,1140107,Espinho,0
1304,1141304,Gondomar,5
1306,1141306,Maia,1
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,2
1301,1151301,Amarante,11
1302,1151302,Baião,24
304,1150304,Cabeceiras de Basto,14
106,1150106,Castelo de Paiva,2
305,1150305,Celorico de Basto,9
1804,1151804,Cinfães,9
1303,1151303,Felgueiras,1
1305,1151305,Lousada,1
1307,1151307,Marco de Canaveses,3
1705,1151705,Mondim de Basto,5
1309,1151309,Paços de Ferreira,2
1310,1151310,Paredes,2
1311,1151311,Penafiel,6
1813,1151813,Resende,122
1709,1151709,Ribeira de Pena,12
104,1160104,Arouca,15
113,1160113,Oliveira de Azeméis,3
109,1160109,Santa Maria da Feira,1
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,2
1701,1171701,Alijó,89
1801,1171801,Armamar,190
403,1170403,Carrazeda de Ansiães,48
404,1170404,Freixo de Espada à Cinta,37
1805,1171805,Lamego,68
1704,1171704,Mesão Frio,3
1807,1171807,Moimenta da Beira,252
1812,1171812,Penedono,1065
1708,1171708,Peso da Régua,42
1710,1171710,Sabrosa,57
1711,1171711,Santa Marta de Penaguião,74
1815,1171815,São João da Pesqueira,242
1818,1171818,Sernancelhe,589
1819,1171819,Tabuaço,152
1820,1171820,Tarouca,139
409,1170409,Torre de Moncorvo,136
410,1170410,Vila Flor,86
914,1170914,Vila Nova de Foz Côa,2
1714,1171714,Vila Real,236
401,1180401,Alfândega da Fé,366
1702,1181702,Boticas,194
402,1180402,Bragança,5708
1703,1181703,Chaves,1015
405,1180405,Macedo de Cavaleiros,1500
406,1180406,Miranda do Douro,167
407,1180407,Mirandela,133
408,1180408,Mogadouro,208
1706,1181706,Montalegre,319
1707,1181707,Murça,275
1712,1181712,Valpaços,4121
1713,1181713,Vila Pouca de Aguiar,629
411,1180411,Vimioso,673
412,1180412,Vinhais,4570
101,1610101,Águeda,3
102,1610102,Albergaria-a-Velha,0
103,1610103,Anadia,3
105,1610105,Aveiro,0
108,1610108,Estarreja,0
