Muni_ID,ID,Muni,tot_nuts
1601,1111601,Arcos de Valdevez,6
1602,1111602,Caminha,0
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,6
1607,1111607,Ponte de Lima,6
1608,1111608,Valença,1
1609,1111609,Viana do Castelo,1
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,4
302,1120302,Barcelos,5
303,1120303,Braga,12
306,1120306,Esposende,0
310,1120310,Terras de Bouro,1
313,1120313,Vila Verde,10
307,1130307,Fafe,5
308,1130308,Guimarães,23
309,1130309,Póvoa de Lanhoso,24
1314,1131314,Santo Tirso,11
1318,1131318,Trofa,1
311,1130311,Vieira do Minho,1
312,1130312,Vila Nova de Famalicão,12
314,1130314,Vizela,3
107,1140107,Espinho,0
1304,1141304,Gondomar,1
1306,1141306,Maia,0
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,1
1301,1151301,Amarante,8
1302,1151302,Baião,13
304,1150304,Cabeceiras de Basto,5
106,1150106,Castelo de Paiva,0
305,1150305,Celorico de Basto,6
1804,1151804,Cinfães,0
1303,1151303,Felgueiras,4
1305,1151305,Lousada,1
1307,1151307,Marco de Canaveses,5
1705,1151705,Mondim de Basto,1
1309,1151309,Paços de Ferreira,2
1310,1151310,Paredes,1
1311,1151311,Penafiel,2
1813,1151813,Resende,9
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,2
113,1160113,Oliveira de Azeméis,3
109,1160109,Santa Maria da Feira,1
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,20
1801,1171801,Armamar,4
403,1170403,Carrazeda de Ansiães,6
404,1170404,Freixo de Espada à Cinta,3
1805,1171805,Lamego,14
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,15
1812,1171812,Penedono,12
1708,1171708,Peso da Régua,2
1710,1171710,Sabrosa,17
1711,1171711,Santa Marta de Penaguião,3
1815,1171815,São João da Pesqueira,26
