Muni_ID,ID,Muni,tot_other_fresh
1601,1111601,Arcos de Valdevez,1
1602,1111602,Caminha,0
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,0
1607,1111607,Ponte de Lima,4
1608,1111608,Valença,0
1609,1111609,Viana do Castelo,2
1610,1111610,Vila Nova de Cerveira,2
301,1120301,Amares,4
302,1120302,Barcelos,4
303,1120303,Braga,9
306,1120306,Esposende,0
310,1120310,Terras de Bouro,0
313,1120313,Vila Verde,6
307,1130307,Fafe,2
308,1130308,Guimarães,6
309,1130309,Póvoa de Lanhoso,3
1314,1131314,Santo Tirso,1
1318,1131318,Trofa,1
311,1130311,Vieira do Minho,1
312,1130312,Vila Nova de Famalicão,5
314,1130314,Vizela,2
107,1140107,Espinho,0
1304,1141304,Gondomar,1
1306,1141306,Maia,1
1308,1141308,Matosinhos,1
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,1
1316,1141316,Vila do Conde,2
1317,1141317,Vila Nova de Gaia,1
1301,1151301,Amarante,6
1302,1151302,Baião,9
304,1150304,Cabeceiras de Basto,0
106,1150106,Castelo de Paiva,1
305,1150305,Celorico de Basto,1
1804,1151804,Cinfães,7
1303,1151303,Felgueiras,8
1305,1151305,Lousada,2
1307,1151307,Marco de Canaveses,3
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,0
1310,1151310,Paredes,2
1311,1151311,Penafiel,7
1813,1151813,Resende,25
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,3
113,1160113,Oliveira de Azeméis,1
109,1160109,Santa Maria da Feira,0
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,1
1701,1171701,Alijó,2
1801,1171801,Armamar,15
403,1170403,Carrazeda de Ansiães,2
404,1170404,Freixo de Espada à Cinta,3
1805,1171805,Lamego,24
1704,1171704,Mesão Frio,1
1807,1171807,Moimenta da Beira,8
1812,1171812,Penedono,6
1708,1171708,Peso da Régua,1
1710,1171710,Sabrosa,3
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,1
1818,1171818,Sernancelhe,16
1819,1171819,Tabuaço,5
1820,1171820,Tarouca,19
409,1170409,Torre de Moncorvo,28
410,1170410,Vila Flor,43
914,1170914,Vila Nova de Foz Côa,9
1714,1171714,Vila Real,7
401,1180401,Alfândega da Fé,8
1702,1181702,Boticas,1
402,1180402,Bragança,13
1703,1181703,Chaves,21
405,1180405,Macedo de Cavaleiros,30
406,1180406,Miranda do Douro,7
407,1180407,Mirandela,171
408,1180408,Mogadouro,11
1706,1181706,Montalegre,0
1707,1181707,Murça,13
1712,1181712,Valpaços,43
1713,1181713,Vila Pouca de Aguiar,4
411,1180411,Vimioso,6
412,1180412,Vinhais,4
101,1610101,Águeda,4
102,1610102,Albergaria-a-Velha,0
103,1610103,Anadia,2
105,1610105,Aveiro,1
108,1610108,Estarreja,0
110,1610110,Ílhavo,1
111,1610111,Mealhada,3
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,2
115,1610115,Ovar,0
117,1610117,Sever do Vouga,10
118,1610118,Vagos,0
602,1620602,Cantanhede,5
603,1620603,Coimbra,6
604,1620604,Condeixa-a-Nova,2
605,1620605,Figueira da Foz,1
608,1620608,Mira,1
610,1620610,Montemor-o-Velho,1
613,1620613,Penacova,0
615,1620615,Soure,2
1004,1631004,Batalha,3
1009,1631009,Leiria,14
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,2
1016,1631016,Porto de Mós,4
1002,1641002,Alvaiázere,1
1003,1641003,Ansião,0
601,1640601,Arganil,1
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,1
606,1640606,Góis,0
607,1640607,Lousã,0
609,1640609,Miranda do Corvo,2
611,1640611,Oliveira do Hospital,4
612,1640612,Pampilhosa da Serra,17
1013,1641013,Pedrógão Grande,2
614,1640614,Penela,0
616,1640616,Tábua,2
617,1640617,Vila Nova de Poiares,1
901,1650901,Aguiar da Beira,1
1802,1651802,Carregal do Sal,2
1803,1651803,Castro Daire,4
1806,1651806,Mangualde,20
1808,1651808,Mortágua,1
1809,1651809,Nelas,15
1810,1651810,Oliveira de Frades,2
1811,1651811,Penalva do Castelo,0
1814,1651814,Santa Comba Dão,1
1816,1651816,São Pedro do Sul,2
1817,1651817,Sátão,1
1821,1651821,Tondela,6
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,14
1824,1651824,Vouzela,1
1413,1661413,Mação,5
506,1660506,Oleiros,17
508,1660508,Proença-a-Nova,3
509,1660509,Sertã,0
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,6
906,1670906,Gouveia,6
912,1670912,Seia,3
902,1680902,Almeida,4
903,1680903,Celorico da Beira,5
904,1680904,Figueira de Castelo Rodrigo,137
907,1680907,Guarda,24
908,1680908,Manteigas,0
909,1680909,Meda,8
910,1680910,Pinhel,190
911,1680911,Sabugal,2
913,1680913,Trancoso,9
502,1690502,Castelo Branco,30
505,1690505,Idanha-a-Nova,34
507,1690507,Penamacor,7
511,1690511,Vila Velha de Ródão,5
501,16A0501,Belmonte,14
503,16A0503,Covilhã,51
504,16A0504,Fundão,119
1001,16B1001,Alcobaça,77
1101,16B1101,Alenquer,219
1102,16B1102,Arruda dos Vinhos,54
1005,16B1005,Bombarral,135
1104,16B1104,Cadaval,41
1006,16B1006,Caldas da Rainha,28
1108,16B1108,Lourinhã,22
1011,16B1011,Nazaré,1
1012,16B1012,Óbidos,88
1014,16B1014,Peniche,2
1112,16B1112,Sobral de Monte Agraço,5
1113,16B1113,Torres Vedras,52
1401,16C1401,Abrantes,37
1402,16C1402,Alcanena,39
1408,16C1408,Constância,1
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,17
1421,16C1421,Ourém,2
1417,16C1417,Sardoal,6
1418,16C1418,Tomar,51
1419,16C1419,Torres Novas,458
1420,16C1420,Vila Nova da Barquinha,1
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,4
1109,1711109,Mafra,41
1116,1711116,Odivelas,0
1110,1711110,Oeiras,1
1111,1711111,Sintra,6
1114,1711114,Vila Franca de Xira,21
1502,1721502,Alcochete,0
1503,1721503,Almada,4
1504,1721504,Barreiro,0
1506,1721506,Moita,3
1507,1721507,Montijo,7
1508,1721508,Palmela,61
1510,1721510,Seixal,1
1511,1721511,Sesimbra,8
1512,1721512,Setúbal,35
1501,1811501,Alcácer do Sal,1
1505,1811505,Grândola,24
211,1810211,Odemira,261
1509,1811509,Santiago do Cacém,17
1513,1811513,Sines,1
1201,1821201,Alter do Chão,0
1202,1821202,Arronches,2
1203,1821203,Avis,1
1204,1821204,Campo Maior,55
1205,1821205,Castelo de Vide,1
1206,1821206,Crato,0
1207,1821207,Elvas,96
1208,1821208,Fronteira,0
1209,1821209,Gavião,1
1210,1821210,Marvão,0
1211,1821211,Monforte,0
707,1820707,Mora,7
1212,1821212,Nisa,1
1213,1821213,Ponte de Sor,6
1214,1821214,Portalegre,2
701,1830701,Alandroal,2
702,1830702,Arraiolos,0
703,1830703,Borba,61
704,1830704,Estremoz,70
705,1830705,Évora,7
