Muni_ID,ID,Muni,tot_peach
706,1830706,Montemor-o-Novo,1
708,1830708,Mourão,0
709,1830709,Portel,0
710,1830710,Redondo,0
711,1830711,Reguengos de Monsaraz,5
1215,1831215,Sousel,0
712,1830712,Vendas Novas,3
713,1830713,Viana do Alentejo,1
714,1830714,Vila Viçosa,0
201,1840201,Aljustrel,0
202,1840202,Almodôvar,1
203,1840203,Alvito,1
204,1840204,Barrancos,0
205,1840205,Beja,2
206,1840206,Castro Verde,15
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,62
209,1840209,Mértola,0
210,1840210,Moura,0
212,1840212,Ourique,0
213,1840213,Serpa,4
214,1840214,Vidigueira,0
1403,1851403,Almeirim,89
1404,1851404,Alpiarça,17
1103,1851103,Azambuja,1
1405,1851405,Benavente,3
1406,1851406,Cartaxo,4
1407,1851407,Chamusca,15
1409,1851409,Coruche,85
1412,1851412,Golegã,0
1414,1851414,Rio Maior,2
1415,1851415,Salvaterra de Magos,1
1416,1851416,Santarém,4
801,1500801,Albufeira,3
802,1500802,Alcoutim,3
803,1500803,Aljezur,1
804,1500804,Castro Marim,3
805,1500805,Faro,4
806,1500806,Lagoa,2
807,1500807,Lagos,7
808,1500808,Loulé,15
809,1500809,Monchique,9
810,1500810,Olhão,8
811,1500811,Portimão,33
812,1500812,São Brás de Alportel,1
813,1500813,Silves,8
814,1500814,Tavira,53
815,1500815,Vila do Bispo,0
816,1500816,Vila Real de Santo António,2
