Muni_ID,ID,Muni,tot_pear
1601,1111601,Arcos de Valdevez,1
1602,1111602,Caminha,1
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,1
1607,1111607,Ponte de Lima,9
1608,1111608,Valença,1
1609,1111609,Viana do Castelo,4
1610,1111610,Vila Nova de Cerveira,1
301,1120301,Amares,2
302,1120302,Barcelos,6
303,1120303,Braga,6
306,1120306,Esposende,0
310,1120310,Terras de Bouro,0
313,1120313,Vila Verde,3
307,1130307,Fafe,1
308,1130308,Guimarães,3
309,1130309,Póvoa de Lanhoso,1
1314,1131314,Santo Tirso,4
1318,1131318,Trofa,1
311,1130311,Vieira do Minho,1
312,1130312,Vila Nova de Famalicão,4
314,1130314,Vizela,1
107,1140107,Espinho,0
1304,1141304,Gondomar,2
1306,1141306,Maia,1
1308,1141308,Matosinhos,1
1312,1141312,Porto,1
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,1
1317,1141317,Vila Nova de Gaia,2
1301,1151301,Amarante,2
1302,1151302,Baião,3
304,1150304,Cabeceiras de Basto,0
106,1150106,Castelo de Paiva,1
305,1150305,Celorico de Basto,1
1804,1151804,Cinfães,4
1303,1151303,Felgueiras,2
1305,1151305,Lousada,1
1307,1151307,Marco de Canaveses,3
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,0
1310,1151310,Paredes,1
1311,1151311,Penafiel,3
1813,1151813,Resende,10
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,2
113,1160113,Oliveira de Azeméis,1
109,1160109,Santa Maria da Feira,0
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,4
1801,1171801,Armamar,14
403,1170403,Carrazeda de Ansiães,5
404,1170404,Freixo de Espada à Cinta,2
1805,1171805,Lamego,93
1704,1171704,Mesão Frio,1
1807,1171807,Moimenta da Beira,9
1812,1171812,Penedono,2
1708,1171708,Peso da Régua,1
1710,1171710,Sabrosa,5
1711,1171711,Santa Marta de Penaguião,1
1815,1171815,São João da Pesqueira,14
1818,1171818,Sernancelhe,1
1819,1171819,Tabuaço,5
1820,1171820,Tarouca,19
409,1170409,Torre de Moncorvo,8
410,1170410,Vila Flor,13
914,1170914,Vila Nova de Foz Côa,4
1714,1171714,Vila Real,5
401,1180401,Alfândega da Fé,5
1702,1181702,Boticas,2
402,1180402,Bragança,32
1703,1181703,Chaves,8
405,1180405,Macedo de Cavaleiros,10
406,1180406,Miranda do Douro,6
407,1180407,Mirandela,13
408,1180408,Mogadouro,6
1706,1181706,Montalegre,3
1707,1181707,Murça,2
1712,1181712,Valpaços,22
1713,1181713,Vila Pouca de Aguiar,3
411,1180411,Vimioso,14
412,1180412,Vinhais,10
101,1610101,Águeda,2
102,1610102,Albergaria-a-Velha,0
103,1610103,Anadia,1
105,1610105,Aveiro,1
108,1610108,Estarreja,0
110,1610110,Ílhavo,0
111,1610111,Mealhada,3
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,1
115,1610115,Ovar,0
117,1610117,Sever do Vouga,1
118,1610118,Vagos,1
602,1620602,Cantanhede,6
603,1620603,Coimbra,12
604,1620604,Condeixa-a-Nova,1
605,1620605,Figueira da Foz,3
608,1620608,Mira,2
610,1620610,Montemor-o-Velho,2
613,1620613,Penacova,1
615,1620615,Soure,7
1004,1631004,Batalha,32
1009,1631009,Leiria,83
1010,1631010,Marinha Grande,3
1015,1631015,Pombal,3
1016,1631016,Porto de Mós,88
1002,1641002,Alvaiázere,1
1003,1641003,Ansião,0
601,1640601,Arganil,1
1007,1641007,Castanheira de Pêra,1
1008,1641008,Figueiró dos Vinhos,1
606,1640606,Góis,0
607,1640607,Lousã,4
609,1640609,Miranda do Corvo,3
611,1640611,Oliveira do Hospital,2
612,1640612,Pampilhosa da Serra,1
1013,1641013,Pedrógão Grande,1
614,1640614,Penela,1
616,1640616,Tábua,8
617,1640617,Vila Nova de Poiares,1
901,1650901,Aguiar da Beira,0
1802,1651802,Carregal do Sal,1
1803,1651803,Castro Daire,2
1806,1651806,Mangualde,13
1808,1651808,Mortágua,0
1809,1651809,Nelas,0
1810,1651810,Oliveira de Frades,1
1811,1651811,Penalva do Castelo,1
1814,1651814,Santa Comba Dão,1
1816,1651816,São Pedro do Sul,1
1817,1651817,Sátão,3
1821,1651821,Tondela,5
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,6
1824,1651824,Vouzela,3
1413,1661413,Mação,2
506,1660506,Oleiros,1
508,1660508,Proença-a-Nova,2
509,1660509,Sertã,1
510,1660510,Vila de Rei,1
905,1670905,Fornos de Algodres,3
906,1670906,Gouveia,12
912,1670912,Seia,9
902,1680902,Almeida,2
903,1680903,Celorico da Beira,6
904,1680904,Figueira de Castelo Rodrigo,4
907,1680907,Guarda,26
908,1680908,Manteigas,0
909,1680909,Meda,5
910,1680910,Pinhel,9
911,1680911,Sabugal,19
913,1680913,Trancoso,10
502,1690502,Castelo Branco,10
505,1690505,Idanha-a-Nova,9
507,1690507,Penamacor,3
511,1690511,Vila Velha de Ródão,3
501,16A0501,Belmonte,23
503,16A0503,Covilhã,107
