Muni_ID,ID,Muni,tot_apple
1601,1111601,Arcos de Valdevez,2
1602,1111602,Caminha,1
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,4
1606,1111606,Ponte da Barca,1
1607,1111607,Ponte de Lima,53
1608,1111608,Valença,1
1609,1111609,Viana do Castelo,7
1610,1111610,Vila Nova de Cerveira,3
301,1120301,Amares,33
302,1120302,Barcelos,20
303,1120303,Braga,29
306,1120306,Esposende,1
310,1120310,Terras de Bouro,6
313,1120313,Vila Verde,18
307,1130307,Fafe,2
308,1130308,Guimarães,11
309,1130309,Póvoa de Lanhoso,6
1314,1131314,Santo Tirso,13
1318,1131318,Trofa,2
311,1130311,Vieira do Minho,1
312,1130312,Vila Nova de Famalicão,8
314,1130314,Vizela,2
107,1140107,Espinho,0
1304,1141304,Gondomar,2
1306,1141306,Maia,2
1308,1141308,Matosinhos,2
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,1
1315,1141315,Valongo,1
1316,1141316,Vila do Conde,1
1317,1141317,Vila Nova de Gaia,6
1301,1151301,Amarante,6
1302,1151302,Baião,9
304,1150304,Cabeceiras de Basto,2
106,1150106,Castelo de Paiva,4
305,1150305,Celorico de Basto,8
1804,1151804,Cinfães,8
1303,1151303,Felgueiras,8
1305,1151305,Lousada,2
1307,1151307,Marco de Canaveses,11
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,1
1310,1151310,Paredes,4
1311,1151311,Penafiel,4
1813,1151813,Resende,16
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,11
113,1160113,Oliveira de Azeméis,6
109,1160109,Santa Maria da Feira,1
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,1
1701,1171701,Alijó,25
1801,1171801,Armamar,1364
403,1170403,Carrazeda de Ansiães,407
404,1170404,Freixo de Espada à Cinta,9
1805,1171805,Lamego,416
1704,1171704,Mesão Frio,5
1807,1171807,Moimenta da Beira,704
1812,1171812,Penedono,50
1708,1171708,Peso da Régua,3
1710,1171710,Sabrosa,37
1711,1171711,Santa Marta de Penaguião,2
1815,1171815,São João da Pesqueira,115
1818,1171818,Sernancelhe,242
1819,1171819,Tabuaço,59
1820,1171820,Tarouca,329
409,1170409,Torre de Moncorvo,23
410,1170410,Vila Flor,61
914,1170914,Vila Nova de Foz Côa,5
1714,1171714,Vila Real,55
401,1180401,Alfândega da Fé,21
1702,1181702,Boticas,5
402,1180402,Bragança,135
1703,1181703,Chaves,49
405,1180405,Macedo de Cavaleiros,48
406,1180406,Miranda do Douro,72
407,1180407,Mirandela,34
408,1180408,Mogadouro,95
1706,1181706,Montalegre,6
1707,1181707,Murça,25
1712,1181712,Valpaços,103
1713,1181713,Vila Pouca de Aguiar,8
411,1180411,Vimioso,75
412,1180412,Vinhais,56
101,1610101,Águeda,9
102,1610102,Albergaria-a-Velha,1
103,1610103,Anadia,5
105,1610105,Aveiro,1
108,1610108,Estarreja,0
110,1610110,Ílhavo,0
111,1610111,Mealhada,4
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,2
115,1610115,Ovar,0
117,1610117,Sever do Vouga,1
118,1610118,Vagos,1
602,1620602,Cantanhede,11
603,1620603,Coimbra,14
604,1620604,Condeixa-a-Nova,2
605,1620605,Figueira da Foz,5
608,1620608,Mira,3
610,1620610,Montemor-o-Velho,4
613,1620613,Penacova,4
615,1620615,Soure,18
1004,1631004,Batalha,82
1009,1631009,Leiria,160
1010,1631010,Marinha Grande,4
1015,1631015,Pombal,9
1016,1631016,Porto de Mós,201
1002,1641002,Alvaiázere,9
1003,1641003,Ansião,2
601,1640601,Arganil,9
1007,1641007,Castanheira de Pêra,2
1008,1641008,Figueiró dos Vinhos,4
606,1640606,Góis,0
607,1640607,Lousã,2
609,1640609,Miranda do Corvo,10
611,1640611,Oliveira do Hospital,25
612,1640612,Pampilhosa da Serra,3
1013,1641013,Pedrógão Grande,1
614,1640614,Penela,2
616,1640616,Tábua,4
617,1640617,Vila Nova de Poiares,2
901,1650901,Aguiar da Beira,155
1802,1651802,Carregal do Sal,13
1803,1651803,Castro Daire,12
1806,1651806,Mangualde,58
1808,1651808,Mortágua,1
1809,1651809,Nelas,9
1810,1651810,Oliveira de Frades,1
1811,1651811,Penalva do Castelo,88
1814,1651814,Santa Comba Dão,4
1816,1651816,São Pedro do Sul,32
1817,1651817,Sátão,11
1821,1651821,Tondela,26
1822,1651822,Vila Nova de Paiva,1
1823,1651823,Viseu,163
1824,1651824,Vouzela,61
1413,1661413,Mação,4
506,1660506,Oleiros,9
508,1660508,Proença-a-Nova,9
509,1660509,Sertã,14
510,1660510,Vila de Rei,7
905,1670905,Fornos de Algodres,21
906,1670906,Gouveia,88
912,1670912,Seia,87
902,1680902,Almeida,8
903,1680903,Celorico da Beira,38
904,1680904,Figueira de Castelo Rodrigo,9
907,1680907,Guarda,145
908,1680908,Manteigas,3
909,1680909,Meda,48
910,1680910,Pinhel,158
911,1680911,Sabugal,30
913,1680913,Trancoso,116
502,1690502,Castelo Branco,26
