"Muni_ID","ID","Muni","nuuts"
1601,"1111601","Arcos de Valdevez",0
1602,"1111602","Caminha",12.9191616766467
1603,"1111603","Melgaço",0
1604,"1111604","Monção",0
1605,"1111605","Paredes de Coura",0
1606,"1111606","Ponte da Barca",2.12121212121212
1607,"1111607","Ponte de Lima",0.580699066982314
1608,"1111608","Valença",2.89493019838354
1609,"1111609","Viana do Castelo",4.90867052023121
1610,"1111610","Vila Nova de Cerveira",0
301,"1120301","Amares",0
302,"1120302","Barcelos",2.00442191544435
303,"1120303","Braga",4.05690765926986
306,"1120306","Esposende",0
310,"1120310","Terras de Bouro",0
313,"1120313","Vila Verde",0.0995835596596053
307,"1130307","Fafe",1.29742253113235
308,"1130308","Guimarães",6.78336980306346
309,"1130309","Póvoa de Lanhoso",0.151245551601423
1314,"1131314","Santo Tirso",2.14896854723146
1318,"1131318","Trofa",0
311,"1130311","Vieira do Minho",0.0447093889716841
312,"1130312","Vila Nova de Famalicão",12.2233942803563
314,"1130314","Vizela",0
107,"1140107","Espinho",0
1304,"1141304","Gondomar",3.23631990770572
1306,"1141306","Maia",1.90318785954056
1308,"1141308","Matosinhos",0
1312,"1141312","Porto",0
1313,"1141313","Póvoa de Varzim",0
1315,"1141315","Valongo",2.40299008889436
1316,"1141316","Vila do Conde",0
1317,"1141317","Vila Nova de Gaia",3.19124138716422
1301,"1151301","Amarante",1.02263856362217
1302,"1151302","Baião",0
304,"1150304","Cabeceiras de Basto",0
106,"1150106","Castelo de Paiva",0
305,"1150305","Celorico de Basto",0.326460481099656
1804,"1151804","Cinfães",0
1303,"1151303","Felgueiras",0.827707660698562
1305,"1151305","Lousada",0.438328236493374
1307,"1151307","Marco de Canaveses",3.19546364242829
1705,"1151705","Mondim de Basto",0
1309,"1151309","Paços de Ferreira",0
1310,"1151310","Paredes",2.33507455683214
1311,"1151311","Penafiel",0
1813,"1151813","Resende",0.388911874224245
1709,"1151709","Ribeira de Pena",0.0113830392714855
104,"1160104","Arouca",4.70115668564133
113,"1160113","Oliveira de Azeméis",0
109,"1160109","Santa Maria da Feira",2.02037050807352
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",0
1701,"1171701","Alijó",0.0961288646401663
1801,"1171801","Armamar",0.171703296703297
403,"1170403","Carrazeda de Ansiães",0.010148849797023
404,"1170404","Freixo de Espada à Cinta",0
1805,"1171805","Lamego",0.617403986387944
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",0.86677367576244
