Muni_ID,ID,Muni,sludge
1601,1111601,Arcos de Valdevez,0
1602,1111602,Caminha,0.009
1603,1111603,Melgaço,0.000963661
1604,1111604,Monção,0.001
1605,1111605,Paredes de Coura,0.001
1606,1111606,Ponte da Barca,0.001
1607,1111607,Ponte de Lima,0.001
1608,1111608,Valença,0.005
1609,1111609,Viana do Castelo,0.007
1610,1111610,Vila Nova de Cerveira,0.018
301,1120301,Amares,0
302,1120302,Barcelos,0.007
303,1120303,Braga,0.011
306,1120306,Esposende,0.011
310,1120310,Terras de Bouro,0
313,1120313,Vila Verde,0
307,1130307,Fafe,0.002
308,1130308,Guimarães,0.018
309,1130309,Póvoa de Lanhoso,0
1314,1131314,Santo Tirso,0.076
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,0
312,1130312,Vila Nova de Famalicão,0.04
314,1130314,Vizela,0
107,1140107,Espinho,0.521065667
1304,1141304,Gondomar,0.025
1306,1141306,Maia,0.046
1308,1141308,Matosinhos,0.034
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,0.174
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,0.196
1301,1151301,Amarante,0.002
1302,1151302,Baião,0
304,1150304,Cabeceiras de Basto,0
106,1150106,Castelo de Paiva,0
305,1150305,Celorico de Basto,0.001
1804,1151804,Cinfães,0
1303,1151303,Felgueiras,0.002
1305,1151305,Lousada,0.001
1307,1151307,Marco de Canaveses,0.006
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,0.016
1310,1151310,Paredes,0
1311,1151311,Penafiel,0.008
1813,1151813,Resende,0.000999066
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,0
113,1160113,Oliveira de Azeméis,0.003
109,1160109,Santa Maria da Feira,0
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,0
1801,1171801,Armamar,0
403,1170403,Carrazeda de Ansiães,0
404,1170404,Freixo de Espada à Cinta,0
1805,1171805,Lamego,0.001
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,0.001
1812,1171812,Penedono,0
1708,1171708,Peso da Régua,0.003
1710,1171710,Sabrosa,0
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,0
1818,1171818,Sernancelhe,0
1819,1171819,Tabuaço,0
1820,1171820,Tarouca,0.002
409,1170409,Torre de Moncorvo,0.001
410,1170410,Vila Flor,0
914,1170914,Vila Nova de Foz Côa,0
1714,1171714,Vila Real,0.003
401,1180401,Alfândega da Fé,0
1702,1181702,Boticas,0
402,1180402,Bragança,0
1703,1181703,Chaves,0.001
405,1180405,Macedo de Cavaleiros,0
406,1180406,Miranda do Douro,0
407,1180407,Mirandela,0.001
408,1180408,Mogadouro,0
1706,1181706,Montalegre,0
1707,1181707,Murça,0
1712,1181712,Valpaços,0
1713,1181713,Vila Pouca de Aguiar,0
411,1180411,Vimioso,0
412,1180412,Vinhais,0
101,1610101,Águeda,0
102,1610102,Albergaria-a-Velha,0
103,1610103,Anadia,0
105,1610105,Aveiro,0.022
108,1610108,Estarreja,0
110,1610110,Ílhavo,0.052
111,1610111,Mealhada,0
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,0
115,1610115,Ovar,0
117,1610117,Sever do Vouga,0
118,1610118,Vagos,0
602,1620602,Cantanhede,0
603,1620603,Coimbra,0.004128726
604,1620604,Condeixa-a-Nova,0.000454114
605,1620605,Figueira da Foz,0.005
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,0
