Muni_ID,ID,Muni,tot_tempo_past
1601,1111601,Arcos de Valdevez,852
1602,1111602,Caminha,8
1603,1111603,Melgaço,82
1604,1111604,Monção,334
1605,1111605,Paredes de Coura,1044
1606,1111606,Ponte da Barca,251
1607,1111607,Ponte de Lima,347
1608,1111608,Valença,110
1609,1111609,Viana do Castelo,111
1610,1111610,Vila Nova de Cerveira,51
301,1120301,Amares,10
302,1120302,Barcelos,113
303,1120303,Braga,39
306,1120306,Esposende,22
310,1120310,Terras de Bouro,156
313,1120313,Vila Verde,422
307,1130307,Fafe,1473
308,1130308,Guimarães,85
309,1130309,Póvoa de Lanhoso,175
1314,1131314,Santo Tirso,55
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,224
312,1130312,Vila Nova de Famalicão,47
314,1130314,Vizela,10
107,1140107,Espinho,0
1304,1141304,Gondomar,0
1306,1141306,Maia,36
1308,1141308,Matosinhos,23
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,11
1315,1141315,Valongo,14
1316,1141316,Vila do Conde,32
1317,1141317,Vila Nova de Gaia,9
1301,1151301,Amarante,41
1302,1151302,Baião,354
304,1150304,Cabeceiras de Basto,174
106,1150106,Castelo de Paiva,3
305,1150305,Celorico de Basto,422
1804,1151804,Cinfães,34
1303,1151303,Felgueiras,5
1305,1151305,Lousada,23
1307,1151307,Marco de Canaveses,147
1705,1151705,Mondim de Basto,93
1309,1151309,Paços de Ferreira,87
1310,1151310,Paredes,67
1311,1151311,Penafiel,45
1813,1151813,Resende,36
1709,1151709,Ribeira de Pena,90
104,1160104,Arouca,47
113,1160113,Oliveira de Azeméis,5
109,1160109,Santa Maria da Feira,9
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,76
1701,1171701,Alijó,14
1801,1171801,Armamar,2
403,1170403,Carrazeda de Ansiães,40
404,1170404,Freixo de Espada à Cinta,0
1805,1171805,Lamego,28
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,289
1812,1171812,Penedono,12
1708,1171708,Peso da Régua,0
1710,1171710,Sabrosa,4
1711,1171711,Santa Marta de Penaguião,5
1815,1171815,São João da Pesqueira,0
1818,1171818,Sernancelhe,0
1819,1171819,Tabuaço,1
1820,1171820,Tarouca,89
409,1170409,Torre de Moncorvo,22
410,1170410,Vila Flor,1
914,1170914,Vila Nova de Foz Côa,3
1714,1171714,Vila Real,371
401,1180401,Alfândega da Fé,18
1702,1181702,Boticas,2
402,1180402,Bragança,109
1703,1181703,Chaves,111
405,1180405,Macedo de Cavaleiros,135
406,1180406,Miranda do Douro,174
407,1180407,Mirandela,171
408,1180408,Mogadouro,179
1706,1181706,Montalegre,56
1707,1181707,Murça,12
1712,1181712,Valpaços,77
1713,1181713,Vila Pouca de Aguiar,580
411,1180411,Vimioso,76
412,1180412,Vinhais,18
101,1610101,Águeda,23
102,1610102,Albergaria-a-Velha,15
103,1610103,Anadia,6
105,1610105,Aveiro,7
108,1610108,Estarreja,34
110,1610110,Ílhavo,8
111,1610111,Mealhada,6
112,1610112,Murtosa,9
114,1610114,Oliveira do Bairro,4
115,1610115,Ovar,11
117,1610117,Sever do Vouga,20
118,1610118,Vagos,0
602,1620602,Cantanhede,14
603,1620603,Coimbra,20
604,1620604,Condeixa-a-Nova,122
605,1620605,Figueira da Foz,60
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,33
613,1620613,Penacova,10
615,1620615,Soure,220
1004,1631004,Batalha,5
1009,1631009,Leiria,28
1010,1631010,Marinha Grande,6
1015,1631015,Pombal,101
1016,1631016,Porto de Mós,45
1002,1641002,Alvaiázere,22
1003,1641003,Ansião,235
601,1640601,Arganil,0
1007,1641007,Castanheira de Pêra,7
1008,1641008,Figueiró dos Vinhos,53
606,1640606,Góis,10
607,1640607,Lousã,0
609,1640609,Miranda do Corvo,0
611,1640611,Oliveira do Hospital,166
612,1640612,Pampilhosa da Serra,2
1013,1641013,Pedrógão Grande,27
614,1640614,Penela,50
616,1640616,Tábua,147
617,1640617,Vila Nova de Poiares,3
901,1650901,Aguiar da Beira,30
1802,1651802,Carregal do Sal,21
1803,1651803,Castro Daire,59
1806,1651806,Mangualde,273
1808,1651808,Mortágua,6
1809,1651809,Nelas,178
1810,1651810,Oliveira de Frades,105
1811,1651811,Penalva do Castelo,39
1814,1651814,Santa Comba Dão,29
1816,1651816,São Pedro do Sul,74
1817,1651817,Sátão,52
1821,1651821,Tondela,25
1822,1651822,Vila Nova de Paiva,27
1823,1651823,Viseu,82
1824,1651824,Vouzela,91
1413,1661413,Mação,3
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,37
509,1660509,Sertã,8
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,2
906,1670906,Gouveia,78
912,1670912,Seia,132
902,1680902,Almeida,0
903,1680903,Celorico da Beira,122
904,1680904,Figueira de Castelo Rodrigo,167
907,1680907,Guarda,132
908,1680908,Manteigas,0
909,1680909,Mêda,29
910,1680910,Pinhel,14
911,1680911,Sabugal,74
913,1680913,Trancoso,6
502,1690502,Castelo Branco,373
505,1690505,Idanha-a-Nova,198
507,1690507,Penamacor,197
511,1690511,Vila Velha de Ródão,126
501,16A0501,Belmonte,206
503,16A0503,Covilhã,177
504,16A0504,Fundão,247
1001,16B1001,Alcobaça,142
1101,16B1101,Alenquer,24
1102,16B1102,Arruda dos Vinhos,44
1005,16B1005,Bombarral,30
1104,16B1104,Cadaval,20
1006,16B1006,Caldas da Rainha,34
1108,16B1108,Lourinhã,27
1011,16B1011,Nazaré,25
1012,16B1012,Óbidos,25
1014,16B1014,Peniche,84
1112,16B1112,Sobral de Monte Agraço,73
1113,16B1113,Torres Vedras,97
1401,16C1401,Abrantes,69
1402,16C1402,Alcanena,21
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,10
1421,16C1421,Ourém,20
1417,16C1417,Sardoal,0
1418,16C1418,Tomar,97
1419,16C1419,Torres Novas,247
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,147
1109,1711109,Mafra,83
1116,1711116,Odivelas,62
1110,1711110,Oeiras,0
1111,1711111,Sintra,128
1114,1711114,Vila Franca de Xira,147
1502,1721502,Alcochete,0
1503,1721503,Almada,0
1504,1721504,Barreiro,0
1506,1721506,Moita,11
1507,1721507,Montijo,119
1508,1721508,Palmela,392
1510,1721510,Seixal,0
1511,1721511,Sesimbra,42
1512,1721512,Setúbal,107
1501,1811501,Alcácer do Sal,668
1505,1811505,Grândola,98
211,1810211,Odemira,469
1509,1811509,Santiago do Cacém,29
1513,1811513,Sines,0
1201,1821201,Alter do Chão,132
1202,1821202,Arronches,56
1203,1821203,Avis,171
1204,1821204,Campo Maior,74
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,935
1207,1821207,Elvas,457
1208,1821208,Fronteira,20
1209,1821209,Gavião,50
1210,1821210,Marvão,0
1211,1821211,Monforte,0
707,1820707,Mora,179
1212,1821212,Nisa,122
1213,1821213,Ponte de Sor,250
1214,1821214,Portalegre,0
701,1830701,Alandroal,127
702,1830702,Arraiolos,459
703,1830703,Borba,45
704,1830704,Estremoz,256
705,1830705,Évora,637
706,1830706,Montemor-o-Novo,1033
708,1830708,Mourão,440
709,1830709,Portel,36
710,1830710,Redondo,0
711,1830711,Reguengos de Monsaraz,136
1215,1831215,Sousel,1307
712,1830712,Vendas Novas,87
713,1830713,Viana do Alentejo,21
714,1830714,Vila Viçosa,88
201,1840201,Aljustrel,0
202,1840202,Almodôvar,142
203,1840203,Alvito,340
204,1840204,Barrancos,0
205,1840205,Beja,858
206,1840206,Castro Verde,586
207,1840207,Cuba,754
208,1840208,Ferreira do Alentejo,43
209,1840209,Mértola,160
210,1840210,Moura,332
212,1840212,Ourique,53
213,1840213,Serpa,400
214,1840214,Vidigueira,681
1403,1851403,Almeirim,0
1404,1851404,Alpiarça,106
1103,1851103,Azambuja,121
