Muni_ID,ID,Muni,tot_oat
1601,1111601,Arcos de Valdevez,3
1602,1111602,Caminha,12
1603,1111603,Melgaço,0
1604,1111604,Monção,6
1605,1111605,Paredes de Coura,13
1606,1111606,Ponte da Barca,0
1607,1111607,Ponte de Lima,32
1608,1111608,Valença,12
1609,1111609,Viana do Castelo,17
1610,1111610,Vila Nova de Cerveira,3
301,1120301,Amares,1
302,1120302,Barcelos,19
303,1120303,Braga,10
306,1120306,Esposende,1
310,1120310,Terras de Bouro,0
313,1120313,Vila Verde,24
307,1130307,Fafe,5
308,1130308,Guimarães,3
309,1130309,Póvoa de Lanhoso,0
1314,1131314,Santo Tirso,4
1318,1131318,Trofa,6
311,1130311,Vieira do Minho,0
312,1130312,Vila Nova de Famalicão,4
314,1130314,Vizela,0
107,1140107,Espinho,0
1304,1141304,Gondomar,9
1306,1141306,Maia,0
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,8
1317,1141317,Vila Nova de Gaia,7
1301,1151301,Amarante,8
1302,1151302,Baião,4
304,1150304,Cabeceiras de Basto,3
106,1150106,Castelo de Paiva,36
305,1150305,Celorico de Basto,10
1804,1151804,Cinfães,5
1303,1151303,Felgueiras,20
1305,1151305,Lousada,6
1307,1151307,Marco de Canaveses,15
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,17
1310,1151310,Paredes,34
1311,1151311,Penafiel,4
1813,1151813,Resende,0
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,52
113,1160113,Oliveira de Azeméis,11
109,1160109,Santa Maria da Feira,35
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,15
1701,1171701,Alijó,1
1801,1171801,Armamar,0
403,1170403,Carrazeda de Ansiães,49
404,1170404,Freixo de Espada à Cinta,96
1805,1171805,Lamego,2
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,25
1812,1171812,Penedono,23
1708,1171708,Peso da Régua,1
1710,1171710,Sabrosa,0
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,18
1818,1171818,Sernancelhe,9
1819,1171819,Tabuaço,3
1820,1171820,Tarouca,0
409,1170409,Torre de Moncorvo,159
410,1170410,Vila Flor,49
914,1170914,Vila Nova de Foz Côa,38
1714,1171714,Vila Real,8
401,1180401,Alfândega da Fé,82
1702,1181702,Boticas,2
402,1180402,Bragança,1129
1703,1181703,Chaves,48
405,1180405,Macedo de Cavaleiros,487
406,1180406,Miranda do Douro,544
407,1180407,Mirandela,335
408,1180408,Mogadouro,664
1706,1181706,Montalegre,0
1707,1181707,Murça,25
1712,1181712,Valpaços,140
1713,1181713,Vila Pouca de Aguiar,6
411,1180411,Vimioso,464
412,1180412,Vinhais,444
101,1610101,Águeda,119
102,1610102,Albergaria-a-Velha,81
103,1610103,Anadia,91
105,1610105,Aveiro,49
108,1610108,Estarreja,22
110,1610110,Ílhavo,82
111,1610111,Mealhada,139
