Muni_ID,ID,Muni,tot_barley
1601,1111601,Arcos de Valdevez,0
1602,1111602,Caminha,0
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,0
1607,1111607,Ponte de Lima,0
1608,1111608,Valença,0
1609,1111609,Viana do Castelo,0
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,0
302,1120302,Barcelos,0
303,1120303,Braga,0
306,1120306,Esposende,0
310,1120310,Terras de Bouro,0
313,1120313,Vila Verde,0
307,1130307,Fafe,0
308,1130308,Guimarães,0
309,1130309,Póvoa de Lanhoso,0
1314,1131314,Santo Tirso,0
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,0
312,1130312,Vila Nova de Famalicão,0
314,1130314,Vizela,0
107,1140107,Espinho,0
1304,1141304,Gondomar,0
1306,1141306,Maia,0
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,0
1301,1151301,Amarante,0
1302,1151302,Baião,4
304,1150304,Cabeceiras de Basto,0
106,1150106,Castelo de Paiva,1
305,1150305,Celorico de Basto,0
1804,1151804,Cinfães,1
1303,1151303,Felgueiras,0
1305,1151305,Lousada,0
1307,1151307,Marco de Canaveses,0
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,0
1310,1151310,Paredes,0
1311,1151311,Penafiel,2
1813,1151813,Resende,5
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,1
113,1160113,Oliveira de Azeméis,0
109,1160109,Santa Maria da Feira,0
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,1
1701,1171701,Alijó,1
1801,1171801,Armamar,2
403,1170403,Carrazeda de Ansiães,37
404,1170404,Freixo de Espada à Cinta,16
1805,1171805,Lamego,0
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,0
1812,1171812,Penedono,1
1708,1171708,Peso da Régua,1
1710,1171710,Sabrosa,0
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,1
1818,1171818,Sernancelhe,1
1819,1171819,Tabuaço,0
1820,1171820,Tarouca,1
409,1170409,Torre de Moncorvo,71
410,1170410,Vila Flor,11
914,1170914,Vila Nova de Foz Côa,47
1714,1171714,Vila Real,1
401,1180401,Alfândega da Fé,18
1702,1181702,Boticas,1
402,1180402,Bragança,77
1703,1181703,Chaves,14
405,1180405,Macedo de Cavaleiros,44
406,1180406,Miranda do Douro,59
407,1180407,Mirandela,21
408,1180408,Mogadouro,76
1706,1181706,Montalegre,2
1707,1181707,Murça,8
1712,1181712,Valpaços,17
1713,1181713,Vila Pouca de Aguiar,1
411,1180411,Vimioso,67
412,1180412,Vinhais,26
101,1610101,Águeda,1
102,1610102,Albergaria-a-Velha,1
103,1610103,Anadia,0
105,1610105,Aveiro,0
108,1610108,Estarreja,0
110,1610110,Ílhavo,0
111,1610111,Mealhada,0
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,0
115,1610115,Ovar,0
117,1610117,Sever do Vouga,0
118,1610118,Vagos,28
602,1620602,Cantanhede,2
603,1620603,Coimbra,0
604,1620604,Condeixa-a-Nova,5
605,1620605,Figueira da Foz,4
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,1
613,1620613,Penacova,1
615,1620615,Soure,4
1004,1631004,Batalha,0
1009,1631009,Leiria,2
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,15
1016,1631016,Porto de Mós,2
1002,1641002,Alvaiázere,5
1003,1641003,Ansião,11
601,1640601,Arganil,4
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,0
606,1640606,Góis,0
607,1640607,Lousã,0
609,1640609,Miranda do Corvo,0
611,1640611,Oliveira do Hospital,3
612,1640612,Pampilhosa da Serra,0
1013,1641013,Pedrógão Grande,1
614,1640614,Penela,1
616,1640616,Tábua,2
617,1640617,Vila Nova de Poiares,1
901,1650901,Aguiar da Beira,7
1802,1651802,Carregal do Sal,1
1803,1651803,Castro Daire,1
1806,1651806,Mangualde,14
1808,1651808,Mortágua,1
1809,1651809,Nelas,2
1810,1651810,Oliveira de Frades,0
1811,1651811,Penalva do Castelo,1
1814,1651814,Santa Comba Dão,0
1816,1651816,São Pedro do Sul,1
1817,1651817,Sátão,2
1821,1651821,Tondela,0
1822,1651822,Vila Nova de Paiva,6
1823,1651823,Viseu,1
1824,1651824,Vouzela,1
1413,1661413,Mação,4
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,9
509,1660509,Sertã,3
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,0
906,1670906,Gouveia,13
912,1670912,Seia,1
902,1680902,Almeida,2
903,1680903,Celorico da Beira,0
904,1680904,Figueira de Castelo Rodrigo,29
907,1680907,Guarda,5
908,1680908,Manteigas,0
909,1680909,Mêda,19
910,1680910,Pinhel,4
911,1680911,Sabugal,0
913,1680913,Trancoso,6
502,1690502,Castelo Branco,11
505,1690505,Idanha-a-Nova,10
507,1690507,Penamacor,0
511,1690511,Vila Velha de Ródão,0
501,16A0501,Belmonte,0
503,16A0503,Covilhã,3
504,16A0504,Fundão,4
1001,16B1001,Alcobaça,30
1101,16B1101,Alenquer,182
1102,16B1102,Arruda dos Vinhos,210
1005,16B1005,Bombarral,0
1104,16B1104,Cadaval,0
1006,16B1006,Caldas da Rainha,2
1108,16B1108,Lourinhã,144
1011,16B1011,Nazaré,0
1012,16B1012,Óbidos,25
1014,16B1014,Peniche,138
1112,16B1112,Sobral de Monte Agraço,58
1113,16B1113,Torres Vedras,440
1401,16C1401,Abrantes,1
1402,16C1402,Alcanena,11
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,2
1421,16C1421,Ourém,4
1417,16C1417,Sardoal,0
1418,16C1418,Tomar,7
1419,16C1419,Torres Novas,11
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,8
1106,1711106,Lisboa,0
1107,1711107,Loures,29
1109,1711109,Mafra,181
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,385
1114,1711114,Vila Franca de Xira,251
1502,1721502,Alcochete,56
1503,1721503,Almada,0
1504,1721504,Barreiro,0
1506,1721506,Moita,29
1507,1721507,Montijo,10
1508,1721508,Palmela,97
1510,1721510,Seixal,0
1511,1721511,Sesimbra,8
1512,1721512,Setúbal,19
1501,1811501,Alcácer do Sal,59
1505,1811505,Grândola,25
211,1810211,Odemira,210
1509,1811509,Santiago do Cacém,49
1513,1811513,Sines,39
1201,1821201,Alter do Chão,236
1202,1821202,Arronches,65
1203,1821203,Avis,709
1204,1821204,Campo Maior,197
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,0
1207,1821207,Elvas,731
1208,1821208,Fronteira,209
1209,1821209,Gavião,0
1210,1821210,Marvão,0
1211,1821211,Monforte,177
707,1820707,Mora,193
1212,1821212,Nisa,0
1213,1821213,Ponte de Sor,210
1214,1821214,Portalegre,0
701,1830701,Alandroal,87
702,1830702,Arraiolos,444
703,1830703,Borba,80
704,1830704,Estremoz,688
705,1830705,Évora,1069
706,1830706,Montemor-o-Novo,156
708,1830708,Mourão,294
709,1830709,Portel,433
710,1830710,Redondo,806
711,1830711,Reguengos de Monsaraz,302
1215,1831215,Sousel,763
712,1830712,Vendas Novas,17
713,1830713,Viana do Alentejo,169
714,1830714,Vila Viçosa,31
201,1840201,Aljustrel,643
202,1840202,Almodôvar,352
203,1840203,Alvito,384
204,1840204,Barrancos,0
205,1840205,Beja,2662
206,1840206,Castro Verde,1589
207,1840207,Cuba,227
208,1840208,Ferreira do Alentejo,798
209,1840209,Mértola,725
210,1840210,Moura,1256
212,1840212,Ourique,108
213,1840213,Serpa,1066
214,1840214,Vidigueira,563
1403,1851403,Almeirim,0
1404,1851404,Alpiarça,0
1103,1851103,Azambuja,61
1405,1851405,Benavente,121
1406,1851406,Cartaxo,17
1407,1851407,Chamusca,24
1409,1851409,Coruche,0
1412,1851412,Golegã,0
1414,1851414,Rio Maior,53
1415,1851415,Salvaterra de Magos,0
1416,1851416,Santarém,634
801,1500801,Albufeira,145
802,1500802,Alcoutim,65
803,1500803,Aljezur,49
804,1500804,Castro Marim,33
805,1500805,Faro,21
806,1500806,Lagoa,9
807,1500807,Lagos,86
808,1500808,Loulé,136
809,1500809,Monchique,3
810,1500810,Olhão,6
811,1500811,Portimão,8
812,1500812,São Brás de Alportel,18
813,1500813,Silves,156
814,1500814,Tavira,127
815,1500815,Vila do Bispo,445
816,1500816,Vila Real de Santo António,51
