Muni_ID,ID,Muni,tot_olive
1601,1111601,Arcos de Valdevez,8
1602,1111602,Caminha,3
1603,1111603,Melgaço,0
1604,1111604,Monção,1
1605,1111605,Paredes de Coura,8
1606,1111606,Ponte da Barca,12
1607,1111607,Ponte de Lima,109
1608,1111608,Valença,0
1609,1111609,Viana do Castelo,41
1610,1111610,Vila Nova de Cerveira,1
301,1120301,Amares,31
302,1120302,Barcelos,15
303,1120303,Braga,9
306,1120306,Esposende,1
310,1120310,Terras de Bouro,3
313,1120313,Vila Verde,15
307,1130307,Fafe,0
308,1130308,Guimarães,4
309,1130309,Póvoa de Lanhoso,5
1314,1131314,Santo Tirso,1
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,17
312,1130312,Vila Nova de Famalicão,1
314,1130314,Vizela,0
107,1140107,Espinho,2
1304,1141304,Gondomar,7
1306,1141306,Maia,0
1308,1141308,Matosinhos,1
1312,1141312,Porto,2
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,2
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,13
1301,1151301,Amarante,95
1302,1151302,Baião,43
304,1150304,Cabeceiras de Basto,77
106,1150106,Castelo de Paiva,36
305,1150305,Celorico de Basto,70
1804,1151804,Cinfães,69
1303,1151303,Felgueiras,1
1305,1151305,Lousada,1
1307,1151307,Marco de Canaveses,20
1705,1151705,Mondim de Basto,24
1309,1151309,Paços de Ferreira,0
1310,1151310,Paredes,1
1311,1151311,Penafiel,10
1813,1151813,Resende,41
1709,1151709,Ribeira de Pena,32
104,1160104,Arouca,50
113,1160113,Oliveira de Azeméis,0
109,1160109,Santa Maria da Feira,0
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,1066
1801,1171801,Armamar,664
403,1170403,Carrazeda de Ansiães,1702
404,1170404,Freixo de Espada à Cinta,2558
1805,1171805,Lamego,255
1704,1171704,Mesão Frio,17
1807,1171807,Moimenta da Beira,275
1812,1171812,Penedono,357
1708,1171708,Peso da Régua,255
1710,1171710,Sabrosa,513
1711,1171711,Santa Marta de Penaguião,213
1815,1171815,São João da Pesqueira,2657
1818,1171818,Sernancelhe,256
1819,1171819,Tabuaço,1130
1820,1171820,Tarouca,284
409,1170409,Torre de Moncorvo,5114
410,1170410,Vila Flor,4408
914,1170914,Vila Nova de Foz Côa,3797
1714,1171714,Vila Real,536
401,1180401,Alfândega da Fé,5969
1702,1181702,Boticas,13
402,1180402,Bragança,2949
1703,1181703,Chaves,435
405,1180405,Macedo de Cavaleiros,8659
406,1180406,Miranda do Douro,930
407,1180407,Mirandela,14181
408,1180408,Mogadouro,6447
1706,1181706,Montalegre,1
1707,1181707,Murça,1273
1712,1181712,Valpaços,5344
1713,1181713,Vila Pouca de Aguiar,75
411,1180411,Vimioso,2225
412,1180412,Vinhais,711
101,1610101,Águeda,7
102,1610102,Albergaria-a-Velha,0
103,1610103,Anadia,63
105,1610105,Aveiro,0
108,1610108,Estarreja,42
110,1610110,Ílhavo,0
111,1610111,Mealhada,180
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,7
115,1610115,Ovar,0
117,1610117,Sever do Vouga,1
118,1610118,Vagos,0
602,1620602,Cantanhede,290
603,1620603,Coimbra,365
604,1620604,Condeixa-a-Nova,538
605,1620605,Figueira da Foz,9
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,149
613,1620613,Penacova,168
615,1620615,Soure,931
1004,1631004,Batalha,171
1009,1631009,Leiria,363
1010,1631010,Marinha Grande,2
1015,1631015,Pombal,722
1016,1631016,Porto de Mós,966
1002,1641002,Alvaiázere,1016
1003,1641003,Ansião,1548
601,1640601,Arganil,326
1007,1641007,Castanheira de Pêra,49
1008,1641008,Figueiró dos Vinhos,188
606,1640606,Góis,47
607,1640607,Lousã,50
609,1640609,Miranda do Corvo,185
611,1640611,Oliveira do Hospital,748
612,1640612,Pampilhosa da Serra,277
1013,1641013,Pedrógão Grande,305
614,1640614,Penela,540
616,1640616,Tábua,417
617,1640617,Vila Nova de Poiares,67
901,1650901,Aguiar da Beira,115
1802,1651802,Carregal do Sal,256
1803,1651803,Castro Daire,46
1806,1651806,Mangualde,424
1808,1651808,Mortágua,52
1809,1651809,Nelas,592
1810,1651810,Oliveira de Frades,16
1811,1651811,Penalva do Castelo,367
1814,1651814,Santa Comba Dão,109
1816,1651816,São Pedro do Sul,92
1817,1651817,Sátão,178
1821,1651821,Tondela,409
1822,1651822,Vila Nova de Paiva,1
1823,1651823,Viseu,870
1824,1651824,Vouzela,78
1413,1661413,Mação,1032
506,1660506,Oleiros,738
508,1660508,Proença-a-Nova,2353
509,1660509,Sertã,1591
510,1660510,Vila de Rei,231
905,1670905,Fornos de Algodres,465
906,1670906,Gouveia,995
912,1670912,Seia,1399
902,1680902,Almeida,285
903,1680903,Celorico da Beira,820
904,1680904,Figueira de Castelo Rodrigo,4277
907,1680907,Guarda,686
908,1680908,Manteigas,22
909,1680909,Meda,1903
910,1680910,Pinhel,2361
911,1680911,Sabugal,312
913,1680913,Trancoso,1302
502,1690502,Castelo Branco,8691
505,1690505,Idanha-a-Nova,6537
507,1690507,Penamacor,2947
511,1690511,Vila Velha de Ródão,2438
501,16A0501,Belmonte,428
503,16A0503,Covilhã,1237
504,16A0504,Fundão,4285
1001,16B1001,Alcobaça,267
1101,16B1101,Alenquer,75
1102,16B1102,Arruda dos Vinhos,14
1005,16B1005,Bombarral,1
1104,16B1104,Cadaval,39
1006,16B1006,Caldas da Rainha,46
1108,16B1108,Lourinhã,6
1011,16B1011,Nazaré,1
1012,16B1012,Óbidos,3
1014,16B1014,Peniche,0
1112,16B1112,Sobral de Monte Agraço,16
1113,16B1113,Torres Vedras,13
1401,16C1401,Abrantes,3417
1402,16C1402,Alcanena,2318
1408,16C1408,Constância,120
1410,16C1410,Entroncamento,18
1411,16C1411,Ferreira do Zêzere,1168
1421,16C1421,Ourém,1986
1417,16C1417,Sardoal,855
