"Muni_ID","ID","Muni","Dairy_cows"
1211,"1821211","Monforte",3114.1
707,"1820707","Mora",31016.42
1212,"1821212","Nisa",3487.79
1213,"1821213","Ponte de Sor",498.26
1214,"1821214","Portalegre",79347.24
701,"1830701","Alandroal",150099.56
702,"1830702","Arraiolos",124937.64
703,"1830703","Borba",8096.66
704,"1830704","Estremoz",31140.99
705,"1830705","Évora",96910.75
706,"1830706","Montemor-o-Novo",377179.63
708,"1830708","Mourão",24912.79
709,"1830709","Portel",141753.77
710,"1830710","Redondo",187344.18
711,"1830711","Reguengos de Monsaraz",18435.47
1215,"1831215","Sousel",52192.29
712,"1830712","Vendas Novas",0
713,"1830713","Viana do Alentejo",118709.45
714,"1830714","Vila Viçosa",17314.39
201,"1840201","Aljustrel",88814.09
202,"1840202","Almodôvar",373.7
203,"1840203","Alvito",23542.59
204,"1840204","Barrancos",0
205,"1840205","Beja",124.56
206,"1840206","Castro Verde",747.38
207,"1840207","Cuba",0
208,"1840208","Ferreira do Alentejo",80219.18
209,"1840209","Mértola",0
210,"1840210","Moura",9093.17
212,"1840212","Ourique",4235.17
213,"1840213","Serpa",5356.25
214,"1840214","Vidigueira",1494.77
1403,"1851403","Almeirim",747.38
1404,"1851404","Alpiarça",3363.23
1103,"1851103","Azambuja",71375.14
1405,"1851405","Benavente",328599.69
1406,"1851406","Cartaxo",1370.2
1407,"1851407","Chamusca",148604.79
1409,"1851409","Coruche",235176.73
1412,"1851412","Golegã",4857.99
1414,"1851414","Rio Maior",40607.85
1415,"1851415","Salvaterra de Magos",55306.39
1416,"1851416","Santarém",276033.71
801,"1500801","Albufeira",0
802,"1500802","Alcoutim",256.53
803,"1500803","Aljezur",0
804,"1500804","Castro Marim",0
805,"1500805","Faro",769.58
806,"1500806","Lagoa",0
807,"1500807","Lagos",1881.19
808,"1500808","Loulé",940.59
809,"1500809","Monchique",256.53
810,"1500810","Olhão",0
811,"1500811","Portimão",2308.74
812,"1500812","São Brás de Alportel",0
813,"1500813","Silves",3420.34
814,"1500814","Tavira",171.01
815,"1500815","Vila do Bispo",427.54
816,"1500816","Vila Real de Santo António",342.04
