Muni_ID,ID,Muni,forage_maize,forage_mixture,forage_oat,forage_roots,forage_sorghum,sum
1601,1111601,Arcos de Valdevez,0,0,0,0,0,0
1602,1111602,Caminha,0,0,0,0,0,0
1603,1111603,Melgaço,0,0,0,0,0,0
1604,1111604,Monção,0,0,0,0,0,0
1605,1111605,Paredes de Coura,0,0,0,0,0,0
1606,1111606,Ponte da Barca,0,0,0,0,0,0
1607,1111607,Ponte de Lima,0,0,0,0,0,0
1608,1111608,Valença,0,0,0,0,0,0
1609,1111609,Viana do Castelo,0,0,0,0,0,0
1610,1111610,Vila Nova de Cerveira,0,0,0,0,0,0
301,1120301,Amares,0,0,0,0,0,0
302,1120302,Barcelos,0,0,0,0,0,0
303,1120303,Braga,0,0,0,0,0,0
306,1120306,Esposende,0,0,0,0,0,0
310,1120310,Terras de Bouro,0,0,0,0,0,0
313,1120313,Vila Verde,0,0,0,0,0,0
307,1130307,Fafe,0,0,0,0,0,0
308,1130308,Guimarães,0,0,0,0,0,0
309,1130309,Póvoa de Lanhoso,0,0,0,0,0,0
1314,1131314,Santo Tirso,0,0,0,0,0,0
1318,1131318,Trofa,0,0,0,0,0,0
311,1130311,Vieira do Minho,0,0,0,0,0,0
312,1130312,Vila Nova de Famalicão,0,0,0,0,0,0
314,1130314,Vizela,0,0,0,0,0,0
107,1140107,Espinho,0,0,0,0,0,0
1304,1141304,Gondomar,0,0,0,0,0,0
1306,1141306,Maia,0,0,0,0,0,0
1308,1141308,Matosinhos,0,0,0,0,0,0
1312,1141312,Porto,0,0,0,0,0,0
1313,1141313,Póvoa de Varzim,0,0,0,0,0,0
1315,1141315,Valongo,0,0,0,0,0,0
1316,1141316,Vila do Conde,0,0,0,0,0,0
1317,1141317,Vila Nova de Gaia,0,0,0,0,0,0
1301,1151301,Amarante,0,0,0,0,0,0
1302,1151302,Baião,0,0,0,0,0,0
304,1150304,Cabeceiras de Basto,0,0,0,0,0,0
106,1150106,Castelo de Paiva,0,0,0,0,0,0
305,1150305,Celorico de Basto,0,0,0,0,0,0
1804,1151804,Cinfães,0,0,0,0,0,0
1303,1151303,Felgueiras,0,0,0,0,0,0
1305,1151305,Lousada,0,0,0,0,0,0
1307,1151307,Marco de Canaveses,0,0,0,0,0,0
1705,1151705,Mondim de Basto,0,0,0,0,0,0
1309,1151309,Paços de Ferreira,0,0,0,0,0,0
1310,1151310,Paredes,0,0,0,0,0,0
1311,1151311,Penafiel,0,0,0,0,0,0
1813,1151813,Resende,0,0,0,0,0,0
1709,1151709,Ribeira de Pena,0,0,0,0,0,0
104,1160104,Arouca,0,0,0,0,0,0
113,1160113,Oliveira de Azeméis,0,0,0,0,0,0
109,1160109,Santa Maria da Feira,0,0,0,0,0,0
116,1160116,São João da Madeira,0,0,0,0,0,0
119,1160119,Vale de Cambra,0,0,0,0,0,0
1701,1171701,Alijó,0,0,0,0,0,0
1801,1171801,Armamar,0,0,0,0,0,0
403,1170403,Carrazeda de Ansiães,0,0,0,0,0,0
404,1170404,Freixo de Espada à Cinta,0,0,0,0,0,0
1805,1171805,Lamego,0,0,0,0,0,0
1704,1171704,Mesão Frio,0,0,0,0,0,0
1807,1171807,Moimenta da Beira,0,0,0,0,0,0
1812,1171812,Penedono,0,0,0,0,0,0
1708,1171708,Peso da Régua,0,0,0,0,0,0
1710,1171710,Sabrosa,0,0,0,0,0,0
1711,1171711,Santa Marta de Penaguião,0,0,0,0,0,0
1815,1171815,São João da Pesqueira,0,0,0,0,0,0
1818,1171818,Sernancelhe,0,0,0,0,0,0
1819,1171819,Tabuaço,0,0,0,0,0,0
1820,1171820,Tarouca,0,0,0,0,0,0
409,1170409,Torre de Moncorvo,0,0,0,0,0,0
410,1170410,Vila Flor,0,0,0,0,0,0
914,1170914,Vila Nova de Foz Côa,0,0,0,0,0,0
1714,1171714,Vila Real,0,0,0,0,0,0
401,1180401,Alfândega da Fé,66.2374944,4.452489,0,0,7.3860264,78.0760098
1702,1181702,Boticas,77.9355,0,0,3.3885,0,81.324
402,1180402,Bragança,1903.9723974,0,15.661647,660.21534,505.9428084,3085.7921928
1703,1181703,Chaves,0,0,0,0,0,0
405,1180405,Macedo de Cavaleiros,0,0,0,0,0,0
406,1180406,Miranda do Douro,0,0,0,0,0,0
407,1180407,Mirandela,0,0,0,0,0,0
408,1180408,Mogadouro,0,0,0,0,0,0
1706,1181706,Montalegre,0,0,0,0,0,0
1707,1181707,Murça,0,0,0,0,0,0
1712,1181712,Valpaços,0,0,0,0,0,0
1713,1181713,Vila Pouca de Aguiar,0,0,0,0,0,0
411,1180411,Vimioso,0,0,0,0,0,0
412,1180412,Vinhais,0,0,0,0,0,0
101,1610101,Águeda,0,0,0,0,0,0
102,1610102,Albergaria-a-Velha,0,0,0,0,0,0
103,1610103,Anadia,0,0,0,0,0,0
105,1610105,Aveiro,40.59982942848,6.8311400976,0.19238981328,4.4662490208,3.0494927736,55.13910113376
108,1610108,Estarreja,0,0,0,0,0,0
110,1610110,Ílhavo,229.846129632,8.13230964,0,13.58779464,0,251.566233912
111,1610111,Mealhada,832.81942636272,0,89.95925177352,110.3756219136,84.1770112788,1117.33131132864
112,1610112,Murtosa,0,0,0,0,0,0
114,1610114,Oliveira do Bairro,0,0,0,0,0,0
115,1610115,Ovar,167.90937653952,6.8735695392,0,0,10.8575347104,185.64048078912
117,1610117,Sever do Vouga,248.059669536,25.0098408,0,5.69268,0,278.762190336
118,1610118,Vagos,0,0,0,0,0,0
602,1620602,Cantanhede,464.9338946736,37.792509768,6.1905021552,39.144656808,22.643800344,570.7053637488
603,1620603,Coimbra,259.04903532984,13.1743416168,17.7788800665,0,2.6012843577,292.60354137084
604,1620604,Condeixa-a-Nova,0,0,0,0,0,0
605,1620605,Figueira da Foz,127.03165703928,2.0790426384,1.41085863072,0.2970060912,1.4074582032,132.2260226028
608,1620608,Mira,0,0,0,0,0,0
610,1620610,Montemor-o-Velho,0,0,0,0,0,0
613,1620613,Penacova,0,0,0,0,0,0
615,1620615,Soure,0,0,0,0,0,0
1004,1631004,Batalha,0,0,0,0,0,0
1009,1631009,Leiria,0,0,0,0,0,0
1010,1631010,Marinha Grande,0,0,0,0,0,0
1015,1631015,Pombal,0,0,0,0,0,0
1016,1631016,Porto de Mós,0,0,0,0,0,0
1002,1641002,Alvaiázere,0,0,0,0,0,0
1003,1641003,Ansião,0,0,0,0,0,0
601,1640601,Arganil,0,0,0,0,0,0
1007,1641007,Castanheira de Pêra,0,0,0,0,0,0
1008,1641008,Figueiró dos Vinhos,0,0,3.546376992,5.90139296325,0,9.44776995525
606,1640606,Góis,0,0,0,0,0,0
607,1640607,Lousã,0,0,0,0,0,0
609,1640609,Miranda do Corvo,0,0,0,0,0,0
611,1640611,Oliveira do Hospital,2122.666492365,189.67016082375,25.27915878,29.162278125,247.37863694625,2614.15672704
612,1640612,Pampilhosa da Serra,0,0,0,0,0,0
1013,1641013,Pedrógão Grande,0,0,3.91392081,0,0,3.91392081
614,1640614,Penela,0,0,0,0,0,0
616,1640616,Tábua,4371.425291016,159.2505868896,207.6431162112,532.6497328896,538.7983721604,5809.7670991668
617,1640617,Vila Nova de Poiares,0,0,0,0,0,0
901,1650901,Aguiar da Beira,0,0,0,0,0,0
1802,1651802,Carregal do Sal,0,0,0,0,0,0
1803,1651803,Castro Daire,0,0,0,0,0,0
1806,1651806,Mangualde,0,0,0,0,0,0
1808,1651808,Mortágua,0,0,0,0,0,0
1809,1651809,Nelas,0,0,0,0,0,0
1810,1651810,Oliveira de Frades,0,0,0,0,0,0
1811,1651811,Penalva do Castelo,0,0,0,0,0,0
1814,1651814,Santa Comba Dão,0,0,0,0,0,0
