Muni_ID,ID,Muni,tot_chickpea
1601,1111601,Arcos de Valdevez,0
1602,1111602,Caminha,0
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,0
1607,1111607,Ponte de Lima,0
1608,1111608,Valença,0
1609,1111609,Viana do Castelo,0
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,0
302,1120302,Barcelos,0
303,1120303,Braga,0
306,1120306,Esposende,0
310,1120310,Terras de Bouro,0
313,1120313,Vila Verde,0
307,1130307,Fafe,1
308,1130308,Guimarães,0
309,1130309,Póvoa de Lanhoso,0
1314,1131314,Santo Tirso,0
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,0
312,1130312,Vila Nova de Famalicão,0
314,1130314,Vizela,0
107,1140107,Espinho,0
1304,1141304,Gondomar,0
1306,1141306,Maia,0
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,0
1301,1151301,Amarante,1
1302,1151302,Baião,1
304,1150304,Cabeceiras de Basto,0
106,1150106,Castelo de Paiva,0
305,1150305,Celorico de Basto,0
1804,1151804,Cinfães,1
1303,1151303,Felgueiras,0
1305,1151305,Lousada,0
1307,1151307,Marco de Canaveses,1
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,0
1310,1151310,Paredes,0
1311,1151311,Penafiel,0
1813,1151813,Resende,0
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,0
113,1160113,Oliveira de Azeméis,0
109,1160109,Santa Maria da Feira,0
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,2
1801,1171801,Armamar,0
403,1170403,Carrazeda de Ansiães,3
404,1170404,Freixo de Espada à Cinta,0
1805,1171805,Lamego,2
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,3
1812,1171812,Penedono,1
1708,1171708,Peso da Régua,0
1710,1171710,Sabrosa,0
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,1
1818,1171818,Sernancelhe,3
1819,1171819,Tabuaço,1
1820,1171820,Tarouca,1
409,1170409,Torre de Moncorvo,4
410,1170410,Vila Flor,0
914,1170914,Vila Nova de Foz Côa,1
1714,1171714,Vila Real,0
401,1180401,Alfândega da Fé,0
1702,1181702,Boticas,0
402,1180402,Bragança,8
1703,1181703,Chaves,4
405,1180405,Macedo de Cavaleiros,9
406,1180406,Miranda do Douro,8
407,1180407,Mirandela,8
408,1180408,Mogadouro,40
1706,1181706,Montalegre,0
1707,1181707,Murça,2
1712,1181712,Valpaços,3
1713,1181713,Vila Pouca de Aguiar,1
411,1180411,Vimioso,7
412,1180412,Vinhais,7
101,1610101,Águeda,0
102,1610102,Albergaria-a-Velha,0
103,1610103,Anadia,1
105,1610105,Aveiro,0
108,1610108,Estarreja,0
110,1610110,Ílhavo,0
111,1610111,Mealhada,2
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,0
115,1610115,Ovar,0
117,1610117,Sever do Vouga,0
118,1610118,Vagos,0
602,1620602,Cantanhede,2
603,1620603,Coimbra,3
604,1620604,Condeixa-a-Nova,7
605,1620605,Figueira da Foz,0
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,0
613,1620613,Penacova,2
615,1620615,Soure,6
1004,1631004,Batalha,2
1009,1631009,Leiria,2
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,14
1016,1631016,Porto de Mós,2
1002,1641002,Alvaiázere,7
1003,1641003,Ansião,15
601,1640601,Arganil,2
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,1
606,1640606,Góis,2
607,1640607,Lousã,2
609,1640609,Miranda do Corvo,2
611,1640611,Oliveira do Hospital,28
612,1640612,Pampilhosa da Serra,1
1013,1641013,Pedrógão Grande,2
614,1640614,Penela,19
616,1640616,Tábua,8
617,1640617,Vila Nova de Poiares,1
901,1650901,Aguiar da Beira,1
1802,1651802,Carregal do Sal,6
1803,1651803,Castro Daire,1
1806,1651806,Mangualde,24
1808,1651808,Mortágua,0
1809,1651809,Nelas,4
1810,1651810,Oliveira de Frades,0
1811,1651811,Penalva do Castelo,13
1814,1651814,Santa Comba Dão,4
1816,1651816,São Pedro do Sul,2
1817,1651817,Sátão,3
1821,1651821,Tondela,6
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,25
1824,1651824,Vouzela,1
1413,1661413,Mação,1
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,1
509,1660509,Sertã,3
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,7
906,1670906,Gouveia,8
912,1670912,Seia,8
902,1680902,Almeida,14
903,1680903,Celorico da Beira,19
904,1680904,Figueira de Castelo Rodrigo,3
907,1680907,Guarda,24
908,1680908,Manteigas,0
909,1680909,Mêda,7
910,1680910,Pinhel,23
911,1680911,Sabugal,17
913,1680913,Trancoso,5
502,1690502,Castelo Branco,4
505,1690505,Idanha-a-Nova,1
507,1690507,Penamacor,3
511,1690511,Vila Velha de Ródão,3
501,16A0501,Belmonte,8
503,16A0503,Covilhã,10
504,16A0504,Fundão,13
1001,16B1001,Alcobaça,2
1101,16B1101,Alenquer,5
1102,16B1102,Arruda dos Vinhos,4
1005,16B1005,Bombarral,0
1104,16B1104,Cadaval,1
1006,16B1006,Caldas da Rainha,2
1108,16B1108,Lourinhã,0
1011,16B1011,Nazaré,0
1012,16B1012,Óbidos,0
1014,16B1014,Peniche,0
1112,16B1112,Sobral de Monte Agraço,2
1113,16B1113,Torres Vedras,2
1401,16C1401,Abrantes,1
1402,16C1402,Alcanena,3
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0
1411,16C1411,Ferreira do Zêzere,7
1421,16C1421,Ourém,13
1417,16C1417,Sardoal,7
1418,16C1418,Tomar,3
1419,16C1419,Torres Novas,6
1420,16C1420,Vila Nova da Barquinha,0
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,2
1109,1711109,Mafra,6
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,3
1114,1711114,Vila Franca de Xira,8
1502,1721502,Alcochete,0
1503,1721503,Almada,0
1504,1721504,Barreiro,0
1506,1721506,Moita,0
1507,1721507,Montijo,0
1508,1721508,Palmela,0
1510,1721510,Seixal,0
1511,1721511,Sesimbra,2
1512,1721512,Setúbal,0
1501,1811501,Alcácer do Sal,7
1505,1811505,Grândola,0
211,1810211,Odemira,4
1509,1811509,Santiago do Cacém,28
1513,1811513,Sines,0
1201,1821201,Alter do Chão,0
1202,1821202,Arronches,0
1203,1821203,Avis,51
1204,1821204,Campo Maior,8
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,0
1207,1821207,Elvas,14
1208,1821208,Fronteira,68
1209,1821209,Gavião,5
1210,1821210,Marvão,0
1211,1821211,Monforte,0
707,1820707,Mora,0
1212,1821212,Nisa,0
1213,1821213,Ponte de Sor,0
1214,1821214,Portalegre,0
701,1830701,Alandroal,14
702,1830702,Arraiolos,132
703,1830703,Borba,0
704,1830704,Estremoz,32
705,1830705,Évora,70
706,1830706,Montemor-o-Novo,1
708,1830708,Mourão,35
709,1830709,Portel,12
710,1830710,Redondo,33
711,1830711,Reguengos de Monsaraz,116
1215,1831215,Sousel,15
712,1830712,Vendas Novas,0
713,1830713,Viana do Alentejo,0
714,1830714,Vila Viçosa,5
201,1840201,Aljustrel,73
202,1840202,Almodôvar,6
203,1840203,Alvito,0
204,1840204,Barrancos,0
205,1840205,Beja,73
206,1840206,Castro Verde,619
207,1840207,Cuba,7
208,1840208,Ferreira do Alentejo,90
209,1840209,Mértola,59
210,1840210,Moura,111
212,1840212,Ourique,19
213,1840213,Serpa,244
214,1840214,Vidigueira,25
1403,1851403,Almeirim,0
1404,1851404,Alpiarça,0
1103,1851103,Azambuja,5
1405,1851405,Benavente,0
1406,1851406,Cartaxo,7
1407,1851407,Chamusca,0
1409,1851409,Coruche,0
1412,1851412,Golegã,0
1414,1851414,Rio Maior,3
1415,1851415,Salvaterra de Magos,0
1416,1851416,Santarém,7
801,1500801,Albufeira,4
802,1500802,Alcoutim,1
803,1500803,Aljezur,2
804,1500804,Castro Marim,2
805,1500805,Faro,7
806,1500806,Lagoa,4
807,1500807,Lagos,26
808,1500808,Loulé,23
809,1500809,Monchique,0
810,1500810,Olhão,2
811,1500811,Portimão,0
812,1500812,São Brás de Alportel,2
813,1500813,Silves,35
814,1500814,Tavira,7
815,1500815,Vila do Bispo,12
816,1500816,Vila Real de Santo António,4
