Muni_ID,ID,Muni,tot_otherpulses
1601,1111601,Arcos de Valdevez,6
1602,1111602,Caminha,0
1603,1111603,Melgaço,0
1604,1111604,Monção,1
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,16
1607,1111607,Ponte de Lima,26
1608,1111608,Valença,2
1609,1111609,Viana do Castelo,9
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,10
302,1120302,Barcelos,13
303,1120303,Braga,9
306,1120306,Esposende,0
310,1120310,Terras de Bouro,1
313,1120313,Vila Verde,50
307,1130307,Fafe,3
308,1130308,Guimarães,3
309,1130309,Póvoa de Lanhoso,4
1314,1131314,Santo Tirso,1
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,0
312,1130312,Vila Nova de Famalicão,0
314,1130314,Vizela,0
107,1140107,Espinho,0
1304,1141304,Gondomar,6
1306,1141306,Maia,11
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,25
1301,1151301,Amarante,3
1302,1151302,Baião,1
304,1150304,Cabeceiras de Basto,3
106,1150106,Castelo de Paiva,3
305,1150305,Celorico de Basto,1
1804,1151804,Cinfães,1
1303,1151303,Felgueiras,1
1305,1151305,Lousada,3
1307,1151307,Marco de Canaveses,9
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,1
1310,1151310,Paredes,9
1311,1151311,Penafiel,8
1813,1151813,Resende,0
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,2
113,1160113,Oliveira de Azeméis,7
109,1160109,Santa Maria da Feira,22
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,0
1801,1171801,Armamar,0
403,1170403,Carrazeda de Ansiães,0
404,1170404,Freixo de Espada à Cinta,0
1805,1171805,Lamego,0
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,0
1812,1171812,Penedono,0
1708,1171708,Peso da Régua,2
1710,1171710,Sabrosa,1
1711,1171711,Santa Marta de Penaguião,0
