Muni_ID,ID,Muni,tot_for_sorghum
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,0.4
1411,16C1411,Ferreira do Zêzere,9.4
1421,16C1421,Ourém,52
1417,16C1417,Sardoal,8.4
1418,16C1418,Tomar,86.6
1419,16C1419,Torres Novas,93
1420,16C1420,Vila Nova da Barquinha,8.4
1115,1711115,Amadora,0
1105,1711105,Cascais,9.2
1106,1711106,Lisboa,0
1107,1711107,Loures,81.4
1109,1711109,Mafra,164.6
1116,1711116,Odivelas,5.2
1110,1711110,Oeiras,0
1111,1711111,Sintra,316
1114,1711114,Vila Franca de Xira,137.4
1502,1721502,Alcochete,49.6
1503,1721503,Almada,7.6
1504,1721504,Barreiro,12
1506,1721506,Moita,31.2
1507,1721507,Montijo,232.2
1508,1721508,Palmela,244.8
1510,1721510,Seixal,7.2
1511,1721511,Sesimbra,38.4
1512,1721512,Setúbal,82.6
1501,1811501,Alcácer do Sal,948.6
1505,1811505,Grândola,476
211,1810211,Odemira,447.6
1509,1811509,Santiago do Cacém,392
1513,1811513,Sines,37.4
1201,1821201,Alter do Chão,492.8
1202,1821202,Arronches,221.4
1203,1821203,Avis,301
1204,1821204,Campo Maior,58
1205,1821205,Castelo de Vide,307.2
1206,1821206,Crato,320
1207,1821207,Elvas,248
1208,1821208,Fronteira,418.4
1209,1821209,Gavião,698
1210,1821210,Marvão,86.4
1211,1821211,Monforte,191.6
707,1820707,Mora,553.2
1212,1821212,Nisa,420
1213,1821213,Ponte de Sor,768.2
1214,1821214,Portalegre,445.4
701,1830701,Alandroal,178
702,1830702,Arraiolos,606.4
703,1830703,Borba,67.6
704,1830704,Estremoz,502.4
705,1830705,Évora,1199
706,1830706,Montemor-o-Novo,2243
708,1830708,Mourão,170.2
709,1830709,Portel,215
710,1830710,Redondo,353.4
711,1830711,Reguengos de Monsaraz,300.8
1215,1831215,Sousel,348.8
712,1830712,Vendas Novas,241
713,1830713,Viana do Alentejo,534.8
714,1830714,Vila Viçosa,107.2
201,1840201,Aljustrel,98
202,1840202,Almodôvar,41.4
203,1840203,Alvito,224.8
204,1840204,Barrancos,0
205,1840205,Beja,130.6
206,1840206,Castro Verde,32.4
207,1840207,Cuba,10.2
208,1840208,Ferreira do Alentejo,426
209,1840209,Mértola,68.6
210,1840210,Moura,357.2
212,1840212,Ourique,34.2
213,1840213,Serpa,177.4
214,1840214,Vidigueira,260.6
1403,1851403,Almeirim,0
1404,1851404,Alpiarça,0
1103,1851103,Azambuja,107.8
1405,1851405,Benavente,405.8
1406,1851406,Cartaxo,42
1407,1851407,Chamusca,369.2
1409,1851409,Coruche,694.6
1412,1851412,Golegã,2.8
1414,1851414,Rio Maior,60
1415,1851415,Salvaterra de Magos,7.4
1416,1851416,Santarém,317
801,1500801,Albufeira,1
802,1500802,Alcoutim,57.4
803,1500803,Aljezur,39.8
804,1500804,Castro Marim,78.2
805,1500805,Faro,2.2
806,1500806,Lagoa,0.6
807,1500807,Lagos,59.4
808,1500808,Loulé,48
809,1500809,Monchique,13.4
810,1500810,Olhão,0
811,1500811,Portimão,16.6
812,1500812,São Brás de Alportel,0
813,1500813,Silves,30
814,1500814,Tavira,17.8
815,1500815,Vila do Bispo,5
816,1500816,Vila Real de Santo António,10
