Muni_ID,ID,Muni,tot_for_roots
1601,1111601,Arcos de Valdevez,266.6
1602,1111602,Caminha,49.4
1603,1111603,Melgaço,76.4
1604,1111604,Monção,203.2
1605,1111605,Paredes de Coura,189
1606,1111606,Ponte da Barca,117.4
1607,1111607,Ponte de Lima,610.2
1608,1111608,Valença,92.2
1609,1111609,Viana do Castelo,417.6
1610,1111610,Vila Nova de Cerveira,76.2
301,1120301,Amares,149.8
302,1120302,Barcelos,863.2
303,1120303,Braga,361.4
306,1120306,Esposende,158.6
310,1120310,Terras de Bouro,127
313,1120313,Vila Verde,395.8
307,1130307,Fafe,381.6
308,1130308,Guimarães,537.6
309,1130309,Póvoa de Lanhoso,150.6
1314,1131314,Santo Tirso,190.4
1318,1131318,Trofa,86.8
311,1130311,Vieira do Minho,97.2
312,1130312,Vila Nova de Famalicão,512.4
314,1130314,Vizela,48.4
107,1140107,Espinho,3
1304,1141304,Gondomar,41.4
1306,1141306,Maia,26
1308,1141308,Matosinhos,41.6
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,349
1315,1141315,Valongo,35
1316,1141316,Vila do Conde,476.2
1317,1141317,Vila Nova de Gaia,31.8
1301,1151301,Amarante,410.6
1302,1151302,Baião,206.6
304,1150304,Cabeceiras de Basto,218.8
106,1150106,Castelo de Paiva,70.8
305,1150305,Celorico de Basto,384.6
1804,1151804,Cinfães,210.6
1303,1151303,Felgueiras,226.4
1305,1151305,Lousada,184.8
1307,1151307,Marco de Canaveses,180.2
1705,1151705,Mondim de Basto,165.8
1309,1151309,Paços de Ferreira,105.8
1310,1151310,Paredes,166.6
1311,1151311,Penafiel,199.4
1813,1151813,Resende,55.8
1709,1151709,Ribeira de Pena,191.4
104,1160104,Arouca,256.2
113,1160113,Oliveira de Azeméis,80.2
109,1160109,Santa Maria da Feira,37.8
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,87
1701,1171701,Alijó,34.8
1801,1171801,Armamar,0.4
403,1170403,Carrazeda de Ansiães,37.4
404,1170404,Freixo de Espada à Cinta,12.2
1805,1171805,Lamego,9.2
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,86.6
1812,1171812,Penedono,56.2
1708,1171708,Peso da Régua,5.4
1710,1171710,Sabrosa,21.6
1711,1171711,Santa Marta de Penaguião,2.8
1815,1171815,São João da Pesqueira,19
1818,1171818,Sernancelhe,66
1819,1171819,Tabuaço,1.8
1820,1171820,Tarouca,36.2
409,1170409,Torre de Moncorvo,92.8
410,1170410,Vila Flor,33
914,1170914,Vila Nova de Foz Côa,10.6
1714,1171714,Vila Real,180.2
401,1180401,Alfândega da Fé,46.4
1702,1181702,Boticas,171
402,1180402,Bragança,1298.4
1703,1181703,Chaves,897.6
405,1180405,Macedo de Cavaleiros,453.2
406,1180406,Miranda do Douro,487.4
407,1180407,Mirandela,190.4
408,1180408,Mogadouro,632.8
1706,1181706,Montalegre,678
1707,1181707,Murça,67.2
1712,1181712,Valpaços,526.2
1713,1181713,Vila Pouca de Aguiar,312.4
411,1180411,Vimioso,337
412,1180412,Vinhais,663
101,1610101,Águeda,168.6
102,1610102,Albergaria-a-Velha,158.4
103,1610103,Anadia,79.6
105,1610105,Aveiro,83.6
108,1610108,Estarreja,143
110,1610110,Ílhavo,16.6
111,1610111,Mealhada,46.8
112,1610112,Murtosa,147.4
114,1610114,Oliveira do Bairro,96.8
115,1610115,Ovar,41.6
117,1610117,Sever do Vouga,42.6
118,1610118,Vagos,203.6
602,1620602,Cantanhede,198.4
603,1620603,Coimbra,57.6
604,1620604,Condeixa-a-Nova,22.4
605,1620605,Figueira da Foz,98
608,1620608,Mira,46.2
610,1620610,Montemor-o-Velho,140.6
613,1620613,Penacova,8.4
615,1620615,Soure,37.4
1004,1631004,Batalha,4.4
1009,1631009,Leiria,102.2
1010,1631010,Marinha Grande,3
1015,1631015,Pombal,225.4
1016,1631016,Porto de Mós,58.6
1002,1641002,Alvaiázere,10.6
1003,1641003,Ansião,23
601,1640601,Arganil,22.6
1007,1641007,Castanheira de Pêra,0.6
1008,1641008,Figueiró dos Vinhos,1.2
606,1640606,Góis,13.4
607,1640607,Lousã,3.4
609,1640609,Miranda do Corvo,6
611,1640611,Oliveira do Hospital,93
612,1640612,Pampilhosa da Serra,5
1013,1641013,Pedrógão Grande,2.4
614,1640614,Penela,13.4
616,1640616,Tábua,33.2
617,1640617,Vila Nova de Poiares,9
901,1650901,Aguiar da Beira,218.4
1802,1651802,Carregal do Sal,26.6
1803,1651803,Castro Daire,202.8
1806,1651806,Mangualde,210.6
1808,1651808,Mortágua,182.4
1809,1651809,Nelas,40.8
1810,1651810,Oliveira de Frades,137.4
1811,1651811,Penalva do Castelo,224.6
1814,1651814,Santa Comba Dão,33.4
1816,1651816,São Pedro do Sul,286.4
1817,1651817,Sátão,257
1821,1651821,Tondela,270.4
1822,1651822,Vila Nova de Paiva,186.6
1823,1651823,Viseu,459
1824,1651824,Vouzela,238.8
1413,1661413,Mação,13.4
506,1660506,Oleiros,14
508,1660508,Proença-a-Nova,160.8
509,1660509,Sertã,34.4
510,1660510,Vila de Rei,2.8
905,1670905,Fornos de Algodres,36.2
906,1670906,Gouveia,84.8
912,1670912,Seia,203
902,1680902,Almeida,529.8
903,1680903,Celorico da Beira,453.6
904,1680904,Figueira de Castelo Rodrigo,357.8
907,1680907,Guarda,670.2
908,1680908,Manteigas,17.6
909,1680909,Mêda,189.6
910,1680910,Pinhel,375.4
911,1680911,Sabugal,713.8
913,1680913,Trancoso,463.4
502,1690502,Castelo Branco,1671
505,1690505,Idanha-a-Nova,1341.2
507,1690507,Penamacor,153
511,1690511,Vila Velha de Ródão,101.4
