"Muni_ID","ID","Muni","orange"
903,"1680903","Celorico da Beira",0
904,"1680904","Figueira de Castelo Rodrigo",0
907,"1680907","Guarda",0.68
908,"1680908","Manteigas",0
909,"1680909","Mêda",0
910,"1680910","Pinhel",0
911,"1680911","Sabugal",0.02
913,"1680913","Trancoso",0
502,"1690502","Castelo Branco",0
505,"1690505","Idanha-a-Nova",0
507,"1690507","Penamacor",0
511,"1690511","Vila Velha de Ródão",0
501,"16A0501","Belmonte",0
503,"16A0503","Covilhã",0
504,"16A0504","Fundão",3.1
1001,"16B1001","Alcobaça",0.08
1101,"16B1101","Alenquer",2.11
1102,"16B1102","Arruda dos Vinhos",0
1005,"16B1005","Bombarral",0
1104,"16B1104","Cadaval",0
1006,"16B1006","Caldas da Rainha",27.08
1108,"16B1108","Lourinhã",0.96
1011,"16B1011","Nazaré",2.16
1012,"16B1012","Óbidos",145.62
1014,"16B1014","Peniche",11.7
1112,"16B1112","Sobral de Monte Agraço",0
1113,"16B1113","Torres Vedras",1.87
1401,"16C1401","Abrantes",14.43
1402,"16C1402","Alcanena",0
1408,"16C1408","Constância",0
1410,"16C1410","Entroncamento",0
1411,"16C1411","Ferreira do Zêzere",0
1421,"16C1421","Ourém",19.21
1417,"16C1417","Sardoal",0.72
1418,"16C1418","Tomar",217
1419,"16C1419","Torres Novas",0
1420,"16C1420","Vila Nova da Barquinha",0
1115,"1711115","Amadora",0
1105,"1711105","Cascais",14.6
1106,"1711106","Lisboa",0
1107,"1711107","Loures",11.73
1109,"1711109","Mafra",6.97
1116,"1711116","Odivelas",4.06
1110,"1711110","Oeiras",4.27
1111,"1711111","Sintra",18.43
1114,"1711114","Vila Franca de Xira",24.49
1502,"1721502","Alcochete",20.61
1503,"1721503","Almada",3.84
1504,"1721504","Barreiro",5.08
1506,"1721506","Moita",33.9
1507,"1721507","Montijo",190.51
1508,"1721508","Palmela",518.83
1510,"1721510","Seixal",25.62
1511,"1721511","Sesimbra",24.67
1512,"1721512","Setúbal",164.63
1501,"1811501","Alcácer do Sal",0
1505,"1811505","Grândola",0.92
211,"1810211","Odemira",0.31
1509,"1811509","Santiago do Cacém",0
1513,"1811513","Sines",24.39
1201,"1821201","Alter do Chão",0
1202,"1821202","Arronches",0.07
1203,"1821203","Avis",0
1204,"1821204","Campo Maior",0
1205,"1821205","Castelo de Vide",0.12
1206,"1821206","Crato",0.04
1207,"1821207","Elvas",14.19
1208,"1821208","Fronteira",0
1209,"1821209","Gavião",0.08
1210,"1821210","Marvão",0.16
1211,"1821211","Monforte",0
707,"1820707","Mora",0
1212,"1821212","Nisa",0.69
1213,"1821213","Ponte de Sor",1.85
1214,"1821214","Portalegre",38.13
701,"1830701","Alandroal",0
702,"1830702","Arraiolos",0
703,"1830703","Borba",0
704,"1830704","Estremoz",0
705,"1830705","Évora",0
706,"1830706","Montemor-o-Novo",0.04
708,"1830708","Mourão",0
709,"1830709","Portel",35.86
710,"1830710","Redondo",0
711,"1830711","Reguengos de Monsaraz",0
1215,"1831215","Sousel",0.05
712,"1830712","Vendas Novas",0
713,"1830713","Viana do Alentejo",0
714,"1830714","Vila Viçosa",0.04
201,"1840201","Aljustrel",0
202,"1840202","Almodôvar",0
203,"1840203","Alvito",0.19
204,"1840204","Barrancos",0
205,"1840205","Beja",0.07
206,"1840206","Castro Verde",3.35
207,"1840207","Cuba",0
208,"1840208","Ferreira do Alentejo",0
209,"1840209","Mértola",0
210,"1840210","Moura",3.29
212,"1840212","Ourique",0
213,"1840213","Serpa",0
214,"1840214","Vidigueira",0.41
1403,"1851403","Almeirim",1.75
1404,"1851404","Alpiarça",0
1103,"1851103","Azambuja",3.33
1405,"1851405","Benavente",5.14
1406,"1851406","Cartaxo",0
1407,"1851407","Chamusca",6.88
1409,"1851409","Coruche",6.7
1412,"1851412","Golegã",0.56
1414,"1851414","Rio Maior",0
1415,"1851415","Salvaterra de Magos",0.04
1416,"1851416","Santarém",12.9
801,"1500801","Albufeira",3496.94
802,"1500802","Alcoutim",0
803,"1500803","Aljezur",9.2
804,"1500804","Castro Marim",0
805,"1500805","Faro",0
806,"1500806","Lagoa",432.94
807,"1500807","Lagos",165.81
808,"1500808","Loulé",2329.07
809,"1500809","Monchique",0
810,"1500810","Olhão",878.33
811,"1500811","Portimão",0
812,"1500812","São Brás de Alportel",0
813,"1500813","Silves",1428.81
814,"1500814","Tavira",1663.72
815,"1500815","Vila do Bispo",0.2
816,"1500816","Vila Real de Santo António",0
