Muni_ID,ID,Muni,denit_nha,leaching_nha
1601,1111601,Arcos de Valdevez,13.98029,1.90356
1602,1111602,Caminha,2.71128,2.13949
1603,1111603,Melgaço,6.93733,0.93234
1604,1111604,Monção,24.59884,3.5945
1605,1111605,Paredes de Coura,26.64132,7.5118
1606,1111606,Ponte da Barca,15.8609,2.15627
1607,1111607,Ponte de Lima,22.7544,4.66691
1608,1111608,Valença,53.91426,7.82396
1609,1111609,Viana do Castelo,2.12127,0.92202
1610,1111610,Vila Nova de Cerveira,7.72592,5.06836
301,1120301,Amares,54.66334,7.79442
302,1120302,Barcelos,0,0
303,1120303,Braga,20.30572,3.17107
306,1120306,Esposende,0,0
310,1120310,Terras de Bouro,14.39871,1.78241
313,1120313,Vila Verde,52.31537,7.90601
307,1130307,Fafe,88.84339,12.40068
308,1130308,Guimarães,42.88009,6.00859
309,1130309,Póvoa de Lanhoso,54.81341,7.76268
1314,1131314,Santo Tirso,0,0
1318,1131318,Trofa,0,0
311,1130311,Vieira do Minho,25.00411,3.47747
312,1130312,Vila Nova de Famalicão,0,0
314,1130314,Vizela,57.25058,8.33825
107,1140107,Espinho,69.47359,12.78834
1304,1141304,Gondomar,46.44967,7.90328
1306,1141306,Maia,0,0
1308,1141308,Matosinhos,0,0
1312,1141312,Porto,,
1313,1141313,Póvoa de Varzim,0,0
1315,1141315,Valongo,0,0
1316,1141316,Vila do Conde,0,0
1317,1141317,Vila Nova de Gaia,56.99695,9.74296
1301,1151301,Amarante,77.76304,11.1217
1302,1151302,Baião,62.92918,9.04954
304,1150304,Cabeceiras de Basto,40.1085,6.38052
106,1150106,Castelo de Paiva,69.29002,10.89446
305,1150305,Celorico de Basto,75.37301,11.49752
1804,1151804,Cinfães,41.3306,6.00628
1303,1151303,Felgueiras,50.86988,7.73787
1305,1151305,Lousada,34.18577,4.8699
1307,1151307,Marco de Canaveses,65.84743,9.12652
1705,1151705,Mondim de Basto,36.53743,5.75439
1309,1151309,Paços de Ferreira,18.30877,2.57436
1310,1151310,Paredes,41.00646,6.47061
1311,1151311,Penafiel,47.32944,6.75434
1813,1151813,Resende,15.67877,2.19728
