Muni_ID,ID,Muni,denit_nha,leaching_nha
1601,1111601,Arcos de Valdevez,14.14192,1.92556
1602,1111602,Caminha,2.37117,1.87111
1603,1111603,Melgaço,6.69508,0.89978
1604,1111604,Monção,24.68403,3.60694
1605,1111605,Paredes de Coura,24.92158,7.02691
1606,1111606,Ponte da Barca,15.95856,2.16955
1607,1111607,Ponte de Lima,23.07336,4.73233
1608,1111608,Valença,44.03574,6.3904
1609,1111609,Viana do Castelo,1.76264,0.76614
1610,1111610,Vila Nova de Cerveira,0,0
301,1120301,Amares,54.71973,7.80246
302,1120302,Barcelos,0,0
303,1120303,Braga,21.01611,3.28201
306,1120306,Esposende,0,0
310,1120310,Terras de Bouro,13.91073,1.722
313,1120313,Vila Verde,52.48031,7.93094
307,1130307,Fafe,89.58576,12.5043
308,1130308,Guimarães,43.48296,6.09307
309,1130309,Póvoa de Lanhoso,55.74743,7.89496
1314,1131314,Santo Tirso,0,0
1318,1131318,Trofa,0,0
311,1130311,Vieira do Minho,21.17064,2.94433
312,1130312,Vila Nova de Famalicão,0,0
314,1130314,Vizela,57.12319,8.3197
107,1140107,Espinho,63.48669,11.6863
1304,1141304,Gondomar,46.48657,7.90956
1306,1141306,Maia,0,0
1308,1141308,Matosinhos,0,0
1312,1141312,Porto,,
1313,1141313,Póvoa de Varzim,0,0
1315,1141315,Valongo,0,0
1316,1141316,Vila do Conde,0,0
1317,1141317,Vila Nova de Gaia,57.37802,9.8081
1301,1151301,Amarante,78.52029,11.23
1302,1151302,Baião,62.90907,9.04665
304,1150304,Cabeceiras de Basto,40.45424,6.43553
106,1150106,Castelo de Paiva,67.89329,10.67485
305,1150305,Celorico de Basto,75.71358,11.54947
1804,1151804,Cinfães,41.5553,6.03894
1303,1151303,Felgueiras,51.36769,7.81359
1305,1151305,Lousada,34.10757,4.85876
1307,1151307,Marco de Canaveses,66.61037,9.23226
1705,1151705,Mondim de Basto,36.9746,5.82324
1309,1151309,Paços de Ferreira,17.89734,2.51651
1310,1151310,Paredes,38.69948,6.10658
1311,1151311,Penafiel,48.11277,6.86613
1813,1151813,Resende,15.81947,2.217
1709,1151709,Ribeira de Pena,54.20532,8.14202
104,1160104,Arouca,0,0
113,1160113,Oliveira de Azeméis,0,0
109,1160109,Santa Maria da Feira,0,0
116,1160116,São João da Madeira,,
119,1160119,Vale de Cambra,0,0
1701,1171701,Alijó,11.97525,2.27202
1801,1171801,Armamar,17.37569,3.60116
403,1170403,Carrazeda de Ansiães,14.97149,2.50159
404,1170404,Freixo de Espada à Cinta,12.62272,2.7185
1805,1171805,Lamego,10.79287,1.91638
1704,1171704,Mesão Frio,0,0
1807,1171807,Moimenta da Beira,0,0
1812,1171812,Penedono,37.465,5.89274
1708,1171708,Peso da Régua,13.84117,3.12575
1710,1171710,Sabrosa,9.95172,2.12865
1711,1171711,Santa Marta de Penaguião,14.16249,3.24217
1815,1171815,São João da Pesqueira,14.66095,3.2801
1818,1171818,Sernancelhe,19.18461,2.72643
1819,1171819,Tabuaço,18.05774,3.45319
1820,1171820,Tarouca,19.02934,3.03544
409,1170409,Torre de Moncorvo,9.77722,2.01476
410,1170410,Vila Flor,22.27669,4.58108
914,1170914,Vila Nova de Foz Côa,9.54909,2.00696
1714,1171714,Vila Real,9.52765,1.72349
401,1180401,Alfândega da Fé,15.94273,3.6334
1702,1181702,Boticas,15.56596,2.21946
402,1180402,Bragança,25.89402,5.96719
1703,1181703,Chaves,17.12809,2.84401
405,1180405,Macedo de Cavaleiros,28.01691,6.22636
406,1180406,Miranda do Douro,14.0028,3.08225
407,1180407,Mirandela,24.17281,5.21482
408,1180408,Mogadouro,15.15035,3.41994
1706,1181706,Montalegre,8.58089,1.42878
