Muni_ID,ID,Muni,sludge09_N,sludge09_nha
1601,1111601,Arcos de Valdevez,0,0
1602,1111602,Caminha,639.1025906,0.194138089
1603,1111603,Melgaço,151.5703503,0.009586992
1604,1111604,Monção,316.1887593,0.04649151
1605,1111605,Paredes de Coura,168.5761888,0.042688323
1606,1111606,Ponte da Barca,201.8309996,0.052697389
1607,1111607,Ponte de Lima,308.8566175,0.034930629
1608,1111608,Valença,291.6063743,0.105692778
1609,1111609,Viana do Castelo,1571.821981,0.222228472
1610,1111610,Vila Nova de Cerveira,542.1921747,0.394895976
301,1120301,Amares,0,0
302,1120302,Barcelos,2752.095766,0.250532159
303,1120303,Braga,1678.24053,0.454931019
306,1120306,Esposende,861.3886889,0.409016471
310,1120310,Terras de Bouro,54.79396278,0.00807456
313,1120313,Vila Verde,40.99692179,0.008032312
307,1130307,Fafe,331.5231849,0.109594441
308,1130308,Guimarães,2983.365709,0.694128829
309,1130309,Póvoa de Lanhoso,24.83467378,0.012215777
1314,1131314,Santo Tirso,6145.820951,2.826964559
1318,1131318,Trofa,0,0
311,1130311,Vieira do Minho,4.730414053,0.000799326
312,1130312,Vila Nova de Famalicão,7706.238693,1.446637637
314,1130314,Vizela,0,0
107,1140107,Espinho,753.1134533,10.75876362
1304,1141304,Gondomar,1173.312192,0.967281279
1306,1141306,Maia,2478.898586,1.442058514
1308,1141308,Matosinhos,1252.968422,1.092387465
1312,1141312,Porto,0,0
1313,1141313,Póvoa de Varzim,0,0
1315,1141315,Valongo,4128.339566,6.283621867
1316,1141316,Vila do Conde,16.75433817,0.002749317
1317,1141317,Vila Nova de Gaia,7970.00658,8.451756713
1301,1151301,Amarante,387.6180115,0.044309329
1302,1151302,Baião,0,0
304,1150304,Cabeceiras de Basto,0,0
106,1150106,Castelo de Paiva,0,0
305,1150305,Celorico de Basto,98.55029276,0.030501483
1804,1151804,Cinfães,0,0
1303,1151303,Felgueiras,208.9266207,0.071697536
1305,1151305,Lousada,95.79088457,0.040046356
1307,1151307,Marco de Canaveses,709.5621079,0.220703611
1705,1151705,Mondim de Basto,0,0
1309,1151309,Paços de Ferreira,685.9100376,0.66657924
1310,1151310,Paredes,0,0
1311,1151311,Penafiel,963.4225374,0.293457977
1813,1151813,Resende,69.70265107,0.020458659
1709,1151709,Ribeira de Pena,1.742369176,0.000237542
104,1160104,Arouca,0,0
113,1160113,Oliveira de Azeméis,183.7687019,0.114640488
109,1160109,Santa Maria da Feira,1.379704099,0.001112665
116,1160116,São João da Madeira,0,0
119,1160119,Vale de Cambra,0,0
1701,1171701,Alijó,54.5653261,0.006324215
1801,1171801,Armamar,55.18816395,0.012161341
403,1170403,Carrazeda de Ansiães,4.730414053,0.000696161
404,1170404,Freixo de Espada à Cinta,0,0
1805,1171805,Lamego,188.2310592,0.034889909
1704,1171704,Mesão Frio,0,0
1807,1171807,Moimenta da Beira,199.5446328,0.047207152
1812,1171812,Penedono,0,0
1708,1171708,Peso da Régua,442.1991056,0.105360759
1710,1171710,Sabrosa,27.21564885,0.005354249
1711,1171711,Santa Marta de Penaguião,0,0
1815,1171815,São João da Pesqueira,97.53325374,0.007442446
1818,1171818,Sernancelhe,0,0
1819,1171819,Tabuaço,40.81558925,0.009979362
1820,1171820,Tarouca,129.2979841,0.06866595
409,1170409,Torre de Moncorvo,385.9229465,0.026964991
410,1170410,Vila Flor,0,0
914,1170914,Vila Nova de Foz Côa,0,0
1714,1171714,Vila Real,926.9088656,0.087642669
401,1180401,Alfândega da Fé,0,0
1702,1181702,Boticas,0,0
402,1180402,Bragança,358.2500243,0.009942828
1703,1181703,Chaves,463.9826623,0.023818412
405,1180405,Macedo de Cavaleiros,235.7323003,0.01081192
406,1180406,Miranda do Douro,0,0
407,1180407,Mirandela,604.7045964,0.024349867
408,1180408,Mogadouro,0,0
1706,1181706,Montalegre,19.93081121,0.000361944
1707,1181707,Murça,46.01904471,0.009684142
1712,1181712,Valpaços,72.67492789,0.003309122
1713,1181713,Vila Pouca de Aguiar,0,0
411,1180411,Vimioso,1.379704099,9.51061E-05
412,1180412,Vinhais,1.624108825,9.27426E-05
101,1610101,Águeda,0,0
102,1610102,Albergaria-a-Velha,0,0
103,1610103,Anadia,0.176207923,5.1134E-05
105,1610105,Aveiro,1963.926002,0.810200496
108,1610108,Estarreja,0,0
110,1610110,Ílhavo,1481.845564,1.80273183
111,1610111,Mealhada,0,0
112,1610112,Murtosa,0,0
114,1610114,Oliveira do Bairro,24.04627143,0.013516735
115,1610115,Ovar,26.45011018,0.015809988
117,1610117,Sever do Vouga,0,0
118,1610118,Vagos,0,0
602,1620602,Cantanhede,0,0
603,1620603,Coimbra,2566.840925,0.494383845
604,1620604,Condeixa-a-Nova,175.0253199,0.091925063
605,1620605,Figueira da Foz,1020.981033,0.185329648
608,1620608,Mira,0,0
610,1620610,Montemor-o-Velho,3.942011711,0.000466676
613,1620613,Penacova,59.918578,0.075559367
615,1620615,Soure,56.13424676,0.011460647
