Muni_ID,ID,Muni,sludge99_N,sludge99_nha
1601,1111601,Arcos de Valdevez,0,0
1602,1111602,Caminha,138.0904763,0.061510234
1603,1111603,Melgaço,32.74970588,0.005201669
1604,1111604,Monção,68.31869723,0.009745891
1605,1111605,Paredes de Coura,36.42414622,0.008333138
1606,1111606,Ponte da Barca,43.60949131,0.004043907
1607,1111607,Ponte de Lima,66.73444618,0.006218267
1608,1111608,Valença,63.00719747,0.030175861
1609,1111609,Viana do Castelo,339.6225416,0.047766883
1610,1111610,Vila Nova de Cerveira,117.1511065,0.121652239
301,1120301,Amares,0,0
302,1120302,Barcelos,594.6435218,0.048601841
303,1120303,Braga,362.6163273,0.071805213
306,1120306,Esposende,186.1196874,0.070983862
310,1120310,Terras de Bouro,11.83929549,0.001398783
313,1120313,Vila Verde,8.858177923,0.001509059
307,1130307,Fafe,71.63199648,0.0153158
308,1130308,Guimarães,644.6138662,0.117501616
309,1130309,Póvoa de Lanhoso,5.366011627,0.001923302
1314,1131314,Santo Tirso,1327.92349,0.499219357
1318,1131318,Trofa,0,0
311,1130311,Vieira do Minho,1.022097453,0.000208251
312,1130312,Vila Nova de Famalicão,1665.081925,0.260984628
314,1130314,Vizela,0,0
107,1140107,Espinho,162.7247285,3.070277895
1304,1141304,Gondomar,253.5167934,0.162198844
1306,1141306,Maia,535.6139869,0.301584452
1308,1141308,Matosinhos,270.7280628,0.220822237
1312,1141312,Porto,0,0
1313,1141313,Póvoa de Varzim,0,0
1315,1141315,Valongo,892.0076145,1.148014948
1316,1141316,Vila do Conde,3.620098828,0.000599453
1317,1141317,Vila Nova de Gaia,1722.074079,1.291878529
1301,1151301,Amarante,83.75236877,0.014472502
1302,1151302,Baião,0,0
304,1150304,Cabeceiras de Basto,0,0
106,1150106,Castelo de Paiva,0,0
305,1150305,Celorico de Basto,21.29369693,0.005829099
1804,1151804,Cinfães,0,0
1303,1151303,Felgueiras,45.14263749,0.012243731
1305,1151305,Lousada,20.69747342,0.00726482
1307,1151307,Marco de Canaveses,153.3146179,0.036766095
1705,1151705,Mondim de Basto,0,0
1309,1151309,Paços de Ferreira,148.2041306,0.108415604
1310,1151310,Paredes,0,0
