Muni_ID,ID,Muni,tot_other_fresh
706,1830706,Montemor-o-Novo,6
708,1830708,Mourão,24
709,1830709,Portel,8
710,1830710,Redondo,2
711,1830711,Reguengos de Monsaraz,38
1215,1831215,Sousel,0
712,1830712,Vendas Novas,1
713,1830713,Viana do Alentejo,3
714,1830714,Vila Viçosa,22
201,1840201,Aljustrel,0
202,1840202,Almodôvar,24
203,1840203,Alvito,0
204,1840204,Barrancos,1
205,1840205,Beja,4
206,1840206,Castro Verde,0
207,1840207,Cuba,4
208,1840208,Ferreira do Alentejo,2
209,1840209,Mértola,94
210,1840210,Moura,603
212,1840212,Ourique,2
213,1840213,Serpa,141
214,1840214,Vidigueira,28
1403,1851403,Almeirim,79
1404,1851404,Alpiarça,37
1103,1851103,Azambuja,20
1405,1851405,Benavente,15
1406,1851406,Cartaxo,12
1407,1851407,Chamusca,20
1409,1851409,Coruche,79
1412,1851412,Golegã,6
1414,1851414,Rio Maior,16
1415,1851415,Salvaterra de Magos,2
1416,1851416,Santarém,150
801,1500801,Albufeira,561
802,1500802,Alcoutim,73
803,1500803,Aljezur,4
804,1500804,Castro Marim,286
805,1500805,Faro,140
806,1500806,Lagoa,144
807,1500807,Lagos,131
808,1500808,Loulé,610
809,1500809,Monchique,16
810,1500810,Olhão,179
811,1500811,Portimão,161
812,1500812,São Brás de Alportel,77
813,1500813,Silves,280
814,1500814,Tavira,427
815,1500815,Vila do Bispo,9
816,1500816,Vila Real de Santo António,91
