Muni_ID,ID,Muni,tot_pear
1601,1111601,Arcos de Valdevez,1
1602,1111602,Caminha,1
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,2
1607,1111607,Ponte de Lima,9
1608,1111608,Valença,1
1609,1111609,Viana do Castelo,11
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,2
302,1120302,Barcelos,10
303,1120303,Braga,9
306,1120306,Esposende,4
310,1120310,Terras de Bouro,1
313,1120313,Vila Verde,2
307,1130307,Fafe,1
308,1130308,Guimarães,7
309,1130309,Póvoa de Lanhoso,2
1314,1131314,Santo Tirso,7
1318,1131318,Trofa,2
311,1130311,Vieira do Minho,1
312,1130312,Vila Nova de Famalicão,9
314,1130314,Vizela,2
107,1140107,Espinho,0
1304,1141304,Gondomar,4
1306,1141306,Maia,3
1308,1141308,Matosinhos,2
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,1
1315,1141315,Valongo,2
1316,1141316,Vila do Conde,3
1317,1141317,Vila Nova de Gaia,7
1301,1151301,Amarante,1
1302,1151302,Baião,5
304,1150304,Cabeceiras de Basto,1
106,1150106,Castelo de Paiva,1
305,1150305,Celorico de Basto,1
1804,1151804,Cinfães,1
1303,1151303,Felgueiras,2
1305,1151305,Lousada,1
1307,1151307,Marco de Canaveses,4
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,2
1310,1151310,Paredes,6
1311,1151311,Penafiel,3
1813,1151813,Resende,12
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,4
113,1160113,Oliveira de Azeméis,3
109,1160109,Santa Maria da Feira,1
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,1
1701,1171701,Alijó,10
1801,1171801,Armamar,2
403,1170403,Carrazeda de Ansiães,9
404,1170404,Freixo de Espada à Cinta,2
1805,1171805,Lamego,74
1704,1171704,Mesão Frio,1
1807,1171807,Moimenta da Beira,2
1812,1171812,Penedono,1
1708,1171708,Peso da Régua,2
1710,1171710,Sabrosa,7
1711,1171711,Santa Marta de Penaguião,1
1815,1171815,São João da Pesqueira,5
1818,1171818,Sernancelhe,1
1819,1171819,Tabuaço,2
1820,1171820,Tarouca,14
409,1170409,Torre de Moncorvo,10
410,1170410,Vila Flor,15
914,1170914,Vila Nova de Foz Côa,5
1714,1171714,Vila Real,12
401,1180401,Alfândega da Fé,17
1702,1181702,Boticas,0
402,1180402,Bragança,45
1703,1181703,Chaves,25
405,1180405,Macedo de Cavaleiros,23
406,1180406,Miranda do Douro,13
407,1180407,Mirandela,26
408,1180408,Mogadouro,16
1706,1181706,Montalegre,2
1707,1181707,Murça,8
1712,1181712,Valpaços,25
1713,1181713,Vila Pouca de Aguiar,6
411,1180411,Vimioso,22
412,1180412,Vinhais,25
101,1610101,Águeda,4
102,1610102,Albergaria-a-Velha,1
103,1610103,Anadia,6
105,1610105,Aveiro,1
108,1610108,Estarreja,1
110,1610110,Ílhavo,0
111,1610111,Mealhada,8
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,4
115,1610115,Ovar,2
117,1610117,Sever do Vouga,1
118,1610118,Vagos,1
602,1620602,Cantanhede,13
603,1620603,Coimbra,24
604,1620604,Condeixa-a-Nova,4
605,1620605,Figueira da Foz,8
608,1620608,Mira,6
610,1620610,Montemor-o-Velho,3
613,1620613,Penacova,1
615,1620615,Soure,17
1004,1631004,Batalha,57
1009,1631009,Leiria,114
1010,1631010,Marinha Grande,2
1015,1631015,Pombal,15
1016,1631016,Porto de Mós,81
1002,1641002,Alvaiázere,3
1003,1641003,Ansião,0
601,1640601,Arganil,3
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,1
606,1640606,Góis,1
607,1640607,Lousã,5
609,1640609,Miranda do Corvo,4
611,1640611,Oliveira do Hospital,4
612,1640612,Pampilhosa da Serra,2
1013,1641013,Pedrógão Grande,2
614,1640614,Penela,2
616,1640616,Tábua,2
617,1640617,Vila Nova de Poiares,2
901,1650901,Aguiar da Beira,0
1802,1651802,Carregal do Sal,1
1803,1651803,Castro Daire,0
1806,1651806,Mangualde,9
1808,1651808,Mortágua,1
1809,1651809,Nelas,3
1810,1651810,Oliveira de Frades,1
1811,1651811,Penalva do Castelo,3
1814,1651814,Santa Comba Dão,1
1816,1651816,São Pedro do Sul,1
1817,1651817,Sátão,2
1821,1651821,Tondela,8
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,14
1824,1651824,Vouzela,0
1413,1661413,Mação,4
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,3
509,1660509,Sertã,4
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,2
906,1670906,Gouveia,7
912,1670912,Seia,5
902,1680902,Almeida,1
903,1680903,Celorico da Beira,1
904,1680904,Figueira de Castelo Rodrigo,2
907,1680907,Guarda,30
908,1680908,Manteigas,0
909,1680909,Mêda,14
910,1680910,Pinhel,6
911,1680911,Sabugal,15
913,1680913,Trancoso,9
502,1690502,Castelo Branco,26
505,1690505,Idanha-a-Nova,23
507,1690507,Penamacor,6
511,1690511,Vila Velha de Ródão,8
501,16A0501,Belmonte,20
503,16A0503,Covilhã,23
