Muni_ID,ID,Muni,tot_apple
1601,1111601,Arcos de Valdevez,3
1602,1111602,Caminha,3
1603,1111603,Melgaço,0
1604,1111604,Monção,1
1605,1111605,Paredes de Coura,1
1606,1111606,Ponte da Barca,1
1607,1111607,Ponte de Lima,99
1608,1111608,Valença,2
1609,1111609,Viana do Castelo,22
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,75
302,1120302,Barcelos,32
303,1120303,Braga,47
306,1120306,Esposende,6
310,1120310,Terras de Bouro,4
313,1120313,Vila Verde,31
307,1130307,Fafe,2
308,1130308,Guimarães,22
309,1130309,Póvoa de Lanhoso,15
1314,1131314,Santo Tirso,29
1318,1131318,Trofa,5
311,1130311,Vieira do Minho,2
312,1130312,Vila Nova de Famalicão,23
314,1130314,Vizela,5
107,1140107,Espinho,2
1304,1141304,Gondomar,12
1306,1141306,Maia,5
1308,1141308,Matosinhos,3
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,2
1315,1141315,Valongo,4
1316,1141316,Vila do Conde,3
1317,1141317,Vila Nova de Gaia,11
1301,1151301,Amarante,8
1302,1151302,Baião,26
304,1150304,Cabeceiras de Basto,6
106,1150106,Castelo de Paiva,3
305,1150305,Celorico de Basto,9
1804,1151804,Cinfães,17
1303,1151303,Felgueiras,20
1305,1151305,Lousada,6
1307,1151307,Marco de Canaveses,15
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,3
1310,1151310,Paredes,13
1311,1151311,Penafiel,15
1813,1151813,Resende,41
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,19
113,1160113,Oliveira de Azeméis,9
109,1160109,Santa Maria da Feira,2
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,2
1701,1171701,Alijó,57
1801,1171801,Armamar,1304
403,1170403,Carrazeda de Ansiães,466
404,1170404,Freixo de Espada à Cinta,17
1805,1171805,Lamego,641
1704,1171704,Mesão Frio,1
1807,1171807,Moimenta da Beira,792
1812,1171812,Penedono,124
1708,1171708,Peso da Régua,5
1710,1171710,Sabrosa,50
1711,1171711,Santa Marta de Penaguião,3
1815,1171815,São João da Pesqueira,130
1818,1171818,Sernancelhe,201
1819,1171819,Tabuaço,69
1820,1171820,Tarouca,401
