Muni_ID,ID,Muni,tot_peach
1601,1111601,Arcos de Valdevez,2
1602,1111602,Caminha,1
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,2
1607,1111607,Ponte de Lima,7
1608,1111608,Valença,0
1609,1111609,Viana do Castelo,9
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,36
302,1120302,Barcelos,9
303,1120303,Braga,11
306,1120306,Esposende,2
310,1120310,Terras de Bouro,1
313,1120313,Vila Verde,24
307,1130307,Fafe,1
308,1130308,Guimarães,19
309,1130309,Póvoa de Lanhoso,8
1314,1131314,Santo Tirso,8
1318,1131318,Trofa,1
311,1130311,Vieira do Minho,0
312,1130312,Vila Nova de Famalicão,6
314,1130314,Vizela,4
107,1140107,Espinho,0
1304,1141304,Gondomar,2
1306,1141306,Maia,1
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,1
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,1
1317,1141317,Vila Nova de Gaia,3
1301,1151301,Amarante,7
1302,1151302,Baião,10
304,1150304,Cabeceiras de Basto,1
106,1150106,Castelo de Paiva,0
305,1150305,Celorico de Basto,7
1804,1151804,Cinfães,5
1303,1151303,Felgueiras,4
1305,1151305,Lousada,2
1307,1151307,Marco de Canaveses,11
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,1
1310,1151310,Paredes,1
1311,1151311,Penafiel,3
1813,1151813,Resende,15
1709,1151709,Ribeira de Pena,7
104,1160104,Arouca,2
113,1160113,Oliveira de Azeméis,2
109,1160109,Santa Maria da Feira,1
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,11
1801,1171801,Armamar,4
403,1170403,Carrazeda de Ansiães,3
404,1170404,Freixo de Espada à Cinta,1
1805,1171805,Lamego,27
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,2
1812,1171812,Penedono,10
1708,1171708,Peso da Régua,1
1710,1171710,Sabrosa,4
1711,1171711,Santa Marta de Penaguião,2
1815,1171815,São João da Pesqueira,13
1818,1171818,Sernancelhe,2
1819,1171819,Tabuaço,4
1820,1171820,Tarouca,8
409,1170409,Torre de Moncorvo,14
410,1170410,Vila Flor,103
914,1170914,Vila Nova de Foz Côa,25
1714,1171714,Vila Real,24
401,1180401,Alfândega da Fé,13
1702,1181702,Boticas,0
402,1180402,Bragança,13
1703,1181703,Chaves,23
405,1180405,Macedo de Cavaleiros,26
406,1180406,Miranda do Douro,2
407,1180407,Mirandela,118
408,1180408,Mogadouro,6
1706,1181706,Montalegre,0
1707,1181707,Murça,5
1712,1181712,Valpaços,89
1713,1181713,Vila Pouca de Aguiar,1
411,1180411,Vimioso,15
412,1180412,Vinhais,16
101,1610101,Águeda,3
102,1610102,Albergaria-a-Velha,0
103,1610103,Anadia,5
105,1610105,Aveiro,1
108,1610108,Estarreja,0
110,1610110,Ílhavo,0
111,1610111,Mealhada,9
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,4
115,1610115,Ovar,1
117,1610117,Sever do Vouga,0
118,1610118,Vagos,0
602,1620602,Cantanhede,15
603,1620603,Coimbra,42
604,1620604,Condeixa-a-Nova,5
605,1620605,Figueira da Foz,6
608,1620608,Mira,4
610,1620610,Montemor-o-Velho,2
613,1620613,Penacova,1
615,1620615,Soure,6
1004,1631004,Batalha,25
1009,1631009,Leiria,57
1010,1631010,Marinha Grande,1
1015,1631015,Pombal,11
1016,1631016,Porto de Mós,24
1002,1641002,Alvaiázere,2
1003,1641003,Ansião,1
601,1640601,Arganil,1
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,0
606,1640606,Góis,0
607,1640607,Lousã,2
609,1640609,Miranda do Corvo,6
611,1640611,Oliveira do Hospital,2
612,1640612,Pampilhosa da Serra,0
1013,1641013,Pedrógão Grande,1
614,1640614,Penela,0
616,1640616,Tábua,2
617,1640617,Vila Nova de Poiares,2
901,1650901,Aguiar da Beira,1
1802,1651802,Carregal do Sal,3
1803,1651803,Castro Daire,0
1806,1651806,Mangualde,9
1808,1651808,Mortágua,0
1809,1651809,Nelas,8
1810,1651810,Oliveira de Frades,0
1811,1651811,Penalva do Castelo,3
1814,1651814,Santa Comba Dão,2
1816,1651816,São Pedro do Sul,1
1817,1651817,Sátão,1
1821,1651821,Tondela,9
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,18
1824,1651824,Vouzela,1
1413,1661413,Mação,4
506,1660506,Oleiros,1
508,1660508,Proença-a-Nova,3
509,1660509,Sertã,4
510,1660510,Vila de Rei,1
905,1670905,Fornos de Algodres,2
906,1670906,Gouveia,5
912,1670912,Seia,2
902,1680902,Almeida,1
903,1680903,Celorico da Beira,2
904,1680904,Figueira de Castelo Rodrigo,1
907,1680907,Guarda,53
908,1680908,Manteigas,0
909,1680909,Mêda,20
910,1680910,Pinhel,3
911,1680911,Sabugal,34
913,1680913,Trancoso,2
502,1690502,Castelo Branco,105
