Muni_ID,ID,Muni,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
1601,1111601,Arcos de Valdevez,226.68,0,251.48,54.11,0,922,358,459,0,478,379.5,0
1602,1111602,Caminha,474.7,50,794.99,66.68,50,1484.4,1455,1652.86,1621.26,929.14,0,1066
1603,1111603,Melgaço,169.63,87.58,382.28,37.46,0,508.36,576,395,384.5,422.64,388,0
1604,1111604,Monção,187.82,245.78,767.48,62,0,930.72,902,808,802.1,892.92,686,0
1605,1111605,Paredes de Coura,156.14,86.04,437.395,45.18,0,482.84,580,420,427.64,350,110,0
1606,1111606,Ponte da Barca,126.78,0,111.1,10.43,0,590,292,647,512,404.36,285.5,0
1607,1111607,Ponte de Lima,1097.08,249.74,735.92,189.48,0,1229.28,1354.74,1124.18,783.5,1168.14,805.5,0
1608,1111608,Valença,264.96,176.34,642.44,72.56,0,491.48,796,567.56,739.74,805.36,757.5,0
1609,1111609,Viana do Castelo,729.67,0,2081.66,365.68,0,7737.34,4033.72,3801.16,3987.36,1894.22,89,3212
1610,1111610,Vila Nova de Cerveira,479.76,0,423.115,125.72,0,1255.26,1062,1393,1375.42,726.06,0,0
301,1120301,Amares,0,0,0,0,0,0,0,0,0,0,54.06,0
302,1120302,Barcelos,11929,9088.5,9616,4960.38,5392,9092,8063,6704.77,6981.45,8633.055,7247.48,19836
303,1120303,Braga,3438.24,1310.62,350.37,1393.92,0,0,8034.24,6163.94,4257.32,1649.34,2293.58,0
306,1120306,Esposende,951.24,0,25.56,164.2,1300.86,3692.48,4360,2674,2185.15,1860,1521.6,3406
310,1120310,Terras de Bouro,0,0,45.26,43.84,0,58,102,66,139,0,0,0
313,1120313,Vila Verde,519.74,540.26,898.64,455.76,567,182,481,338,104,0,0,0
307,1130307,Fafe,0,0,0,0,0,0,265.9,281,841,405,307.6,0
308,1130308,Guimarães,1080.82,909.65,7082.54,3429.38,8219.16,19276.884,18221.64,7381.49894,7568.13,8952,8242.545,15626
309,1130309,Póvoa de Lanhoso,316.58,0,698.23,363.62,12.94,239.16,44,295,63,105,40,0
1314,1131314,Santo Tirso,127.72,0,334.02,1620.42,1505.55,7579.42,9463.32,12107,15590.57,19718,18413,35159
1318,1131318,Trofa,0,0,0,0,0,0,0,0,0,0,0,0
311,1130311,Vieira do Minho,75,38.08,266.44,182.58,11.88,130.08,13,38,12,12,36,0
312,1130312,Vila Nova de Famalicão,307.34,0,1075.38,4368.74,5456.42,1795.72,15854.586,19000,19586.72,20132,15546.13,0
314,1130314,Vizela,0,0,0,0,0,0,0,0,0,0,0,0
107,1140107,Espinho,0,3015.1,3242.38,316.02,0,0,3286.09,2269.71,1910.48,1037.94,979.04,0
1304,1141304,Gondomar,0,0,0,65,572,3796,3679,3312.62,2991.83,2300.9,2403,0
1306,1141306,Maia,5320.52,0,6359.4,5141.02,5426.8,13012.64,6340.3,5573.34,6288.41,6321.525,412.24,10364
1308,1141308,Matosinhos,0,7.8,70.2,1353.3,2925,1801.8,4220.26,3623.1,3183.08,1528.34,4423.234,0
1312,1141312,Porto,0,0,11579.38,14293.97,15193.92,12435.79,15848.166,15466.63,16921.87,16994.78,18201.35,44437.26
1313,1141313,Póvoa de Varzim,0,0,0,49.04,55.78,0,13.06,11.94,20.48,300,9,0
1315,1141315,Valongo,9910.09,8607,11010.27,7819,4062.3,0,9412.72,8562.37,10472.672,12324,9238,22194
1316,1141316,Vila do Conde,0,0,0,0,0,5192.6,2316.485,48.522,58.402,51.12,47.681,0
1317,1141317,Vila Nova de Gaia,0,0,0,0,0,0,17044,18147,20218.12,19688.14,17441.84,36546
1301,1151301,Amarante,1033.63,1039.99,122.99,149.92,309,598,3636,1189,983.3,1662.8,1373.8,0
1302,1151302,Baião,0,0,0,0,0,0,0,0,0,0,0,0
304,1150304,Cabeceiras de Basto,0,275,0,0,0,0,0,0,0,0,0,0
106,1150106,Castelo de Paiva,0,0,0,0,0,0,0,0,0,0,0,0
305,1150305,Celorico de Basto,107.36,32.48,136.8,77.08,87.4,313.96,613,146,250,140,100,0
1804,1151804,Cinfães,0,0,0,0,0,0,0,0,0,0,0,0
1303,1151303,Felgueiras,0,0,0,0,0,850.08,541,538,530,405,1706,0
1305,1151305,Lousada,881.42,768.87,1548.22,779.14,0,450,567,323,243,48,80,0
1307,1151307,Marco de Canaveses,1217,234,0,91,533,793,1625,1.548,1800,1575.5,1306,0
1705,1151705,Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0,0
1309,1151309,Paços de Ferreira,3074,528,24,36,1692,3156,2292,1764,1740,1552.757,355,0
1310,1151310,Paredes,0,0,0,25.79,0,1950,5,0,0,0,0,0
1311,1151311,Penafiel,20,4.3,68.54,20.1,0,0,0.0012,36.0001,0.12,0.11,0.1,0
1813,1151813,Resende,290.66,216.52,235.78,0,0,162.76,379.24,210.56,176.82,90.56,0,0
1709,1151709,Ribeira de Pena,15.66,4.02,36.9,0,8.32,16.64,37.78,16.06,4.42,540,540,0
104,1160104,Arouca,0,0,0,0,0,0,0,0,0,0,0,0
113,1160113,Oliveira de Azeméis,0,0,0,0,250,0,1064.475,1994.47,493.18,884,366.7,74.96
109,1160109,Santa Maria da Feira,0,74.31,108.68,0,0,0,6.9,4.08,46.5,0,0,0
116,1160116,São João da Madeira,0,0,0,0,0,0,0,0,0,0,0,0
119,1160119,Vale de Cambra,0,0,0,0,0,0,0,0,0,21.6,0,0
1701,1171701,Alijó,442.56,466.9,471.08,546.54,6.9,35.67,145.98,144.62,138.42,146.78,0.1,0
1801,1171801,Armamar,123.58,53.26,57.92,0,0,10.04,66.22,53.66,140,130,0,0
403,1170403,Carrazeda de Ansiães,0,0,0,0,0,0,12.56,18,12,7,7,36
404,1170404,Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0,0,0
1805,1171805,Lamego,1916.34,1913.38,1686.94,81.5,0,249.5,1109.71,1177.6,477.5,1165.3,0,0
1704,1171704,Mesão Frio,0,0,0,0,0,0,0,0,0,0,0,0
1807,1171807,Moimenta da Beira,182.16,168.2,267.86,0,0,176.748,443.08,390.94,506.2,518.48,0,0
1812,1171812,Penedono,0,0,0,0,0,0,0,0,0,0,0,0
1708,1171708,Peso da Régua,1863.04,1075.5,1416.74,1458.1,324.096,0,1050.48,1333.98,1121.76,664,0,0
1710,1171710,Sabrosa,194.84,139.34,215.32,135.32,17.07,0,113.9,75.4,69.04,134.48,0,0
1711,1171711,Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0,0
1815,1171815,São João da Pesqueira,384.339,560,598.66,0,0,81,293.04,239.18,247.42,228,0,0
1818,1171818,Sernancelhe,0,0,0,0,0,0,0,0,0,0,0,0
1819,1171819,Tabuaço,90.46,47.5,129.76,0,0,14.4,127.75,67.84,103.54,34,0,0
1820,1171820,Tarouca,478.48,356,474.24,0,0,65.192,354.37,284.78,328,364.4,0,0
409,1170409,Torre de Moncorvo,478.605,136.035,0,0,17.075,36.94,1157.36,647.14,979,816,0,0
410,1170410,Vila Flor,0,0,0,0,0,56.8,0,9.903,2,5.518,4.412,0
914,1170914,Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,651.81,1379.24,613,0
1714,1171714,Vila Real,3964.605,3793.74,3322.36,3827.036,668.757,0,2998.28,2468.26,2351.36,2819,0,12899.36
401,1180401,Alfândega da Fé,0,0,0,0,0,0,0,0,0,0,0,0
1702,1181702,Boticas,0,0,0,0,0,0,0,0,0,0,0,0
402,1180402,Bragança,277.96,0,0,0,0,0,713.29,479.9,908.8,1145.5,0,0
1703,1181703,Chaves,1398.352,1290,1996.64,1400.6,1759.87,4347.76,2152.28,900.02,1177.02,155.4,0,0
405,1180405,Macedo de Cavaleiros,155.48,0,0,0,0,0,267.04,481,598,559,0,0
406,1180406,Miranda do Douro,0,0,0,0,0,0,0,0,0,0,0,0
407,1180407,Mirandela,597.82,164.88,0,0,0,0,631.6,793.19,1534,1303,0,0
408,1180408,Mogadouro,0,49.28,70.5,0,0,0,0,0,0,0,0,0
1706,1181706,Montalegre,29.92,35.72,40.34,31.7,0,0,15.12,14.42,50.56,89.46,0,0
1707,1181707,Murça,97.36,248.06,190.22,230.32,0,91.89,143.94,35,116.74,32.3,0,0
1712,1181712,Valpaços,393.48,269.7,476.84,429.24,403.8,213.12,196.04,207.06,184.36,274.96,0,0
1713,1181713,Vila Pouca de Aguiar,204.66,223.92,230.26,182.32,46.62,490.48,117.92,141.48,0,180.44,0,0
411,1180411,Vimioso,0,0,0,0,0,26,26,11.5,3.5,2.5,3.1,0
412,1180412,Vinhais,0,0,0,0,0,16,18,274.06,4.12,20,0,0
101,1610101,Águeda,0,2351.5,3236.57,2222.099,1866.89,646.1,777.29,716,82,16.6,15,0
102,1610102,Albergaria-a-Velha,0,0,0,0,0,0,0,0,0,0,0,0
103,1610103,Anadia,0,0,118.38,418.74,0,0,0,0.03,0.467,72.41,0.08,0
105,1610105,Aveiro,0,7051.48,6734.64,550.08,0,0,6138.42,6566.43,5051,5925.62,6057.89,18662.92
108,1610108,Estarreja,0,0,0,0,0,0,0,0,0,0,0,0
110,1610110,Ílhavo,4619.66,4303.05,0,0,0,0,4980.06,4148.02,3759.11,3689.68,2655.93,0
111,1610111,Mealhada,780.44,1439.11,230.86,0,14,1834,58.712,572.036,400,1370,0,0
112,1610112,Murtosa,0,0,0,0,0,0,0,0,0,0,0,0
114,1610114,Oliveira do Bairro,0,0,0,0,1.7,0,0,37,61,140,1366,0
115,1610115,Ovar,0,0,0,0,0,0,0,62.611,81.098,13.17,108,144
117,1610117,Sever do Vouga,0,193,290,35,48,0,0,0,0,0,0,0
118,1610118,Vagos,0,0,0,0,0,0,0,5.52,0,0,0,0
602,1620602,Cantanhede,0,0,7078.155,0.29,0,0,97.22,133.88,56.613,224.54,86.88,43.96
603,1620603,Coimbra,427.65,111.08,908.12,1452.34,2155.34,2420.88,5841.92,2744.96,6520.107,2201.914,1811,0
604,1620604,Condeixa-a-Nova,0,0,268,474,528,0,869.48,494,444,127,83,0
605,1620605,Figueira da Foz,418,698,1181,0,0,3267,2118,2072.28,4093.75,3783.63,2318.25,5807.4
608,1620608,Mira,0,9,0,6.32,0,0,0,0,0,0,0,0
610,1620610,Montemor-o-Velho,0,0,54.56,0,0,0,6,10,10,74.2,19.5,114
613,1620613,Penacova,0,0,20,114,137,0,276,220,152,0,0,0
615,1620615,Soure,0,0,30,180,270,0,298.81,252.84,1308.65,90,32,0
1004,1631004,Batalha,0,0,0,0,0,0,50.22,0,20.96,12,23,72
1009,1631009,Leiria,1687.6,1908,3746,1172,1161,56,8179.9,10518.86,6040.55,5641,407.045,6300
1010,1631010,Marinha Grande,0,0,0,0,0,0,0,0,0,5,0,0
1015,1631015,Pombal,2303.85,2032.36,777.78,1753.53,2122.6,3075.14,1649.65,1800,3966.9,1312.25,1408.95,14451
1016,1631016,Porto de Mós,0,0,0,0,0,0,0,0,0,0,0,0
1002,1641002,Alvaiázere,0,0.72,620,480,0.4,270,0,0.0042,0.000368,1225,704.64,0
1003,1641003,Ansião,0,0,50,160,80,0,110,90,114,1236,1098,0
601,1640601,Arganil,0,0,71.519,340,280,0,426,182,0,0,0,0
1007,1641007,Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0,0
1008,1641008,Figueiró dos Vinhos,179.14,176.72,170,211.1,232.92,586.45,460.224,408.665,0,447.12,1,0
