"Muni_ID","ID","Muni","forage_maize","forage_mixture","forage_oat","forage_roots","forage_sorghum","bean","chickpea","other_pulses","other_industry","sunflower","horticulture_extensive","horticulture_intensive","potato","oat","maize","olive_groves","vineyards","almonds","chestnut","locust","nuuts","other_dried_nuts","apple","cherry","other_fresh_fruits","peach","pear","lemon","orange","other_citrus","tangerine","new_lu_kc"
1601,"1111601","Arcos de Valdevez",0.032,0,0,0,0,0.046536,0,0,0,0,0,0,0.06664,0,0.584,0,0.0372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766376
1602,"1111602","Caminha",0.024,0.007666666665,0,0,0,0.015512,0,0,0,0,0,0,0.03808,0,0.696,0,0.01395,0,0,0,0,0,0,0,0,0,0.0093554,0,0,0,0,0.804564066665
1603,"1111603","Melgaço",0,0.01533333333,0,0,0,0.007756,0,0,0,0,0,0,0.01904,0,0.136,0,0.3627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54082933333
1604,"1111604","Monção",0.016,0.007666666665,0,0,0,0.015512,0,0,0,0,0,0,0.01904,0,0.28,0,0.2697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607918666665
1605,"1111605","Paredes de Coura",0.328,0,0.007,0,0,0.015512,0,0,0,0,0,0,0.08568,0,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804192
1606,"1111606","Ponte da Barca",0.032,0,0,0,0,0.046536,0,0,0,0,0,0.0176,0.08568,0,0.472,0,0.07905,0,0.0072554,0,0.0072554,0,0,0,0,0,0,0,0,0,0,0.7473768
1607,"1111607","Ponte de Lima",0.232,0,0,0,0,0.015512,0,0,0,0,0,0.0088,0.00952,0,0.48,0,0.0279,0,0,0,0,0,0.0093554,0,0,0,0,0,0,0,0,0.7830874
1608,"1111608","Valença",0.112,0,0,0,0,0.007756,0,0,0,0,0,0.0088,0.02856,0,0.584,0,0.03255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.773666
1609,"1111609","Viana do Castelo",0.288,0,0,0,0,0,0,0,0,0,0,0.0176,0.00952,0,0.456,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78042
1610,"1111610","Vila Nova de Cerveira",0.344,0,0,0,0,0.015512,0,0,0,0,0,0,0.01904,0,0.4,0,0.00465,0,0,0,0,0,0.0093554,0,0.0093554,0,0,0,0,0,0,0.8019128
301,"1120301","Amares",0.192,0,0,0,0,0,0,0,0,0,0.0176,0.0088,0,0,0.408,0.0136,0.02325,0,0,0,0,0,0.0374216,0,0,0,0,0.0065,0.0455,0,0.0065,0.7591716
302,"1120302","Barcelos",0.68,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0.08,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7781
303,"1120303","Braga",0.352,0,0.007,0,0,0,0,0,0,0,0.0088,0.0088,0.01904,0,0.344,0,0.0279,0,0,0,0,0,0.0093554,0,0,0,0,0,0,0,0,0.7768954
306,"1120306","Esposende",0.472,0,0,0,0,0,0,0,0,0,0.0352,0.2024,0.00952,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81512
310,"1120310","Terras de Bouro",0.016,0,0,0,0,0.03878,0,0,0,0,0,0.0088,0.01904,0,0.656,0,0.0186,0,0,0,0,0,0.0187108,0,0,0,0,0,0.0065,0,0,0.7824308
313,"1120313","Vila Verde",0.248,0.007666666665,0,0,0,0.015512,0,0,0,0,0,0.0088,0.02856,0,0.44,0,0.02325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771788666665
307,"1130307","Fafe",0.112,0.01533333333,0,0,0,0.031024,0,0,0,0,0,0,0.0476,0,0.48,0,0.0651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75105733333
308,"1130308","Guimarães",0.312,0,0,0,0,0,0,0,0,0,0.0088,0.044,0.01904,0,0.32,0,0.05115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75499
309,"1130309","Póvoa de Lanhoso",0.248,0.01533333333,0.007,0,0,0.015512,0,0,0,0,0,0,0.00952,0,0.416,0,0.0465,0,0,0,0,0,0.0093554,0,0,0,0,0,0,0,0,0.76722073333
1314,"1131314","Santo Tirso",0.344,0.007666666665,0,0,0,0.007756,0,0,0,0,0,0.0352,0.05712,0,0.304,0,0.03255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788292666665
1318,"1131318","Trofa",0.632,0,0,0,0,0,0,0,0,0,0,0.0264,0.01904,0,0.096,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78274
311,"1130311","Vieira do Minho",0.176,0.01533333333,0,0,0,0.046536,0,0,0,0,0,0,0.0476,0,0.496,0,0.0093,0,0,0,0,0,0,0,0,0,0,0.0065,0.0065,0,0,0.80376933333
312,"1130312","Vila Nova de Famalicão",0.592,0,0,0,0,0,0,0,0,0,0,0.0176,0.00952,0,0.144,0,0.02325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78637
314,"1130314","Vizela",0.192,0,0.028,0,0,0,0,0,0,0,0.0088,0.0264,0,0,0.424,0,0.0558,0,0,0,0,0,0.0093554,0,0.0093554,0,0,0,0,0,0,0.7537108
107,"1140107","Espinho",0.016,0.375666666585,0,0,0,0.015512,0,0,0,0,0,0.044,0.0476,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794778666585
1304,"1141304","Gondomar",0.136,0.007666666665,0.007,0,0,0.007756,0,0,0,0,0.0088,0.1936,0.13328,0,0.336,0,0.00465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834752666665
1306,"1141306","Maia",0.584,0,0,0,0,0,0,0,0,0,0,0.044,0.06664,0,0.104,0,0.00465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80329
1308,"1141308","Matosinhos",0.664,0,0,0,0,0,0,0,0,0,0,0.044,0.02856,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80056
1312,"1141312","Porto",0.472,0,0,0,0,0,0,0,0,0,0,0.1232,0,0,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8112
1313,"1141313","Póvoa de Varzim",0.592,0,0,0,0,0,0,0,0,0,0.044,0.1584,0.00952,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82792
1315,"1141315","Valongo",0.2,0.007666666665,0,0,0,0,0,0,0,0,0,0.0352,0.10472,0,0.448,0,0.01395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809536666665
1316,"1141316","Vila do Conde",0.752,0,0,0,0,0,0,0,0,0,0,0.0088,0.00952,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79432
