"Muni_ID","ID","Muni","forage_maize","forage_mixture","forage_oat","forage_roots","forage_sorghum","bean","chickpea","other_pulses","other_industry","sunflower","horticulture_extensive","horticulture_intensive","potato","oat","maize","olive_groves","vineyards","almonds","chestnut","locust","nuuts","other_dried_nuts","apple","cherry","other_fresh_fruits","peach","pear","lemon","orange","other_citrus","tangerine","new_lu_kc"
1601,"1111601","Arcos de Valdevez",0.032,0,0,0,0,0.046536,0,0,0,0,0,0,0.06664,0,0.584,0,0.04185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771026
1602,"1111602","Caminha",0.024,0.007666666665,0,0,0,0.015512,0,0,0,0,0,0,0.03808,0,0.696,0,0.01395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795208666665
1603,"1111603","Melgaço",0,0.01533333333,0,0,0,0.007756,0,0,0,0,0,0,0.02856,0,0.176,0,0.33015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55779933333
1604,"1111604","Monção",0.024,0.007666666665,0,0,0,0.015512,0,0,0,0,0,0,0.01904,0,0.248,0,0.28365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597868666665
1605,"1111605","Paredes de Coura",0.304,0,0.007,0,0,0.015512,0,0,0,0,0,0,0.0952,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813712
1606,"1111606","Ponte da Barca",0.032,0,0,0,0,0.054292,0,0,0,0,0,0,0.07616,0,0.472,0.0068,0.08835,0,0.0072554,0,0.0072554,0,0,0,0,0,0,0,0,0,0,0.7441128
1607,"1111607","Ponte de Lima",0.152,0,0,0,0,0.023268,0,0,0,0,0,0.0088,0.00952,0,0.528,0,0.0372,0,0,0,0,0,0.0093554,0,0,0,0,0,0,0,0,0.7681434
1608,"1111608","Valença",0.12,0,0,0,0,0.007756,0,0,0,0,0,0,0.02856,0,0.592,0,0.0279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776216
1609,"1111609","Viana do Castelo",0.176,0.007666666665,0,0,0,0,0,0,0,0,0,0.0088,0.00952,0,0.576,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787286666665
1610,"1111610","Vila Nova de Cerveira",0.224,0.007666666665,0,0,0,0.023268,0,0,0,0,0,0,0.02856,0,0.528,0,0.00465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816144666665
301,"1120301","Amares",0.12,0,0,0,0,0.007756,0,0,0,0,0,0.0176,0,0,0.464,0.0136,0.0279,0,0,0,0,0,0.0280662,0,0,0,0,0,0.0585,0,0.0065,0.7439222
302,"1120302","Barcelos",0.296,0,0,0,0,0.007756,0,0,0,0,0.0176,0.0264,0.01904,0,0.352,0,0.04185,0,0,0,0,0,0.0093554,0,0,0,0,0,0,0,0,0.7700014
303,"1120303","Braga",0.112,0.007666666665,0.007,0,0,0,0,0,0,0,0.0088,0.0088,0.02856,0,0.536,0,0.04185,0,0,0,0,0,0.0093554,0,0,0,0,0,0,0,0,0.760032066665
306,"1120306","Esposende",0.152,0,0,0,0,0,0,0,0,0,0.0616,0.3696,0.01904,0,0.232,0,0.00465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83889
310,"1120310","Terras de Bouro",0.016,0,0,0,0,0.03878,0,0,0,0,0,0,0.01904,0,0.672,0,0.0186,0,0,0,0,0,0.0093554,0,0,0,0,0,0.0065,0,0,0.7802754
313,"1120313","Vila Verde",0.136,0.01533333333,0.007,0,0,0.015512,0,0,0,0,0,0,0.02856,0,0.544,0,0.0279,0,0.0072554,0,0,0,0,0,0,0,0,0,0,0,0,0.78156073333
307,"1130307","Fafe",0.112,0.01533333333,0,0,0,0.031024,0,0,0,0,0,0,0.0476,0,0.48,0,0.0651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75105733333
308,"1130308","Guimarães",0.136,0,0.007,0,0,0.007756,0,0,0,0,0.0088,0.0264,0.01904,0,0.456,0,0.06975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730746
309,"1130309","Póvoa de Lanhoso",0.128,0.01533333333,0.007,0,0,0.015512,0,0,0,0,0,0,0.01904,0,0.512,0,0.0558,0,0,0,0,0,0.0093554,0,0,0,0,0,0,0,0,0.76204073333
1314,"1131314","Santo Tirso",0.136,0.01533333333,0,0,0,0.007756,0,0,0,0,0,0.0176,0.10472,0,0.456,0,0.04185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77925933333
1318,"1131318","Trofa",0.24,0,0,0,0,0,0,0,0,0,0.0088,0.0352,0.08568,0,0.368,0,0.04185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77953
311,"1130311","Vieira do Minho",0.176,0.01533333333,0,0,0,0.046536,0,0,0,0,0,0,0.0476,0,0.504,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0.80526933333
312,"1130312","Vila Nova de Famalicão",0.216,0,0,0,0,0,0,0,0,0,0.0088,0.0176,0.01904,0,0.416,0,0.0651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74254
314,"1130314","Vizela",0.112,0,0.035,0,0,0,0,0,0,0,0.0088,0.0352,0.00952,0,0.448,0,0.0744,0,0,0,0.0072554,0,0.0093554,0,0.0093554,0.0093554,0.0093554,0,0,0,0,0.767597
107,"1140107","Espinho",0.024,0.26066666661,0,0,0,0.023268,0,0,0,0,0,0.0704,0.07616,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81449466661
1304,"1141304","Gondomar",0.048,0.007666666665,0.007,0,0,0.007756,0,0,0,0,0.0088,0.2376,0.1428,0.007,0.352,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827922666665
1306,"1141306","Maia",0.064,0,0,0,0,0,0,0,0,0,0,0.1496,0.25704,0,0.36,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83994
1308,"1141308","Matosinhos",0.184,0.007666666665,0,0,0,0,0,0,0,0,0,0.1672,0.15232,0,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823186666665
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0.28,0,0,0,0,0,0,0,0,0,0.0528,0.4312,0.00952,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82952
1315,"1141315","Valongo",0.12,0.007666666665,0,0,0,0,0,0,0,0,0,0.0616,0.18088,0,0.4,0,0.0279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798046666665
1316,"1141316","Vila do Conde",0.52,0,0,0,0,0,0,0,0,0,0.0088,0.0264,0.0476,0,0.176,0,0.00465,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0.78995
1317,"1141317","Vila Nova de Gaia",0.056,0,0.007,0,0,0.015512,0,0,0,0,0,0.2464,0.0476,0,0.432,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813812
1301,"1151301","Amarante",0.112,0,0.014,0,0,0.046536,0,0,0,0,0.0088,0.0088,0.01904,0,0.4,0,0.1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720776
1302,"1151302","Baião",0.064,0.007666666665,0.021,0,0,0.11634,0,0,0,0,0.0088,0.0088,0.01904,0,0.456,0,0.04185,0,0,0,0.0072554,0,0,0.0093554,0,0,0,0,0,0,0,0.760107466665
304,"1150304","Cabeceiras de Basto",0.16,0.007666666665,0,0,0,0.015512,0,0,0,0,0,0,0.02856,0,0.464,0.0068,0.0744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756938666665
106,"1150106","Castelo de Paiva",0.12,0,0.007,0,0,0.046536,0,0,0,0,0,0,0.00952,0.014,0.36,0.0068,0.1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694056
305,"1150305","Celorico de Basto",0.16,0,0,0,0,0.03878,0,0,0,0,0,0,0.00952,0,0.368,0.0068,0.1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704
1804,"1151804","Cinfães",0.144,0,0.007,0,0,0.015512,0,0,0,0,0,0,0.03808,0,0.44,0.0068,0.0651,0,0.0072554,0,0,0,0.0093554,0.0093554,0,0,0,0,0,0,0,0.7424582
1303,"1151303","Felgueiras",0.088,0,0.007,0,0,0.007756,0,0,0,0,0.0088,0,0.02856,0,0.488,0,0.08835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716466
1305,"1151305","Lousada",0.12,0.01533333333,0,0,0,0.007756,0,0,0,0,0,0.0088,0.01904,0,0.52,0,0.0651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75602933333
