"Muni_ID","ID","Muni","barley","maize","oat","rice","rye","triticale","wheat","sum"
1601,"1111601","Arcos de Valdevez",0,2013.496398,0,0,0,0,0,2013.496398
1602,"1111602","Caminha",0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,4472.82,0,0,0,0,0,4472.82
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",0,7537.28077206,0,0,0,0,0,7537.28077206
1608,"1111608","Valença",0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",0,23499.80077428,0,0,0,0,0,23499.80077428
1610,"1111610","Vila Nova de Cerveira",0,1304.95011444,0,0,0,0,0,1304.95011444
301,"1120301","Amares",0,0,0,0,0,0,0,0
302,"1120302","Barcelos",0,20905.41852,0,0,0,0,0,20905.41852
303,"1120303","Braga",0,5219.81875566,0,0,2.10913794,0,0,5221.9278936
306,"1120306","Esposende",0,11369.12122368,0,0,0,0,0,11369.12122368
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",0,0,0,0,0,0,0,0
307,"1130307","Fafe",0,0,0,0,0,0,0,0
308,"1130308","Guimarães",0,0,0,0,0,0,0,0
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,0,0
1314,"1131314","Santo Tirso",0,0,0,0,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0,0,0
314,"1130314","Vizela",0,0,0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",0,0,0,0,0,0,0,0
1306,"1141306","Maia",0,0,0,0,0,0,0,0
1308,"1141308","Matosinhos",0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,19602.67581,0,0,0,0,0,19602.67581
1315,"1141315","Valongo",0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",0,0,0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",0,0,0,0,0,0,0,0
1301,"1151301","Amarante",0,0,0,0,0,0,0,0
1302,"1151302","Baião",0,0,0,0,0,0,0,0
304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0,0,0
106,"1150106","Castelo de Paiva",0,1116.74916486,5.2372656,0,0,0,0,1121.98643046
305,"1150305","Celorico de Basto",0,0,0,0,0,0,0,0
1804,"1151804","Cinfães",0,0,0,0,0,0,0,0
1303,"1151303","Felgueiras",0,0,0,0,0,0,0,0
1305,"1151305","Lousada",0,0,0,0,0,0,0,0
1307,"1151307","Marco de Canaveses",0,0,0,0,0,0,0,0
1705,"1151705","Mondim de Basto",0,0,0,0,0,0,0,0
