"Muni_ID","ID","Muni","lemon","orange","other_citrus","tangerine","sum"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0
1602,"1111602","Caminha",0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0
1607,"1111607","Ponte de Lima",0,3.8403,0,0,3.8403
1608,"1111608","Valença",0,0,0,0,0
1609,"1111609","Viana do Castelo",0,33.6591,0,0,33.6591
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0
301,"1120301","Amares",0,0,0,0,0
302,"1120302","Barcelos",24.681834,80.110917,0,16.9425,121.735251
303,"1120303","Braga",0,11.37031506,0,3.04965,14.41996506
306,"1120306","Esposende",0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0
313,"1120313","Vila Verde",0,0,0,0,0
307,"1130307","Fafe",0,0,0,0,0
308,"1130308","Guimarães",0,0,0,0,0
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0
1314,"1131314","Santo Tirso",0,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0
311,"1130311","Vieira do Minho",0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0
314,"1130314","Vizela",0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0
1304,"1141304","Gondomar",0,0,0,0,0
1306,"1141306","Maia",0,0,0,0,0
1308,"1141308","Matosinhos",0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0
1313,"1141313","Póvoa de Varzim",123.40917,0,0,0,123.40917
1315,"1141315","Valongo",0,0,0,0,0
1316,"1141316","Vila do Conde",0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",0,0,0,0,0
1301,"1151301","Amarante",0,0,0,0,0
1302,"1151302","Baião",0,0,0,0,0
304,"1150304","Cabeceiras de Basto",0,0,0,0,0
106,"1150106","Castelo de Paiva",0,2.37195,0,2.37195,4.7439
305,"1150305","Celorico de Basto",0,0,0,0,0
1804,"1151804","Cinfães",0,0,0,0,0
1303,"1151303","Felgueiras",0,0,0,0,0
1305,"1151305","Lousada",0,0,0,0,0
1307,"1151307","Marco de Canaveses",0,0,0,0,0
1705,"1151705","Mondim de Basto",0,0,0,0,0
1309,"1151309","Paços de Ferreira",0,0,0,0,0
1310,"1151310","Paredes",0,0,0,0,0
1311,"1151311","Penafiel",0,0,0,0,0
1813,"1151813","Resende",0,0,0,0,0
1709,"1151709","Ribeira de Pena",0,0,0,0,0
104,"1160104","Arouca",0,0,0,0,0
113,"1160113","Oliveira de Azeméis",0,0,0,0,0
109,"1160109","Santa Maria da Feira",0,0,0,0,0
116,"1160116","São João da Madeira",0,0,0,0,0
119,"1160119","Vale de Cambra",0,0,0,0,0
1701,"1171701","Alijó",0,0,0,0,0
1801,"1171801","Armamar",0,0,0,0,0
403,"1170403","Carrazeda de Ansiães",0,0,0,0,0
404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0
1805,"1171805","Lamego",0,0,0,0,0
1704,"1171704","Mesão Frio",0,0,0,0,0
1807,"1171807","Moimenta da Beira",0,0,0,0,0
1812,"1171812","Penedono",0,0,0,0,0
1708,"1171708","Peso da Régua",0,0,0,0,0
1710,"1171710","Sabrosa",0,0,0,0,0
1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0
1815,"1171815","São João da Pesqueira",0,0,0,0,0
1818,"1171818","Sernancelhe",0,0,0,0,0
1819,"1171819","Tabuaço",0,16.42293,0,0,16.42293
1820,"1171820","Tarouca",0,0,0,0,0
409,"1170409","Torre de Moncorvo",0,0,0,0,0
410,"1170410","Vila Flor",0,0,0,0,0
914,"1170914","Vila Nova de Foz Côa",0,0,0,0,0
1714,"1171714","Vila Real",0,0,0,0,0
401,"1180401","Alfândega da Fé",0,7.2439353,0,0,7.2439353
1702,"1181702","Boticas",0,0,0,0,0
402,"1180402","Bragança",0,0,0,0,0
1703,"1181703","Chaves",0,0,0,0,0
405,"1180405","Macedo de Cavaleiros",0,0,0,0,0
406,"1180406","Miranda do Douro",0,0,0,0,0
407,"1180407","Mirandela",0,0,0,0,0
408,"1180408","Mogadouro",0,0,0,0,0
1706,"1181706","Montalegre",0,0,0,0,0
1707,"1181707","Murça",0,0,0,0,0
1712,"1181712","Valpaços",0,0,0,0,0
1713,"1181713","Vila Pouca de Aguiar",0,0,0,0,0
411,"1180411","Vimioso",0,0,0,0,0
412,"1180412","Vinhais",0,0,0,0,0
101,"1610101","Águeda",0,112.992866784,0,0,112.992866784
102,"1610102","Albergaria-a-Velha",0,0,0,0,0
103,"1610103","Anadia",0,8.75913696,0,0,8.75913696
105,"1610105","Aveiro",38.750886,12.916962,0,0,51.667848
108,"1610108","Estarreja",0,0,0,0,0
110,"1610110","Ílhavo",0,14.3435205,0,0,14.3435205
111,"1610111","Mealhada",15.709086,47.127258,0,0,62.836344
112,"1610112","Murtosa",0,0,0,0,0
114,"1610114","Oliveira do Bairro",188.25558738048,80.2179936,0,0,268.47358098048
115,"1610115","Ovar",0,0,0,0,0
117,"1610117","Sever do Vouga",0,93.323808,0,0,93.323808
118,"1610118","Vagos",12.6937728,12.6937728,0,0,25.3875456
602,"1620602","Cantanhede",18.126216,230.0869354176,0,0,248.2131514176
603,"1620603","Coimbra",0,507.6633603888,30.410658,60.821316,598.8953343888
604,"1620604","Condeixa-a-Nova",43.887852,195.8451507648,0,0,239.7330027648
605,"1620605","Figueira da Foz",0,57.252096,0,0,57.252096
608,"1620608","Mira",0,505.83528,0,0,505.83528
610,"1620610","Montemor-o-Velho",0,13.554,0,0,13.554
613,"1620613","Penacova",0,76.64434596,0,0,76.64434596
615,"1620615","Soure",0,292.14779544,0,0,292.14779544
1004,"1631004","Batalha",0,0,0,0,0
1009,"1631009","Leiria",0,10.6814556,0,0,10.6814556
1010,"1631010","Marinha Grande",0,10.66267779804,0,0,10.66267779804
1015,"1631015","Pombal",0,98.9442,0,0,98.9442
1016,"1631016","Porto de Mós",0,4.113639,0,0,4.113639
1002,"1641002","Alvaiázere",0,0,0,0,0
1003,"1641003","Ansião",0,0,0,0,0
601,"1640601","Arganil",0,0,0,0,0
1007,"1641007","Castanheira de Pêra",0,0,0,0,0
1008,"1641008","Figueiró dos Vinhos",0,0,0,0,0
606,"1640606","Góis",0,0,0,0,0
607,"1640607","Lousã",0,0,0,0,0
609,"1640609","Miranda do Corvo",0,0,0,0,0
611,"1640611","Oliveira do Hospital",0,12.6504,0,0,12.6504
612,"1640612","Pampilhosa da Serra",0,0,0,0,0
1013,"1641013","Pedrógão Grande",0,0,0,0,0
614,"1640614","Penela",0,0,0,0,0
616,"1640616","Tábua",0,0,0,0,0
617,"1640617","Vila Nova de Poiares",0,0,0,0,0
901,"1650901","Aguiar da Beira",0,0,0,0,0
1802,"1651802","Carregal do Sal",0,0,0,0,0
1803,"1651803","Castro Daire",0,2.259,0,0,2.259
1806,"1651806","Mangualde",0,2.259,0,0,2.259
1808,"1651808","Mortágua",0,0,0,0,0
1809,"1651809","Nelas",0,6.777,0,0,6.777
1810,"1651810","Oliveira de Frades",0,2.259,0,0,2.259
1811,"1651811","Penalva do Castelo",0,0,0,0,0
1814,"1651814","Santa Comba Dão",0,7.66815218712,0,0,7.66815218712
1816,"1651816","São Pedro do Sul",0,17.95905,0,0,17.95905
1817,"1651817","Sátão",0,0,0,0,0
1821,"1651821","Tondela",0,470.8768032,0,0,470.8768032
1822,"1651822","Vila Nova de Paiva",0,0,0,0,0
1823,"1651823","Viseu",0,2.259,0,0,2.259
1824,"1651824","Vouzela",0,0,0,0,0
1413,"1661413","Mação",0,0,0,0,0
506,"1660506","Oleiros",0,0,0,0,0
508,"1660508","Proença-a-Nova",0,0,0,0,0
509,"1660509","Sertã",0,0,0,0,0
510,"1660510","Vila de Rei",0,0,0,0,0
905,"1670905","Fornos de Algodres",0,0,0,0,0
906,"1670906","Gouveia",0,0,0,0,0
912,"1670912","Seia",0,9.0500058,0,0,9.0500058
902,"1680902","Almeida",0,0,0,0,0
903,"1680903","Celorico da Beira",0,0,0,0,0
904,"1680904","Figueira de Castelo Rodrigo",0,0,0,0,0
907,"1680907","Guarda",0,8.69715,0,0,8.69715
908,"1680908","Manteigas",0,0,0,0,0
909,"1680909","Mêda",0,0,0,0,0
910,"1680910","Pinhel",0,0,0,0,0
911,"1680911","Sabugal",0,2.259,0,0,2.259
913,"1680913","Trancoso",0,0,0,0,0
502,"1690502","Castelo Branco",0,0,0,0,0
505,"1690505","Idanha-a-Nova",0,0,0,0,0
507,"1690507","Penamacor",0,5.3359839,0,0,5.3359839
511,"1690511","Vila Velha de Ródão",0,15.934986,0,0,15.934986
501,"16A0501","Belmonte",0,0,0,0,0
503,"16A0503","Covilhã",0,0,0,0,0
504,"16A0504","Fundão",0,55.069902,0,11.538972,66.608874
1001,"16B1001","Alcobaça",14.285916,69.965748,0,0,84.251664
1101,"16B1101","Alenquer",0,13.4559594,0,0,13.4559594
1102,"16B1102","Arruda dos Vinhos",0,2.380986,0,0,2.380986
1005,"16B1005","Bombarral",0,0,0,0,0
1104,"16B1104","Cadaval",0,0,0,0,0
1006,"16B1006","Caldas da Rainha",0,140.478174,0,0,140.478174
1108,"16B1108","Lourinhã",0,0,0,0,0
1011,"16B1011","Nazaré",0,3.0956389479,0,0,3.0956389479
1012,"16B1012","Óbidos",0,16.666902,0,0,16.666902
1014,"16B1014","Peniche",0,0,0,0,0
1112,"16B1112","Sobral de Monte Agraço",0,0,0,0,0
1113,"16B1113","Torres Vedras",11.8319643,17.9034786,0,0,29.7354429
1401,"16C1401","Abrantes",0,50.185944,0,0,50.185944
1402,"16C1402","Alcanena",0,4.518,0,0,4.518
1408,"16C1408","Constância",0,0,0,0,0
1410,"16C1410","Entroncamento",0,496.98,0,0,496.98
1411,"16C1411","Ferreira do Zêzere",0,94.878,0,0,94.878
1421,"16C1421","Ourém",0,0,0,0,0
