"Muni_ID","ID","Muni","almonds","chestnut","locust","nuuts","other_dried_nuts","sum"
1601,"1111601","Arcos de Valdevez",0,4.518,0,0,0,4.518
1602,"1111602","Caminha",0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0
1607,"1111607","Ponte de Lima",0,26.8821,0,0,0,26.8821
1608,"1111608","Valença",0,0,0,0,0,0
1609,"1111609","Viana do Castelo",0,0,0,33.6591,0,33.6591
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0
301,"1120301","Amares",0,0,0,0,0,0
302,"1120302","Barcelos",0,71.002629,0,16.9425,0,87.945129
303,"1120303","Braga",0,16.41199644,0,19.46164644,0,35.87364288
306,"1120306","Esposende",0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0
313,"1120313","Vila Verde",0,0,0,0,0,0
307,"1130307","Fafe",0,0,0,0,0,0
308,"1130308","Guimarães",0,0,0,0,0,0
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0
1314,"1131314","Santo Tirso",0,0,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0
311,"1130311","Vieira do Minho",0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0
314,"1130314","Vizela",0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0
1304,"1141304","Gondomar",0,0,0,0,0,0
1306,"1141306","Maia",0,0,0,0,0,0
1308,"1141308","Matosinhos",0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0
1315,"1141315","Valongo",0,0,0,0,0,0
1316,"1141316","Vila do Conde",0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",0,0,0,0,0,0
1301,"1151301","Amarante",0,0,0,0,0,0
1302,"1151302","Baião",0,0,0,0,0,0
304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0
106,"1150106","Castelo de Paiva",0,2.37195,0,0,0,2.37195
305,"1150305","Celorico de Basto",0,0,0,0,0,0
1804,"1151804","Cinfães",0,0,0,0,0,0
