"Muni_ID","ID","Muni","apple","cherry","other_fresh_fruits","peach","pear","sum"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0
1602,"1111602","Caminha",0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0
1607,"1111607","Ponte de Lima",85.30151166,0,8.00011296,4.1398434,15.3612,112.80266802
1608,"1111608","Valença",0,0,0,0,0,0
1609,"1111609","Viana do Castelo",33.6591,0,0,0,0,33.6591
1610,"1111610","Vila Nova de Cerveira",22.25553246,0,14.82373872,0,7.11585,44.19512118
301,"1120301","Amares",0,0,0,0,0,0
302,"1120302","Barcelos",190.691226,0,16.9425,70.41303,68.8509315,346.8976875
303,"1120303","Braga",51.12921204,0,6.0993,22.5369135,6.0993,85.86472554
306,"1120306","Esposende",0,0,0,0,0,0
310,"1120310","Terras de Bouro",0,0,0,0,0,0
313,"1120313","Vila Verde",0,0,0,0,0,0
307,"1130307","Fafe",0,0,0,0,0,0
308,"1130308","Guimarães",0,0,0,0,0,0
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0
1314,"1131314","Santo Tirso",0,0,0,0,0,0
1318,"1131318","Trofa",0,0,0,0,0,0
311,"1130311","Vieira do Minho",0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0
314,"1130314","Vizela",0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0
1304,"1141304","Gondomar",0,0,0,0,0,0
1306,"1141306","Maia",0,0,0,0,0,0
1308,"1141308","Matosinhos",0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0
1315,"1141315","Valongo",0,0,0,0,0,0
1316,"1141316","Vila do Conde",0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",0,0,0,0,0,0
1301,"1151301","Amarante",0,0,0,0,0,0
1302,"1151302","Baião",0,0,0,0,0,0
304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0
106,"1150106","Castelo de Paiva",2.37195,0,0,0,2.37195,4.7439
305,"1150305","Celorico de Basto",0,0,0,0,0,0
1804,"1151804","Cinfães",0,0,0,0,0,0
1303,"1151303","Felgueiras",0,0,0,0,0,0
1305,"1151305","Lousada",0,0,0,0,0,0
1307,"1151307","Marco de Canaveses",0,0,0,0,0,0
1705,"1151705","Mondim de Basto",0,0,0,0,0,0
1309,"1151309","Paços de Ferreira",0,0,0,0,0,0
1310,"1151310","Paredes",0,0,0,0,0,0
1311,"1151311","Penafiel",0,0,0,0,0,0
1813,"1151813","Resende",0,0,0,0,0,0
1709,"1151709","Ribeira de Pena",0,0,0,0,0,0
104,"1160104","Arouca",0,0,0,0,0,0
113,"1160113","Oliveira de Azeméis",0,0,0,0,0,0
109,"1160109","Santa Maria da Feira",0,0,0,0,0,0
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",0,0,0,0,0,0
1701,"1171701","Alijó",0,0,0,0,0,0
1801,"1171801","Armamar",0,0,0,0,0,0
403,"1170403","Carrazeda de Ansiães",0,0,0,0,0,0
404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0
1805,"1171805","Lamego",0,0,0,0,0,0
1704,"1171704","Mesão Frio",0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",0,0,0,0,0,0
1812,"1171812","Penedono",0,0,0,0,0,0
1708,"1171708","Peso da Régua",0,0,0,0,0,0
1710,"1171710","Sabrosa",0,0,0,0,0,0
1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",0,0,0,0,0,0
1818,"1171818","Sernancelhe",0,0,0,0,0,0
1819,"1171819","Tabuaço",157.154112,75.5066232,8.0339076,6.5456784,8.5408272,255.7811484
1820,"1171820","Tarouca",0,0,0,0,0,0
409,"1170409","Torre de Moncorvo",0,0,0,0,0,0
410,"1170410","Vila Flor",0,0,0,0,0,0
914,"1170914","Vila Nova de Foz Côa",0,0,0,0,0,0
1714,"1171714","Vila Real",0,0,0,0,0,0
401,"1180401","Alfândega da Fé",6.59591856,181.06897032,9.09547947,24.05536812,3.29795928,224.11369575
1702,"1181702","Boticas",0,0,0,0,0,0
402,"1180402","Bragança",180.50602752,20.5569,0,0,77.72152752,278.78445504
1703,"1181703","Chaves",0,0,0,0,0,0
405,"1180405","Macedo de Cavaleiros",0,0,0,0,0,0
406,"1180406","Miranda do Douro",0,0,0,0,0,0
407,"1180407","Mirandela",13.9407408,68.872392,68.7892608,30.9320352,7.6589136,190.1933424
408,"1180408","Mogadouro",239.43285576,18.30847212,0,0,5.30865,263.04997788
1706,"1181706","Montalegre",0,0,0,0,0,0
1707,"1181707","Murça",98.78724468,47.963458476,0,0,15.343362936,162.094066092
1712,"1181712","Valpaços",139.190544,156.2252112,23.2184538,44.2547136,13.9407408,376.8296634
1713,"1181713","Vila Pouca de Aguiar",0,0,0,0,0,0
411,"1180411","Vimioso",0,0,0,0,0,0
412,"1180412","Vinhais",0,0,0,0,0,0
101,"1610101","Águeda",289.881675072,0,86.248330848,34.96932,34.96932,446.06864592
102,"1610102","Albergaria-a-Velha",0,0,0,0,0,0
103,"1610103","Anadia",5.4216,4.38227928,2.7108,5.4216,2.7108,20.64707928
105,"1610105","Aveiro",12.916962,0,0,0,0,12.916962
108,"1610108","Estarreja",0,0,0,0,0,0
110,"1610110","Ílhavo",0,0,14.3435205,0,0,14.3435205
111,"1610111","Mealhada",15.709086,0,31.418172,15.709086,15.709086,78.54543
112,"1610112","Murtosa",0,0,0,0,0,0
114,"1610114","Oliveira do Bairro",40.1089968,0,40.1089968,40.1089968,40.1089968,160.4359872
115,"1610115","Ovar",0,0,0,0,0,0
117,"1610117","Sever do Vouga",46.661904,0,594.0620322048,0,0,640.7239362048
118,"1610118","Vagos",0,0,0,0,0,0
602,"1620602","Cantanhede",168.3852961536,0,89.4129982848,131.1105455712,93.2557560768,482.1645960864
603,"1620603","Coimbra",325.9171039176,0,105.4155048912,292.4471337228,217.2780692784,941.05781181
604,"1620604","Condeixa-a-Nova",43.887852,0,43.887852,43.887852,43.887852,175.551408
605,"1620605","Figueira da Foz",57.252096,0,28.626048,0,28.626048,114.504192
608,"1620608","Mira",86.5140525,0,57.64968,58.677525,58.2765525,261.11781
610,"1620610","Montemor-o-Velho",6.777,0,2.259,4.518,2.259,15.813
613,"1620613","Penacova",20.5569,0,0,0,0,20.5569
615,"1620615","Soure",770.03066124,107.0766,0,107.0766,220.98468708,1205.16854832
1004,"1631004","Batalha",4419.89799161508,0,52.7930559,280.4367129408,1512.98563042692,6266.1133908828
1009,"1631009","Leiria",353.5976556,7.129404,25.6947696,23.294808,168.8923278,578.608965
1010,"1631010","Marinha Grande",19.29448685556,0,0,12.8193962418,19.29448685556,51.40836995292
1015,"1631015","Pombal",131.9256,32.9814,32.9814,32.9814,65.9628,296.8326
1016,"1631016","Porto de Mós",1182.0974265,0,11.764872,48.263535,497.2070295,1739.332863
1002,"1641002","Alvaiázere",33.8267178,13.1500908,0,0,0,46.9768086
1003,"1641003","Ansião",0,0,0,0,0,0
601,"1640601","Arganil",505.72576368,96.2334,0,0,102.37309092,704.3322546
1007,"1641007","Castanheira de Pêra",0,0,0,0,0,0
1008,"1641008","Figueiró dos Vinhos",0,0,0,0,0,0
606,"1640606","Góis",0,0,0,0,0,0
607,"1640607","Lousã",0,0,0,0,47.10423822525,47.10423822525
609,"1640609","Miranda do Corvo",736.32245058,0,0,207.2490183,311.93071686,1255.50218574
