"Muni_ID","ID","Muni","forage_maize","forage_mixture","forage_oat","forage_roots","forage_sorghum","total"
1601,"1111601","Arcos de Valdevez",1037.57,0,0,0,0,1037.57
1602,"1111602","Caminha",63.96,0,0,0,0,63.96
1603,"1111603","Melgaço",23.62,0,0,0,0,23.62
1604,"1111604","Monção",1676.56,0,0,0,0,1676.56
1605,"1111605","Paredes de Coura",13138,0,0,0,0,13138
1606,"1111606","Ponte da Barca",270.18,0,0,0,0,270.18
1607,"1111607","Ponte de Lima",26220.78,0,0,0,0,26220.78
1608,"1111608","Valença",1999.35,0,0,0,0,1999.35
1609,"1111609","Viana do Castelo",9046.5,0,0,0,0,9046.5
1610,"1111610","Vila Nova de Cerveira",1491.25,0,0,0,0,1491.25
301,"1120301","Amares",9019.18,0,0,0,0,9019.18
302,"1120302","Barcelos",189300.96,0,0,0,0,189300.96
303,"1120303","Braga",55936.76,0,0,0,0,55936.76
306,"1120306","Esposende",5001.48,0,0,0,0,5001.48
310,"1120310","Terras de Bouro",118.65,0,0,0,0,118.65
313,"1120313","Vila Verde",26819.91,0,0,0,0,26819.91
307,"1130307","Fafe",12158.4,0,0,0,0,12158.4
308,"1130308","Guimarães",37590.93,0,0,0,0,37590.93
309,"1130309","Póvoa de Lanhoso",17159.85,0,0,0,0,17159.85
1314,"1131314","Santo Tirso",20575.5,0,0,0,0,20575.5
1318,"1131318","Trofa",3420.74,0,0,0,0,3420.74
311,"1130311","Vieira do Minho",2988,0,0,0,0,2988
312,"1130312","Vila Nova de Famalicão",33964.53,0,0,0,0,33964.53
314,"1130314","Vizela",3119.28,0,0,0,0,3119.28
107,"1140107","Espinho",661.51,0,0,0,0,661.51
1304,"1141304","Gondomar",4548.18,0,0,0,0,4548.18
1306,"1141306","Maia",5360.36,0,0,0,0,5360.36
1308,"1141308","Matosinhos",2145,0,0,0,0,2145
1312,"1141312","Porto",143.52,0,0,0,0,143.52
1313,"1141313","Póvoa de Varzim",1514.8,0,0,0,0,1514.8
1315,"1141315","Valongo",1011.08,0,0,0,0,1011.08
1316,"1141316","Vila do Conde",539.46,0,0,0,0,539.46
1317,"1141317","Vila Nova de Gaia",4909.68,0,0,0,0,4909.68
1301,"1151301","Amarante",3577,0,0,0,0,3577
1302,"1151302","Baião",1104.45,0,0,0,0,1104.45
304,"1150304","Cabeceiras de Basto",6249.15,0,0,0,0,6249.15
106,"1150106","Castelo de Paiva",5875.56,0,0,0,0,5875.56
305,"1150305","Celorico de Basto",15760.41,0,0,0,0,15760.41
1804,"1151804","Cinfães",8534.56,0,0,0,0,8534.56
1303,"1151303","Felgueiras",37152.06,0,0,0,0,37152.06
1305,"1151305","Lousada",28285.5,0,0,0,0,28285.5
1307,"1151307","Marco de Canaveses",3139.92,0,0,0,0,3139.92
1705,"1151705","Mondim de Basto",1491.88,0,0,0,0,1491.88
1309,"1151309","Paços de Ferreira",13196.4,0,0,0,0,13196.4
1310,"1151310","Paredes",13450.2,0,0,0,0,13450.2
1311,"1151311","Penafiel",7009.52,0,0,0,0,7009.52
1813,"1151813","Resende",349.6,0,0,0,0,349.6
1709,"1151709","Ribeira de Pena",6232.5,0,0,0,0,6232.5
104,"1160104","Arouca",23768.43,0,0,0,0,23768.43
113,"1160113","Oliveira de Azeméis",24601.5,0,0,0,0,24601.5
109,"1160109","Santa Maria da Feira",10913.67,0,0,0,0,10913.67
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",2834.52,0,0,0,0,2834.52
1701,"1171701","Alijó",0,0,0,0,0,0
1801,"1171801","Armamar",532.55,0,0,0,0,532.55
403,"1170403","Carrazeda de Ansiães",0,0,0,66.04,0,66.04
404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0
1805,"1171805","Lamego",417.12,0,0,53.94,0,471.06
1704,"1171704","Mesão Frio",0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",3080.22,0,0,280.56,0,3360.78
1812,"1171812","Penedono",266.75,0,0,107.46,0,374.21
1708,"1171708","Peso da Régua",0,0,0,0,0,0
1710,"1171710","Sabrosa",203.16,0,0,0,0,203.16
1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",0,0,0,0,0,0
1818,"1171818","Sernancelhe",419.25,0,0,97.08,0,516.33
