"Muni_ID","ID","Muni","barley","maize","oat","rice","rye","triticale","wheat","lemon","orange","other_citrus","tangerine","almonds","chestnut","locust","nuuts","other_dried_nuts","forage_maize","forage_mixture","forage_oat","forage_roots","forage_sorghum","apple","cherry","other_fresh_fruits","peach","pear","horticulture_extensive","horticulture_intensive","other_industry","sunflower","olive_grove","intensive_pasture","potato","bean","chickpea","other_pulses","vineyard","total"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.1,0,0,0,0,0,0,0,0,0,838.1
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3771.45,0,0,0,0,0,0,0,0,0,3771.45
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23753.4,0,0,0,0,0,0,0,0,0,0,1257.15,0,0,0,0,0,0,0,0,0,25010.55
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.1,0,0,0,0,0,0,0,0,0,838.1
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8629.22,0,0,0,0,0,0,0,0,0,0,1257.15,0,0,0,0,0,0,0,0,0,9886.37
1610,"1111610","Vila Nova de Cerveira",0,6069.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6069.12
301,"1120301","Amares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5587.38,2095.25,0,0,0,0,0,0,0,0,0,7682.63
302,"1120302","Barcelos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172.87,3352.4,0,0,0,0,0,0,0,0,0,5525.27
303,"1120303","Braga",0,51288.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49992.8,0,0,0,0,0,0,0,0,0,7449.84,6285.75,0,0,0,0,0,0,0,0,0,115016.51
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257.15,0,0,0,0,0,0,0,0,0,1257.15
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.1,0,0,0,0,0,0,0,0,0,838.1
313,"1120313","Vila Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33911.89,0,0,0,0,0,0,0,0,0,620.82,5028.6,0,0,0,0,0,0,0,0,0,39561.31
307,"1130307","Fafe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41576.9,0,0,0,0,0,0,0,0,0,0,1676.2,0,0,0,0,0,0,0,0,0,43253.1
308,"1130308","Guimarães",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67597.25,0,0,0,0,0,0,0,0,0,3104.1,28495.4,0,0,0,0,0,0,0,0,0,99196.75
309,"1130309","Póvoa de Lanhoso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26516.97,0,0,0,0,0,0,0,0,0,0,419.05,0,0,0,0,0,0,0,0,0,26936.02
1314,"1131314","Santo Tirso",0,22873.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3045.9,0,0,0,0,0,0,0,0,0,310.41,4190.5,0,0,0,0,0,0,0,0,0,30420.61
1318,"1131318","Trofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.82,3352.4,0,0,0,0,0,0,0,0,0,3973.22
311,"1130311","Vieira do Minho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251,0,0,0,0,0,0,0,0,0,0,419.05,0,0,0,0,0,0,0,0,0,1670.05
312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.82,1257.15,0,0,0,0,0,0,0,0,0,1877.97
314,"1130314","Vizela",0,37788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9921.18,0,0,0,0,0,0,0,0,0,0,2514.3,0,0,0,0,0,0,0,0,0,50223.48
107,"1140107","Espinho",0,3241.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.05,0,0,0,0,0,0,0,0,0,3660.81
