"Muni_ID","ID","Muni","bean","chickpea","other_pulses","extensive_pasture","intensive_pasture","total"
1601,"1111601","Arcos de Valdevez",947.76,0,0,0,0,947.76
1602,"1111602","Caminha",64.5,0,0,0,0,64.5
1603,"1111603","Melgaço",129.42,0,0,0,0,129.42
1604,"1111604","Monção",581.31,0,0,0,0,581.31
1605,"1111605","Paredes de Coura",193.95,0,0,0,0,193.95
1606,"1111606","Ponte da Barca",603.12,0,0,0,0,603.12
1607,"1111607","Ponte de Lima",904.68,0,0,0,0,904.68
1608,"1111608","Valença",108,0,0,0,0,108
1609,"1111609","Viana do Castelo",64.71,0,0,0,0,64.71
1610,"1111610","Vila Nova de Cerveira",86,0,0,0,0,86
301,"1120301","Amares",86,0,0,0,0,86
302,"1120302","Barcelos",150.71,0,0,0,0,150.71
303,"1120303","Braga",86,0,0,0,0,86
306,"1120306","Esposende",0,0,0,0,0,0
310,"1120310","Terras de Bouro",322.95,0,0,0,0,322.95
313,"1120313","Vila Verde",861.2,0,0,0,0,861.2
307,"1130307","Fafe",1033.92,0,0,0,0,1033.92
308,"1130308","Guimarães",258.72,0,0,0,0,258.72
309,"1130309","Póvoa de Lanhoso",258.36,0,0,0,0,258.36
1314,"1131314","Santo Tirso",129,0,0,0,0,129
1318,"1131318","Trofa",0,0,0,0,0,0
311,"1130311","Vieira do Minho",473.66,0,0,0,0,473.66
312,"1130312","Vila Nova de Famalicão",21.67,0,0,0,0,21.67
314,"1130314","Vizela",0,0,0,0,0,0
107,"1140107","Espinho",21.5,0,0,0,0,21.5
1304,"1141304","Gondomar",150.99,0,0,0,0,150.99
1306,"1141306","Maia",0,0,0,0,0,0
1308,"1141308","Matosinhos",0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0
1315,"1141315","Valongo",21,0,0,0,0,21
1316,"1141316","Vila do Conde",0,0,0,0,0,0
1317,"1141317","Vila Nova de Gaia",86.4,0,0,0,0,86.4
1301,"1151301","Amarante",2218.62,0,0,0,0,2218.62
1302,"1151302","Baião",1960.14,0,0,0,0,1960.14
304,"1150304","Cabeceiras de Basto",301.42,0,0,0,0,301.42
106,"1150106","Castelo de Paiva",646.5,0,0,0,0,646.5
305,"1150305","Celorico de Basto",1291.8,0,0,0,0,1291.8
1804,"1151804","Cinfães",473.44,0,0,0,0,473.44
1303,"1151303","Felgueiras",366.35,0,0,0,0,366.35
1305,"1151305","Lousada",150.85,0,0,0,0,150.85
1307,"1151307","Marco de Canaveses",1744.74,0,0,0,0,1744.74
1705,"1151705","Mondim de Basto",646.2,0,0,0,0,646.2
1309,"1151309","Paços de Ferreira",150.85,0,0,0,0,150.85
1310,"1151310","Paredes",236.5,0,0,0,0,236.5
1311,"1151311","Penafiel",129.42,0,0,0,0,129.42
1813,"1151813","Resende",172.48,0,0,0,0,172.48
1709,"1151709","Ribeira de Pena",236.94,0,0,0,0,236.94
104,"1160104","Arouca",129,0,0,0,0,129
113,"1160113","Oliveira de Azeméis",21.5,0,0,0,0,21.5
109,"1160109","Santa Maria da Feira",301.7,0,0,0,0,301.7
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",388.26,0,0,0,0,388.26
1701,"1171701","Alijó",67.34,0,0,0,0,67.34
1801,"1171801","Armamar",34,0,0,0,0,34
403,"1170403","Carrazeda de Ansiães",33.75,0,0,0,0,33.75
404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0
1805,"1171805","Lamego",168,0,0,0,0,168
1704,"1171704","Mesão Frio",0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",101.25,80,0,0,0,181.25
1812,"1171812","Penedono",0,0,0,0,0,0
1708,"1171708","Peso da Régua",33.5,0,0,0,0,33.5
1710,"1171710","Sabrosa",34,0,0,0,0,34
1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",0,0,0,0,0,0
1818,"1171818","Sernancelhe",336.2,79.25,0,0,0,415.45
1819,"1171819","Tabuaço",370.04,80,0,0,0,450.04
1820,"1171820","Tarouca",101.01,0,0,0,0,101.01
409,"1170409","Torre de Moncorvo",0,0,0,0,0,0
410,"1170410","Vila Flor",0,0,0,0,0,0
914,"1170914","Vila Nova de Foz Côa",0,0,0,0,0,0
1714,"1171714","Vila Real",976.14,0,0,0,0,976.14
401,"1180401","Alfândega da Fé",0,0,0,0,0,0
1702,"1181702","Boticas",0,0,0,0,0,0
402,"1180402","Bragança",101.25,0,0,0,0,101.25
1703,"1181703","Chaves",336.5,79,90.25,0,0,505.75
405,"1180405","Macedo de Cavaleiros",33.75,0,0,0,0,33.75
406,"1180406","Miranda do Douro",0,0,0,0,0,0
407,"1180407","Mirandela",67.5,158.5,180.54,0,0,406.54
408,"1180408","Mogadouro",0,0,0,0,0,0
1706,"1181706","Montalegre",67.5,0,0,0,0,67.5
1707,"1181707","Murça",235.83,0,0,0,0,235.83
1712,"1181712","Valpaços",302.85,0,0,0,0,302.85
1713,"1181713","Vila Pouca de Aguiar",370.59,0,0,0,0,370.59
411,"1180411","Vimioso",168.75,158.58,0,0,0,327.33
412,"1180412","Vinhais",67,0,0,0,0,67
101,"1610101","Águeda",91.32,0,0,0,0,91.32
102,"1610102","Albergaria-a-Velha",30.5,0,0,0,0,30.5
103,"1610103","Anadia",30.5,0,0,0,0,30.5
105,"1610105","Aveiro",182.82,0,0,0,0,182.82
108,"1610108","Estarreja",0,0,0,0,0,0
110,"1610110","Ílhavo",30.33,0,0,0,0,30.33
111,"1610111","Mealhada",61,0,0,0,0,61
112,"1610112","Murtosa",0,0,0,0,0,0
114,"1610114","Oliveira do Bairro",61,0,0,0,0,61
115,"1610115","Ovar",30.5,0,0,0,0,30.5
117,"1610117","Sever do Vouga",183,0,0,0,0,183
118,"1610118","Vagos",30.45,0,0,0,0,30.45
602,"1620602","Cantanhede",121.76,0,0,0,0,121.76
603,"1620603","Coimbra",30.4,0,0,0,0,30.4
604,"1620604","Condeixa-a-Nova",243.52,0,0,0,0,243.52
605,"1620605","Figueira da Foz",152.25,0,0,0,0,152.25
608,"1620608","Mira",0,0,0,0,0,0
610,"1620610","Montemor-o-Velho",121.76,0,0,0,0,121.76
613,"1620613","Penacova",213.08,0,0,0,0,213.08
615,"1620615","Soure",182.82,0,0,0,0,182.82
1004,"1631004","Batalha",61,0,0,0,0,61
1009,"1631009","Leiria",943.64,0,81.22,0,0,1024.86
1010,"1631010","Marinha Grande",30,0,0,0,0,30
1015,"1631015","Pombal",608.8,0,0,0,0,608.8
1016,"1631016","Porto de Mós",0,0,0,0,0,0
1002,"1641002","Alvaiázere",30.5,0,0,0,0,30.5
1003,"1641003","Ansião",30.43,0,0,0,0,30.43
601,"1640601","Arganil",122,0,0,0,0,122
1007,"1641007","Castanheira de Pêra",0,0,0,0,0,0
1008,"1641008","Figueiró dos Vinhos",60.66,0,0,0,0,60.66
606,"1640606","Góis",30.5,0,0,0,0,30.5
607,"1640607","Lousã",91.2,0,0,0,0,91.2
609,"1640609","Miranda do Corvo",91.5,0,0,0,0,91.5
611,"1640611","Oliveira do Hospital",395.85,73,0,0,0,468.85
