Muni_ID,ID,Muni,_irrig_ns
1820,1171820,Tarouca,31.881206347
409,1170409,Torre de Moncorvo,17.336196614
410,1170410,Vila Flor,28.292421749
914,1170914,Vila Nova de Foz Côa,15.791562652
1714,1171714,Vila Real,15.595733579
401,1180401,Alfândega da Fé,28.329839154
1702,1181702,Boticas,19.046892207
402,1180402,Bragança,39.462829233
1703,1181703,Chaves,36.11433863
405,1180405,Macedo de Cavaleiros,35.648838679
406,1180406,Miranda do Douro,12.473709562
407,1180407,Mirandela,31.524253238
408,1180408,Mogadouro,18.282231661
1706,1181706,Montalegre,11.763900726
1707,1181707,Murça,13.058889544
1712,1181712,Valpaços,47.881901101
1713,1181713,Vila Pouca de Aguiar,17.280028758
411,1180411,Vimioso,24.389143684
412,1180412,Vinhais,51.613021001
101,1610101,Águeda,108.40048068
102,1610102,Albergaria-a-Velha,115.24345199
103,1610103,Anadia,47.776874444
105,1610105,Aveiro,92.950099174
108,1610108,Estarreja,139.173923403
110,1610110,Ílhavo,162.75739065
111,1610111,Mealhada,73.980021415
112,1610112,Murtosa,49.539662684
114,1610114,Oliveira do Bairro,82.540953914
115,1610115,Ovar,63.44519342
117,1610117,Sever do Vouga,447.45128753
118,1610118,Vagos,67.387989094
602,1620602,Cantanhede,39.746112139
603,1620603,Coimbra,115.421978925
604,1620604,Condeixa-a-Nova,72.041327236
605,1620605,Figueira da Foz,97.623551709
608,1620608,Mira,105.57606574
610,1620610,Montemor-o-Velho,62.574930338
613,1620613,Penacova,80.469631612
615,1620615,Soure,224.7010088
1004,1631004,Batalha,167.83449486
1009,1631009,Leiria,400.83699073
1010,1631010,Marinha Grande,84.538330967
1015,1631015,Pombal,131.7365771
1016,1631016,Porto de Mós,185.31734444
1002,1641002,Alvaiázere,54.47541395
1003,1641003,Ansião,60.700053648
601,1640601,Arganil,71.967888551
1007,1641007,Castanheira de Pêra,54.312076558
1008,1641008,Figueiró dos Vinhos,66.314619766
606,1640606,Góis,129.18039386
607,1640607,Lousã,119.75244597
609,1640609,Miranda do Corvo,69.382369865
611,1640611,Oliveira do Hospital,232.62201405
612,1640612,Pampilhosa da Serra,52.612359893
1013,1641013,Pedrógão Grande,59.93246172
614,1640614,Penela,49.092686535
616,1640616,Tábua,49.226306777
617,1640617,Vila Nova de Poiares,69.613307383
901,1650901,Aguiar da Beira,88.07305252
1802,1651802,Carregal do Sal,58.935657283
1803,1651803,Castro Daire,51.256101698
1806,1651806,Mangualde,53.934830229
1808,1651808,Mortágua,276.74222884
1809,1651809,Nelas,42.393478088
1810,1651810,Oliveira de Frades,428.62462617
1811,1651811,Penalva do Castelo,47.192570055
1814,1651814,Santa Comba Dão,186.66289281
1816,1651816,São Pedro do Sul,115.02718117
1817,1651817,Sátão,84.57845171
1821,1651821,Tondela,146.13132629
1822,1651822,Vila Nova de Paiva,140.08994423
1823,1651823,Viseu,56.713789851
1824,1651824,Vouzela,208.13283495
1413,1661413,Mação,33.904418483
506,1660506,Oleiros,69.448402111
508,1660508,Proença-a-Nova,36.251168036
509,1660509,Sertã,52.837119804
510,1660510,Vila de Rei,53.711302065
905,1670905,Fornos de Algodres,46.653021189
906,1670906,Gouveia,25.990481762
912,1670912,Seia,32.911309413
902,1680902,Almeida,7.94520992
903,1680903,Celorico da Beira,16.561489971
904,1680904,Figueira de Castelo Rodrigo,19.239413442
907,1680907,Guarda,12.500006233
908,1680908,Manteigas,20.449271916
909,1680909,Mêda,30.356537092
910,1680910,Pinhel,13.014094544
911,1680911,Sabugal,7.632380274
913,1680913,Trancoso,29.379345311
502,1690502,Castelo Branco,14.852849021
505,1690505,Idanha-a-Nova,14.004523876
507,1690507,Penamacor,22.519901334
511,1690511,Vila Velha de Ródão,26.429424665
501,16A0501,Belmonte,26.022409427
503,16A0503,Covilhã,23.679503128
504,16A0504,Fundão,28.821157455
1001,16B1001,Alcobaça,127.06140915
1101,16B1101,Alenquer,53.892495062
1102,16B1102,Arruda dos Vinhos,45.472144522
1005,16B1005,Bombarral,93.177268485
1104,16B1104,Cadaval,60.833440304
1006,16B1006,Caldas da Rainha,120.50390279
1108,16B1108,Lourinhã,220.38619818
1011,16B1011,Nazaré,87.847708768
1012,16B1012,Óbidos,116.69734109
1014,16B1014,Peniche,108.612278467
1112,16B1112,Sobral de Monte Agraço,46.768390489
1113,16B1113,Torres Vedras,80.296715721
1401,16C1401,Abrantes,33.229817056
1402,16C1402,Alcanena,41.106154451
1408,16C1408,Constância,91.60741848
1410,16C1410,Entroncamento,98.316367078
1411,16C1411,Ferreira do Zêzere,392.63350193
1421,16C1421,Ourém,177.19366647
1417,16C1417,Sardoal,43.026485398
1418,16C1418,Tomar,64.922745249
1419,16C1419,Torres Novas,47.874251038
1420,16C1420,Vila Nova da Barquinha,105.014336765
1115,1711115,Amadora,7.227743759
1105,1711105,Cascais,61.59203317
1106,1711106,Lisboa,180.707326193
1107,1711107,Loures,75.034883849
1109,1711109,Mafra,97.381032996
1116,1711116,Odivelas,-0.266472007
1110,1711110,Oeiras,105.898073734
1111,1711111,Sintra,47.647243297
1114,1711114,Vila Franca de Xira,87.707576221
1502,1721502,Alcochete,32.544374638
1503,1721503,Almada,248.574312612
1504,1721504,Barreiro,24.752602128
1506,1721506,Moita,-27.460929456
1507,1721507,Montijo,46.15354471
1508,1721508,Palmela,26.300328583
1510,1721510,Seixal,54.259602551
1511,1721511,Sesimbra,76.81135539
1512,1721512,Setúbal,36.474678614
1501,1811501,Alcácer do Sal,23.320262461
1505,1811505,Grândola,15.000419841
211,1810211,Odemira,19.376769958
1509,1811509,Santiago do Cacém,25.878253622
1513,1811513,Sines,37.038543963
1201,1821201,Alter do Chão,17.976834989
1202,1821202,Arronches,18.916883764
1203,1821203,Avis,30.126271429
1204,1821204,Campo Maior,36.65586764
1205,1821205,Castelo de Vide,37.53842394
1206,1821206,Crato,11.674782739
1207,1821207,Elvas,28.369497186
1208,1821208,Fronteira,28.141663052
1209,1821209,Gavião,13.69340354
1210,1821210,Marvão,31.51837207
1211,1821211,Monforte,19.117818162
707,1820707,Mora,20.370768973
1212,1821212,Nisa,13.367520459
1213,1821213,Ponte de Sor,14.130662476
1214,1821214,Portalegre,12.807995112
701,1830701,Alandroal,16.702556388
702,1830702,Arraiolos,21.218004586
703,1830703,Borba,32.75592247
704,1830704,Estremoz,26.756915445
705,1830705,Évora,23.065493919
706,1830706,Montemor-o-Novo,18.019262996
708,1830708,Mourão,8.93426097
709,1830709,Portel,18.616798496
710,1830710,Redondo,18.172274839
711,1830711,Reguengos de Monsaraz,33.190218145
1215,1831215,Sousel,32.822256807
712,1830712,Vendas Novas,26.527056031
713,1830713,Viana do Alentejo,20.32675167
714,1830714,Vila Viçosa,16.979351104
201,1840201,Aljustrel,44.168559378
202,1840202,Almodôvar,10.180043776
203,1840203,Alvito,15.880802923
204,1840204,Barrancos,9.626384282
205,1840205,Beja,41.477562144
206,1840206,Castro Verde,21.448072458
207,1840207,Cuba,44.092800068
208,1840208,Ferreira do Alentejo,48.815771585
209,1840209,Mértola,11.40177671
210,1840210,Moura,26.200062162
212,1840212,Ourique,17.888672599
213,1840213,Serpa,42.248734804
214,1840214,Vidigueira,36.60528876
1403,1851403,Almeirim,72.200767072
1404,1851404,Alpiarça,88.681764513
1103,1851103,Azambuja,51.072330489
1405,1851405,Benavente,45.34120972
1406,1851406,Cartaxo,151.12632558
1407,1851407,Chamusca,30.827625335
1409,1851409,Coruche,121.132820649
1412,1851412,Golegã,149.668036106
1414,1851414,Rio Maior,94.21774149
1415,1851415,Salvaterra de Magos,128.159291115
1416,1851416,Santarém,67.635220845
801,1500801,Albufeira,85.334716043
802,1500802,Alcoutim,24.610442313
803,1500803,Aljezur,22.559348119
804,1500804,Castro Marim,64.995320555
805,1500805,Faro,99.383790741
806,1500806,Lagoa,29.699164017
807,1500807,Lagos,42.95968187
808,1500808,Loulé,71.40903333
809,1500809,Monchique,37.852729412
810,1500810,Olhão,105.384284632
811,1500811,Portimão,49.160253042
812,1500812,São Brás de Alportel,31.511106548
813,1500813,Silves,79.508544437
814,1500814,Tavira,67.416804763
815,1500815,Vila do Bispo,12.131344012
816,1500816,Vila Real de Santo António,37.971140803
