Muni_ID,ID,Muni,ns
1601,1111601,Arcos de Valdevez,27.271184408
1602,1111602,Caminha,24.079732739
1603,1111603,Melgaço,15.691073698
1604,1111604,Monção,41.481740371
1605,1111605,Paredes de Coura,55.033173187
1606,1111606,Ponte da Barca,24.127132789
1607,1111607,Ponte de Lima,51.988445767
1608,1111608,Valença,86.027777781
1609,1111609,Viana do Castelo,28.495218001
1610,1111610,Vila Nova de Cerveira,50.032191068
301,1120301,Amares,105.54840226
302,1120302,Barcelos,-82.34049857
303,1120303,Braga,61.286138617
306,1120306,Esposende,111.82951945
310,1120310,Terras de Bouro,23.042533082
313,1120313,Vila Verde,91.233901192
307,1130307,Fafe,134.834509306
308,1130308,Guimarães,96.183011303
309,1130309,Póvoa de Lanhoso,99.112903227
1314,1131314,Santo Tirso,22.80601504
1318,1131318,Trofa,-67.57259585
311,1130311,Vieira do Minho,47.137734312
312,1130312,Vila Nova de Famalicão,-52.05940439
314,1130314,Vizela,102.421845571
107,1140107,Espinho,108.622641514
1304,1141304,Gondomar,82.750479849
1306,1141306,Maia,-44.77702702
1308,1141308,Matosinhos,-74.10929854
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,239.91880721
1315,1141315,Valongo,53.95366796
1316,1141316,Vila do Conde,-134.72743832
1317,1141317,Vila Nova de Gaia,96.9699925
1301,1151301,Amarante,121.467772594
1302,1151302,Baião,95.841221374
304,1150304,Cabeceiras de Basto,65.455054274
106,1150106,Castelo de Paiva,117.121971596
305,1150305,Celorico de Basto,127.757459621
1804,1151804,Cinfães,72.472397809
1303,1151303,Felgueiras,93.382695962
1305,1151305,Lousada,73.242541245
1307,1151307,Marco de Canaveses,101.177218225
1705,1151705,Mondim de Basto,55.890723562
1309,1151309,Paços de Ferreira,60.455010971
1310,1151310,Paredes,81.429032253
1311,1151311,Penafiel,83.793367349
1813,1151813,Resende,29.936359383
1709,1151709,Ribeira de Pena,93.035769829
104,1160104,Arouca,25.902632888
113,1160113,Oliveira de Azeméis,-12.26342711
109,1160109,Santa Maria da Feira,20.30017554
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,51.661471322
1701,1171701,Alijó,20.374905108
1801,1171801,Armamar,25.762658934
403,1170403,Carrazeda de Ansiães,23.24386561
404,1170404,Freixo de Espada à Cinta,20.312484789
1805,1171805,Lamego,18.865119299
1704,1171704,Mesão Frio,2.623604466
1807,1171807,Moimenta da Beira,6.746292659
1812,1171812,Penedono,53.167607803
1708,1171708,Peso da Régua,22.482069796
1710,1171710,Sabrosa,23.697020917
1711,1171711,Santa Marta de Penaguião,25.53425027
1815,1171815,São João da Pesqueira,25.273921647
1818,1171818,Sernancelhe,31.909220146
1819,1171819,Tabuaço,30.620651451
1820,1171820,Tarouca,46.120768528
409,1170409,Torre de Moncorvo,17.115505592
410,1170410,Vila Flor,33.953089244
914,1170914,Vila Nova de Foz Côa,15.511964585
1714,1171714,Vila Real,22.181195349
401,1180401,Alfândega da Fé,27.423378703
1702,1181702,Boticas,27.771734204
402,1180402,Bragança,40.735497159
1703,1181703,Chaves,29.479890311
405,1180405,Macedo de Cavaleiros,42.097308746
406,1180406,Miranda do Douro,24.437473802
407,1180407,Mirandela,35.767186495
408,1180408,Mogadouro,28.644774831
1706,1181706,Montalegre,16.756196066
1707,1181707,Murça,11.271425649
1712,1181712,Valpaços,46.143276975
1713,1181713,Vila Pouca de Aguiar,20.733476434
411,1180411,Vimioso,32.128300863
412,1180412,Vinhais,47.640714629
101,1610101,Águeda,144.97978068
102,1610102,Albergaria-a-Velha,54.50404624
103,1610103,Anadia,49.657813106
105,1610105,Aveiro,74.84872502
108,1610108,Estarreja,194.19662922
110,1610110,Ílhavo,171.07081545
111,1610111,Mealhada,138.32521268
112,1610112,Murtosa,-13.55451714
114,1610114,Oliveira do Bairro,104.776926177
115,1610115,Ovar,64.52157895
117,1610117,Sever do Vouga,223.10307017
118,1610118,Vagos,53.0529462
602,1620602,Cantanhede,22.944470704
603,1620603,Coimbra,142.664972273
604,1620604,Condeixa-a-Nova,117.815547221
605,1620605,Figueira da Foz,180.95342668
608,1620608,Mira,44.946892656
610,1620610,Montemor-o-Velho,33.269872638
613,1620613,Penacova,112.173616374
615,1620615,Soure,246.080947984
1004,1631004,Batalha,191.46251172
1009,1631009,Leiria,263.41004435
1010,1631010,Marinha Grande,246.77700348
1015,1631015,Pombal,145.250065632
1016,1631016,Porto de Mós,32.090863701
1002,1641002,Alvaiázere,68.080533598
1003,1641003,Ansião,81.738271608
601,1640601,Arganil,261.084570689
1007,1641007,Castanheira de Pêra,226.081395349
1008,1641008,Figueiró dos Vinhos,75.589970504
606,1640606,Góis,71.812164579
607,1640607,Lousã,82.527681659
609,1640609,Miranda do Corvo,200.258291457
611,1640611,Oliveira do Hospital,77.588108883
612,1640612,Pampilhosa da Serra,71.649867374
1013,1641013,Pedrógão Grande,97.770358306
614,1640614,Penela,68.921291053
616,1640616,Tábua,96.638876505
617,1640617,Vila Nova de Poiares,89.62033195
901,1650901,Aguiar da Beira,56.402001028
1802,1651802,Carregal do Sal,85.178409088
1803,1651803,Castro Daire,49.877137709
1806,1651806,Mangualde,72.835695748
1808,1651808,Mortágua,260.73712949
1809,1651809,Nelas,53.230390432
1810,1651810,Oliveira de Frades,416.85775635
1811,1651811,Penalva do Castelo,67.882875143
1814,1651814,Santa Comba Dão,285.10668381
1816,1651816,São Pedro do Sul,88.95886736
1817,1651817,Sátão,64.766928217
1821,1651821,Tondela,142.02718413
1822,1651822,Vila Nova de Paiva,57.55251328
1823,1651823,Viseu,67.872651355
1824,1651824,Vouzela,179.55882353
1413,1661413,Mação,49.232792207
506,1660506,Oleiros,35.189029203
508,1660508,Proença-a-Nova,49.398508506
509,1660509,Sertã,57.047915539
510,1660510,Vila de Rei,55.406959156
905,1670905,Fornos de Algodres,46.478363493
906,1670906,Gouveia,19.458518613
912,1670912,Seia,45.639534883
902,1680902,Almeida,9.148348275
903,1680903,Celorico da Beira,28.298068558
904,1680904,Figueira de Castelo Rodrigo,23.956576571
907,1680907,Guarda,14.043857581
908,1680908,Manteigas,13.186891054
909,1680909,Mêda,38.009810731
910,1680910,Pinhel,16.515313745
911,1680911,Sabugal,10.038861323
913,1680913,Trancoso,25.725844049
502,1690502,Castelo Branco,25.288827855
505,1690505,Idanha-a-Nova,24.177036286
507,1690507,Penamacor,36.941726568
511,1690511,Vila Velha de Ródão,44.880212483
501,16A0501,Belmonte,35.719300866
503,16A0503,Covilhã,36.361620195
504,16A0504,Fundão,49.513442045
1001,16B1001,Alcobaça,181.535340445
1101,16B1101,Alenquer,140.237538835
1102,16B1102,Arruda dos Vinhos,86.810330912
1005,16B1005,Bombarral,47.378527064
1104,16B1104,Cadaval,56.965702859
1006,16B1006,Caldas da Rainha,158.79722148
1108,16B1108,Lourinhã,166.15604878
1011,16B1011,Nazaré,122.899909013
1012,16B1012,Óbidos,67.839701361
1014,16B1014,Peniche,163.136291096
1112,16B1112,Sobral de Monte Agraço,103.311761231
1113,16B1113,Torres Vedras,89.229607967
1401,16C1401,Abrantes,71.454207762
1402,16C1402,Alcanena,55.011609907
1408,16C1408,Constância,81.161904762
1410,16C1410,Entroncamento,148.102272728
1411,16C1411,Ferreira do Zêzere,183.32940875
1421,16C1421,Ourém,116.00721855
1417,16C1417,Sardoal,67.711751662
1418,16C1418,Tomar,81.558577938
1419,16C1419,Torres Novas,82.581505919
1420,16C1420,Vila Nova da Barquinha,67.794797686
1115,1711115,Amadora,-0.0238907849999999
1105,1711105,Cascais,146.45318352
1106,1711106,Lisboa,0
1107,1711107,Loures,92.713393008
1109,1711109,Mafra,151.518958294
1116,1711116,Odivelas,0.526315793999999
1110,1711110,Oeiras,108.916900094
1111,1711111,Sintra,98.721609843
1114,1711114,Vila Franca de Xira,95.438061225
1502,1721502,Alcochete,60.933877552
1503,1721503,Almada,137.399628253
1504,1721504,Barreiro,68.452282156
1506,1721506,Moita,40.65959648
1507,1721507,Montijo,60.060346906
1508,1721508,Palmela,62.268978238
1510,1721510,Seixal,72.931931933
1511,1721511,Sesimbra,58.315668202
1512,1721512,Setúbal,62.41923015
1501,1811501,Alcácer do Sal,32.983015801
1505,1811505,Grândola,22.941720588
211,1810211,Odemira,27.630716812
1509,1811509,Santiago do Cacém,38.215310454
1513,1811513,Sines,21.657686399
1201,1821201,Alter do Chão,30.957390953
