"Muni_ID","ID","Muni","Nex"
1703,"1181703","Chaves",51092.6
405,"1180405","Macedo de Cavaleiros",3689.4
406,"1180406","Miranda do Douro",17748.25
407,"1180407","Mirandela",2208.05
408,"1180408","Mogadouro",91200.85
1706,"1181706","Montalegre",9447.1
1707,"1181707","Murça",2040.35
1712,"1181712","Valpaços",7239.05
1713,"1181713","Vila Pouca de Aguiar",34182.85
411,"1180411","Vimioso",3102.45
412,"1180412","Vinhais",2934.75
101,"1610101","Águeda",23150.26
102,"1610102","Albergaria-a-Velha",28739.86
103,"1610103","Anadia",6917.13
105,"1610105","Aveiro",18375.81
108,"1610108","Estarreja",94138.18
110,"1610110","Ílhavo",5822.5
111,"1610111","Mealhada",10550.37
112,"1610112","Murtosa",55756.26
114,"1610114","Oliveira do Bairro",14137.03
115,"1610115","Ovar",73177.18
117,"1610117","Sever do Vouga",4821.03
118,"1610118","Vagos",39266.94
602,"1620602","Cantanhede",72129.13
603,"1620603","Coimbra",7406.22
604,"1620604","Condeixa-a-Nova",1839.91
605,"1620605","Figueira da Foz",51913.41
608,"1620608","Mira",23942.12
610,"1620610","Montemor-o-Velho",103896.69
613,"1620613","Penacova",0
615,"1620615","Soure",3656.53
1004,"1631004","Batalha",628.83
1009,"1631009","Leiria",27249.3
1010,"1631010","Marinha Grande",0
1015,"1631015","Pombal",11854.61
1016,"1631016","Porto de Mós",25153.2
1002,"1641002","Alvaiázere",69.87
1003,"1641003","Ansião",23.29
601,"1640601","Arganil",69.87
1007,"1641007","Castanheira de Pêra",0
1008,"1641008","Figueiró dos Vinhos",0
606,"1640606","Góis",0
607,"1640607","Lousã",0
609,"1640609","Miranda do Corvo",139.74
611,"1640611","Oliveira do Hospital",23.29
612,"1640612","Pampilhosa da Serra",0
1013,"1641013","Pedrógão Grande",0
614,"1640614","Penela",675.41
616,"1640616","Tábua",23.29
617,"1640617","Vila Nova de Poiares",186.32
901,"1650901","Aguiar da Beira",8407.69
1802,"1651802","Carregal do Sal",93.16
1803,"1651803","Castro Daire",1560.43
1806,"1651806","Mangualde",0
1808,"1651808","Mortágua",1141.21
1809,"1651809","Nelas",0
1810,"1651810","Oliveira de Frades",9316
1811,"1651811","Penalva do Castelo",489.09
1814,"1651814","Santa Comba Dão",23.29
1816,"1651816","São Pedro do Sul",5216.96
1817,"1651817","Sátão",7196.61
1821,"1651821","Tondela",3167.44
1822,"1651822","Vila Nova de Paiva",6544.49
1823,"1651823","Viseu",3237.31
1824,"1651824","Vouzela",5938.95
1413,"1661413","Mação",23.29
506,"1660506","Oleiros",0
508,"1660508","Proença-a-Nova",23.29
509,"1660509","Sertã",1141.21
510,"1660510","Vila de Rei",0
905,"1670905","Fornos de Algodres",652.12
906,"1670906","Gouveia",209.61
912,"1670912","Seia",139.74
902,"1680902","Almeida",18189.49
903,"1680903","Celorico da Beira",2398.87
904,"1680904","Figueira de Castelo Rodrigo",6567.78
907,"1680907","Guarda",18585.42
908,"1680908","Manteigas",186.32
909,"1680909","Mêda",302.77
910,"1680910","Pinhel",11924.48
911,"1680911","Sabugal",3703.11
913,"1680913","Trancoso",14300.06
502,"1690502","Castelo Branco",1467.27
505,"1690505","Idanha-a-Nova",36937.94
507,"1690507","Penamacor",10550.37
511,"1690511","Vila Velha de Ródão",1280.95
501,"16A0501","Belmonte",3912.72
503,"16A0503","Covilhã",23499.61
504,"16A0504","Fundão",16768.8
1001,"16B1001","Alcobaça",14626.12
1101,"16B1101","Alenquer",139.74
1102,"16B1102","Arruda dos Vinhos",3097.57
1005,"16B1005","Bombarral",3959.3
1104,"16B1104","Cadaval",4145.62
1006,"16B1006","Caldas da Rainha",69.87
1108,"16B1108","Lourinhã",16233.13
1011,"16B1011","Nazaré",8570.72
1012,"16B1012","Óbidos",885.02
1014,"16B1014","Peniche",186.32
1112,"16B1112","Sobral de Monte Agraço",7080.16
1113,"16B1113","Torres Vedras",37427.03
1401,"16C1401","Abrantes",4611.42
1402,"16C1402","Alcanena",9828.38
1408,"16C1408","Constância",0
1410,"16C1410","Entroncamento",0
1411,"16C1411","Ferreira do Zêzere",0
1421,"16C1421","Ourém",2165.97
1417,"16C1417","Sardoal",0
1418,"16C1418","Tomar",3726.4
1419,"16C1419","Torres Novas",838.44
1420,"16C1420","Vila Nova da Barquinha",0
1115,"1711115","Amadora",0
1105,"1711105","Cascais",0
1106,"1711106","Lisboa",0
1107,"1711107","Loures",0
1109,"1711109","Mafra",0
1116,"1711116","Odivelas",0
1110,"1711110","Oeiras",0
1111,"1711111","Sintra",0
1114,"1711114","Vila Franca de Xira",0
1502,"1721502","Alcochete",0
1503,"1721503","Almada",0
1504,"1721504","Barreiro",0
1506,"1721506","Moita",0
1507,"1721507","Montijo",0
1508,"1721508","Palmela",0
1510,"1721510","Seixal",0
1511,"1721511","Sesimbra",0
1512,"1721512","Setúbal",0
1501,"1811501","Alcácer do Sal",17354.79
1505,"1811505","Grândola",12296.61
211,"1810211","Odemira",91279.8
1509,"1811509","Santiago do Cacém",13488.48
1513,"1811513","Sines",2994.21
1201,"1821201","Alter do Chão",14302.44
1202,"1821202","Arronches",3546.54
1203,"1821203","Avis",12412.89
1204,"1821204","Campo Maior",25872.3
1205,"1821205","Castelo de Vide",0
1206,"1821206","Crato",5261.67
1207,"1821207","Elvas",17238.51
1208,"1821208","Fronteira",10436.13
1209,"1821209","Gavião",0
1210,"1821210","Marvão",87.21
1211,"1821211","Monforte",726.75
707,"1820707","Mora",7238.43
1212,"1821212","Nisa",813.96
1213,"1821213","Ponte de Sor",116.28
1214,"1821214","Portalegre",18517.59
701,"1830701","Alandroal",35029.35
702,"1830702","Arraiolos",29157.21
703,"1830703","Borba",1889.55
704,"1830704","Estremoz",7267.5
705,"1830705","Évora",22616.46
706,"1830706","Montemor-o-Novo",88023.96
708,"1830708","Mourão",5814
709,"1830709","Portel",33081.66
710,"1830710","Redondo",43721.28
711,"1830711","Reguengos de Monsaraz",4302.36
1215,"1831215","Sousel",12180.33
712,"1830712","Vendas Novas",0
713,"1830713","Viana do Alentejo",27703.71
714,"1830714","Vila Viçosa",4040.73
201,"1840201","Aljustrel",20726.91
202,"1840202","Almodôvar",87.21
203,"1840203","Alvito",5494.23
204,"1840204","Barrancos",0
205,"1840205","Beja",29.07
206,"1840206","Castro Verde",174.42
207,"1840207","Cuba",0
208,"1840208","Ferreira do Alentejo",18721.08
209,"1840209","Mértola",0
210,"1840210","Moura",2122.11
212,"1840212","Ourique",988.38
213,"1840213","Serpa",1250.01
214,"1840214","Vidigueira",348.84
1403,"1851403","Almeirim",174.42
1404,"1851404","Alpiarça",784.89
1103,"1851103","Azambuja",16657.11
1405,"1851405","Benavente",76686.66
1406,"1851406","Cartaxo",319.77
1407,"1851407","Chamusca",34680.51
1409,"1851409","Coruche",54884.16
1412,"1851412","Golegã",1133.73
1414,"1851414","Rio Maior",9476.82
1415,"1851415","Salvaterra de Magos",12907.08
1416,"1851416","Santarém",64419.12
801,"1500801","Albufeira",0
802,"1500802","Alcoutim",0
803,"1500803","Aljezur",0
804,"1500804","Castro Marim",0
805,"1500805","Faro",0
806,"1500806","Lagoa",0
807,"1500807","Lagos",0
808,"1500808","Loulé",0
809,"1500809","Monchique",0
810,"1500810","Olhão",0
811,"1500811","Portimão",0
812,"1500812","São Brás de Alportel",0
813,"1500813","Silves",0
814,"1500814","Tavira",0
815,"1500815","Vila do Bispo",0
816,"1500816","Vila Real de Santo António",0
