Muni_ID,ID,Muni,tot_wheat
1601,1111601,Arcos de Valdevez,0
1602,1111602,Caminha,0
1603,1111603,Melgaço,0
1604,1111604,Monção,0
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,0
1607,1111607,Ponte de Lima,1
1608,1111608,Valença,0
1609,1111609,Viana do Castelo,0
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,0
302,1120302,Barcelos,0
303,1120303,Braga,0
306,1120306,Esposende,0
310,1120310,Terras de Bouro,0
313,1120313,Vila Verde,0
307,1130307,Fafe,0
308,1130308,Guimarães,0
309,1130309,Póvoa de Lanhoso,0
1314,1131314,Santo Tirso,0
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,0
312,1130312,Vila Nova de Famalicão,0
314,1130314,Vizela,0
107,1140107,Espinho,0
1304,1141304,Gondomar,0
1306,1141306,Maia,0
1308,1141308,Matosinhos,0
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,0
1316,1141316,Vila do Conde,0
1317,1141317,Vila Nova de Gaia,0
1301,1151301,Amarante,0
1302,1151302,Baião,2
304,1150304,Cabeceiras de Basto,0
106,1150106,Castelo de Paiva,0
305,1150305,Celorico de Basto,0
1804,1151804,Cinfães,1
1303,1151303,Felgueiras,0
1305,1151305,Lousada,0
1307,1151307,Marco de Canaveses,0
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,0
1310,1151310,Paredes,0
1311,1151311,Penafiel,1
1813,1151813,Resende,32
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,1
113,1160113,Oliveira de Azeméis,0
109,1160109,Santa Maria da Feira,0
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,3
1801,1171801,Armamar,0
403,1170403,Carrazeda de Ansiães,75
404,1170404,Freixo de Espada à Cinta,81
1805,1171805,Lamego,0
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,14
1812,1171812,Penedono,22
1708,1171708,Peso da Régua,0
1710,1171710,Sabrosa,0
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,25
1818,1171818,Sernancelhe,26
1819,1171819,Tabuaço,4
1820,1171820,Tarouca,1
409,1170409,Torre de Moncorvo,92
410,1170410,Vila Flor,78
914,1170914,Vila Nova de Foz Côa,36
1714,1171714,Vila Real,2
401,1180401,Alfândega da Fé,15
1702,1181702,Boticas,18
402,1180402,Bragança,1173
1703,1181703,Chaves,311
405,1180405,Macedo de Cavaleiros,390
406,1180406,Miranda do Douro,1499
407,1180407,Mirandela,348
408,1180408,Mogadouro,1284
1706,1181706,Montalegre,29
1707,1181707,Murça,7
1712,1181712,Valpaços,112
1713,1181713,Vila Pouca de Aguiar,14
411,1180411,Vimioso,770
412,1180412,Vinhais,238
101,1610101,Águeda,50
102,1610102,Albergaria-a-Velha,24
103,1610103,Anadia,29
105,1610105,Aveiro,17
108,1610108,Estarreja,5
110,1610110,Ílhavo,8
111,1610111,Mealhada,13
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,40
115,1610115,Ovar,2
117,1610117,Sever do Vouga,0
118,1610118,Vagos,45
602,1620602,Cantanhede,75
603,1620603,Coimbra,28
604,1620604,Condeixa-a-Nova,128
605,1620605,Figueira da Foz,50
608,1620608,Mira,2
610,1620610,Montemor-o-Velho,86
613,1620613,Penacova,23
615,1620615,Soure,97
1004,1631004,Batalha,6
1009,1631009,Leiria,147
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,250
1016,1631016,Porto de Mós,26
1002,1641002,Alvaiázere,2
1003,1641003,Ansião,48
601,1640601,Arganil,18
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,1
606,1640606,Góis,1
607,1640607,Lousã,10
609,1640609,Miranda do Corvo,2
611,1640611,Oliveira do Hospital,0
612,1640612,Pampilhosa da Serra,0
1013,1641013,Pedrógão Grande,4
614,1640614,Penela,9
616,1640616,Tábua,15
617,1640617,Vila Nova de Poiares,9
901,1650901,Aguiar da Beira,12
1802,1651802,Carregal do Sal,0
1803,1651803,Castro Daire,1
1806,1651806,Mangualde,0
1808,1651808,Mortágua,36
1809,1651809,Nelas,0
1810,1651810,Oliveira de Frades,0
1811,1651811,Penalva do Castelo,4
1814,1651814,Santa Comba Dão,2
1816,1651816,São Pedro do Sul,1
1817,1651817,Sátão,42
1821,1651821,Tondela,2
1822,1651822,Vila Nova de Paiva,10
1823,1651823,Viseu,45
1824,1651824,Vouzela,0
1413,1661413,Mação,1
506,1660506,Oleiros,1
508,1660508,Proença-a-Nova,7
509,1660509,Sertã,1
510,1660510,Vila de Rei,5
905,1670905,Fornos de Algodres,1
906,1670906,Gouveia,1
912,1670912,Seia,3
902,1680902,Almeida,17
903,1680903,Celorico da Beira,12
904,1680904,Figueira de Castelo Rodrigo,58
907,1680907,Guarda,79
908,1680908,Manteigas,0
909,1680909,Mêda,44
910,1680910,Pinhel,126
911,1680911,Sabugal,107
913,1680913,Trancoso,27
502,1690502,Castelo Branco,217
505,1690505,Idanha-a-Nova,614
507,1690507,Penamacor,71
511,1690511,Vila Velha de Ródão,0
501,16A0501,Belmonte,0
503,16A0503,Covilhã,48
504,16A0504,Fundão,62
1001,16B1001,Alcobaça,102
1101,16B1101,Alenquer,712
1102,16B1102,Arruda dos Vinhos,115
1005,16B1005,Bombarral,11
1104,16B1104,Cadaval,30
1006,16B1006,Caldas da Rainha,60
1108,16B1108,Lourinhã,263
1011,16B1011,Nazaré,1
1012,16B1012,Óbidos,59
1014,16B1014,Peniche,114
1112,16B1112,Sobral de Monte Agraço,141
1113,16B1113,Torres Vedras,784
1401,16C1401,Abrantes,151
1402,16C1402,Alcanena,102
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,2
1411,16C1411,Ferreira do Zêzere,1
1421,16C1421,Ourém,16
1417,16C1417,Sardoal,0
1418,16C1418,Tomar,274
1419,16C1419,Torres Novas,464
1420,16C1420,Vila Nova da Barquinha,23
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,1
1107,1711107,Loures,50
1109,1711109,Mafra,430
1116,1711116,Odivelas,0
1110,1711110,Oeiras,0
1111,1711111,Sintra,504
1114,1711114,Vila Franca de Xira,815
1502,1721502,Alcochete,6
1503,1721503,Almada,22
1504,1721504,Barreiro,4
1506,1721506,Moita,0
1507,1721507,Montijo,162
1508,1721508,Palmela,33
1510,1721510,Seixal,0
1511,1721511,Sesimbra,8
1512,1721512,Setúbal,0
1501,1811501,Alcácer do Sal,996
1505,1811505,Grândola,141
211,1810211,Odemira,841
1509,1811509,Santiago do Cacém,1370
1513,1811513,Sines,311
1201,1821201,Alter do Chão,318
1202,1821202,Arronches,451
1203,1821203,Avis,650
1204,1821204,Campo Maior,1546
1205,1821205,Castelo de Vide,0
1206,1821206,Crato,1
1207,1821207,Elvas,1472
1208,1821208,Fronteira,1039
1209,1821209,Gavião,51
1210,1821210,Marvão,1
1211,1821211,Monforte,729
707,1820707,Mora,71
1212,1821212,Nisa,0
1213,1821213,Ponte de Sor,124
1214,1821214,Portalegre,84
701,1830701,Alandroal,923
702,1830702,Arraiolos,982
703,1830703,Borba,88
704,1830704,Estremoz,1082
705,1830705,Évora,3994
706,1830706,Montemor-o-Novo,480
708,1830708,Mourão,533
709,1830709,Portel,1095
710,1830710,Redondo,402
711,1830711,Reguengos de Monsaraz,787
1215,1831215,Sousel,587
712,1830712,Vendas Novas,5
713,1830713,Viana do Alentejo,151
714,1830714,Vila Viçosa,338
201,1840201,Aljustrel,3878
202,1840202,Almodôvar,843
203,1840203,Alvito,206
204,1840204,Barrancos,0
205,1840205,Beja,9860
206,1840206,Castro Verde,1705
207,1840207,Cuba,691
208,1840208,Ferreira do Alentejo,2963
209,1840209,Mértola,2445
210,1840210,Moura,3373
212,1840212,Ourique,1256
213,1840213,Serpa,3459
214,1840214,Vidigueira,993
1403,1851403,Almeirim,70
1404,1851404,Alpiarça,165
1103,1851103,Azambuja,424
1405,1851405,Benavente,183
1406,1851406,Cartaxo,140
1407,1851407,Chamusca,601
1409,1851409,Coruche,214
1412,1851412,Golegã,266
1414,1851414,Rio Maior,212
1415,1851415,Salvaterra de Magos,166
1416,1851416,Santarém,1330
801,1500801,Albufeira,77
802,1500802,Alcoutim,11
803,1500803,Aljezur,213
804,1500804,Castro Marim,6
805,1500805,Faro,10
806,1500806,Lagoa,16
807,1500807,Lagos,60
808,1500808,Loulé,0
809,1500809,Monchique,41
810,1500810,Olhão,0
811,1500811,Portimão,8
812,1500812,São Brás de Alportel,0
813,1500813,Silves,131
814,1500814,Tavira,36
815,1500815,Vila do Bispo,157
816,1500816,Vila Real de Santo António,19
